player_id,player_name,positions,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,games_played,minutes,off_rebounds,points,rebounds,steals,turnovers
monique-billings,Monique Billings,F,1.4,0.6,8.6,35.0,1.4,0.5,46.6,11.5,5.4,2.6,84.6,1.9,1.6,14.0,13.6,2.3,14.2,10.9,0.9,1.5
natasha-cloud,Natasha Cloud,W,4.0,0.2,3.8,37.5,4.0,1.5,40.8,7.4,3.0,2.8,87.5,0.6,0.5,14.0,15.6,0.4,8.4,4.1,0.6,1.1
natisha-hiedeman,Natisha Hiedeman,G,1.3,0.1,1.5,35.1,3.1,1.1,35.9,6.5,2.3,1.8,33.3,0.5,0.2,12.0,8.1,0.4,6.1,1.9,0.3,1.0
naz-hillmon,Naz Hillmon,F,1.1,0.4,5.1,22.4,3.5,0.8,41.2,7.3,3.0,1.8,57.9,1.4,0.8,14.0,12.2,1.9,8.3,6.9,0.7,1.0
paige-bueckers,Paige Bueckers,G,5.5,0.6,5.6,38.0,3.6,1.4,51.5,16.2,8.4,2.9,92.3,2.8,2.6,14.0,18.9,0.4,22.1,6.1,0.7,2.3
rachel-banham,Rachel Banham,G,0.9,,1.6,38.5,3.7,1.4,36.2,4.1,1.5,2.3,,0.1,,14.0,6.6,0.1,4.4,1.7,0.1,0.6
rae-burrell,Rae Burrell,W,1.9,0.4,2.9,40.5,3.0,1.2,44.4,10.1,4.5,1.7,82.6,1.6,1.4,14.0,12.1,0.9,12.8,3.7,1.0,1.1
rebecca-allen,Rebecca Allen,W,1.0,0.6,2.2,32.1,2.2,0.7,36.4,4.2,1.5,2.9,,0.2,,13.0,9.5,0.5,3.8,2.7,0.2,1.0
rhyne-howard,Rhyne Howard,W,3.1,0.9,4.2,35.4,7.6,2.7,38.6,14.2,5.5,2.5,87.0,1.8,1.5,13.0,20.7,0.5,16.3,4.7,1.5,1.6
rickea-jackson,Rickea Jackson,W,2.8,0.3,5.2,34.0,3.9,1.3,40.2,14.1,5.7,2.0,82.4,1.4,1.2,12.0,18.3,0.8,14.9,6.0,0.8,1.7
saniya-rivers,Saniya Rivers,W,1.1,1.1,2.0,18.2,2.0,0.4,31.1,6.7,2.1,1.6,66.7,0.5,0.4,11.0,8.5,0.4,5.2,2.4,0.9,1.4
shakira-austin,Shakira Austin,F,1.3,0.9,7.1,,0.4,,56.1,11.2,6.3,2.5,68.4,2.7,1.9,14.0,15.9,1.4,15.6,8.5,0.3,1.6
skylar-diggins,Skylar Diggins,G,4.2,0.9,2.6,26.9,4.7,1.3,37.3,14.6,5.5,3.1,90.0,2.7,2.5,11.0,16.9,1.1,16.7,3.7,1.5,1.9
sonia-citron,Sonia Citron,W,3.1,0.9,3.6,21.4,4.3,0.9,45.8,12.9,5.9,3.0,88.9,1.4,1.2,13.0,16.8,0.5,15.2,4.1,0.9,1.3
sug-sutton,Sug Sutton,G,1.6,,1.0,25.0,2.8,0.7,40.0,5.0,2.0,2.1,50.0,0.2,0.1,10.0,7.5,0.1,4.9,1.1,0.6,0.4
temi-fagbenle,Temi Fágbénlé,F,0.9,0.4,3.5,33.3,0.9,0.3,54.9,5.1,2.8,1.9,44.4,0.6,0.3,14.0,9.2,1.4,6.4,4.9,0.6,0.9
tiffany-hayes,Tiffany Hayes,G,2.5,0.3,2.2,36.8,4.4,1.6,46.6,8.9,4.2,2.4,100.0,1.1,1.1,13.0,12.2,0.8,11.9,3.1,0.9,0.8
veronica-burton,Veronica Burton,G,4.6,0.4,3.9,30.6,3.5,1.1,39.0,8.4,3.3,2.6,76.2,1.5,1.1,14.0,15.4,1.9,9.6,5.7,2.1,1.1
