player_id,player_name,positions,def_ff,def_int,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
a-lippels,A. Lippels,WR,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
a-maddox,A. Maddox,LB,2.0,1.0,5.0,1.5,61.0,,,11.0,11.0,,318.0,,,,,,,,2.0,,37.0,,,,,,,,
a-minton,A. Minton,WR,,,,,,,,11.0,,,,,,,,,,,,,,,,3.0,,36.0,,,
a-mitchell,A. Mitchell,WR,,,,,,,,12.0,18.0,,602.0,,,,,,,,10.0,1.0,219.0,,,47.0,9.0,600.0,8.0,,71.0
a-mizius,A. Mizius,DT,,,1.0,3.0,21.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-moore,A. Moore,WR,,,,,,,,10.0,18.0,,501.0,,,,,,,,6.0,,41.0,,,17.0,3.0,226.0,5.0,,22.0
a-muñoz-yus,A. Muñoz Yus,CB,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
a-okrasa,A. Okrasa,DE,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
a-orsetti,A. Orsetti,CB,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
a-osborne,A. Osborne,WR,,,,,,,,12.0,45.0,,943.0,,,,,,,,1.0,,13.0,,,62.0,3.0,732.0,,,
a-owusu,A. Owusu,RB,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,1.0,16.0,1.0,107.0
a-peter,A. Peter,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,5.0,,39.0,38.0,1.0,131.0
a-peñas-orjas,A. Peñas Orjas,K,,,,,,9.0,6.0,12.0,,,,,,,,,63.0,51.0,,,,,,,,,,,
a-poglietelli,A. Poglietelli,DE,1.0,,,,17.0,,,5.0,,,,,,,,,,,,,,,,,,,1.0,,
a-saad,A. Saad,CB,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
a-saliu,A. Saliu,K,,,,,,3.0,,11.0,,,,,,,,,6.0,3.0,,,,43.0,1527.0,,,,2.0,,
a-sarría-ballesteros,A. Sarría Ballesteros,P,,,,,,,,11.0,,,,,,,,,,,,,,20.0,811.0,,,,,,
a-sedigh-dailami,A. Sedigh Dailami,RB,,,,,6.0,,,5.0,,,,,,,,,,,,,,,,1.0,,1.0,9.0,,
a-soulerot,A. Soulerot,RB,,,,,,,,5.0,,,,,,,,,,,,,,,,10.0,,98.0,39.0,1.0,157.0
a-witmeur,A. Witmeur,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,1.0,,7.0,63.0,1.0,343.0
a-žouželka,A. Žouželka,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,10.0,,151.0,171.0,8.0,861.0
aaron-große-kleimann,Aaron  Große Kleimann,LB,3.0,,4.0,8.0,52.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
adam-lary,Adam Lary,CB/LB,,,5.0,,20.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
adrian-gródecki,Adrian Gródecki,WR,,,,,,,,12.0,,,,,,,,,,,,,,,,8.0,,52.0,3.0,,3.0
adrian-joseph-wentland,Adrian Joseph Wentland,LB,2.0,,5.0,,144.0,,,12.0,,,,,,,,,,,,,,,,,,,1.0,,36.0
adrian-platzgummer,Adrian Platzgummer,WR,,,,,,,,12.0,,,,33.0,17.0,,5.0,282.0,,,,,,,,6.0,,71.0,18.0,,85.0
adria-botella-moreno,Adrià Botella Moreno,TE/WR,,,,,,,,11.0,,,,,,,,,,,,,,,,56.0,16.0,566.0,,,
albert-wiesigstrauch,Albert Wiesigstrauch,RB,,,,,,,,9.0,3.0,,64.0,,,,,,,,2.0,,1.0,,,6.0,,80.0,33.0,1.0,150.0
alejandro-fernandez-nieto,Alejandro Fernandez Nieto,LB,1.0,,,4.0,19.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
alexander-watholowitsch,Alexander Watholowitsch,LB,1.0,1.0,5.0,2.0,34.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
alexandre-gonzalez-posito,Alexandre Gonzalez Posito,LB,,,1.0,1.0,22.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
amir-kilani,Amir Kilani,DB/LB,,2.0,4.0,,54.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
andy-vera,Andy Vera,LB,,1.0,3.0,,25.0,,,12.0,2.0,,54.0,,,,,,,,,,,,,,,,,,
anthony-mahoungou,Anthony Mahoungou,WR,,,,,,,,11.0,,,,,,,,,,,,,,,,25.0,4.0,363.0,1.0,,8.0
anthony-williams,Anthony Williams,DB/LB,,,,1.0,2.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
artur-pinheiro,Artur Pinheiro,DL/LB,,,,,16.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
aslan-zetterberg,Aslan Zetterberg,DL/LB,,,,3.5,34.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
b-banken,B. Banken,LB,,,,,55.0,,,11.0,3.0,,64.0,,,,,,,,1.0,,,,,,,,,,
b-beaulieu,B. Beaulieu,WR,,,,,,,,11.0,,,,,,,,,,,,,,,,83.0,15.0,1392.0,6.0,,46.0
b-bodnár,B. Bodnár,LB,,,,2.0,16.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
b-butler,B. Butler,WR,,,3.0,,16.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
b-domann,B. Domann,QB,,,,,,,,4.0,,,,159.0,87.0,5.0,9.0,985.0,,,,,,,,,,,8.0,,27.0
b-dorner,B. Dorner,DT,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
b-dümmer,B. Dümmer,LB,,,,3.0,26.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
b-easton,B. Easton,WR,,,,,,,,6.0,18.0,,570.0,,,,,,,,,,,,,40.0,5.0,679.0,,,
b-egbudiwe,B. Egbudiwe,DT,,,,,3.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
b-ehren,B. Ehren,WR,,,,,4.0,,,12.0,,,,,,,,,,,,,,,,9.0,,91.0,,,
b-escobar,B. Escobar,WR,,1.0,1.0,,2.0,,,12.0,,,,,,,,,,,,,,,,11.0,1.0,149.0,,,
b-etanabene,B. Etanabene,DT,,,,,2.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
b-fodor,B. Fodor,RB,,,,,,,,12.0,9.0,,218.0,,,,,,,,,,,,,,,,12.0,,28.0
b-goggin,B. Goggin,WR,,,,,,,,5.0,8.0,,212.0,,,,,,,,4.0,1.0,103.0,,,14.0,2.0,285.0,,,
b-gráber,B. Gráber,DT,,,,,4.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
b-harris,B. Harris,CB,1.0,3.0,5.0,,26.0,,,5.0,1.0,,39.0,,,,,,,,11.0,3.0,321.0,,,,,,,,
b-heath,B. Heath,WR,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,
b-holmes,B. Holmes,QB,,,,,,,,12.0,,,,333.0,213.0,5.0,40.0,2787.0,,,,,,,,2.0,,46.0,57.0,4.0,291.0
b-horváth,B. Horváth,CB,,,8.0,,32.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
b-liedlbauer,B. Liedlbauer,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,2.0,,14.0,65.0,2.0,280.0
b-mons,B. Mons,TE,,,,,,,,11.0,,,,,,,,,,,,,,,,2.0,,22.0,,,
b-nagy,B. Nagy,DE,,,,,4.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
b-pohler,B. Pohler,RB,,,,,,,,12.0,,,,,,,,,,,,,,,,5.0,1.0,53.0,44.0,3.0,261.0
b-polk,B. Polk,WR,,,,,,,,8.0,4.0,,91.0,,,,,,,,2.0,,15.0,,,15.0,2.0,177.0,23.0,2.0,183.0
b-pullman,B. Pullman,QB,,,,,,,,4.0,,,,181.0,89.0,7.0,4.0,835.0,,,,,,,,,,,9.0,1.0,61.0
b-radauer,B. Radauer,WR,,,,,,,,7.0,,,,,,,,,,,,,,,,1.0,,2.0,,,
b-roppelt,B. Roppelt,P,,,,,,,,12.0,,,,,,,,,,,,,,30.0,1201.0,,,,,,
b-rukundo-mulindahabi,B. Rukundo Mulindahabi,LB,,,1.0,,60.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
b-woch,B. Woch,RB,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
bais-kouanda,Bais Kouanda,WR,,,,,,,,11.0,,,,,,,,,,,,,,,,37.0,2.0,424.0,3.0,1.0,69.0
ben-baierl,Ben Baierl,DL/LB,,,1.0,2.0,29.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
ben-wenzler,Ben Wenzler,CB/LB,1.0,4.0,13.0,,40.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
benjamin-straight,Benjamin Straight,LB/S,,1.0,3.0,,36.0,,,9.0,,,,,,,,,,,,,,19.0,723.0,,,,,,
berend-grube,Berend Grube,DL/LB,2.0,1.0,2.0,5.0,25.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
bryan-yankson,Bryan Yankson,RB,,,,,,,,10.0,,,,,,,,,,,,,,,,1.0,,3.0,51.0,3.0,242.0
c-aiken-jr,C. Aiken Jr.,QB,,,,,,,,2.0,,,,61.0,42.0,2.0,6.0,418.0,,,,,,,,,,,16.0,2.0,141.0
c-baestlein,C. Baestlein,LB,2.0,,,0.5,6.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
c-coleman,C. Coleman,LB,1.0,1.0,5.0,,61.0,,,10.0,16.0,,476.0,,,,,,,,8.0,,98.0,,,,,,,,
c-duck,C. Duck,CB,1.0,2.0,4.0,,27.0,,,5.0,,,,,,,,,,,2.0,,10.0,,,,,,,,
c-geißler,C. Geißler,LB,,,,,4.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
c-gillis,C. Gillis,K,,,,,,11.0,9.0,11.0,,,,1.0,1.0,,,42.0,16.0,9.0,,,,39.0,1380.0,,,,,,
c-jachjajev,C. Jachjajev,CB,,1.0,2.0,,8.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
c-jeffries,C. Jeffries,QB,,,,,,,,12.0,,,,297.0,198.0,4.0,27.0,2456.0,,,,,,,,,,,81.0,4.0,360.0
c-jørgensen,C. Jørgensen,,,,,,1.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
c-kelly,C. Kelly,LB,,1.0,3.0,,16.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
c-kyei,C. Kyei,RB,,,,,,,,12.0,3.0,,148.0,,,,,,,,,,,,,29.0,1.0,188.0,167.0,5.0,847.0
c-moore,C. Moore,LB,1.0,,3.0,,23.0,,,6.0,,,,,,,,,,,1.0,1.0,85.0,,,,,,,,
c-mulumba,C. Mulumba,DE,,,,6.0,29.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
c-schuldt,C. Schuldt,WR,,,,,,,,8.0,,,,,,,,,,,,,,,,17.0,4.0,298.0,,,
c-schumann,C. Schumann,QB,,,,,,,,11.0,,,,15.0,6.0,,,107.0,,,,,,,,,,,3.0,,16.0
c-stribling,C. Stribling,CB,1.0,3.0,4.0,,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
celestin-ngimbi,Celestin Ngimbi,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,2.0,,
cesare-brugnani,Cesare Brugnani,LB,,,1.0,1.0,36.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
chad-adri-trivon-walrond,Chad-Adri Trivon Walrond,LB,1.0,2.0,3.0,,47.0,,,10.0,12.0,,414.0,,,,,,,,3.0,,32.0,,,,,,,,
cheikhou-sow,Cheikhou Sow,WR,,,,,,,,12.0,8.0,,173.0,,,,,,,,2.0,,27.0,,,11.0,3.0,114.0,1.0,,6.0
chris-voumbo,Chris Voumbo,RB,,,,,,,,8.0,,,,,,,,,,,,,,,,3.0,,14.0,45.0,1.0,172.0
christoph-kellner,Christoph Kellner,CB/LB,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
christoph-nitzlnader,Christoph Nitzlnader,CB/LB,,2.0,7.0,,51.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
conor-miller,Conor Miller,QB,,,,,,,,6.0,,,,38.0,21.0,,1.0,218.0,,,,,,,,,,,3.0,,25.0
d-artis,D. Artis,DE,1.0,,2.0,7.0,47.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
d-bartmann,D. Bartmann,DT,,,,0.5,12.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
d-bhend,D. Bhend,DE,,,,,8.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
d-buckrham,D. Buckrham,LB,,1.0,8.0,,33.0,,,12.0,14.0,,368.0,,,,,,,,,,,,,,,,,,
d-burrell,D. Burrell,DE,2.0,2.0,8.0,1.0,59.0,,,12.0,44.0,2.0,1247.0,,,,,,,,11.0,1.0,267.0,,,8.0,,91.0,9.0,1.0,85.0
d-fitzpatrick,D. Fitzpatrick,LB,,,,8.5,54.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
d-galmozzi,D. Galmozzi,CB,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
d-gomis,D. Gomis,LB,1.0,2.0,6.0,2.5,70.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
d-hamburger,D. Hamburger,WR,,,,,,,,12.0,10.0,,207.0,,,,,,,,,,,,,15.0,,130.0,3.0,,4.0
d-hopson,D. Hopson,DT,,,,,22.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
d-idiahi,D. Idiahi,LB,2.0,,1.0,3.5,21.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
d-immel,D. Immel,K,,,,,,,,12.0,,,,1.0,1.0,,,3.0,,,,,,23.0,701.0,,,,,,
d-inyang,D. Inyang,LB,,1.0,1.0,,62.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
d-irons-jr,D. Irons Jr.,QB,,,,,,,,12.0,,,,338.0,225.0,8.0,24.0,2412.0,,,,,,,,1.0,,10.0,137.0,11.0,1023.0
d-larochel,D. Larochel,CB,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
d-lliteras-ferraz,D. Lliteras Ferraz,QB,,,,,,,,8.0,,,,1.0,1.0,,,6.0,,,,,,,,,,,,,
d-lukšan,D. Lukšan,WR,,,,,,,,12.0,,,,,,,,,,,,,,,,16.0,3.0,209.0,1.0,1.0,10.0
d-lópez-garcía,D. López García,DT,,,,1.0,21.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
d-macháček,D. Macháček,RB,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,3.0,38.0,1.0,135.0
d-nash,D. Nash,LB,1.0,,3.0,1.0,48.0,,,10.0,1.0,,27.0,1.0,,,,,,,4.0,1.0,113.0,,,,,,2.0,,43.0
d-niedziela,D. Niedziela,TE,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,16.0,,,
d-onyia,D. Onyia,CB,,,,,3.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
d-pantali,D. Pantali,DE,,,1.0,,20.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
d-paz-gonzález,D. Paz González,DT,1.0,,,4.0,34.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
d-pedro,D. Pedro,WR,,,,,,,,12.0,2.0,1.0,144.0,,,,,,,,,,,,,21.0,3.0,318.0,1.0,,
d-pohořalý,D. Pohořalý,DE,,,,,3.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
d-romero-dévora,D. Romero Dévora,RB,,,1.0,,,,,12.0,,,,,,,,,,,,,,,,,,,,,
d-schmid,D. Schmid,LB,1.0,3.0,6.0,,63.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
d-schwam,D. Schwam,WR,,,,,,,,10.0,,,,,,,,,,,,,,,,2.0,1.0,34.0,,,
d-schweiger,D. Schweiger,K,,,,,,4.0,3.0,12.0,,,,,,,,,44.0,33.0,,,,1.0,40.0,,,,,,
d-stewart-jr,D. Stewart Jr.,WR,,,,,,,,11.0,17.0,,373.0,1.0,1.0,,,10.0,,,5.0,,113.0,,,89.0,13.0,1098.0,5.0,,7.0
d-tawake,D. Tawake,LB,1.0,1.0,1.0,2.0,46.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
d-taylor,D. Taylor,CB,,,1.0,,19.0,,,5.0,4.0,,103.0,,,,,,,,4.0,,36.0,,,,,,,,
d-vuckovic,D. Vuckovic,DE,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
d-waase,D. Waase,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,2.0,,6.0,16.0,,69.0
d-walls,D. Walls,CB,2.0,3.0,10.0,,34.0,,,11.0,20.0,1.0,653.0,,,,,,,,15.0,,323.0,,,,,,,,
d-wittig,D. Wittig,,,,,,2.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
d-young-obi,D. Young-Obi,DT,1.0,,,,7.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
daniel-bogdan-schuhmacher,Daniel Bogdan Schuhmacher,K,,,,,,,,9.0,,,,,,,,,,,,,,36.0,1480.0,,,,2.0,,
daniel-josiah,Daniel Josiah,LB,,,,,7.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
daniel-piątkowski,Daniel Piątkowski,LB,1.0,,2.0,0.5,56.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
daniel-schönet,Daniel Schönet,LB,,,,,,,,12.0,,,,,,,,,,,,,,,,2.0,,21.0,1.0,,3.0
dawid-brzozowski,Dawid Brzozowski,RB,,,,,,,,12.0,,,,,,,,,,,,,,,,23.0,1.0,180.0,139.0,12.0,770.0
dennis-tasic,Dennis Tasic,K,,,,,,9.0,7.0,10.0,,,,,,,,,34.0,25.0,,,,7.0,273.0,,,,,,
dominic-siegel,Dominic Siegel,DL/LB,,,,,2.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
dominic-yaw-aboagye-duah,Dominic Yaw Aboagye-Duah,DB/LB,,,1.0,,15.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
e-allmer,E. Allmer,CB,,,1.0,,2.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
e-almeida,E. Almeida,WR,,,,,,,,9.0,,,,,,,,,,,4.0,,81.0,,,25.0,2.0,434.0,4.0,,36.0
e-bahamonde,E. Bahamonde,WR,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,
e-caporizzi,E. Caporizzi,LB,,,,,6.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
e-chagoya,E. Chagoya,CB,1.0,1.0,8.0,1.0,62.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
e-daino,E. Daino,QB,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,3.0,,
e-delgado-neira,E. Delgado Neira,DT,,2.0,6.0,,40.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
e-eckerstorfer,E. Eckerstorfer,WR,,,,,,,,11.0,,,,,,,,,,,,,,,,3.0,,27.0,,,
e-egbuche,E. Egbuche,DE,,,,2.0,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
e-falola,E. Falola,,,,1.0,1.0,30.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
e-fuchs,E. Fuchs,RB,,,,,,,,11.0,,,,,,,,,,,,,,,,15.0,1.0,116.0,65.0,1.0,153.0
e-haggi,E. Haggi,WR,,,,,,8.0,6.0,11.0,,,,1.0,,,,,26.0,17.0,,,,,,2.0,,26.0,,,
e-heijmer,E. Heijmer,DT,,,,,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
e-hovde,E. Hovde,DE,1.0,,,4.5,21.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
e-ibáñez-cordero,E. Ibáñez Cordero,TE,,,,,,,,12.0,,,,,,,,,,,,,,,,7.0,3.0,75.0,,,
e-jassey,E. Jassey,CB,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,
e-jean-alphonse,E. Jean-Alphonse,CB,,,6.0,,21.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
e-jönsson,E. Jönsson,LB,,,,0.5,10.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
e-kaser,E. Kaser,LB,,,1.0,1.0,6.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
e-krogius,E. Krogius,CB,,1.0,3.0,1.5,27.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
e-köhncke,E. Köhncke,CB,,,,,6.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
e-laalo,E. Laalo,CB,,4.0,6.0,0.5,45.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
e-lui,E. Lui,DT,1.0,1.0,4.0,1.5,23.0,,,11.0,,,,,,,,,,,,,,,,,,,3.0,2.0,6.0
e-madaras,E. Madaras,RB,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,18.0,,39.0
e-mendes-correia,E. Mendes Correia,OT,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
e-molina-belmar,E. Molina Belmar,RB,,,,,,,,12.0,,,,,,,,,,,,,,,,19.0,1.0,215.0,102.0,7.0,525.0
e-nelson,E. Nelson,,,,,,1.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
e-omozokpea,E. Omozokpea,LB,,,,,3.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
e-perez-perez,E. Perez Perez,WR,,,,,,,,12.0,,,,,,,,,,,,,,,,7.0,1.0,73.0,2.0,,1.0
e-rabin,E. Rabin,WR,,,,,,,,8.0,,,,,,,,,,,,,,,,4.0,1.0,83.0,,,
e-tesan,E. Tesan,LB,,,,,37.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
eric-schlomm,Eric Schlomm,K,,,,,1.0,8.0,3.0,9.0,,,,1.0,,1.0,,,20.0,19.0,,,,18.0,638.0,,,,,,
exavier-edwards,Exavier Edwards,S,,1.0,1.0,,22.0,,,8.0,3.0,,39.0,,,,,,,,3.0,,21.0,,,,,,3.0,,6.0
f-alteus,F. Alteus,LB,,,1.0,2.0,65.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
f-boy,F. Boy,LB,,,,,5.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
f-chepyzhov,F. Chepyzhov,WR,,,,,,,,11.0,,,,,,,,,,,,,,,,4.0,,25.0,,,
f-egger,F. Egger,DE,,,1.0,,6.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
f-fehrle,F. Fehrle,LB,,,,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
f-friesen,F. Friesen,QB,,,,,,,,12.0,,,,1.0,,,,,,,,,,,,,,,2.0,,
f-födinger,F. Födinger,LB,,1.0,3.0,1.0,19.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
f-häfliger,F. Häfliger,TE,,,,,1.0,,,11.0,,,,,,,,,,,,,,,,12.0,1.0,97.0,,,
f-kažmír,F. Kažmír,WR,,,,,,,,11.0,,,,,,,,,,,,,,,,1.0,,6.0,,,
f-kohlenbach,F. Kohlenbach,WR,,,,,,,,12.0,1.0,,16.0,,,,,,,,,,,,,1.0,,38.0,,,
f-larose,F. Larose,WR,,,,,,,,9.0,,,,,,,,,,,,,,,,7.0,2.0,39.0,,,
f-lengauer,F. Lengauer,WR,,,,,,1.0,1.0,12.0,,,,,,,,,6.0,5.0,,,,3.0,57.0,11.0,2.0,135.0,,,
f-mosquera-sinisterra,F. Mosquera Sinisterra,LB,,,1.0,4.0,11.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
f-mousel,F. Mousel,DT,,,,,18.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
f-ntwa,F. Ntwa,DT,,,,1.5,17.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
f-quandt,F. Quandt,DT,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
f-reitter,F. Reitter,WR,,,,,,,,12.0,1.0,,20.0,,,,,,,,1.0,,,35.0,1195.0,4.0,,50.0,4.0,,6.0
f-rivelli,F. Rivelli,DT,,,,1.0,19.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
f-schaad,F. Schaad,LB,,,,,8.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
f-schmid,F. Schmid,DE,,,,1.5,8.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
f-schwarzkopf,F. Schwarzkopf,LB,,2.0,5.0,,21.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
f-stolár,F. Stolár,,,,1.0,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
f-tchuda,F. Tchuda,DT,1.0,,1.0,1.0,13.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
