player_id,player_name,positions,1pt_conversion,3pt_pass,blocked_punt,conversions,dst_touchdown,fg_made,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,pass_td,passing_tds,passing_yards,pat_made,points_against,receiving_tds,receiving_yards,receptions,recv_td,rush_td,rushing_tds,rushing_yards,sacks,safety
isiah-hennie,Isiah Hennie,WR,,,,,,,,,,,3.0,,,,,,,0.0,12.0,3.0,,,,,,
jj-molson,J.J. Molson,K,,,,,,,580.0,,,,,3.0,,,,,,,,,,,,,,
jmar-smith,J\'Mar Smith,QB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
javonta-payton,JaVonta Payton,WR,,,,,,,,,,,,,,,,,,5.0,379.0,23.0,,,1.0,34.0,,
jace-sternberger,Jace Sternberger,TE,1.0,,,,,,,,,,,,,,,,,4.0,521.0,31.0,,,,,,
jack-kramer,Jack Kramer,C/OL/OC/G,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
jack-robinson,Jack Robinson,DL,,,,,,,,,,,,,,,,,,,,,3.0,5.0,,,,
jacob-saylors,Jacob Saylors,RB,,,,3.0,,,,,,,,,,,,,,3.0,146.0,23.0,,,5.0,572.0,,
jahcour-pearson,Jahcour Pearson,WR,,,,1.0,,,,,,,1.0,,,,,,,1.0,235.0,29.0,,,0.0,10.0,,
jai-jones,Jai Jones,LB,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
jailin-singleton,Jailin Singleton,RB,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
jake-bates,Jake Bates,PK/K,,,,,,,936.0,,,,,6.0,,,,,,,,,,,,,,
jake-sutherland,Jake Sutherland,TE/WR,2.0,,,2.0,,,,,,,,,,,,,,2.0,62.0,10.0,,,,,,
jalan-mcclendon,Jalan McClendon,QB,,,,,,,,,0.0,,,,,0.0,129.0,,,,,,,,1.0,27.0,,
jamarcus-bradley,Jamarcus Bradley,WR,,,,,,,,,,,1.0,,,,,,,0.0,35.0,5.0,,,,,,
jamarii-milliken,Jamarii Milliken,DB/LB,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
james-riddle,James Riddle,LB,,,,,,15.0,,,,,,,,,,,,,,,,,,,,
jared-bronson,Jared Bronson,OL,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
jared-thomas,Jared Thomas,C/OC,2.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,
jarrett-guarantano,Jarrett Guarantano,QB,,,,,,,,,0.0,,1.0,,,0.0,301.0,,,,,,,,1.0,36.0,,
javian-byrd,Javian Byrd,DB,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
javon-hayes,Javon Hayes,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
jay-jay-wilson,Jay Jay Wilson,TE,,,,,,,,,,,,,,,,,,0.0,30.0,3.0,,,,,,
jayvon-johnson,Jayvon Johnson,LB,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
jeff-mack-ii,Jeff Mack II,RB,,,,,,,,,,,,,,,,2.0,,,,,,5.0,,,,
jeremiah-flores,Jeremiah Flores,WR,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,,
jerrime-neal,Jerrime Neal,WR,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
john-hightower,John Hightower,WR,,,,,,,,,,,,,,,,,,0.0,15.0,1.0,,,,,,
john-lovett,John Lovett,RB,2.0,,,1.0,,,,,,,1.0,,,,,,,1.0,57.0,17.0,,,5.0,506.0,,
john-westor,John Westor,DB,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,
jonathan-adams,Jonathan Adams,WR,1.0,,,1.0,,,,,,,,,,,,,,1.0,441.0,33.0,,,,,,
jonathan-garibay,Jonathan Garibay,K,,,,,,,466.0,,,,,,,,,,,,,,,,,,,
jontre-kirklin,Jontre Kirklin,WR,1.0,,,,,,,,,,1.0,,,1.0,51.0,,,3.0,698.0,66.0,,,0.0,4.0,,
jordan-barton,Jordan Barton,WR,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
jordan-suell,Jordan Suell,WR,,,,,,,,,,,,,,,,,,0.0,26.0,4.0,,,,,,
jordan-taamu,Jordan Ta\'amu,QB,1.0,,,7.0,,,,,9.0,,1.0,,,15.0,1854.0,,,,,,,,1.0,203.0,,
jordan-thomas-2,Jordan Thomas,TE,2.0,,,3.0,,,,,,,,,,,,,,1.0,151.0,7.0,,,,,,
josh-batiste,Josh Batiste,RB,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
josh-love,Josh Love,QB,2.0,,,1.0,,,,,3.0,,,,,2.0,313.0,,,,,,,,1.0,10.0,,
joshua-hollins,Joshua Hollins,QB,,,,,,,,,,,,,2.0,,,2.0,,,,,,1.0,,,,
justin-clarkson,Justin Clarkson,WR,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
justin-hall,Justin Hall,WR,1.0,,,2.0,,,,,,,,,,,,,,3.0,604.0,56.0,,,0.0,8.0,,
justin-smith,Justin Smith,WR,1.0,,,,,,,,,,,,,,,,,2.0,343.0,30.0,,,,,,
juwan-manigo,Juwan Manigo,WR,,,,,,,,,,,1.0,,,,,,,0.0,32.0,6.0,,,0.0,-1.0,,
kd-cannon,K.D. Cannon,WR,,,,,,,,,,,,,,,,,,0.0,58.0,3.0,,,,,,
kaden-smith,Kaden Smith,TE,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
kaleb-lowe,Kaleb Lowe,QB,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
kaleb-macaway,Kaleb Macaway,WR,,,,,,,,,,,,,,,,,,,,,5.0,1.0,,,,
kavon-samuels,Kavon Samuels,RB,,,,,,,,,,,,,,,,1.0,,,,,3.0,,,,,
keke-chism,Keke Chism,WR,,,,,,,,,,,,,,,,,,1.0,353.0,33.0,,,,,,
keke-coutee,Keke Coutee,WR,,,,,,,,,,,,,,,,,,0.0,173.0,18.0,,,1.0,81.0,,
kelvin-harmon,Kelvin Harmon,WR,,,,,,,,,,,,,,,,,,3.0,375.0,31.0,,,,,,
kemari-averett,Kemari Averett,TE,,,,1.0,,,,,,,,,,,,,,0.0,45.0,6.0,,,,,,
kevin-austin-jr,Kevin Austin Jr.,WR,,,,1.0,,,,,,,,,,,,,,2.0,214.0,11.0,,,,,,
kevin-hogan,Kevin Hogan,QB,,1.0,,,,,,,0.0,,,,,0.0,38.0,,,,,,,,0.0,3.0,,
kevin-simmons,Kevin Simmons,DB,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
kewan-alfred,Kewan Alfred,DL/LB,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
khalil-finley,Khalil Finley,DB,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
kirk-merritt,Kirk Merritt,RB,,,,,,,,,,,1.0,,,,,,,0.0,187.0,14.0,,,1.0,28.0,,
kye-black,Kye Black,LB,,,,,,,,,,,,,17.0,,,4.0,,,,,,5.0,,,,
kyler-henson,Kyler Henson,WR,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
ladarius-galloway,LaDarius Galloway,RB,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
landen-akers,Landen Akers,WR,,,,,,,,,,,,,,,,,,0.0,126.0,7.0,,,,,,
landon-freeman,Landon Freeman,RB,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
laronji-vason-mccoy,Laronji Vason-McCoy,DB,,,,,,,,,,,,,19.0,,,,,,,,,,,,,
larry-rountree-iii,Larry Rountree III,RB,1.0,,,,,,,,,,1.0,,,,,,,0.0,9.0,2.0,,,1.0,88.0,,
leddie-brown,Leddie Brown,RB,,,,1.0,,,,,,,,,,,,,,0.0,126.0,15.0,,,0.0,124.0,,
lee-morris,Lee Morris,WR,,,,1.0,,,,,,,,,,,,,,0.0,10.0,3.0,,,,,,
letrell-golden,Letrell Golden,OL,,,,,,,,,,,,,2.0,,,2.0,,,,,,1.0,,,,
lindsey-scott-jr,Lindsey Scott Jr.,QB,1.0,,,3.0,,,,,,,,,,1.0,48.0,,,,,,,,2.0,72.0,,
logan-stewart,Logan Stewart,WR,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
lorenzo-brown,Lorenzo Brown,QB,,,,,,,,,,,,,4.0,,,1.0,,,,,,2.0,,,,
lujuan-winningham,LuJuan Winningham,WR,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,
luis-perez,Luis Perez,QB,,,,8.0,,,,,4.0,,2.0,,,18.0,2310.0,,,0.0,0.0,1.0,,,0.0,16.0,,
luiz-ferreira,Luiz Ferreira,K,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
marcus-gray,MARCUS GRAY,G,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
madre-harper,Madre Harper,CB,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,
manny-wilkins,Manny Wilkins,QB,,,,1.0,,,,,3.0,,,,,1.0,321.0,,,,,,,,3.0,165.0,,
marcell-ateman,Marcell Ateman,WR,,,,2.0,,,,,,,,,,,,,,3.0,208.0,17.0,,,,,,
marco-lee,Marco Lee,RB,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
marcus-baugh,Marcus Baugh,TE/WR,1.0,,,,,,,,,,,,,,,,,0.0,76.0,4.0,,,,,,
marcus-simms,Marcus Simms,WR,,,,,,,,,,,,,,,,,,3.0,458.0,26.0,,,,,,
mark-thompson,Mark Thompson,RB,,,,,,,,,,,2.0,,,,,,,0.0,33.0,6.0,,,5.0,226.0,,
marlon-williams,Marlon Williams,WR,,,,1.0,,,,,,,,,,,,,,4.0,399.0,33.0,,,0.0,24.0,,
marquez-stevenson,Marquez Stevenson,WR,1.0,,,,,,,,,,1.0,,,,,,,3.0,355.0,41.0,,,0.0,28.0,,
mataeo-durant,Mataeo Durant,RB,1.0,,,,,,,,,,,,,,,,,0.0,18.0,5.0,,,1.0,134.0,,
matt-coghlin,Matt Coghlin,K,,,,,,,612.0,,,,,1.0,,,,,,,,,,,,,,
matt-colburn-ii,Matt Colburn II,WR/RB,2.0,,,1.0,,,,,,,,,,,,,,0.0,84.0,16.0,,,4.0,416.0,,
matt-corral,Matt Corral,QB,1.0,,,4.0,,,,,3.0,,1.0,,,4.0,614.0,,,,,,,,0.0,106.0,,
matthew-mccrane,Matthew McCrane,K,,,,,,,716.0,,,,,4.0,,,,,,,,,,,,,,
mclean-djouha,Mclean Djouha,OL,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
metoriah-faoliu,Metoriah Faoliu,DL,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
michael-miller,Michael Miller,DB,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
mike-green,Mike Green,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,
mike-panasiuk,Mike Panasiuk,C,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,
morgan-ellison,Morgan Ellison,RB,1.0,,,,,,,,,,1.0,,,,,,,,,,,,3.0,219.0,,
nate-mccrary,Nate McCrary,RB,,,,,,,,,,,,,,,,,,0.0,26.0,2.0,,,1.0,122.0,,
noah-johnson,Noah Johnson,C/OL/OC,,,,,,,,,,,,,,,,,,0.0,5.0,1.0,,,,,,
nolan-henderson,Nolan Henderson,QB,1.0,,,1.0,,,,,1.0,,1.0,,,2.0,526.0,,,,,,,,1.0,143.0,,
panthers-dst,Panthers DST,DST,,,1.0,,,,,4.0,,8.0,,,,,,,220.0,,,,,,,,34.0,
panthers-k,Panthers K,K,,,,,,,936.0,,,,,6.0,,,,,,,,,,,,,,
panthers-qb,Panthers QB,QB,4.0,,,3.0,,,,,9.0,,3.0,,,9.0,2095.0,,,,,,,,9.0,491.0,,
pooka-williams,Pooka Williams,WR/RB,,,,,,,,,,,,,,,,,,,12.0,6.0,,,,18.0,,
prince-shonola,Prince Shonola,WR,,,,,,21.0,,,,,,,,,,,,,,,,,,,,
quantaye-battle,Quantaye Battle,DB,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
quentin-peeples,Quentin Peeples,DL,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
quinten-dormady,Quinten Dormady,QB,2.0,,,,,,,,6.0,,3.0,,,6.0,1264.0,,,,,,,,0.0,54.0,,
ramiz-ahmed,Ramiz Ahmed,K,,,,,,,366.0,,,,,3.0,,,,,,,,,,,,,,
raphael-turner,Raphael Turner,OL,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,
rashad-ridley,Rashad Ridley,WR,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,,
rashard-budd,Rashard Budd,DL,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
rashard-davis,Rashard Davis,WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
rashaud-powell,Rashaud Powell,DL,,,,,,20.0,,,,,,,,,,,,,,,,,,,,
reggie-roberson-jr,Reggie Roberson Jr.,WR,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
reid-sinnett,Reid Sinnett,QB,,,,3.0,,,,,4.0,,,,,5.0,1136.0,,,,,,,,1.0,42.0,,
renegades-dst,Renegades DST,DST,,,,,1.0,,,4.0,,10.0,,,,,,,245.0,,,,,,,,22.0,
renegades-k,Renegades K,K,,,,,,,687.0,,,,,1.0,,,,,,,,,,,,,,
renegades-qb,Renegades QB,QB,1.0,,,10.0,,,,,4.0,,2.0,,,19.0,2338.0,,,,,1.0,,,2.0,51.0,,
ricardo-barnett,Ricardo Barnett,DB,,,,,,16.0,,,,,,,,,,,,,,,,,,,,
ricky-person-jr,Ricky Person Jr.,RB,,,,1.0,,,,,,,,,,,,,,1.0,143.0,15.0,,,6.0,406.0,,
robi-stuart,Robi Stuart,DL,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
roderick-perry,Roderick Perry,DT,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,
roughnecks-dst,Roughnecks DST,DST,,,,,1.0,,,6.0,,8.0,,,,,,,227.0,,,,,,,,11.0,1.0
roughnecks-k,Roughnecks K,K,,,,,,,580.0,,,,,3.0,,,,,,,,,,,,,,
roughnecks-qb,Roughnecks QB,QB,,,,4.0,,,,,5.0,,2.0,,,7.0,1806.0,,,,,,,,2.0,199.0,,
ryan-santoso,Ryan Santoso,K,,,,,,,500.0,,,,,6.0,,,,,,,,,,,,,,
rysan-richardson,Rysan Richardson,K,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,
showboats-k,SHOWBOATS K,K,,,,,,,612.0,,,,,1.0,,,,,,,,,,,,,,
showboats-qb,SHOWBOATS QB,QB,3.0,1.0,,3.0,,,,,12.0,,6.0,,,14.0,1894.0,,,,,,,,2.0,170.0,,
sage-surratt,Sage Surratt,TE,,,,1.0,,,,,,,,,,,,,,2.0,269.0,27.0,,,,,,
sal-cannella,Sal Cannella,TE,,,,2.0,,,,,,,,,,,,,,6.0,497.0,53.0,,,,,,
sammie-epps,Sammie Epps,WR,,,,,,,,,,,,,1.0,,,1.0,,,,,,2.0,,,,
samson-nacua,Samson Nacua,WR,1.0,,,,,,,,,,,,,,,,,0.0,124.0,11.0,,,,,,
sean-connaghan,Sean Connaghan,LB,,,,,,13.0,,,,,,,,,,,,,,,,,,,,
seth-green,Seth Green,TE,,,,2.0,,,,,,,,,,,,,,1.0,86.0,11.0,,,0.0,3.0,,
shahuan-williams,Sha'huan Williams,DL,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
shaun-mcgee,Shaun Mcgee,DL,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
showboats-dst,Showboats DST,DST,,,1.0,,1.0,,,8.0,,5.0,,,,,,,290.0,,,,,,,,19.0,1.0
siaosi-mariner,Siaosi Mariner,WR,1.0,,,1.0,,,,,,,,,,,,,,3.0,406.0,31.0,,,,,,
stallions-dst,Stallions DST,DST,,,,,,,,7.0,,11.0,,,,,,,196.0,,,,,,,,36.0,1.0
stallions-k,Stallions K,K,,,,,,,741.0,,,,,4.0,,,,,,,,,,,,,,
stallions-qb,Stallions QB,QB,3.0,,,8.0,,,,,7.0,,2.0,,,21.0,2624.0,,,,,,,,5.0,695.0,,
sterling-hofrichter,Sterling Hofrichter,P,,,,,,,,,,,,,,,,,,,,,,,0.0,-37.0,,
