player_id,player_name,positions,conversions,dst_touchdown,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
brodrique-michael,"Brodrique, Michael",LB,,,,,,,0.0,,,,,,,,,,,1.0,3.0
brown-dru,"Brown, Dru",QB,,,,,,10.0,,,,18.0,3959.0,,,,,0.0,57.0,,
bryan-scott,Bryan Scott,QB,,,,,,0.0,,,,1.0,79.0,,,,,,,,
bynum-devodric,"Bynum, Devodric",DB,,,,,,,0.0,,,,,,,,,,,0.0,3.0
cj-avery,C.J. Avery,LB,,,,,,,1.0,,,,,,,,,,,0.0,4.0
castillo-sergio,"CASTILLO, Sergio",K,,,38.0,1891.0,,,,,2.0,,,,,,,,,,
cgy-dst,CGY DST,DST,,,,,,,21.0,,,,,485.0,,,,,,46.0,
cgy-k,CGY K,K,,,33.0,1511.0,,,,,,,,,,,,,,,
cgy-qb,CGY QB,QB,,,,,,19.0,,,,22.0,4243.0,,,,,10.0,283.0,,
chris-ike-michael,"CHRIS-IKE, Michael",RB,,,,,,,,,,,,,0.0,0.0,0.0,,,,
cibasu-regis,"CIBASU, Regis",WR/FB,,,,,,,,,,,,,0.0,0.0,0.0,,,,
cobb-gavin,"COBB, Gavin",WR,,,,,,,,,,,,,1.0,94.0,7.0,,,,
collaros-zach,"COLLAROS, Zach",QB,,,,,,15.0,,,,17.0,4336.0,,,,,0.0,168.0,,
cottoy-jevon,"COTTOY, Jevon",WR,,,,,,,,,,,,,0.0,401.0,34.0,,,,
coxie-damonte,"COXIE, Damonte",WR,,,,,,,,,,,,,4.0,860.0,59.0,,,,
crum-dustin,"CRUM, Dustin",QB,,,,,,2.0,,,,0.0,338.0,,,,,7.0,206.0,,
cadwallader-tanner,"Cadwallader, Tanner",LB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
cameron-dukes,Cameron Dukes,QB,,,,,,6.0,,,,7.0,1444.0,,,,,4.0,321.0,,
cantin-arku-geoffrey,"Cantin-Arku, Geoffrey",LB,,,,,,,0.0,,,,,,,,,,,0.0,1.0
carey-ka39deem,"Carey, Ka&#39;Deem",RB,,,,,,,,,,,,,1.0,365.0,38.0,6.0,941.0,,
carney-malik,"Carney, Malik",DE,,,,,,,0.0,,,,,,,,,,,0.0,1.0
case-kody,"Case, Kody",WR,,,,,,,,,,,,,0.0,5.0,1.0,,,,
cassar-jack,"Cassar, Jack",LB,,,,,,,,,,,,,,,,,,,2.0
celestin-haba,Celestin Haba,DE,,,,,,,0.0,,,,,,,,,,,0.0,1.0
ceresna-jake,"Ceresna, Jake",DL,,,,,,,,,,,,,,,,,,,4.0
clarence-hicks,Clarence Hicks,LB/DL,,,,,,,0.0,,,,,,,,,,,1.0,1.0
clercius-kevens,"Clercius, Kevens",WR,,,,,,,,,,,,,1.0,352.0,32.0,,,,
cole-ii-brian,"Cole II, Brian",LB,,,,,,,1.0,,,,,,,,,,,0.0,10.0
cosby-bryce,"Cosby, Bryce",DB,,,,,,,0.0,,,,,,,,,,,0.0,3.0
covington-christian,"Covington, Christian",DL,,,,,,,,,,,,,,,,,,,1.0
cox-jr-bryan,"Cox Jr., Bryan",DL,,,,,,,,,,,,,,,,,,,2.0
curtis-noah,"Curtis, Noah",DL,,,,,,,0.0,,,,,,,,,,,0.0,1.0
cote-david,"Côté, David",K,,,12.0,288.0,,,,,,,,,,,,,,,
dallaire-david,"DALLAIRE, David",RB/FB,,,,,,,0.0,,,,,,1.0,79.0,10.0,0.0,5.0,0.0,1.0
daniels-davaris,"DANIELS, DaVaris",WR,,,,,,,,,,,,,2.0,622.0,48.0,,,,
dedmon-devonte,"DEDMON, Devonte",RB/WR,,,,,,,,,,,,,1.0,9.0,1.0,0.0,15.0,,
demski-nic,"DEMSKI, Nic",WR,,,,,,,,1.0,,,,,6.0,1030.0,76.0,0.0,19.0,,
doege-jarret,"DOEGE, Jarret",QB,,,,,,0.0,,,,0.0,6.0,,,,,0.0,5.0,,
dubois-marco,"DUBOIS, Marco",WR/FB,,,,,,,,,,,,,0.0,54.0,2.0,,,,
dakota-prukop,Dakota Prukop,QB,,,,,,,,,,,,,,,,9.0,56.0,,
dalke-jayden,"Dalke, Jayden",DB,,,,,,,0.0,,,,,,,,,,,0.0,4.0
darious-williams,Darious Williams,CB/LB/DB,,,,,,,1.0,,,,,,,,,,,,5.0
debaillie-tibo,"Debaillie, Tibo",DL,,,,,,,,,,,,,,,,,,,1.0
demery-d39antne,"Demery, D&#39;Antne",OL,,,,,,,,,,,,,,,,,,,1.0
dequoy-marc-antoine,"Dequoy, Marc-Antoine",DB,,,,,,,1.0,,,,,,,,,,,,2.0
dezmon-patmon,Dezmon Patmon,WR,,,,,,,,,,,,,0.0,156.0,13.0,,,,
dolegala-jake,"Dolegala, Jake",QB,,,,,,0.0,,,,0.0,158.0,,,,,0.0,5.0,,
dozier-branden,"Dozier, Branden",DB,,,,,,,0.0,,,,,,,,,,,0.0,3.0
duncan-busby-dhel,"Duncan-Busby, Dhel",WR,,,,,,,,,,,,,0.0,188.0,16.0,,,,
eberhardt-ayden,"EBERHARDT, Ayden",WR,,,,,,,,,,,,,2.0,639.0,41.0,,,,
echols-cam,"ECHOLS, Cam",WR,,,,,,,,,,,,,4.0,363.0,31.0,,,,
edm-dst,EDM DST,DST,,,,,,,17.0,,,,,559.0,,,,,,34.0,
edm-k,EDM K,K,,,43.0,991.0,,,,,,,,,,,,,,,
edm-qb,EDM QB,QB,,,,,,16.0,,,,34.0,4891.0,,,,,0.0,300.0,,
evans-caleb,"EVANS, Caleb",QB,,,,,,2.0,,,,4.0,307.0,,,,,4.0,55.0,,
eley-ayinde,"Eley, Ayinde",LB,,,,,,,,,,,,,,,,,,,1.0
eli-stove,Eli Stove,WR,,,,,,,,,,,,,0.0,79.0,9.0,,,,
ellis-avery,"Ellis, Avery",DE/DL,,,,,,,0.0,,,,,,,,,,,0.0,2.0
emilus-samuel,"Emilus, Samuel",WR,,,,,,,0.0,,,,,,5.0,1064.0,87.0,,,0.0,1.0
emmons-bj,"Emmons, B.J.",RB,,,,,,,,,,,,,0.0,56.0,5.0,0.0,44.0,,
ento-kabion,"Ento, Kabion",DB,,,,,,,0.0,,,,,,,,,,,0.0,1.0
evans-ciante,"Evans, Ciante",DB,,,,,,,,,,,,,,,,,,,2.0
fajardo-cody,"FAJARDO, Cody",QB,,,,,,7.0,,,,16.0,3105.0,,,,,3.0,277.0,,
fervius-shedler,"FERVIUS, Shedler",WR,,,,,,,,,,,,,0.0,87.0,7.0,,,,
fletcher-walter,"FLETCHER, Walter",RB,,,,,,,,,,,,,3.0,682.0,71.0,4.0,764.0,,
frost-harrison,"FROST, Harrison",QB,,,,,,0.0,,,,1.0,95.0,,,,,,,,
faithfull-dean,"Faithfull, Dean",K,,,4.0,41.0,,,,,,,,,,,,,,,
feltmate-bailey,"Feltmate, Bailey",LB,,,,,,,,,,,,,0.0,5.0,1.0,,,,
fields-damarcus,"Fields, DaMarcus",DB,,,,,,,0.0,,,,,,,,,,,1.0,6.0
flowers-malik,"Flowers, Malik",WR,,,,,,,,,,,,,0.0,33.0,3.0,,,,
ford-tre,"Ford, Tre",QB,,,,,,5.0,1.0,,,10.0,1137.0,,,,,0.0,206.0,,5.0
ford-tyrell,"Ford, Tyrell",DB,,,,,,,0.0,,,,,,,,,,,0.0,5.0
fox-miles,"Fox, Miles",DT/DL,,,,,,,0.0,,,,,,,,,,,0.0,1.0
franklin-benjie,"Franklin, Benjie",DB,,,,,,,,,,,,,,,,,,,4.0
fulgham-travis,"Fulgham, Travis",WR,,,,,,,,,,,,,1.0,98.0,6.0,,,,
gittens-jr-kurleigh,"GITTENS JR., Kurleigh",WR,,,,,,,,,,,,,3.0,1037.0,92.0,,,,1.0
gosselin-anthony,"GOSSELIN, Anthony",RB/FB,,,,,,,,,,,,,0.0,22.0,5.0,0.0,12.0,,
grant-janarion,"GRANT, Janarion",WR,,,,,,,,,,,,,0.0,52.0,9.0,0.0,31.0,,
green-tanner,"GREEN, Tanner",RB/FB,,,,,,,,,,,,,0.0,0.0,0.0,,,,
gagne-alexandre,"Gagné, Alexandre",FB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
garand-gauthier-felix,"Garand-Gauthier, Felix",FB,,,,,,,0.0,,,,,,0.0,2.0,1.0,,,0.0,1.0
george-jr-kenneth,"George Jr., Kenneth",DB,,,,,,,,,,,,,,,,,,,3.0
greene-adrian,"Greene, Adrian",DB,,,,,,,,,,,,,,,,,,,2.0
griffin-frankie,"Griffin, Frankie",LB,,,,,,,,,,,,,0.0,-1.0,1.0,,,,
hakunavanhu-luther,"HAKUNAVANHU, Luther",WR,,,,,,,,,,,,,4.0,171.0,9.0,,,,
ham-dst,HAM DST,DST,,,,,,,33.0,,,,,582.0,,,,,,42.0,
ham-k,HAM K,K,,,36.0,1349.0,,,,,,,,,,,,,,,
ham-qb,HAM QB,QB,1.0,,,,,18.0,,,,35.0,5971.0,,,,,0.0,195.0,,
hardy-justin,"HARDY, Justin",WR,,,,,,0.0,,,,0.0,0.0,,5.0,1343.0,97.0,0.0,76.0,,
harris-trevor,"HARRIS, Trevor",QB,,,,,,9.0,0.0,,,20.0,3264.0,,,,,2.0,71.0,0.0,1.0
hatcher-keon,"HATCHER, Keon",WR,,,,,,,,,,,,,0.0,608.0,38.0,,,,
hollins-alexander,"HOLLINS, Alexander",WR,,,,,,,,,,,,,6.0,937.0,61.0,,,,
haggerty-john,"Haggerty, John",P,,,,,,,,,,,,,,,,,,,1.0
hallett-nick,"Hallett, Nick",DB,,,,,,,0.0,,,,,,,,,,,0.0,1.0
hansen-thiadric,"Hansen, Thiadric",DE,,,,,,,,,,,,,,,,,,,2.0
harelimana-brian,"Harelimana, Brian",LB,,,,,,,,,,,,,,,,,,,1.0
hendrix-dewayne,"Hendrix, Dewayne",DL,,,,,,,0.0,,,,,,,,,,,0.0,1.0
herdman-reed-jordan,"Herdman-Reed, Jordan",LB,,,,,,,,,,,,,,,,,,,1.0
herdman-reed-justin,"Herdman-Reed, Justin",LB,,,,,,,0.0,,,,,,,,,,,0.0,0.0
hergy-mayala,Hergy Mayala,WR,,,,,,,,,,,,,5.0,503.0,41.0,,,,
hickson-frankie,"Hickson, Frankie",RB,,,,,,,,,,,,,0.0,100.0,10.0,1.0,492.0,,
hill-kylin,"Hill, Kylin",RB,,,,,,,,,,,,,1.0,127.0,10.0,0.0,102.0,,
hladik-ben,"Hladik, Ben",LB,,,,,,,,,,,,,,,,,,,9.0
holm-evan,"Holm, Evan",DB,,,,,,,0.0,,,,,,,,,,,0.0,4.0
houston-demerio,"Houston, Demerio",DB,,,,,,,1.0,,,,,,,,,,,0.0,7.0
howsare-julian,"Howsare, Julian",DE/DL,,,,,,,0.0,,,,,,,,,,,0.0,3.0
hunchak-colton,"Hunchak, Colton",WR,,,,,,,,,,,,,0.0,31.0,3.0,,,,
hunter-monshadrik,"Hunter, Monshadrik",DB,,,,,,,,,,,,,0.0,0.0,1.0,,,,
ishmael-hyman,Ishmael Hyman,WR,,,,,,,,,,,,,1.0,220.0,18.0,,,,
ivey-martez,"Ivey, Martez",OL,,,,,,,0.0,,,,,,,,,,,0.0,0.0
john-rysen,"JOHN, Rysen",WR,,,,,,,,,,,,,0.0,14.0,2.0,,,,
jones-tevin,"JONES, Tevin",WR,,,,,,,,,,,,,5.0,731.0,40.0,1.0,13.0,,
julien-grant-kaion,"JULIEN-GRANT, Kaion",WR,,,,,,,0.0,,,,,,1.0,486.0,46.0,,,0.0,1.0
jack-coan,Jack Coan,QB,,,,,,0.0,,,,1.0,100.0,,,,,0.0,14.0,,
jackson-kordell,"Jackson, Kordell",DB,,,,,,,0.0,,,,,,,,,,,0.0,5.0
jevoni-robinson,Jevoni Robinson,TE/WR,,,,,,,,,,,,,3.0,209.0,19.0,,,,
joel-dublanko,Joel Dublanko,LB,,,,,,,0.0,,,,,,,,,,,0.0,1.0
johnson-keesean,"Johnson, KeeSean",WR,,,,,,0.0,,,,0.0,0.0,,5.0,746.0,56.0,,,,
johnson-leonard,"Johnson, Leonard",DB,,,,,,,,,,,,,,,,,,,7.0
johnson-micah,"Johnson, Micah",DL,,,,,,,,,,,,,,,,,,,3.0
johnson-mustafa,"Johnson, Mustafa",DL,,,,,,,0.0,,,,,,,,,,,0.0,3.0
jordan-williams,Jordan Williams,DE/LB/MLB/DL,,,,,,,,,,,,,,,,,,,1.0
josh-johnson,Josh Johnson,WR/QB,,,,,,,,,,,,,0.0,138.0,18.0,0.0,0.0,,
judge-cameron,"Judge, Cameron",LB,,,,,,,0.0,,,,,,,,,,,0.0,4.0
julien-jake,"Julien, Jake",P,,,,,,,,,,,,,,,,,,,2.0
kelly-chad,"KELLY, Chad",QB,,,,,,8.0,,,,10.0,2451.0,,,,,5.0,214.0,,
kai-gray,Kai Gray,CB/DB,,,,,,,1.0,,,,,,,,,,,0.0,2.0
karamoko-souleymane,"Karamoko, Souleymane",DB,,,,,,,0.0,,,,,,,,,,,0.0,1.0
katsantonis-stavros,"Katsantonis, Stavros",DB,,,,,,,0.0,,,,,,,,,,,0.0,3.0
keric-wheatfall,Keric Wheatfall,WR,,,,,,,,,,,,,1.0,273.0,13.0,,,,
konar-adam,"Konar, Adam",LB,,,,,,,0.0,,,,,,,,,,,0.0,1.0
kramdi-redha,"Kramdi, Redha",DB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
lauther-brett,"LAUTHER, Brett",K,,,38.0,1800.0,,,,,,,,,,,,,,,
leake-javon,"LEAKE, Javon",RB,,,,,,,,,,,,,1.0,301.0,34.0,6.0,661.0,,
lewis-eugene,"LEWIS, Eugene",WR,,,,,,,0.0,,,,,,10.0,1070.0,74.0,1.0,15.0,0.0,1.0
liegghio-marc,"LIEGGHIO, Marc",K,,,36.0,1349.0,,,,,,,,,,,,,,,
lindsey-tyjon,"LINDSEY, Tyjon",WR,,,,,,,,,,,,,0.0,39.0,1.0,,,,
laborn-khalan,"Laborn, Khalan",RB,,,,,,,,,,,,,0.0,152.0,23.0,1.0,310.0,,
labrosse-ben,"Labrosse, Ben",DB,,,,,,,,,,,,,,,,,,,1.0
lanier-ii-anthony,"Lanier II, Anthony",DL,,,,,,,,,,,,,,,,,,,1.0
lawler-kenny,"Lawler, Kenny",WR,,,,,,,,,,,,,4.0,662.0,41.0,,,,
lawson-jr-dexter,"Lawson Jr., Dexter",DB,,,,,,,,,,,,,,,,,,,6.0
leblanc-cre39von,"LeBlanc, Cre&#39;Von",CB,,,,,,,,,,,,,,,,,,,3.0
leder-ryan,"Leder, Ryan",DL,,,,,,,0.0,,,,,,0.0,4.0,1.0,,,0.0,2.0
lemon-shawn,"Lemon, Shawn",DE/DL,,,,,,,0.0,,,,,,,,,,,1.0,5.0
leonard-richard,"Leonard, Richard",DB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
leone-richie,"Leone, Richie",K,,,,,,0.0,,,,0.0,27.0,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,,,36.0,1877.0,,,,,,,,,,,,,,,
litre-ante,"Litre, Ante",RB,,,,,,0.0,,,,0.0,30.0,,1.0,130.0,14.0,4.0,214.0,,
logan-peyton,"Logan, Peyton",RB,,,,,,,,,,,,,0.0,121.0,24.0,1.0,355.0,,
lokombo-nelson,"Lokombo, Nelson",DB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
lyon-nafees,"Lyon, Nafees",DB,,,,,,,0.0,,,,,,,,,,,0.0,5.0
maltos-jose,"MALTOS, Jose",K,,,22.0,943.0,,,,,,,,,,,,,,,
masoli-jeremiah,"MASOLI, Jeremiah",QB,,,,,,6.0,,,,5.0,1149.0,,,,,0.0,42.0,,
mason-jacob,"MASON, Jacob",RB/FB,,,,,,,,,,,,,0.0,17.0,1.0,,,,
mcinnis-justin,"MCINNIS, Justin",WR,,,,,,,,,,,,,7.0,1469.0,92.0,,,,
mcmahon-deonta,"MCMAHON, Deonta",RB,,,,,,1.0,,,,0.0,0.0,,1.0,237.0,30.0,4.0,287.0,,
middlemost-tyson,"MIDDLEMOST, Tyson",WR,,,,,,,0.0,,,,,,0.0,43.0,3.0,,,0.0,1.0
mills-dedrick,"MILLS, Dedrick",RB,,,,,,,,,,,,,0.0,327.0,31.0,1.0,923.0,,
mitchell-dillon,"MITCHELL, Dillon",WR,,,,,,,,,,,,,4.0,727.0,58.0,0.0,10.0,,
mtl-dst,MTL DST,DST,,1.0,,,2.0,,17.0,,,,,467.0,,,,,,48.0,
mtl-k,MTL K,K,,,34.0,1231.0,,,,,,,,,,,,,,,
mtl-qb,MTL QB,QB,,,,,,11.0,,,,26.0,4759.0,,,,,10.0,498.0,,
mackie-david,"Mackie, David",FB,,,,,,,,,,,,,0.0,52.0,6.0,7.0,114.0,,1.0
maier-jake,"Maier, Jake",QB,,,,,,14.0,,,,22.0,3841.0,,,,,0.0,46.0,,
mardner-nick,"Mardner, Nick",WR,,,,,,,,,,,,,3.0,300.0,26.0,,,,
marion-benoit,"Marion, Benoit",DL,,,,,,,,,,,,,,,,,,,1.0
mark-milton,Mark Milton,CB/DB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
mauger-quincy,"Mauger, Quincy",DB,,,,,,,,,,,,,,,,,,,4.0
mcdonald-camren,"McDonald, Camren",WR,,,,,,,,,,,,,0.0,11.0,2.0,,,,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,,,,,11.0,,,,24.0,3748.0,,,,,0.0,83.0,,
mcmanis-wynton,"McManis, Wynton",LB,,,,,,,,,,,,,,,,,,,7.0
messam-isaiah,"Messam, Isaiah",LB,,,,,,,,,,,,,,,,,,,1.0
metchie-royce,"Metchie, Royce",DB,,,,,,,,,,,,,,,,,,,5.0
meyers-dohnte,"Meyers, Dohnte",WR,,,,,,,,,,,,,1.0,248.0,16.0,,,,
michel-marken,"Michel, Marken",WR,,,,,,,,,,,,,6.0,774.0,68.0,,,,
mike-rose,Mike Rose,LB/MLB/DL,,,,,,,0.0,,,,,,,,,,,0.0,1.0
miller-jr-aubrey,"Miller Jr., Aubrey",LB,,,,,,,,,,,,,,,,,,,1.0
miller-andre,"Miller, Andre",WR,,,,,,,,,,,,,2.0,254.0,15.0,,,,
milligan-jr-rolan,"Milligan Jr., Rolan",DB,,,,,,,,,,,,,,,,,,,10.0
mital-kevin,"Mital, Kevin",WR,,,,,,,,,,,,,0.0,201.0,18.0,0.0,9.0,,
mitchell-bo-levi,"Mitchell, Bo Levi",QB,,,,,,14.0,,,,42.0,6312.0,,0.0,3.0,1.0,1.0,193.0,,1.0
moore-james,"Moore, James",OL,,,,,,,,,,,,,,,,,,,1.0
morgan-nyles,"Morgan, Nyles",LB,,,,,,,0.0,,,,,,,,,,,0.0,10.0
morrow-jamal,"Morrow, Jamal",RB,,,,,,,,,,,,,0.0,6.0,1.0,0.0,7.0,,
muembi-olivier,"Muembi, Olivier",LB,,,,,,,0.0,,,,,,,,,,,0.0,2.0
murray-najee,"Murray, Najee",CB/DB,,,,,,,0.0,,,,,,,,,,,0.0,3.0
myron-mitchell,Myron Mitchell,WR,,,,,,,0.0,,,,,,,,,,,0.0,1.0
nicastro-peter,"Nicastro, Peter",OL,,,,,,,,,,,,,,,,,,,1.0
nichols-deatrick,"Nichols, Deatrick",CB/DB,,,,,,,0.0,,,,,,,,,,,0.0,1.0
nield-tommy,"Nield, Tommy",WR,,,,,,,,,,,,,1.0,201.0,22.0,,,,
oladejo-daniel,"OLADEJO, Daniel",WR,,,,,,,,,,,,,0.0,24.0,3.0,,,,
oliveira-brady,"OLIVEIRA, Brady",RB,,,,,,,,,,,,,1.0,476.0,57.0,3.0,1353.0,,
ott-dst,OTT DST,DST,,,,,,,15.0,,,,,584.0,,,,,,28.0,
ott-k,OTT K,K,,,22.0,1869.0,,,,,,,,,,,,,,,
ott-qb,OTT QB,QB,,,,,,18.0,,,,23.0,5455.0,,,,,7.0,305.0,,
ouellette-aj,"OUELLETTE, A.J.",RB,,,,,,0.0,,1.0,,0.0,0.0,,1.0,275.0,37.0,8.0,1289.0,,
onyeka-kene,"Onyeka, Kene",DL,,,,,,,,,,,,,,,,,,,1.0
orimolade-folarin,"Orimolade, Folarin",DL,,,,,,,,,,,,,,,,,,,3.0
oleary-orange-brendan,"O’Leary-Orange, Brendan",WR,,,,,,,,,,,,,,62.0,4.0,,,,
paredes-rene,"PAREDES, Rene",K,,,33.0,1511.0,,,,,,,,,,,,,,,
philpot-jalen,"PHILPOT, Jalen",WR,,,,,,,,,,,,,3.0,659.0,66.0,0.0,115.0,,
philpot-tyson,"PHILPOT, Tyson",WR,,,,,,,,,,,,,5.0,779.0,58.0,,,,
picton-mitchell,"PICTON, Mitchell",WR,,,,,,,,,,,,,2.0,185.0,16.0,,,,
pimpleton-kalil,"PIMPLETON, Kalil",WR,,,,,,,,,,,,,3.0,715.0,45.0,0.0,7.0,,
poissant-kieran,"POISSANT, Kieran",WR,,,,,,,,,,,,,0.0,58.0,7.0,,,,
powell-taylor,"POWELL, Taylor",QB,,,,,,0.0,,,,2.0,425.0,,,,,0.0,71.0,,
parish-derek,"Parish, Derek",DE/DL,,,,,,,,,,,,,,,,,,,1.0
peirson-andrew,"Peirson, Andrew",OL,,,,,,,,,,,,,0.0,20.0,2.0,,,,
perryman-jordan,"Perryman, Jordan",DB,,,,,,,,,,,,,,,,,,,3.0
peters-garry,"Peters, Garry",DB,,,,,,,,,,,,,,,,,,,2.0
pickett-riley-2,"Pickett, Riley",LS,,,,,,,,,,,,,0.0,8.0,1.0,,,,
pierce-mason,"Pierce, Mason",DB,,,,,,,,,,,,,,,,,,,4.0
