player_id,player_name,positions,extra_point,extra_points,field_goal_yards,fumble_recoveries,fumbles_lost,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
david-ungerer-iii,David UNGERER III,WR,,,,,,,,,,,,,2.0,598.0,48.0,,,
davis-alexander,Davis ALEXANDER,QB,,,,,,3.0,,,,10.0,2024.0,,,,,1.0,110.0,
daylen-baldwin,Daylen Baldwin,WR,,,,,,,,,,,,,1.0,110.0,6.0,0.0,2.0,
dedrick-mills,Dedrick MILLS,RB,,,,,,,,,,,,,0.0,292.0,33.0,11.0,1409.0,
dejon-brissett,Dejon BRISSETT,WR,,,,,,,,,,,,,3.0,907.0,65.0,0.0,12.0,
deonta-mcmahon,Deonta MCMAHON,RB,,,,,,,,,,,,,0.0,130.0,18.0,1.0,156.0,
devonte-dedmon,Devonte DEDMON,WR/RB,,,,,,,,,,,,,0.0,-2.0,1.0,,,
dhel-duncan-busby,Dhel Duncan-Busby,WR,,,,,,,,,,,,,2.0,355.0,29.0,,,
dillon-mitchell,Dillon MITCHELL,WR,,,,,,,,,,,,,1.0,193.0,19.0,,,
dohnte-meyers,Dohnte Meyers,WR,,,,,,,,,,,,,8.0,1056.0,65.0,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,,,,,6.0,886.0,50.0,,,
dorian-anderson,Dorian Anderson,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
dru-brown,Dru Brown,QB,,,,,,10.0,,,,14.0,2389.0,,,,,0.0,18.0,
dustin-crum,Dustin CRUM,QB,,,,,,2.0,,,,6.0,1794.0,,,,,11.0,429.0,
edm-dst,EDM DST,DST,,,,,,,13.0,,,,,490.0,,,,,,24.0
edm-k,EDM K,K,37.0,2.0,1186.0,,,,,,,,,,,,,,,
edm-qb,EDM QB,QB,,,,,,10.0,,,,19.0,4392.0,,,,,9.0,481.0,
eno-benjamin,Eno BENJAMIN,RB,,,,,,,,,,,,,0.0,17.0,2.0,0.0,42.0,
erik-brooks,Erik BROOKS,WR,,,,,,,,,,,,,2.0,824.0,51.0,0.0,9.0,
eugene-lewis,Eugene LEWIS,WR,,,,,,,,,,,,,6.0,1012.0,75.0,,,
ezechiel-tieide,Ezechiel TIEIDE,WR,,,,,,,,,,,,,0.0,0.0,0.0,,,
gavin-cobb,Gavin COBB,WR,,,,,,,,,,,,,0.0,51.0,6.0,,,
greg-bell,Greg Bell,RB,,,,,,,,,,,,,1.0,426.0,63.0,5.0,1038.0,
ham-dst,HAM DST,DST,,,,,,1.0,26.0,,,,,496.0,,,,,,39.0
ham-k,HAM K,K,44.0,2.0,1707.0,,,,,,,,,,,,,,,
ham-qb,HAM QB,QB,,,,,,11.0,,,,36.0,5343.0,,,,,1.0,124.0,
hergy-mayala,Hergy Mayala,WR,,,,,,,,,,,,,0.0,40.0,3.0,,,
isaiah-knight,Isaiah KNIGHT,RB,,,,,,,,,,,,,0.0,0.0,0.0,0.0,12.0,
isaiah-wooden,Isaiah Wooden,WR,,,,,,,,,,,,,0.0,10.0,1.0,,,
jack-coan,Jack Coan,QB,,,,,,0.0,,,,0.0,38.0,,,,,3.0,40.0,
jacob-mason,Jacob MASON,FB/RB,,,,,,,,,,,,,0.0,29.0,4.0,,,
jake-herslow,Jake HERSLOW,WR,,,,,,,,,,,,,9.0,756.0,59.0,0.0,10.0,
jake-maier,Jake Maier,QB,,,,,,2.0,,,,2.0,647.0,,,,,0.0,21.0,
jalen-philpot,Jalen PHILPOT,WR,,,,,,1.0,,,,0.0,0.0,,3.0,830.0,61.0,0.0,124.0,
jalon-calhoun,Jalon Calhoun,WR,,,,,,,,,,,,,1.0,68.0,4.0,,,
james-butler,James BUTLER,RB,,,,,,,,,,,,,1.0,439.0,46.0,11.0,1214.0,
james-letcher-jr,James LETCHER JR,WR,,,,,1.0,,,,,,,,1.0,42.0,5.0,,,
james-morgan,James Morgan,QB,,,,,,4.0,,,,2.0,547.0,,,,,0.0,17.0,
janarion-grant,Janarion GRANT,WR,,,,,,0.0,,,,0.0,41.0,,0.0,5.0,3.0,0.0,3.0,
jarret-doege,Jarret DOEGE,QB,,,,,,7.0,,,,4.0,905.0,,,,,1.0,29.0,
javon-leake,Javon LEAKE,RB,,,,,,,,,,,,,0.0,113.0,13.0,1.0,215.0,
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,6.0,,,,2.0,538.0,,,,,3.0,25.0,
jermaine-jackson,Jermaine JACKSON,WR,,,,,,,,,,,,,0.0,51.0,9.0,,,
jerreth-sterns,Jerreth STERNS,WR,,,,,,,,,,,,,4.0,530.0,48.0,0.0,5.0,
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,,,,,,,,,,0.0,56.0,
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,,,,,,6.0,681.0,55.0,,,
jevoni-robinson,Jevoni Robinson,TE/WR,,,,,,,,,,,,,2.0,214.0,14.0,,,
joe-robustelli,Joe Robustelli,WR,,,,,,,,,,,,,3.0,544.0,38.0,0.0,2.0,
joey-corcoran,Joey CORCORAN,WR,,,,,,,,,,,,,0.0,88.0,10.0,,,
johnny-augustine,Johnny AUGUSTINE,RB,,,,,,,,,,,,,0.0,144.0,13.0,0.0,242.0,
jose-maltos,Jose MALTOS,K,32.0,,1975.0,,,,,,,,,,,,,,,
josh-love,Josh Love,QB,,,,,,0.0,,,,0.0,67.0,,,,,,,
justin-hardy,Justin HARDY,WR,,,,,,1.0,,,,0.0,0.0,,8.0,1019.0,78.0,0.0,18.0,
justin-mcinnis,Justin MCINNIS,WR,,,,,,,,,,,,,7.0,1256.0,76.0,,,
justin-rankin,Justin Rankin,RB,,,,,,,,,,,,,4.0,713.0,56.0,9.0,1013.0,
kadeem-carey,Ka\'Deem CAREY,RB,,,,,,,,,,,,,,9.0,1.0,,41.0,
kaion-julien-grant,Kaion JULIEN-GRANT,WR,,,,,,,,,,,,,7.0,820.0,57.0,0.0,14.0,
kalil-pimpleton,Kalil PIMPLETON,WR,,,,,,,,,,,,,1.0,722.0,68.0,0.0,12.0,
kaylon-horton,Kaylon Horton,WR,,,,,,,,,,,,,0.0,21.0,1.0,0.0,-3.0,
kearis-jackson,Kearis Jackson,WR,,,,,,,,,,,,,0.0,24.0,3.0,,,
keaton-bruggeling,Keaton BRUGGELING,WR,,,,,,,,,,,,,0.0,64.0,8.0,,,
keesean-johnson,KeeSean Johnson,WR,,,,,,,,,,,,,4.0,1159.0,86.0,0.0,6.0,
keelan-white,Keelan WHITE,WR,,,,,,,,,,,,,2.0,482.0,46.0,,,
kenny-lawler,Kenny Lawler,WR,,,,,,,,,,,,,14.0,1443.0,86.0,,,
keon-hatcher,Keon HATCHER,WR,,,,,,,,,,,,,9.0,1688.0,102.0,,,
keric-wheatfall,Keric Wheatfall,WR,,,,,,,,,,,,,4.0,655.0,42.0,,,
kevens-clercius,Kevens Clercius,WR,,,,,,,,,,,,,0.0,411.0,40.0,,,
kevin-brown,Kevin BROWN,RB,,,,,,,,,,,,,0.0,32.0,5.0,1.0,50.0,
kevin-mital,Kevin Mital,WR,,,,,,,,,,,,,4.0,873.0,101.0,0.0,41.0,
kian-schaffer-baker,Kian SCHAFFER-BAKER,WR,,,,,,,,,,,,,0.0,177.0,15.0,0.0,1.0,
kieran-poissant,Kieran POISSANT,WR,,,,,,,,,,,,,0.0,65.0,7.0,,,
kiondre-smith,Kiondre SMITH,WR,,,,,,,,,,,,,5.0,1126.0,86.0,0.0,-5.0,
kody-case,Kody Case,WR,,,,,,,,,,,,,1.0,10.0,2.0,0.0,28.0,
kurleigh-gittens-jr,Kurleigh GITTENS JR.,WR,,,,,,,,,,,,,4.0,777.0,62.0,,5.0,
lewis-ward,Lewis Ward,K,31.0,,1152.0,,,,,,,,,,,,,,,
lirim-hajrullahu,Lirim Hajrullahu,K,33.0,,2016.0,,,,,,,,,,,,,,,
ludovick-choquette,Ludovick CHOQUETTE,RB,,,,,,,,,,,,,0.0,2.0,5.0,1.0,237.0,
luther-hakunavanhu,Luther HAKUNAVANHU,WR,,,,,,,,,,,,,0.0,5.0,1.0,,,
mtl-dst,MTL DST,DST,,,,,,,18.0,,,,,451.0,,,,,,45.0
mtl-k,MTL K,K,32.0,,1975.0,,,,,,,,,,,,,,,
mtl-qb,MTL QB,QB,,,,,,15.0,,,,21.0,4371.0,,,,,2.0,184.0,
marc-liegghio,Marc LIEGGHIO,K,44.0,,1507.0,,,,,,,,,,,,,,,
marco-dubois,Marco DUBOIS,FB/WR,,,,,,,,,,,,,0.0,38.0,2.0,,,
mario-anderson,Mario Anderson,RB,,,,,,,,,,,,,0.0,13.0,4.0,2.0,134.0,
matt-shiltz,Matt SHILTZ,QB,,,,,,7.0,,,,1.0,283.0,,,,,1.0,31.0,
matthew-peterson,Matthew Peterson,RB,,,,,,,,,,,,,0.0,51.0,10.0,1.0,329.0,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,,,,,9.0,,,,9.0,1746.0,,,,,0.0,62.0,
michael-chris-ike,Michael CHRIS-IKE,RB,,,,,,,,,,,,,0.0,28.0,3.0,0.0,69.0,
mitchell-picton,Mitchell PICTON,WR,,,,,,,,,,,,,0.0,226.0,20.0,,,
miyan-williams,Miyan Williams,RB,,,,,,,,,,,,,,70.0,12.0,,102.0,
morgen-runge,Morgen RUNGE,FB/RB,,,,,,,,,,,,,0.0,4.0,1.0,,,
nathan-rourke,Nathan ROURKE,QB,,,,,,16.0,,,,31.0,5290.0,,0.0,-2.0,1.0,10.0,564.0,
nic-demski,Nic DEMSKI,WR,,,,,,,,,,,,,7.0,1001.0,67.0,0.0,67.0,
nick-arbuckle,Nick ARBUCKLE,QB,,,,,,15.0,,,,26.0,4357.0,,,,,2.0,161.0,
ott-dst,OTT DST,DST,,,,,,1.0,14.0,,,,,537.0,,,,,,24.0
ott-k,OTT K,K,31.0,2.0,1175.0,,,,,,2.0,,,,,,,,,
ott-qb,OTT QB,QB,,,,,,25.0,,,,25.0,4848.0,,,,,12.0,513.0,
odieu-hiliare,Odieu Hiliare,WR,,,,,,,,,,,,,,400.0,32.0,,,
ontaria-wilson,Ontaria Wilson,WR,,,,,,,,,,,,,3.0,382.0,21.0,0.0,17.0,
pj-walker,P.J. WALKER,QB,,,,,,4.0,,,,2.0,395.0,,,,,,29.0,
quinton-cooley,Quinton COOLEY,RB,,,,,,,,,,,,,0.0,5.0,2.0,0.0,62.0,
reggie-begelton,Reggie BEGELTON,WR,,,,,,,,,,,,,0.0,65.0,6.0,,,
regis-cibasu,Regis CIBASU,FB/WR,,,,,,,,,,,,,0.0,80.0,14.0,,,
rene-paredes-2,Rene PAREDES,K,38.0,,1295.0,,,0.0,,,,0.0,0.0,,,,,,,
ssk-dst,SSK DST,DST,,,,,,1.0,23.0,,,,,409.0,,,,,,43.0
ssk-k,SSK K,K,32.0,2.0,1395.0,,,,,,,,,,,,,,,
ssk-qb,SSK QB,QB,,,,,,13.0,,,,26.0,5205.0,,,,,7.0,296.0,
samuel-emilus,Samuel Emilus,WR,,,,,,,,,,,,,2.0,588.0,37.0,0.0,11.0,
sean-thomas-erlington,Sean THOMAS ERLINGTON,RB,,,,,,,,,,,,,1.0,53.0,7.0,2.0,366.0,
sean-whyte,Sean WHYTE,K,47.0,,1215.0,,,,,,,,,,,,,,,
sergio-castillo,Sergio CASTILLO,K,38.0,,1554.0,,,,,,,,,,,,,,,
shemar-bridges,Shemar BRIDGES,WR,,,,,,,,,,,,,2.0,361.0,34.0,,,
spencer-brown,Spencer BROWN,OT/RB,,,,,,,,,,,,,1.0,256.0,39.0,0.0,225.0,
stanley-berryhill,Stanley BERRYHILL,WR,,,,,1.0,,,,,,,,6.0,713.0,54.0,,,
steven-dunbar-jr,Steven Dunbar Jr.,WR,,,,,,,,,,,,,2.0,511.0,44.0,,20.0,
stevie-scott-iii,Stevie Scott III,RB,,,,,,,,,,,,,,116.0,15.0,1.0,418.0,
tor-dst,TOR DST,DST,,,,1.0,,1.0,17.0,,,,,583.0,,,,,,41.0
tor-k,TOR K,K,33.0,,2016.0,,,,,,,,,,,,,,,
tor-qb,TOR QB,QB,,,,,,23.0,,1.0,,31.0,5473.0,,,,,3.0,236.0,
tanner-green,Tanner GREEN,FB/RB,,,,,,,,,,,,,0.0,56.0,5.0,,,
taylor-powell,Taylor POWELL,QB,,,,,,0.0,,,,0.0,47.0,,,,,,,
terry-wilson,Terry Wilson,QB,,,,,,1.0,,,,0.0,79.0,,,,,1.0,78.0,
tevin-jones,Tevin JONES,WR,,,,,,,,,,,,,4.0,618.0,47.0,0.0,8.0,
thomas-bertrand-hudon,Thomas Bertrand-Hudon,RB,,,,,,,,,,,,,1.0,38.0,6.0,1.0,166.0,
tim-white,Tim White,WR,,,,,,,,,,,,,7.0,1016.0,84.0,0.0,90.0,
tiyon-jr-evans,Tiyon Jr. EVANS,RB,,,,,,,,,,,,,,9.0,2.0,,31.0,
tommy-nield,Tommy Nield,WR,,,,,,,,,,,,,5.0,535.0,42.0,,,
tommy-stevens,Tommy STEVENS,QB,,,,,,0.0,,,,0.0,1.0,,,,,5.0,183.0,
travis-theis,Travis THEIS,RB,,,,,,,,,,,,,0.0,162.0,19.0,0.0,365.0,
tre-ford,Tre Ford,QB,,,,,,3.0,,,,5.0,984.0,,,,,1.0,152.0,
treshaun-ward,Treshaun Ward,RB,,,,,,,,,,,,,0.0,37.0,6.0,1.0,34.0,
trevor-harris,Trevor HARRIS,QB,,,,,,11.0,,,,24.0,4549.0,,,,,0.0,53.0,
tucker-horn,Tucker Horn,QB,,,,,,1.0,,,,0.0,53.0,,,,,0.0,0.0,
tyler-snead,Tyler SNEAD,WR,,,,,,0.0,,,,0.0,44.0,,4.0,1129.0,84.0,0.0,11.0,
tyler-ternowski,Tyler TERNOWSKI,WR,,,,,,,,,,,,,1.0,119.0,11.0,,,
tyrie-adams,Tyrie ADAMS,QB,,,,,,5.0,,,,4.0,405.0,,,,,0.0,35.0,
tyson-middlemost,Tyson MIDDLEMOST,WR,,,,,,,,,,,,,0.0,34.0,5.0,,,
tyson-philpot,Tyson PHILPOT,WR,,,,,,,,,,,,,5.0,804.0,61.0,0.0,9.0,
vernon-adams-jr,Vernon ADAMS JR.,QB,,,,,,14.0,,,,21.0,4247.0,,,,,2.0,332.0,
vincent-blanchard,Vincent Blanchard,K,37.0,,1046.0,,,,,,,,,,,,,,,
vyshonne-janusas,Vyshonne JANUSAS,WR,,,,,,,,,,,,,0.0,14.0,2.0,,,
wpg-dst,WPG DST,DST,,,,,,,9.0,,,,,386.0,,,,,,21.0
wpg-k,WPG K,K,38.0,,1554.0,,,,,,,,,,,,,,,
wpg-qb,WPG QB,QB,,,,,,28.0,,,,23.0,4230.0,,,,,11.0,509.0,
william-langlais,William LANGLAIS,RB,,,,,,,,,,,,,0.0,16.0,1.0,,,
william-stanback,William STANBACK,RB,,,,,,,,,,,,,1.0,278.0,37.0,4.0,698.0,
zach-collaros,Zach COLLAROS,QB,,,,,,16.0,,,,17.0,3048.0,,,,,1.0,130.0,
zach-mathis,Zach Mathis,WR,,,,,,,,,,,,,0.0,117.0,14.0,,,
zander-horvath,Zander HORVATH,RB,,,,,,,,,,,,,0.0,47.0,2.0,2.0,231.0,
