player_id,player_name,positions,extra_point,field_goal_yards,interceptions_lost,lost_fumbles,missed,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,receving_tds,rushing_tds,rushing_yards
rudy-johnson,Rudy Johnson,QB,,,2.0,,,8.0,624.0,,,,,,13.0
ryan-hibbits,Ryan Hibbits,K,3.0,26.0,,,,,,,,,,,
sam-castronova,Sam Castronova,QB,,,,,,12.0,568.0,,,,,3.0,21.0
sammy-edwards,Sammy Edwards,QB,,,,,,,,,,,,5.0,17.0
shane-hooks,Shane Hooks,WR,,,,,,,23.0,1.0,36.0,2.0,,,
shannon-brooks,Shannon Brooks,RB,,,,1.0,,,,,27.0,1.0,,,70.0
shiloh-flanagan,Shiloh Flanagan,WR,,,,,,,,3.0,103.0,9.0,,,
spencer-shrader,Spencer Shrader,PK/QB,,,3.0,,,5.0,291.0,,,,,,1.0
spencer-tears,Spencer Tears,WR,,,,,,,,1.0,39.0,6.0,,,
steven-peterson,Steven Peterson,WR,,,,,,,,1.0,54.0,5.0,,,
tj-edwards-ii,TJ Edwards II,QB,,,,,,6.0,270.0,,,,,1.0,42.0
tajae-brooks,Tajae Brooks,WR,,,,,,,,4.0,115.0,8.0,,,
tamorrion-terry,Tamorrion Terry,WR,,,,,,,,1.0,22.0,3.0,,,2.0
taron-keith,Taron Keith,WR,,,,,,,,1.0,28.0,2.0,,,
tasleem-wilson,Tasleem Wilson,QB,,,3.0,,,3.0,185.0,,,,,1.0,64.0
tavion-thomas,Tavion Thomas,RB,,,,,,,,,4.0,1.0,,,10.0
teo-redding,Teo Redding,WR,,,,,,,,1.0,65.0,8.0,,,
terrell-brown,Terrell Brown,WR,,,,,,,,1.0,145.0,14.0,,,
terrell-carey,Terrell Carey,WR,,,,,,,,2.0,101.0,5.0,,,
thomas-owens,Thomas Owens,WR,,,,,,,,1.0,64.0,6.0,,,-5.0
travis-whitlock,Travis Whitlock,RB,,,,,,,,,12.0,1.0,,,11.0
tre-odoms-dukes,Tre Odoms-Dukes,WR,,,,,,,,,28.0,2.0,,,
trevon-alexander,Trevon Alexander,WR,,,,,,,,4.0,126.0,6.0,,1.0,2.0
trevonte-long,Trevonte Long,WR,,,,,,,,1.0,104.0,13.0,,,
tripp-harrington,Tripp Harrington,WR,,,,,,,,1.0,48.0,5.0,,,
tyler-huettel,Tyler Huettel,K,7.0,32.0,,,3.0,,,,,,,,
tyler-kennedy,Tyler Kennedy,WR,,,,,,,,4.0,195.0,13.0,,,
tyler-kulka,Tyler Kulka,QB,,,1.0,,,12.0,518.0,,,,,1.0,-3.0
tyler-stevens,Tyler Stevens,WR,,,,,,,,2.0,47.0,2.0,,,
tyrell-greene-jr,Tyrell Greene Jr.,RB,,,,,,,,,49.0,5.0,,1.0,41.0
tyriq-starks,Tyriq Starks,QB,,,,,,,,,,,,,-5.0
tyron-laughinghouse,Tyron Laughinghouse,ATH/WR,,,,,,,,1.0,41.0,4.0,,,
undra-hendrix,Undra Hendrix,RB,,,,,,,,,,,,,4.0
vance-bennett,Vance Bennett,WR,,,,,,,,,27.0,2.0,,,
vincent-strange-jr,Vincent Strange Jr.,WR,,,,,,,,1.0,31.0,5.0,,,
vincent-wilkerson-ii,Vincent Wilkerson II,WR,,,,,,,,,30.0,5.0,,1.0,44.0
will-caviness,Will Caviness,K,,36.0,,,,,,,,,,,
zach-peterson,Zach Peterson,WR,,,,,,,,,9.0,1.0,,,
zuri-davis,Zuri Davis,WR,,,,,,,,4.0,76.0,12.0,,1.0,33.0
