player_id,player_name,positions,conversions,dst_touchdown,dst_touchdowns,extra_point,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sack,sacks,tackles
deontai-williams,Deontai Williams,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,28.0
deontez-alexander,Deontez Alexander,WR,,,,,,,,0.0,,,,,,0.0,0.0,0.0,,,,0.0,0.0
derek-wiggan,Derek Wiggan,DB/DL,,,,,,,,0.0,,,,,,,,,,,,3.0,9.0
derel-walker,Derel Walker,WR,,,,,,,,,,,,,,1.0,42.0,6.0,,,,,2.0
derrick-moncrief,Derrick Moncrief,LB,,,,,,,,0.0,,,,,,,,,,,,0.0,36.0
derrius-brooks,Derrius Brooks,DB,,,,,,,,,,,,,,,,,,,,,1.0
deshawn-stevens,Deshawn Stevens,LB,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0
devonte-dedmon,Devonte DEDMON,WR/RB,,,,,,,,,,,,,,,,,0.0,-3.0,,,
devonte-williams,Devonte Williams,RB,,,,,,,,,,,,,,0.0,326.0,37.0,4.0,1004.0,,,
dewayne-hendrix,Dewayne Hendrix,DB/DL,,,,,,,,0.0,,,,,,,,,,,,1.0,11.0
dillon-mitchell,Dillon MITCHELL,WR,,,,,,,,,,,,,,4.0,533.0,36.0,,,,,
dionte-ruffin,Dionté Ruffin,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,17.0
dishon-mcnary,Dishon McNary,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0
dominique-davis,Dominique Davis,QB,,,,,,,0.0,,,,0.0,74.0,,,,,4.0,77.0,,,
dominique-rhymes,Dominique RHYMES,WR,,,,,,,,,,,,,,6.0,544.0,35.0,,,,,
donovan-olumba,Donovan Olumba,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,6.0
drew-desjarlais,Drew Desjarlais,OL,,,,,,,,0.0,,,,,,,,,,,,0.0,1.0
drew-wolitarsky,Drew WOLITARSKY,WR,,,,,,,,,,,,,,6.0,668.0,47.0,,,,,
dru-brown,Dru Brown,QB,,,,,,,1.0,,,,9.0,1002.0,,,,,2.0,45.0,,,
dustin-crum,Dustin CRUM,QB,,,,,,,12.0,0.0,,,10.0,3106.0,,,,,9.0,712.0,,0.0,1.0
dylan-wynn,Dylan Wynn,DB/DT,,,,,,,,0.0,,,,,,,,,,,,1.0,4.0
edm-dst,EDM DST,DST,,,,,,,,3.0,,,,,517.0,,,,,,,39.0,
edm-k,EDM K,K,,,,31.0,608.0,,,,,3.0,,,,,,,,,,,
edm-qb,EDM QB,QB,,,,,,,15.0,,,,18.0,3361.0,,,,,6.0,772.0,,,
ed-gainey,Ed Gainey,DB,,,,,,,,0.0,,,,,,,,,,,,1.0,32.0
ed-williams,Ed Williams,WR,,,,,,,,,,,,,,,,,,,,,8.0
eli-mencer,Eli Mencer,DL,,,,,,,,0.0,,,,,,,,,,,,0.0,1.0
elliot-graham,Elliot Graham,DL,,,,,,,,0.0,,,,,,,,,,,,0.0,2.0
elliott-brown,Elliott Brown,DL,,,,,,,,0.0,,,,,,,,,,,,2.0,6.0
emmanuel-arceneaux,Emmanuel Arceneaux,WR/SB,,,,,,,,,,,,,,0.0,319.0,25.0,,,,,
emmanuel-rugamba,Emmanuel Rugamba,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,35.0
enoch-penney-laryea,Enoch Penney-Laryea,LB,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0
enock-makonzo,Enock Makonzo,DB/LB,,,,,,,,0.0,,,,,,,,,,,,0.0,7.0
eric-lofton,Eric Lofton,OL,,,,,,,,0.0,,,,,,,,,,,,0.0,1.0
eugene-lewis,Eugene LEWIS,WR,,,,,,,,0.0,,,,,,3.0,854.0,46.0,,,,0.0,1.0
evan-holm,Evan Holm,DB,,,,,,,,2.0,,,,,,,,,,,,2.0,40.0
felix-garand-gauthier,Felix Garand-Gauthier,FB,,,,,,,0.0,0.0,,,0.0,0.0,,0.0,54.0,6.0,,,,0.0,0.0
floyd-allen,Floyd Allen,WR,,,,,,,,,,,,,,1.0,44.0,4.0,,,,,
folarin-orimolade,Folarin Orimolade,DL,,,,,,,,0.0,,,,,,,,,,,,5.0,17.0
francis-bemiy,Francis Bemiy,DL,,,,,,,,0.0,,,,,,,,,,,,0.0,5.0
frankie-griffin,Frankie Griffin,LB,,,,,,,,0.0,,,,,,,,,,,,0.0,40.0
frankie-hickson,Frankie Hickson,RB,,,,,,,,0.0,,,,,,0.0,39.0,4.0,0.0,141.0,,0.0,0.0
frankie-williams,Frankie Williams,DB,,,,,,,,,,,,,,,,,,,,,5.0
fraser-sopik,Fraser Sopik,LB,,,,,,,,0.0,,,,,,,,,,,,0.0,2.0
frederic-chagnon,Frederic Chagnon,LB,,,,,,,,0.0,,,,,,,,,,,,0.0,19.0
garry-peters,Garry Peters,DB,,,,,,,,2.0,,,,,,,,,,,,0.0,27.0
gavin-cobb,Gavin COBB,WR,,,,,,,,0.0,,,,,,1.0,214.0,11.0,,,,0.0,1.0
godfrey-onyeka,Godfrey Onyeka,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0
gordon-whyte,Gordon Whyte,LS,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0
greg-ellingson,Greg Ellingson,WR,,,,,,,,,,,,,,0.0,10.0,1.0,,,,,
greg-mccrae,Greg McCrae,RB,,,,,,,,,,,,,,2.0,182.0,15.0,0.0,146.0,,,
ham-dst,HAM DST,DST,,,,,,,,5.0,,,,,461.0,,,,,,,41.0,
ham-k,HAM K,K,,,,30.0,1227.0,,,,,6.0,,,,,,,,,,,
ham-qb,HAM QB,QB,,,,,,,21.0,,,,20.0,4544.0,,,,,3.0,370.0,,,
hakeem-bailey,Hakeem Bailey,DB,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,
hayden-moore,Hayden Moore,QB,,,,,,,,,,,,,,,,,,,,,2.0
hergy-mayala,Hergy Mayala,WR,,,,,,,,0.0,,,,,,0.0,131.0,8.0,,,,0.0,0.0
hunter-steward,Hunter Steward,OL,,,,,,,,0.0,,,,,,,,,,,,0.0,1.0
isaac-adeyemi-berglund,Isaac Adeyemi-Berglund,DL,,,,,,,,0.0,,,,,,,,,,,,3.0,17.0
isaiah-messam,Isaiah Messam,LB,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0
isiah-cage,Isiah Cage,OL,,,,,,,,0.0,,,,,,,,,,,,0.0,1.0
israel-antwine,Israel Antwine,DT,,,,,,,,0.0,,,,,,,,,,,,0.0,1.0
j-min-pelley,J-Min Pelley,DL,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0
ja39gared-davis,Ja&#39;Gared Davis,DE/DL,,,,,,,,,,,,,,,,,,,,,2.0
jack-cassar,Jack Cassar,LB,,,,,,,,0.0,,,,,,,,,,,,0.0,2.0
jack-hinsperger,Jack Hinsperger,LB,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0
jackson-bennett,Jackson Bennett,RB,,,,,,,,0.0,,,,,,1.0,51.0,5.0,0.0,144.0,,0.0,0.0
jackson-jeffcoat,Jackson Jeffcoat,DE/DB,,,,,,,,0.0,,,,,,,,,,,,4.0,15.0
jacob-plamondon,Jacob Plamondon,DL,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0
jacob-ruby,Jacob Ruby,OL,,,,,,,,0.0,,,,,,,,,,,,0.0,4.0
jaelon-acklin,Jaelon Acklin,WR,,,,,,,,0.0,,,,,,1.0,892.0,67.0,0.0,0.0,,0.0,3.0
jake-ceresna,Jake Ceresna,DB/DL,,,,,,,,0.0,,,,,,,,,,,,10.0,43.0
jake-dolegala,Jake Dolegala,QB,,,,,,,9.0,0.0,,,11.0,2641.0,,,,,1.0,96.0,,0.0,3.0
jake-harty,Jake Harty,WR,,,,,,,,0.0,,,,,,0.0,36.0,4.0,,,,0.0,1.0
jake-julien,Jake Julien,P,,,,,,,,0.0,,,,,,0.0,8.0,1.0,,,,0.0,1.0
jake-kelly,Jake Kelly,DB,,,,,,,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0
jake-maier,Jake Maier,QB,,,,,,,15.0,,,,19.0,4238.0,,0.0,2.0,1.0,3.0,108.0,,,
jake-thomas,Jake Thomas,DB/DT,,,,,,,,0.0,,,,,,,,,,,,3.0,14.0
jake-wieneke,Jake Wieneke,WR,,,,,,,,,,,,,,0.0,175.0,17.0,,,,,
jalon-edwards-cooper,Jalon Edwards-Cooper,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,20.0
jamal-morrow,Jamal Morrow,RB,,,,,,,,,,,,,,1.0,343.0,36.0,4.0,912.0,,,
jamal-parker,Jamal Parker,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,13.0
jamal-peters,Jamal Peters,DB,,,,,,,,3.0,,,,,,0.0,0.0,0.0,,,,0.0,16.0
jameer-thurman,Jameer Thurman,DB/LB,,,,,,,,2.0,,,,,,,,,,,1.0,5.0,103.0
james-butler,James BUTLER,RB,,,,,,,,0.0,1.0,,,,,1.0,527.0,61.0,7.0,1116.0,,0.0,2.0
james-graham,James Graham,LB,,,,,,,,,,,,,,,,,,,,,1.0
james-peter,James Peter,LB,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0
james-tuck,James Tuck,FB,,,,,,,,0.0,,,,,,0.0,57.0,9.0,,,,0.0,1.0
james-vaughters,James Vaughters,DB/DL,,,,,,,,,,,,,,,,,,,,5.0,18.0
jamie-harry,Jamie Harry,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,12.0
janarion-grant,Janarion GRANT,WR,,,,,,,,,,,,,,1.0,36.0,4.0,0.0,15.0,,,
jared-brinkman,Jared Brinkman,DL,,,,,,,,0.0,,,,,,,,,,,,2.0,8.0
jarell-broxton,Jarell Broxton,OL,,,,,,,,0.0,,,,,,,,,,,,0.0,1.0
jarret-doege,Jarret DOEGE,QB,,,,,,,4.0,,,,4.0,587.0,,,,,0.0,12.0,,,
javien-elliott,Javien Elliott,DB,,,,,,,,2.0,,,,,,,,,,,,0.0,17.0
javon-leake,Javon LEAKE,RB,,,,,,,,,,,,,,0.0,-2.0,1.0,0.0,20.0,,,
jaxon-ford,Jaxon Ford,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,12.0
jayden-dalke,Jayden Dalke,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,29.0
jeremiah-haydel,Jeremiah Haydel,WR,,,,,,,,,,,,,,0.0,56.0,4.0,,,,,
jeremiah-johnson-2,Jeremiah Johnson,RB,,,,,,,,,,,,,,,,,,,,,3.0
jeremiah-masoli,Jeremiah MASOLI,QB,,,,,,,1.0,,,,0.0,37.0,,,,,,,,,
jeremie-dominique,Jeremie Dominique,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,3.0
jeremy-clark,Jeremy Clark,DB,,,,,,,,1.0,,,,,,,,,,,,1.0,19.0
jeremy-murphy,Jeremy Murphy,WR,,,,,,,,,,,,,,0.0,7.0,1.0,,,,,
jermaine-kelly-jr,Jermaine Kelly Jr.,DB/CB,,,,,,,,,,,,,,,,,,,,,1.0
jermarcus-hardrick,Jermarcus Hardrick,OL,,,,,,,,0.0,,,,,,,,,,,,0.0,1.0
jeshrun-antwi,Jeshrun ANTWI,RB,,,,,,,,0.0,,,,,,0.0,75.0,11.0,1.0,235.0,,0.0,1.0
jesse-briggs,Jesse Briggs,LB,,,,,,,,0.0,,,,,,,,,,,,0.0,1.0
jevon-cottoy,Jevon COTTOY,WR,,,,,,,,0.0,,,,,,4.0,754.0,53.0,,,,0.0,2.0
johnny-augustine,Johnny AUGUSTINE,RB,,,,,,,,0.0,,,,,,0.0,6.0,1.0,0.0,267.0,,0.0,3.0
jonathan-edouard,Jonathan Edouard,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,5.0
jonathan-jones,Jonathan Jones,CB/LB,,,,,,,,0.0,,,,,,,,,,,,4.0,27.0
jonathan-kongbo,Jonathan Kongbo,DE/DB,,,,,,,,0.0,,,,,,,,,,,,0.0,7.0
jonathan-moxey,Jonathan Moxey,DB,,,,,,,,0.0,,,,,,,,,,,,0.0,15.0
jonte-green,Jonte Green,DB,,,,,,,,,,,,,,,,,,,,,1.0
