player_id,player_name,positions,assist_tackles,completions,fg_0_19,fg_20_29,fg_30_39,fg_40_49,fg_50plus,fg_att_game,int_long,int_tds,int_yards,interceptions_lost,interceptions_made,kick_returns,kr_long,kr_tds,kr_yards,pass_attempts,passing_tds,passing_yards,pr_fc,pr_long,pr_yards,punt_avg,punt_long,punt_returns,punt_tb,punt_yards,punts,punts_blocked,punts_in20,receiving_tds,receiving_yards,receptions,rush_attempts,rushing_tds,rushing_yards,sacks,solo_tackles,tackles,targets
austin-rehkow,Austin Rehkow,P,,,,,,,,,,,,,,,,,,,,,,,,204.6,260.0,,,785.0,19.0,65.0,12.0,,,,,,,,,,
austin-walter,Austin Walter,WR,,,,,,,,,,,,,,17.0,179.0,1.0,431.0,,,,,,,,,,,,,,,,31.0,2.0,4.0,,19.0,,,,1.0
ayodeji-olatoye,Ayodeji Olatoye,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,
bj-daniels,B.J. Daniels,QB,,19.0,,,,,,,,,,1.0,,,,,,33.0,1.0,214.0,,,,,,,,,,,,,,,17.0,2.0,114.0,,,,
ben-heeney,Ben Heeney,DB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,30.0,
ben-johnson,Ben Johnson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,4.0,,,,,,,2.0
beniquez-brown,Beniquez Brown,DB/LB,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,40.0,
blake-jackson,Blake Jackson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,50.0,5.0,,,,,,,2.0
bobby-richardson,Bobby Richardson,DB/DT,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,13.0,
bradley-sylve,Bradley Sylve,CB/DB,1.0,,,,,,,,69.0,1.0,69.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
brandon-barnes,Brandon Barnes,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,133.0,12.0,,,,,,,7.0
brandon-reilly,Brandon Reilly,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,7.0,1.0,,3.0,,,,5.0
brandon-silvers,Brandon Silvers,QB,,53.0,,,,,,,,,,4.0,,,,,,102.0,6.0,539.0,,,,,,,,,,,,,,,6.0,,16.0,,,,
brian-khoury,Brian Khoury,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
brock-miller,Brock Miller,P,,,,,,,,,,,,,,,,,,,,,,,,213.6,260.0,,1.0,969.0,23.0,90.0,14.0,,,,,,,,1.0,1.0,
bryce-canady,Bryce Canady,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
bryce-jones,Bryce Jones,DB,3.0,,,,,,,,20.0,,20.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,17.0,
bunmi-rotimi,Bunmi Rotimi,DB/DL/DT/OLB,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,26.0,
cam-phillips,Cam Phillips,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,455.0,31.0,,,,,,,23.0
cameron-artis-payne,Cameron Artis-Payne,RB,,1.0,,,,,,,,,,,,,,,,1.0,,10.0,,,,,,,,,,,,,101.0,23.0,47.0,2.0,241.0,,,,5.0
cardale-jones,Cardale Jones,QB,,61.0,,,,,,,,,,7.0,,,,,,113.0,4.0,674.0,,,,,,,,,,,,,,,16.0,,61.0,,,,
carl-bradford,Carl Bradford,DB/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,6.0,
carlos-merritt,Carlos Merritt,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,
carlton-agudosi,Carlton Agudosi,WR,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,2.0,,,,,2.0,4.0,1.0
casey-sayles,Casey Sayles,DB/DT,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,12.0,
caushaud-lyons,Caushaud Lyons,DB/DT,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,12.0,
cavon-walker,Cavon Walker,DB/DE,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,11.0,19.0,
cedric-reed,Cedric Reed,DB/DL,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,14.0,
chad-kanoff,Chad Kanoff,QB,,21.0,,,,,,,,,,1.0,,,,,,39.0,1.0,214.0,,,,,,,,,,,,,,,4.0,1.0,21.0,,,,
channing-stribling,Channing Stribling,CB/DB,3.0,,,,,,,,2.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,14.0,
channing-ward,Channing Ward,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,
charles-james,Charles James,DB,2.0,,,,,,,,,,,,,1.0,18.0,,18.0,,,,,,,,,,,,,,,,,,,,,,6.0,8.0,
charles-wright,Charles Wright,DB/DL/LB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,
christian-kuntz,Christian Kuntz,LS,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
christine-michael,Christine Michael,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,4.0,59.0,1.0,178.0,,,,
cody-brown,Cody Brown,DB/S/SAF,5.0,,,,,,,,87.0,,87.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,28.0,
colby-pearson,Colby Pearson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,223.0,16.0,,,,,,,7.0
colin-jeter,Colin Jeter,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,,,,,1.0,1.0,
colin-thompson,Colin Thompson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,1.0,,,,,,,1.0
colton-taylor,Colton Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
connor-hamlett,Connor Hamlett,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,4.0,,,,,,,
corey-crawford,Corey Crawford,DB/OL/DL,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,9.0,16.0,
corey-moore,Corey Moore,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
corrion-ballard,Corrion Ballard,DB/FS/S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
dmontre-wade,D'Montre Wade,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,10.0,
dc-defenders,DC Defenders,,,,,,,,,,96.0,328.0,72.0,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
djuan-hines,D\'Juan Hines,DB/LB/OLB,13.0,,,,,,,,3.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,19.0,
dallas,Dallas,,,,,,,,,,124.0,360.0,92.0,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
daniel-williams,Daniel Williams,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,338.0,23.0,,,,,,,16.0
darius-hillary,Darius Hillary,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,18.0,
darius-victor,Darius Victor,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,6.0,55.0,,238.0,,,,2.0
dashaun-phillips,Dashaun Phillips,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,
david-rivers,David Rivers,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,10.0,
davonte-lambert,Davonte Lambert,DB/DL/DT,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,
deangelo-henderson,De'Angelo Henderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,-6.0,,,,
demornay-pierson-el,De'Mornay Pierson-El,,,,,,,,,,,,,,,,,,,,,,3.0,50.0,73.0,,,12.0,,,,,,2.0,209.0,23.0,1.0,,1.0,,,,12.0
deandre-thompkins,DeAndre Thompkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,85.0,7.0,2.0,,33.0,,,,4.0
demarquis-gates,DeMarquis Gates,DB/LB,7.0,,,,,,,,9.0,,9.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,25.0,32.0,
dequan-hampton,De\'Quan Hampton,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,26.0,4.0,,,,,,,2.0
deveon-smith,De\'Veon Smith,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,7.0,90.0,,365.0,,2.0,2.0,4.0
deandre-goolsby,Deandre Goolsby,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,76.0,5.0,,,,,1.0,1.0,5.0
deatrick-nichols,Deatrick Nichols,CB/DB,8.0,,,,,,,,32.0,,35.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,17.0,25.0,
deion-harris,Deion Harris,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,
deion-holliman,Deion Holliman,WR,,,,,,,,,,,,,,8.0,46.0,,154.0,,,,,9.0,18.0,,,2.0,,,,,,,,,,,,,,,
deiontrez-mount,Deiontrez Mount,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,
demetrious-cox,Demetrious Cox,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6.0,
demontre-hurst,Demontre Hurst,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,
derrick-hayward,Derrick Hayward,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,1.0,,,,,,,1.0
derrick-jones,Derrick Jones,CB/DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
derron-smith,Derron Smith,DB,3.0,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,16.0,
des-lawrence,Des Lawrence,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,18.0,
devin-taylor,Devin Taylor,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,5.0,8.0,
dewayne-hendrix,Dewayne Hendrix,DB/DL,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,
dexter-mccoil,Dexter McCoil,DB/LB,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,23.0,39.0,
donald-parham,Donald Parham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,307.0,24.0,,,,,,,15.0
donatello-brown,Donatello Brown,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,18.0,
donnel-pumphrey,Donnel Pumphrey,RB,,,,,,,,,,,,,,6.0,63.0,,127.0,,,,,,,,,,,,,,,,68.0,9.0,46.0,,168.0,,,,4.0
donnie-ernsberger,Donnie Ernsberger,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,1.0,,,,,2.0,2.0,1.0
donteea-dye,Donteea Dye,WR,,,,,,,,,,,,,,2.0,20.0,,40.0,,,,1.0,24.0,37.0,,,7.0,,,,,,,,,,,,,1.0,1.0,
dontez-byrd,Dontez Byrd,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,5.0,,,,,,,2.0
doran-grant,Doran Grant,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,7.0,
doyin-jibowu,Doyin Jibowu,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
dravon-askew-henry,Dravon Askew-Henry,DB/S/SAF,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,12.0,
drew-galitz,Drew Galitz,P,,,,,,,,,,,,,,,,,,,,,,,,216.2,242.0,,,743.0,17.0,41.0,10.0,,,,,,,,,,
drew-lewis,Drew Lewis,DB/LB,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,17.0,
dujuan-harris,DuJuan Harris,RB,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,21.0,2.0,21.0,1.0,44.0,,,,
durrant-miles,Durrant Miles,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,
ej-bibbs,EJ Bibbs,TE/WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.0,6.0,,,,,1.0,1.0,4.0
edmond-robinson,Edmond Robinson,DB/LB,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,14.0,22.0,
eli-rogers,Eli Rogers,WR,,,,,,,,,,,,,,,,,,,,,4.0,38.0,66.0,,,8.0,,,,,,,164.0,19.0,3.0,,25.0,,,,6.0
elijah-campbell,Elijah Campbell,DB/S,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,7.0,
elijah-hood,Elijah Hood,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,78.0,,1.0,1.0,
elijah-qualls,Elijah Qualls,DB/DL/DT,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,9.0,
emmanuel-beal,Emmanuel Beal,DB/LB/OLB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,7.0,
ernesto-lacayo,Ernesto Lacayo,K,,,,1.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
evan-rodriguez,Evan Rodriguez,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,45.0,4.0,,,,,1.0,1.0,3.0
flynn-nagel,Flynn Nagel,WR,,,,,,,,,,,,,,,,,,,,,4.0,77.0,97.0,,,6.0,,,,,,1.0,217.0,26.0,,,,,2.0,2.0,14.0
frank-alexander,Frank Alexander,DB/DL,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,5.0,12.0,
frank-ginda,Frank Ginda,DB/LB/OLB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,11.0,23.0,
fred-lauina,Fred Lauina,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,
freddie-martino,Freddie Martino,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.0,4.0,,,,,,,4.0
gabe-wright,Gabe Wright,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,7.0,10.0,
garret-dooley,Garret Dooley,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,
gelen-robinson,Gelen Robinson,DB/DL,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,13.0,
gerald-rivers,Gerald Rivers,DB/DE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,
gimel-president,Gimel President,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,8.0,
godwin-igwebuike,Godwin Igwebuike,DB,4.0,,,,,,,,10.0,,10.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,22.0,
greer-martini,Greer Martini,DB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,30.0,
harlan-miller,Harlan Miller,DB,5.0,,,,,,,,32.0,,32.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,13.0,
harold-jones-quartey,Harold Jones-Quartey,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,
hauoli-kikaha,Hau'oli Kikaha,DB,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,7.0,
herb-waters,Herb Waters,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
houston,Houston,,,,,,,,,,176.0,632.0,224.0,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hunter-niswander,Hunter Niswander,P,,,,,,,,,,,,,,,,,,,,,,,,218.1,275.0,,,936.0,21.0,135.0,14.0,,,,1.0,,-12.0,,,,
jaquan-gardner,Ja'Quan Gardner,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,127.0,,,,
jack-tocho,Jack Tocho,DB/SAF,11.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,19.0,
jacques-patrick,Jacques Patrick,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,5.0,60.0,2.0,254.0,,1.0,1.0,2.0
jacquies-smith,Jacquies Smith,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,10.0,15.0,
jake-payne,Jake Payne,DB,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,7.0,
jake-powell,Jake Powell,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.0,12.0,,,,,1.0,1.0,6.0
jake-schum,Jake Schum,P,,,,,,,,,,,,,,,,,,,,,,,,216.6,268.0,,,634.0,15.0,44.0,9.0,,,,1.0,,,,,,
jake-sutherland,Jake Sutherland,TE/WR,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
jalan-mcclendon,Jalan McClendon,QB,,1.0,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,2.0,,4.0,,,,
jalen-collins,Jalen Collins,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
jalen-greene,Jalen Greene,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
jalen-tolliver,Jalen Tolliver,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,297.0,21.0,2.0,,12.0,,,,14.0
jamar-summers,Jamar Summers,CB/DB,3.0,,,,,,,,16.0,,16.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,16.0,
jameer-thurman,Jameer Thurman,DB/LB,13.0,,,,,,,,46.0,1.0,46.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,33.0,
james-butler,James BUTLER,RB,,,,,,,,,,,,,,3.0,33.0,,76.0,,,,,,,,,,,,,,,1.0,42.0,11.0,46.0,4.0,221.0,,2.0,2.0,2.0
james-folston,James Folston,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
jarrell-owens,Jarrell Owens,DB/DL,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,7.0,
jason-neill,Jason Neill,DB/DT,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
jawuan-johnson,Jawuan Johnson,DB/LB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,
jay-bromley,Jay Bromley,DB,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,6.0,15.0,
jaylen-dunlap,Jaylen Dunlap,DB,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,
jazz-ferguson,Jazz Ferguson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,9.0,,,,,2.0,2.0,3.0
jeff-badet,Jeff Badet,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.0,16.0,,,,,1.0,1.0,4.0
jeremiah-johnson,Jeremiah Johnson,CB/DB/S,3.0,,,,,,,,64.0,,64.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,11.0,
jeremiah-mckinnon,Jeremiah McKinnon,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
jeremy-clark,Jeremy Clark,DB,3.0,,,,,,,,19.0,,19.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,10.0,
jerome-couplin,Jerome Couplin,DB,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,25.0,
jerrod-heard,Jerrod Heard,WR,,,,,,,,,,,,,,,,,,,,,,16.0,26.0,,,4.0,,,,,,,10.0,1.0,,,,,,,1.0
jhurell-pressley,Jhurell Pressley,RB,1.0,,,,,,,,,,,,,1.0,21.0,,21.0,,,,,,,,,,,,,,,,40.0,9.0,42.0,,190.0,,2.0,3.0,1.0
joe-horn,Joe Horn,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,4.0,,,,,,,1.0
joe-powell,Joe Powell,DB/LB/SAF,2.0,,,,,,,,,,,,,,84.0,1.0,84.0,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,
joey-mbu,Joey Mbu,DB,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,9.0,
john-santiago,John Santiago,RB/WR,2.0,,,,,,,,,,,,,20.0,147.0,,440.0,,,,,,,,,,,,,,,,7.0,1.0,,,,,3.0,5.0,
johnathan-alston,Johnathan Alston,DB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,
johnathan-calvin,Johnathan Calvin,DB,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,
johnny-maxey,Johnny Maxey,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,5.0,
jonathan-celestin,Jonathan Celestin,DB,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,32.0,
jonathan-massaquoi,Jonathan Massaquoi,DB/DL,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,7.0,
jordan-martin,Jordan Martin,DB,4.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,20.0,
jordan-smallwood,Jordan Smallwood,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,236.0,18.0,,,,,,,8.0
jordan-taamu,Jordan Ta\'amu,QB,,97.0,,,,,,,,,,2.0,,,,,,134.0,5.0,1050.0,,,,,,,,,,,,,,,41.0,1.0,217.0,,1.0,1.0,
