player_id,player_name,positions,def_ff,def_fr,def_int,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
a-mizius,A. Mizius,DT,1.0,,,2.0,3.0,13.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
a-nicault-carte,A. Nicault-Carte,WR,,,,,,,,,5.0,,,,,,,,,,,,,,,,5.0,1.0,42.0,9.0,,5.0
a-ottogalli,A. Ottogalli,LB,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
a-pacheco,A. Pacheco,QB,,,,,,,,,7.0,1.0,,16.0,11.0,3.0,1.0,,24.0,,,1.0,,16.0,,,10.0,,109.0,14.0,,70.0
a-robo,A. Robo,RB,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,20.0,22.0,1.0,86.0
a-serra,A. Serra,WR,,,,,,1.0,,,11.0,,,,,,,,,,,,,,,,13.0,1.0,141.0,,,
a-smith,A. Smith,LB,,,,1.0,,15.0,,,3.0,3.0,,61.0,,,,,,,,,,,,,,,,,,
a-spillum,A. Spillum,LB,1.0,2.0,5.0,1.0,,49.0,,,11.0,,,,,,,,,,,8.0,,128.0,,,,,,,,
a-vergani,A. Vergani,OT,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
a-žouželka,A. Žouželka,RB,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,78.0,4.0,286.0
aaron-große-kleimann,Aaron  Große Kleimann,LB,,,,2.0,1.0,13.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
achim-bah,Achim Bah,WR,1.0,,,,,2.0,,,12.0,,,,,,,,,,,,,,,,3.0,,50.0,,,
adam-lary,Adam Lary,CB/LB,1.0,,,8.0,,50.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
adam-skakowski,Adam Skakowski,RB,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,
adrian-gródecki,Adrian Gródecki,WR,,,,,,,,,9.0,,,,,,,,,,,,,,,,15.0,2.0,176.0,,,
adrian-joseph-wentland,Adrian Joseph Wentland,LB,,1.0,1.0,4.0,2.5,112.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
adrian-platzgummer,Adrian Platzgummer,WR,,,,,,1.0,,,12.0,,,,1.0,,,,,,,,,,,,30.0,2.0,327.0,1.0,,
adria-botella-moreno,Adrià Botella Moreno,TE/WR,,,,,,4.0,,,12.0,,,,,,,,,,,,,,,,58.0,8.0,619.0,,,
albert-wiesigstrauch,Albert Wiesigstrauch,RB,,,,,,,,,4.0,,,,,,,,,,,,,,,,5.0,,27.0,22.0,1.0,76.0
alejandro-fernandez-nieto,Alejandro Fernandez Nieto,LB,1.0,,1.0,1.0,11.0,36.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
aleksandr-astahin,Aleksandr Astahin,LB,,,,1.0,,5.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
alex-ferrari,Alex Ferrari ,LB,,,,,,7.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
alexander-frisch,Alexander Frisch,QB,,,,,,,,,10.0,,,,14.0,4.0,,,23.0,,,,,,,,4.0,,35.0,8.0,,36.0
alexander-reischl,Alexander Reischl,QB,,,,,,,,,10.0,,,,22.0,14.0,,2.0,310.0,,,,,,,,,,,17.0,1.0,94.0
alexander-sobotta,Alexander Sobotta,LB,,,,,,12.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
alexander-watholowitsch,Alexander Watholowitsch,LB,,,,1.0,,53.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
alexandre-gonzalez-posito,Alexandre Gonzalez Posito,LB,1.0,,,,1.0,59.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
ambroise-mati,Ambroise Mati,LB,,,,2.0,2.0,49.0,,,11.0,,,,,,,,,,,1.0,,18.0,,,,,,,,
amir-kilani,Amir Kilani,DB/LB,,2.0,,3.0,2.0,37.0,,,9.0,,,,,,,,,,,1.0,,6.0,,,,,,,,
andre-frisch,Andre Frisch,RB,,,,,,1.0,,,7.0,,,,,,,,,,,,,,,,14.0,,90.0,30.0,,99.0
andy-vera,Andy Vera,LB,,,1.0,6.0,,31.0,,,8.0,18.0,,333.0,,,,,,,,7.0,,88.0,,,,,,,,
anthony-mahoungou,Anthony Mahoungou,WR,,,,,,2.0,,,10.0,,,,,,,,,,,,,,,,60.0,11.0,984.0,1.0,,7.0
anthony-williams,Anthony Williams,DB/LB,,,,,,12.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
anton-jallai,Anton Jallai,WR,,,,,,,,,5.0,,,,,,,,,,,,,,,,12.0,,137.0,,,
anton-wegan,Anton Wegan,RB,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,25.0,2.0,210.0
antoni-idziak,Antoni Idziak,LB,,,,,,30.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
antoni-montón,Antoni Montón,RB,,,,,,1.0,,,12.0,5.0,,137.0,,,,,,,,2.0,,34.0,,,26.0,1.0,178.0,98.0,3.0,339.0
antony-rodrigues,Antony Rodrigues,LB,,,,,,17.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
arne-gehrt,Arne Gehrt,LB/S,,,,,,6.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
arno-schwarz,Arno Schwarz,LB,,,,,,,6.0,4.0,3.0,,,,,,,,,5.0,4.0,,,,,,,,,,,
artur-pinheiro,Artur Pinheiro,DL/LB,,,,,,9.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
aslan-zetterberg,Aslan Zetterberg,DL/LB,1.0,,1.0,1.0,6.0,33.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
atilla-işık,Atilla Işık,LB,,,,1.0,,14.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
b-bodnár,B. Bodnár,LB,,,1.0,,,60.0,,,10.0,,,,,,,,,,,,,,,,,,,1.0,,
b-bofenda,B. Bofenda,WR,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,11.0,,,
b-bono,B. Bono,K,,,,,,3.0,5.0,3.0,12.0,,,,,,,,,23.0,11.0,,,,33.0,1351.0,,,,2.0,,
b-butler,B. Butler,WR,,1.0,,5.0,,42.0,,,10.0,3.0,,53.0,,,,,,,,,,,,,2.0,1.0,33.0,,,
b-camara,B. Camara,WR,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,5.0,,,
b-colomé-carbonell,B. Colomé Carbonell,,,,,,,4.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
b-dorner,B. Dorner,DT,,1.0,,,0.5,6.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
b-egbudiwe,B. Egbudiwe,DT,,,,,0.5,18.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
b-fröhlich,B. Fröhlich,WR,,,,,,2.0,,,10.0,,,,,,,,,,,,,,,,27.0,1.0,250.0,,,
b-gráber,B. Gráber,DT,,,,,0.5,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
b-gáspár,B. Gáspár,LB,1.0,,2.0,2.0,,79.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
b-hansel,B. Hansel,CB,,,,1.0,,7.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
b-horváth,B. Horváth,CB,,,,4.0,,17.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
b-jakub,B. Jakub,LB,,,,,,9.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
b-jones,B. Jones,QB,,,,,,,,,1.0,,,,25.0,11.0,2.0,1.0,130.0,,,,,,,,,,,1.0,,
b-king,B. King,CB,,,,,,10.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
b-kovács,B. Kovács,DT,,1.0,,,,6.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
b-lee-jr,B. Lee Jr,DE,,,,,2.0,20.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
b-mawuena,B. Mawuena,DE,,,,,,4.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
b-mosor,B. Mosor,DE,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
b-moussa,B. Moussa,FB,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
b-nunnelly,B. Nunnelly,WR,,,,,,1.0,,,6.0,5.0,,108.0,,,,,,,,5.0,,38.0,,,30.0,3.0,270.0,1.0,,
b-robins,B. Robins,CB,,,3.0,7.0,,16.0,,,7.0,24.0,,504.0,,,,,,,,19.0,,191.0,,,,,,,,
b-rukundo-mulindahabi,B. Rukundo Mulindahabi,LB,2.0,,,,1.0,32.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
b-sauer,B. Sauer,,,,,,,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
b-snoek,B. Snoek,LB,,,,,1.0,18.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
b-spieß,B. Spieß,LB,,,,,,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
b-tchiyoko,B. Tchiyoko,CB,,,,2.0,,14.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
b-waszkiewicz,B. Waszkiewicz,WR,,,,,,1.0,,,10.0,10.0,,237.0,,,,,,,,1.0,,17.0,,,,,,,,
bais-kouanda,Bais Kouanda,WR,,,,,,1.0,,,10.0,2.0,,53.0,,,,,,,,3.0,,19.0,,,25.0,1.0,200.0,,,
barry-maruschke,Barry Maruschke,LB,,,1.0,5.0,,49.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
bartosz-dziedzic,Bartosz Dziedzic,WR,,,,,,,,,11.0,,,,2.0,2.0,,1.0,,,,,,,,,6.0,,75.0,3.0,,
ben-baierl,Ben Baierl,DL/LB,1.0,,,1.0,2.5,35.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
ben-wenzler,Ben Wenzler,CB/LB,1.0,1.0,2.0,3.0,,35.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
benedikt-lang,Benedikt Lang,WR,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,59.0,,,
benjamin-barnes,Benjamin Barnes,DB/LB,,,,1.0,,9.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
benjamin-mau,Benjamin Mau,WR,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,39.0,2.0,488.0,,,
benjamin-plu,Benjamin Plu,WR,,,,,,1.0,,,10.0,,,,,,,,,,,,,,,,27.0,3.0,422.0,,,
benjamin-straight,Benjamin Straight,LB/S,1.0,1.0,2.0,3.0,,45.0,,,11.0,,,,,,,,,,,,,,26.0,928.0,,,,,,
berend-grube,Berend Grube,DL/LB,2.0,2.0,,2.0,9.5,51.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
brice-tchouadje,Brice Tchouadje,LB,,,,,1.5,10.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
bryan-yankson,Bryan Yankson,RB,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,33.0,,124.0
c-aiken-jr,C. Aiken Jr.,QB,,,,,,,,,2.0,,,,60.0,25.0,2.0,2.0,354.0,,,,,,,,,,,29.0,1.0,149.0
c-alberti,C. Alberti,RB,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,19.0,,46.0
c-bailey-jr,C. Bailey Jr.,WR,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,
c-berg,C. Berg,DT,,1.0,,,2.5,22.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
c-casati,C. Casati,RB,,,,,,,,,2.0,8.0,,156.0,,,,,,,,2.0,,19.0,,,,,,1.0,,15.0
c-helbig,C. Helbig,QB,,,,,,,,,11.0,,,,277.0,175.0,6.0,18.0,2372.0,,,,,,,,,,,64.0,9.0,252.0
c-hill,C. Hill,QB,,,,,,,,,2.0,,,,72.0,39.0,2.0,2.0,383.0,,,,,,,,,,,6.0,,15.0
c-hilton,C. Hilton,CB,,,,,,13.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
c-jachjajev,C. Jachjajev,CB,,,,,,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
c-jeffries,C. Jeffries,QB,,,,,,,,,12.0,,,,408.0,285.0,5.0,30.0,3535.0,,,,,,,,,,,66.0,2.0,363.0
c-mancini,C. Mancini,RB,,,,,,,,,6.0,,,,,,,,,,,,,,,,1.0,,2.0,9.0,,32.0
c-nicola,C. Nicola,DE,1.0,1.0,,4.0,,25.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
c-péter,C. Péter,DE,,,,,,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
c-reimann,C. Reimann,DT,,,,,,7.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
c-schmitt,C. Schmitt,CB,,1.0,,,,9.0,,,11.0,,,,,,,,,,,1.0,,12.0,,,,,,,,
c-sottura,C. Sottura,LB,,,,1.0,,16.0,,,8.0,,,,,,,,,,,,,,,,2.0,,19.0,,,
c-strong,C. Strong,QB,,,,,,,,,8.0,,,,286.0,185.0,7.0,17.0,2126.0,,,,,,4.0,118.0,,,,17.0,,24.0
c-udegbe,C. Udegbe,DE,1.0,,,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
cesare-brugnani,Cesare Brugnani,LB,1.0,1.0,,,1.0,54.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
chad-adri-trivon-walrond,Chad-Adri Trivon Walrond,LB,,1.0,,1.0,,22.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
chaska-remy-perron,Chaska Rémy Perron,DB/LB,,,1.0,4.0,0.5,53.0,,,12.0,,,,,,,,,,,1.0,,10.0,,,,,,,,
cheikhou-sow,Cheikhou Sow,WR,,,,,,,,,12.0,4.0,,121.0,,,,,,,,,,,,,24.0,2.0,368.0,2.0,,8.0
chris-voumbo,Chris Voumbo,RB,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,15.0,2.0,96.0
christian-römer,Christian Römer,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
christoph-kellner,Christoph Kellner,CB/LB,,1.0,1.0,1.0,,12.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
christoph-nitzlnader,Christoph Nitzlnader,CB/LB,,,2.0,9.0,,52.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
christopher-hans,Christopher Hans,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
conor-miller,Conor Miller,QB,,,,,,1.0,,,10.0,1.0,,14.0,391.0,220.0,10.0,18.0,2482.0,,,,,,,,,,,12.0,,4.0
courtney-etienne,Courtney Etienne,LB,,,,,,6.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
curtis-slater,Curtis Slater,LB,,1.0,2.0,2.0,,38.0,,,7.0,16.0,,363.0,,,,,,,,14.0,1.0,182.0,,,3.0,,40.0,,,
d-bartmann,D. Bartmann,DT,,,,,,13.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
d-bender,D. Bender,CB,,,3.0,2.0,,14.0,,,4.0,5.0,,182.0,,,,,,,,4.0,,43.0,,,3.0,1.0,44.0,,,
d-binternagel,D. Binternagel,OG,,,,,,1.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
d-blahovec,D. Blahovec,DT,,,,1.0,,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
d-buckrham,D. Buckrham,LB,,,3.0,9.0,,58.0,,,12.0,1.0,,38.0,,,,,,,,4.0,,37.0,,,,,,,,
d-burrell,D. Burrell,DE,,,3.0,7.0,,63.0,,,11.0,39.0,5.0,1552.0,,,,,,,,12.0,2.0,268.0,,,3.0,2.0,77.0,3.0,1.0,6.0
d-cardenas,D. Cardenas,CB,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
d-dales,D. Dales,LB,1.0,,1.0,4.0,2.5,93.0,,,11.0,,,,,,,,,,,,,,,,,,,2.0,,3.0
d-dzieleńdziak,D. Dzieleńdziak,,,,,,,4.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
d-eustache,D. Eustache,LB,,,,,,6.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
d-feuereisel,D. Feuereisel,LB,,,,,,12.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
d-gomis,D. Gomis,LB,,1.0,,,2.0,71.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
d-graf,D. Graf,,,,,,,3.0,,,7.0,,,,,,,,,,,,,,,,1.0,,5.0,,,
d-harris,D. Harris,CB,,,3.0,6.0,,19.0,,,6.0,13.0,,172.0,,,,,,,,1.0,,,,,,,,,,
d-hlaváček,D. Hlaváček,WR,,,,,,3.0,,,9.0,,,,1.0,1.0,,,10.0,,,,,,,,10.0,,34.0,1.0,,
d-illetschko,D. Illetschko,LB,,,,,,21.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
d-irles-santoja,D. Irles Santoja,DE,1.0,,,2.0,3.0,16.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
d-isom,D. Isom,QB,,,,,,,,,4.0,,,,81.0,47.0,2.0,9.0,587.0,,,,,,,,,,,38.0,1.0,113.0
d-jacob,D. Jacob,QB,,,,,,,,,3.0,,,,91.0,52.0,1.0,4.0,465.0,,,,,,,,,,,12.0,,56.0
d-józsa,D. Józsa,DT,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
d-kanyinda,D. Kanyinda,WR,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
d-kilián,D. Kilián,RB,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,15.0,,22.0
d-larochel,D. Larochel,CB,,,1.0,1.0,,20.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
d-liechti,D. Liechti,DE,,1.0,,,3.0,51.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
d-lynch,D. Lynch,CB,,,,3.0,,17.0,,,4.0,4.0,,98.0,,,,,,,,,,,,,,,,,,
d-marshall,D. Marshall,TE,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,12.0,,,
d-marty,D. Marty,WR,,,,,,2.0,,,10.0,2.0,,19.0,,,,,,,,,,,,,5.0,,30.0,,,
d-miletic,D. Miletic,LB,,,,,1.0,13.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
d-mischler,D. Mischler,,,,,,,4.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
d-novakov,D. Novakov,RB,,,,,,1.0,,,9.0,,,,,,,,,,,,,,,,,,,33.0,,155.0
d-okoeguale,D. Okoeguale,LB,,,,,5.5,51.0,,,10.0,,,,,,,,,,,1.0,,36.0,,,,,,,,
d-owens,D. Owens,CB,3.0,,2.0,8.0,,24.0,,,10.0,5.0,,82.0,,,,,,,,1.0,,8.0,,,,,,,,
d-pantali,D. Pantali,DE,,,,,,3.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
d-paz-gonzález,D. Paz González,DT,,,,,,4.0,,,6.0,,,,,,,,,,,,,,,,,,,,,
d-richardson-ii,D. RICHARDSON II,CB,,,,5.0,,23.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
d-rinaldi,D. Rinaldi,LB,1.0,1.0,,2.0,2.0,45.0,,,12.0,,,,,,,,,,,1.0,,8.0,,,,,,,,
d-slade,D. Slade,DE,1.0,2.0,,2.0,2.5,45.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
d-steward,D. Steward,LB,,1.0,,3.0,,30.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
d-stewart-jr,D. Stewart Jr.,WR,,,,,,,,,8.0,3.0,,67.0,,,,,,,,2.0,,10.0,,,59.0,5.0,754.0,2.0,,20.0
d-varela-dorado,D. Varela Dorado,OT,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,
damian-wesołowski,Damian Wesołowski,LB,,,,1.0,0.5,7.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
daniel-bogdan-schuhmacher,Daniel Bogdan Schuhmacher,K,,,,,,,,,10.0,,,,,,,,,,,,,,39.0,1490.0,,,,,,
daniel-franco,Daniel Franco,DL/LB,1.0,,,,1.5,16.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
daniel-josiah,Daniel Josiah,LB,,,1.0,,0.5,10.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
daniel-piątkowski,Daniel Piątkowski,LB,,1.0,1.0,2.0,,77.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
daniel-pozarek,Daniel Pozarek,DL/LB,,,,,,11.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
daniel-rennich,Daniel Rennich,RB,,,,,,,,,7.0,,,,,,,,,,,,,,,,4.0,,22.0,42.0,2.0,137.0
daniel-schönet,Daniel Schönet,LB,,,,,,3.0,,,6.0,,,,,,,,,,,,,,,,,,,8.0,3.0,119.0
dany-michael-lamy,Dany Michael Lamy,LB,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
darius-saint-robinson,Darius Saint-Robinson,DB/LB,,,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
dawid-brzozowski,Dawid Brzozowski,RB,,,,,,,,,11.0,1.0,,32.0,,,,,,,,,,,,,25.0,1.0,235.0,205.0,12.0,1116.0
dean-roderick-likambi-tanwani,Dean-Roderick Likambi Tanwani,RB,,,,,,,,,8.0,,,,,,,,,,,1.0,,3.0,,,5.0,,2.0,19.0,,46.0
denis-william-butz,Denis William Butz,DL/LB,,,,,,11.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
dennis-tasic,Dennis Tasic,K,,,,,,,12.0,5.0,9.0,,,,,,,,,38.0,34.0,,,,,,,,,,,
dimitri-gfeller,Dimitri Gfeller,,,,,1.0,,2.0,,,11.0,,,,,,,,,,,,,,,,2.0,,16.0,7.0,,8.0
domenik-rofalski,Domenik Rofalski,TE/WR,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,
dominic-siegel,Dominic Siegel,DL/LB,,,,2.0,2.0,4.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
dominic-yaw-aboagye-duah,Dominic Yaw Aboagye-Duah,DB/LB,,,,1.0,,10.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
dominik-banse,Dominik Banse,LB,,,,,,9.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
dominik-wünsche,Dominik Wünsche,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
e-bauroth,E. Bauroth,LB,,,,,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
e-eckerstorfer,E. Eckerstorfer,WR,,,,,,,,,5.0,,,,,,,,,,,,,,,,1.0,,11.0,,,
e-fiedler,E. Fiedler,RB,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
e-gallo,E. Gallo,LB,,,,,0.5,10.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
e-hovde,E. Hovde,DE,,1.0,,,7.0,42.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
e-igba-ujene,E. Igba-Ujene,OG,,,,,,1.0,,,9.0,,,,,,,,,,,,,,,,,,,,,
e-jean-alphonse,E. Jean-Alphonse,CB,,,,8.0,,26.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
e-kaser,E. Kaser,LB,,,2.0,3.0,1.0,70.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
e-laalo,E. Laalo,CB,,1.0,3.0,7.0,,47.0,,,10.0,,,,,,,,,,,,,,,,,,,,,
e-loe,E. Loe,LB,,2.0,,,,29.0,,,5.0,,,,,,,,,,,,,,,,,,,,,
e-lui,E. Lui,DT,,,,1.0,2.0,21.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
e-madaras,E. Madaras,RB,,,,,,2.0,,,10.0,,,,,,,,,,,,,,,,7.0,1.0,42.0,80.0,1.0,280.0
e-molina-belmar,E. Molina Belmar,RB,,,,,,1.0,,,12.0,,,,,,,,,,,,,,,,11.0,,66.0,78.0,2.0,290.0
e-moody-patton,E. Moody Patton,CB,,1.0,,1.0,,16.0,,,6.0,2.0,,39.0,,,,,,,,,,,,,,,,,,
e-perez-perez,E. Perez Perez,WR,,,,,,1.0,,,4.0,7.0,,126.0,,,,,,,,,,,,,,,,,,
e-rabin,E. Rabin,WR,,,,,,2.0,,,3.0,4.0,,99.0,,,,,,,,,,,,,3.0,1.0,28.0,,,
e-richardson,E. Richardson,LB,,,,,,11.0,,,8.0,,,,,,,,,,,,,,,,,,,,,
e-trinkl,E. Trinkl,K,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
edwin-elio,Edwin Élio,DL/LB,,,,,0.5,26.0,,,12.0,,,,,,,,,,,,,,,,,,,,,
efekan-akgün,Efekan Akgün,LB,,,,,,4.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
elias-rodriguez,Elias Rodriguez,TE,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
elvys-ramon-nuñez-vargas,Elvys Ramon Nuñez Vargas,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,1.0,,
