player_id,player_name,positions,1pt_conversion,3pt_other,3pt_pass,blocked_punt,conversions,dst_touchdown,field_goal_yards,fumble_recoveries,interceptions_lost,interceptions_made,lost_fumbles,missed,pass_defended,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
roughnecks-qb,Roughnecks QB,QB,2.0,,,,7.0,,,,11.0,,2.0,,,15.0,2016.0,,,,,3.0,250.0,,
ryan-becker,Ryan Becker,TE,,,,,,,,,,,,,,,,,,26.0,4.0,,,,
ryan-lewis,Ryan Lewis,DB,,,,,,,,,,,,,1.0,,,,,,,,,,7.0
ryquell-armstead,Ryquell Armstead,RB,,,,,,,,,,,2.0,,,,,,1.0,37.0,4.0,,218.0,,
sal-cannella,Sal Cannella,TE,0.0,,,,1.0,,,,,,,,,,,,,421.0,44.0,,,,
sam-sloman,Sam Sloman,K,,,,,,,129.0,,,,,2.0,,,,,,,,,,,
santos-ramirez,Santos Ramirez,DB/SAF,,,,,,,,,,2.0,,,4.0,,,,,,,,,0.5,46.0
sea-dragons-dst,Sea Dragons DST,DST,,,,3.0,1.0,,,3.0,,5.0,,,,,,171.0,,,,,,19.0,
sea-dragons-k,Sea Dragons K,K,,,,,,,501.0,,,,,4.0,,,,,,,,,,,
sea-dragons-qb,Sea Dragons QB,QB,1.0,1.0,3.0,,4.0,,,,13.0,,3.0,,,20.0,2677.0,,,,,3.0,305.0,,
sean-modster,Sean Modster,WR,,,,,,,,,,,,,,,,,,10.0,3.0,,,,
sean-price,Sean Price,TE/WR,0.0,,,,1.0,,,,,,,,,,,,3.0,70.0,8.0,,,,
sebastian-brandt,Sebastian Brandt,DB/CB,0.0,,,,0.0,,,,,3.0,,,10.0,,,,,,,,,,25.0
shakur-brown,Shakur Brown,CB/DB,,,,,,,,,,1.0,,,3.0,,,,,,,,,,33.0
shaquille-wiggins,Shaquille Wiggins,DB,,,,,,,,,,,,,2.0,,,,,,,,,,18.0
shaun-beyer,Shaun Beyer,TE,,,,,,,,,,,,,,,,,,,1.0,,,,
silas-kelly,Silas Kelly,LB,,,,,,,,,,1.0,,,,,,,,,,,,,10.0
stansly-maponga,Stansly Maponga,DL/DB,,,,,,,,1.0,,,,,,,,,,,,,,2.5,21.5
stephen-guidry,Stephen Guidry,WR,,,,,,,,,,,,,,,,,,2.0,2.0,,,,
stephen-roberts,Stephen Roberts,DB,,,,,,,,,,,,,,,,,,,,,,1.0,13.0
sterling-hofrichter,Sterling Hofrichter,P,,,,,,,,,,,,,,1.0,64.0,,,,,,,,
steven-mitchell-jr,Steven Mitchell Jr.,WR,0.0,,,,3.0,,,,,,,,,,,,4.0,187.0,15.0,,4.0,,
steven-montez,Steven Montez,QB,,,,,,,,,,,,,,,6.0,,,,,,,,
tj-barnes,T.J. Barnes,DL/DT/DB,,,,,,,,,,,,,,,,,,,,,,2.0,11.0
tj-hammonds,T.J. Hammonds,WR,0.0,,,,0.0,,,,,,,,,,,,,61.0,12.0,1.0,167.0,,
tj-vasher,T.J. Vasher,WR,3.0,,,,1.0,,,,,,,,,,,,2.0,173.0,16.0,,,,
tavante-beckett,Tavante Beckett,LB,,,,,,,,1.0,,2.0,,,5.0,,,,,,,,,0.5,63.0
taylor-russolino,Taylor Russolino,K,,,,,,,525.0,,,,,3.0,,,,,,,,,,,
tenny-adewusi,Tenny Adewusi,DB,,,,,,,,,,2.0,,,1.0,,,,,,,,,,49.5
terrance-plummer,Terrance Plummer,LB,,,,,,,,,,,,,2.0,,,,,,,,,2.0,55.0
terrance-smith,Terrance Smith,LB,0.0,,,,0.0,,,,,,,,3.0,,,,,,,,,1.0,42.5
terrell-bonds,Terrell Bonds,CB/DB,0.0,,,,0.0,,,,,,1.0,,3.0,,,,,,,,,,14.0
travell-harris,Travell Harris,WR,0.0,,,,0.0,,,,,,,,,,,,2.0,382.0,31.0,,,,
travis-feeney,Travis Feeney,DL/LB/OLB/DB,,,,,,,,1.0,,,,,2.0,,,,,,,,,4.5,26.0
travis-jonsen,Travis Jonsen,WR,,,,,,,,,,,,,,,,,,44.0,5.0,,,,
travis-koontz,Travis Koontz,TE,,,,,,,,1.0,,,,,,,,,,59.0,3.0,,,,1.0
travis-toivonen,Travis Toivonen,WR,,,,,,,,,,,,,,,,,1.0,59.0,4.0,,,,
travon-fuller,Travon Fuller,DB,,,,,,,,,,,,,,,,,,,,,,,10.0
tre-walker-2,Tre Walker,LB,,,,,,,,,,,,,2.0,,,,,,,,,0.5,45.0
tre-watson,Tre Watson,DB/LB,,,,,,,,,,1.0,,,,,,,,,,,,0.5,16.0
trent-harris,Trent Harris,LB/DE,,,,,,,,,,,,,1.0,,,,,,,,,3.5,13.0
trevon-mason,Trevon Mason,DL,,,,,,,,,,1.0,,,,,,,,,,,,1.5,12.0
tuzar-skipper,Tuzar Skipper,LB/OLB,,,,,,,,,,,,,,,,,,,,,,6.0,20.5
tyler-vaughns,Tyler Vaughns,WR,0.0,,,,2.0,,,,,,,,,,,,1.0,302.0,31.0,,,,
vic-beasley,Vic Beasley,LB/DE,,,,,,,,1.0,,,,,1.0,,,,,,,,,0.5,14.0
victor-bolden-jr,Victor Bolden Jr.,WR,,,,,,,,,,,,,,,,,,40.0,3.0,,,,
vipers-dst,Vipers DST,DST,,,,,,,,9.0,,8.0,,,,,,228.0,,,,,,19.0,
vipers-k,Vipers K,K,,,,,,,363.0,,,,,9.0,,,,,,,,,,,
vipers-qb,Vipers QB,QB,1.0,,,,5.0,,,,7.0,,5.0,,,16.0,2265.0,,,,,2.0,258.0,,
will-adams,Will Adams,DB/FS,,,,,,,,,,,,,,,,,,,,,,,5.0
will-clarke,Will Clarke,DL/DT/OLB,,,,,,,,1.0,,,,,,,,,,,,,,4.0,19.0
will-hill,Will Hill,DB,,,,,,,,,,1.0,,,2.0,,,,,,,,,0.5,47.0
william-likely,William Likely,DB,,,,,,,,2.0,,1.0,,,5.0,,,,,,,,,0.5,22.0
willie-harvey,Willie Harvey,LB,,,,,,,,,,,,,1.0,,,,,,,,,,57.5
willie-taylor,Willie Taylor,LB,,,,,,,,,,1.0,1.0,,3.0,,,,,,,,,3.0,12.0
zafir-kelly,Zafir Kelly,DB,,,,,,,,,,,,,3.0,,,,,,,,,1.0,6.0
