player_id,player_name,positions,def_ast,def_int,def_lg,def_pd,def_qbh,def_sack,def_solo,def_td,def_tot,def_yds,def_ydsl,misc_forced,misc_fum,misc_lost,misc_td,misc_tot,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,recv_fd,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_fc,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,rush_att,rush_fd,rush_lg,rush_td,rush_yds,score_conv,score_fr,score_ir,score_kr,score_p,score_pr,score_pts,score_r,score_saf,score_tot,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
anthony-gaitor,Anthony Gaitor,DB,,,,,,3.0,34.0,,34.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-johnson,Anthony Johnson,,3.0,,,,,2.0,15.0,,18.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-orange,Anthony Orange,DB,,1.0,-5.0,,,,26.0,,26.0,-5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
anthony-thompson,Anthony Thompson,DB,,1.0,-1.0,,,,13.0,,13.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antoine-pruneau,Antoine Pruneau,DB,,1.0,6.0,,,,28.0,,28.0,6.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
antonio-pipkin,Antonio Pipkin,QB,,,,,,,,,,,,,,,,,42.0,19.0,,56.0,44.0,4.0,1.0,161.0,,,,,,,,,,,,,,,11.0,,28.0,1.0,61.0,,,,,,,6.0,1.0,,1.0,,,,,,
antonio-simmons,Antonio Simmons,DB/DE,1.0,,,,,4.0,51.0,,52.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arjen-colquhoun,Arjen Colquhoun,DB,,1.0,3.0,,,,16.0,,16.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armanti-edwards,Armanti Edwards,WR,,,,,,,2.0,,2.0,,,,,,,,1.0,,,,,,,,,329.0,69.0,108.0,7.0,236.0,1014.0,,10.0,1.0,,,,10.0,2.0,,12.0,,12.0,1.0,,,,7.0,,44.0,,,7.0,,,,,,
avery-ellis,Avery Ellis,DB/DE/DL,,,,,,7.0,54.0,,54.0,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avery-williams,Avery Williams,LB,,,,,,1.0,69.0,,69.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
azeem-victor,Azeem Victor,DB/DL/LB/OLB,1.0,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bj-cunningham,B.J. Cunningham,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,132.0,27.0,38.0,1.0,95.0,345.0,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
blace-brown,Blace Brown,DB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo-banner,Bo Banner,DB/DE,,,,,,1.0,15.0,,15.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bo-levi-mitchell,Bo Levi Mitchell,QB,,,,,,,,,,,,,,,,,443.0,286.0,14.0,351.0,72.0,12.0,20.0,3580.0,,,,,,,,,,,,,,,2.0,,4.0,,4.0,,,,,,,,,,,,,,,,
boris-bede,Boris Bede,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1469.0,88.0,81.0,2004.0,1.0,6105.0,1.0,,-10.0,,-10.0,,,,,,,150.0,,,,32.0,32.0,577.0,141.0,48.0,45.0
boseko-lokombo,Boseko Lokombo,LB,,2.0,20.0,,,,55.0,,55.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brad-sinopoli,Brad Sinopoli,WR,,,,,,,,,,,,,,,,,,,,,,,,,,249.0,72.0,113.0,3.0,223.0,671.0,,,1.0,,,,,,,,,,2.0,,,,3.0,,22.0,,,3.0,,,,,,
braden-schram,Braden Schram,OL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bralon-addison,Bralon ADDISON,WR,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,460.0,105.0,138.0,8.0,636.0,1396.0,,19.0,3.0,,,,19.0,40.0,,132.0,1.0,263.0,4.0,,,,8.0,,62.0,1.0,,9.0,,,,,,
branden-dozier,Branden Dozier,DB,,1.0,16.0,,,,70.0,,70.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandin-bryant,Brandin Bryant,DB/DL/LB,2.0,,,,3.0,1.0,5.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandin-dandridge,Brandin Dandridge,DB,,,,,,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-alexander,Brandon Alexander,DB,,1.0,1.0,,,,47.0,,47.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brandon-banks,Brandon Banks,WR,,,,,,,8.0,,8.0,,,,,,,,,,,,,,,,,276.0,122.0,174.0,14.0,693.0,1721.0,,277.0,16.0,,,2.0,299.0,16.0,,27.0,1.0,63.0,3.0,,,,14.0,,108.0,1.0,,17.0,,,,,,
brandon-bridge,Brandon Bridge,QB,,,,,,,,,,,,,,,,,22.0,14.0,2.0,43.0,,,1.0,194.0,,,,,,,,,,,,,,,1.0,,4.0,,4.0,,,,,,,,,,,,,,,,
brandon-burks,Brandon Burks,RB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,43.0,12.0,15.0,1.0,122.0,144.0,,,,,,,,34.0,,99.0,,204.0,,,,,1.0,,6.0,,,1.0,,,,,,
brandon-rutley,Brandon Rutley,RB,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,9.0,17.0,,75.0,76.0,,230.0,22.0,,,1.0,533.0,61.0,,106.0,,341.0,,,,1.0,,,6.0,,,1.0,,,,,,
brandon-smith,Brandon Smith,DB/LB,,2.0,5.0,,,,62.0,1.0,62.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
brayden-lenius,Brayden Lenius,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,4.0,2.0,3.0,,-1.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brendan-gillanders,Brendan Gillanders,RB,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,16.0,17.0,,93.0,97.0,,,,,,,,23.0,,46.0,,94.0,1.0,,,,,,2.0,,,,,,,,,
brett-golding,Brett Golding,OL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brett-lauther,Brett LAUTHER,K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,948.0,54.0,53.0,899.0,,3263.0,,,,,,,,,,,,138.0,,,,36.0,36.0,581.0,135.0,31.0,27.0
brett-wade,Brett Wade,DB/DT,,,,,,1.0,1.0,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brian-jones,Brian Jones,WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
brian-walker,Brian Walker,DB,,1.0,12.0,,,2.0,34.0,,34.0,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,42.0,4.0,,,,87.0,,,,,,,,,,,,,,,,,,,,,
bryan-bennett,Bryan Bennett,QB,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,,,,,,,18.0,,51.0,1.0,78.0,,,,,,,6.0,1.0,,1.0,,,,,,
bryan-burnham,Bryan Burnham,WR,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,440.0,100.0,146.0,11.0,392.0,1492.0,,,,,,,,1.0,,3.0,,3.0,1.0,,,,11.0,,68.0,,,11.0,,,,,,
cj-gable,C.J. Gable,RB,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,,202.0,59.0,66.0,1.0,372.0,467.0,,,,,,,,233.0,,222.0,4.0,1106.0,,,,,1.0,,30.0,4.0,,5.0,,,,,,
caleb-ham,Caleb Ham,DB,,,,,,,7.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caleb-holley,Caleb Holley,WR,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,215.0,48.0,75.0,,178.0,487.0,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,
calvin-mccarty,Calvin McCarty,RB,,,,,,,,,,,,,,,,,,,,,,,,,,57.0,16.0,19.0,1.0,49.0,81.0,,,,,,,,4.0,,8.0,2.0,10.0,,,,,1.0,,18.0,2.0,,3.0,,,,,,
cameron-judge,Cameron JUDGE,LB,,2.0,1.0,,,5.0,66.0,1.0,66.0,30.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
cameron-marshall,Cameron Marshall,RB,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,7.0,9.0,,56.0,62.0,,,,,,,,59.0,,81.0,2.0,338.0,,,,,,,12.0,2.0,,2.0,,,,,,
cameron-walker,Cameron Walker,DB/DL,,,,,,1.0,3.0,,3.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cariel-brooks,Cariel Brooks,DB,,2.0,30.0,,,1.0,63.0,,63.0,30.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carlos-henderson,Carlos Henderson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,1.0,1.0,,,15.0,,27.0,1.0,,,,27.0,,,,,,,,,,,,,,,,,,,,,
carson-ketter,Carson Ketter,DB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chad-geter,Chad Geter,DB/DE,,,,,,3.0,10.0,,10.0,,20.0,,,,,,,,,,,,,,,,,,,,,,21.0,1.0,,,,21.0,,,,,,,,,,,,,,,,,,,,,
chandler-fenner,Chandler Fenner,DB,,2.0,24.0,,,,79.0,,79.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
chandler-worthy,Chandler Worthy,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,47.0,12.0,20.0,2.0,42.0,129.0,,51.0,2.0,,,,51.0,1.0,,-2.0,,-2.0,,,,,2.0,,12.0,,,2.0,,,,,,
charbel-dabire,Charbel DABIRE,DB/DL,,,,,,1.0,8.0,,8.0,,9.0,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,
charles-nelson,Charles Nelson,WR,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,1.0,,-4.0,4.0,,114.0,10.0,,,,202.0,,,,,,,,,,,,,,,,,,,,,
charles-wright,Charles Wright,DB/DL/LB,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charleston-hughes,Charleston Hughes,DB/DL,,,,,,17.0,56.0,,56.0,,85.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,6.0,,,1.0,,,,,,
charlie-power,Charlie Power,RB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,24.0,4.0,8.0,,26.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-ackie,Chris Ackie,DB/LB,,,,,,,43.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
chris-amoah,Chris Amoah,RB,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0,2.0,,17.0,22.0,,,,,,,,2.0,,3.0,,3.0,,,,,,,,,,,,,,,,
chris-casher,Chris Casher,DB/DE,,,,,,7.0,35.0,,35.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-edwards,Chris Edwards,DB/LB,,1.0,18.0,,,1.0,50.0,,50.0,18.0,6.0,,,,,,,,,,,,,,,,,,,,,,24.0,2.0,,,,44.0,,,,,,,,,,,,,,,,,,,,,
chris-frey,Chris Frey,LB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-humes,Chris Humes,DB,,1.0,3.0,,,,11.0,,11.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-matthews,Chris Matthews,WR,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,21.0,39.0,4.0,61.0,319.0,,,,,,,,,,,,,,,,,4.0,,24.0,,,4.0,,,,,,
chris-rainey,Chris Rainey,RB,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,18.0,24.0,,114.0,134.0,,456.0,63.0,,,1.0,1224.0,45.0,,98.0,,220.0,,,,,,1.0,6.0,,,1.0,,,,,,
chris-randle,Chris Randle,DB,,1.0,,,,,47.0,,47.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,
chris-schleuger,Chris SCHLEUGER,OL,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chris-streveler,Chris STREVELER,QB,,,,,,,2.0,,2.0,,,,,,,,238.0,159.0,14.0,228.0,113.0,23.0,9.0,1603.0,,13.0,1.0,1.0,,13.0,13.0,,,,,,,,154.0,,185.0,13.0,855.0,,,,,,,78.0,13.0,,13.0,,,,,,
chris-van-zeyl,Chris Van Zeyl,OL,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
christion-jones,Christion Jones,RB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,26.0,7.0,11.0,,34.0,43.0,,318.0,53.0,,,,976.0,1.0,,-13.0,,-13.0,,,,,,,,,,,,,,,,
christophe-normand,Christophe Normand,FB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ciante-evans,Ciante Evans,DB,,3.0,61.0,,,,37.0,,37.0,61.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
claudell-louis,Claudell Louis,DB/DT,,,,,,,12.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cleyon-laing,Cleyon Laing,DB/DL,,,,,,6.0,26.0,,26.0,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cody-fajardo,Cody FAJARDO,QB,,,,,,,1.0,,1.0,,,,,,,,514.0,365.0,9.0,369.0,201.0,34.0,18.0,4667.0,,,,,,,,,49.0,1.0,1.0,8.0,,49.0,110.0,,208.0,10.0,634.0,1.0,,,,,,62.0,10.0,,10.0,,,,,,
colton-hunchak,Colton Hunchak,WR,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,143.0,16.0,24.0,,67.0,231.0,,17.0,1.0,,,,17.0,,,,,,,,,,,,,,,,,,,,,
connor-mcgough,Connor McGough,DB/DL,,,,,,1.0,4.0,,4.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cordarro-law,Cordarro Law,DB/DL,,,,,,9.0,41.0,,41.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
corey-tindal,Corey Tindal,DB,,,,,,,64.0,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-greenwood,Cory Greenwood,LB,,1.0,18.0,,,2.0,80.0,,80.0,18.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-johnson,Cory Johnson,DB/DT,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cory-watson,Cory Watson,WR,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,244.0,49.0,56.0,1.0,177.0,462.0,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
courtney-stephen,Courtney Stephen,DB,,,,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
craig-roh,Craig Roh,DB/DL,,,,,,6.0,16.0,,16.0,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crezdon-butler,Crezdon Butler,DB,,1.0,39.0,,,,25.0,,25.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curtis-newton,Curtis Newton,LB,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dlondo-tucker,D'Londo Tucker,DB,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dj-lalama,D.J. Lalama,LB,,,,,,1.0,25.0,,25.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dashaun-amos,DaShaun AMOS,DB,,5.0,28.0,,,,43.0,1.0,43.0,107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,,1.0,,,,,,
davaris-daniels,DaVaris DANIELS,WR,,,,,,,2.0,,2.0,,,,,,,,1.0,1.0,,45.0,,,,45.0,,321.0,67.0,106.0,3.0,289.0,890.0,,,,,,,,,,,,,,,,,3.0,,18.0,,,3.0,,,,,,
dasean-downey,Da\'Sean Downey,DB/LB,3.0,,,,,4.5,11.0,,14.0,,33.5,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dakoda-shepley,Dakoda Shepley,OL/OT,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dakota-prukop,Dakota Prukop,QB,,,,,,,,,,,,,,,,,30.0,18.0,2.0,44.0,6.0,2.0,3.0,284.0,,,,,,,,,,,,,,,11.0,,30.0,,39.0,,,,,,,,,,,,,,,,
dane-evans,Dane Evans,QB,,,,,,,,,,,,,,,,,476.0,335.0,16.0,375.0,220.0,34.0,23.0,4342.0,,13.0,1.0,2.0,,,13.0,,,,,,,,39.0,,107.0,3.0,177.0,,,,,,,18.0,3.0,,3.0,,,,,,
daniel-petermann,Daniel Petermann,WR,,,,,,,,,,,,,,,,,,,,,,,,,,48.0,14.0,18.0,1.0,41.0,112.0,,,,,,,,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
danny-mason,Danny Mason,DB/DL,,,,,,1.0,6.0,,6.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danny-obrien,Danny O'Brien,QB,,,,,,,,,,,,,,,,,67.0,39.0,2.0,84.0,81.0,8.0,1.0,341.0,,,,,,,,,,,,,,,18.0,,22.0,3.0,60.0,,,,,,,18.0,3.0,,3.0,,,,,,
dante-absher,Dante Absher,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,49.0,13.0,17.0,1.0,18.0,144.0,,23.0,2.0,,,,45.0,,,,,,,,,,1.0,,6.0,,,1.0,,,,,,
darius-allen,Darius Allen,DB/DE,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darius-jackson,Darius Jackson,DB/DL,,,,,,1.0,6.0,,6.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
darvin-adams,Darvin Adams,WR,,,,,,,3.0,,3.0,,,,,,,,3.0,3.0,,94.0,,,,94.0,,248.0,55.0,86.0,6.0,222.0,758.0,,,1.0,,,,,,,,,,,,,,6.0,,36.0,,,6.0,,,,,,
david-beard,David BEARD,OL,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-dean,David Dean,DB/DT,8.0,,,,,2.5,11.0,,19.0,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-foucault,David Foucault,OL,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-mackie,David Mackie,FB/RB,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,5.0,6.0,,37.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-ménard,David Ménard,DB,,,,,,2.0,12.0,,12.0,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
david-ungerer,David Ungerer,WR,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,44.0,2.0,5.0,,7.0,44.0,,15.0,2.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,
