player_id,player_name,positions,def_ff,def_fr,def_pd,def_sacks,def_tackles,fg_att,fg_made,gp,kr_no,kr_td,kr_yds,pass_att,pass_cmp,pass_int,pass_td,pass_yds,pat_att,pat_made,pr_no,pr_td,pr_yds,punt_no,punt_yds,recv_rec,recv_td,recv_yds,rush_att,rush_td,rush_yds
dmitri-gfeller,Dmitri Gfeller,RB,,,,,,,,7.0,2.0,,24.0,,,,,,,,,,,,,,,,3.0,,20.0
domenik-rofalski,Domenik Rofalski,TE/WR,,,,,,,,9.0,,,,,,,,,,,,,,,,10.0,2.0,111.0,,,
dominic-grone,Dominic Gröne,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,8.0,,,
dominic-yaw-aboagye-duah,Dominic Yaw Aboagye-Duah,LB/DB,,,,,8.0,,,7.0,,,,,,,,,,,,,,,,,,,,,
dominik-wunsche,Dominik Wünsche,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
dustin-dennerlein,Dustin Dennerlein,,,,,0.5,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,
eduardo-sanchez-gonzalez,Eduardo Sánchez González ,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,
efekan-akgun,Efekan Akgün,CB/LB,,,,,9.0,,,3.0,,,,,,,,,,,,,,,,1.0,,4.0,,,
eldert-terekuu,Eldert Terekuu,LB,,,1.0,,7.0,,,3.0,,,,,,,,,,,,,,,,,,,,,
elias-rodriguez,Elias Rodriguez,TE,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,
elvys-ramon-nunez-vargas,Elvys Ramon Nuñez Vargas,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,
emil-drossard,Emil Drossard,WR,,,,,1.0,,,10.0,2.0,,40.0,,,,,,,,,,,,,14.0,,58.0,9.0,,32.0
eric-de-souza,Eric De Souza,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
evans-yeboah,Evans Yeboah,DL/LB,1.0,1.0,3.0,6.5,38.0,,,11.0,,,,,,,,,,,,,,,,,,,,,
f-spilstser,F. Spilstser,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
