player_id,player_name,positions,field_goal_yards,interceptions_lost,interceptions_made,made_19,missed,passing_tds,passing_yards,points_against,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks
mtl-qb,MTL QB,QB,,6.0,,,,9.0,2234.0,,,,,,,
mackie-david,"Mackie, David",FB,,,,,,,,,0.0,27.0,4.0,0.0,3.0,
maier-jake,"Maier, Jake",QB,,6.0,,,,10.0,1759.0,,,,,0.0,39.0,
malik-henry,Malik Henry,WR/QB,,,,,,,,,7.0,829.0,49.0,0.0,9.0,
marshall-jalin,"Marshall, Jalin",WR,,,,,,,,,0.0,24.0,5.0,,,
mccrae-greg,"McCrae, Greg",RB,,,,,,,,,1.0,147.0,13.0,0.0,164.0,
mcleod-bethel-thompson,McLeod Bethel-Thompson,QB,,8.0,,,,15.0,4175.0,,,,,0.0,166.0,
mike-miller,Mike Miller,FB/P,,,,,,,,,,,,1.0,2.0,
mitchell-bo-levi,"Mitchell, Bo Levi",QB,,5.0,,,,7.0,1697.0,,,,,0.0,26.0,
moore-kyran,"Moore, Kyran",WR,,,,,,,,,0.0,260.0,33.0,,,
morrow-jamal,"Morrow, Jamal",RB,,,,,,,,,1.0,311.0,35.0,1.0,477.0,
nelson-charles,"Nelson, Charles",WR,,,,,,,,,0.0,18.0,2.0,0.0,15.0,
newman-jamie,"Newman, Jamie",QB,,0.0,,,,1.0,69.0,,,,,3.0,56.0,
nield-tommy,"Nield, Tommy",WR,,,,,,,,,1.0,168.0,8.0,,,
noel-llevi,"Noel, Llevi",WR,,,,,,,,,0.0,110.0,3.0,,,
normand-christophe,"Normand, Christophe",FB,,,,,,,,,0.0,5.0,2.0,0.0,21.0,
o39connor-mitch,"O&#39;Connor, Mitch",WR/QB,,1.0,,,,0.0,63.0,,,,,1.0,1.0,
oliveira-brady,"OLIVEIRA, Brady",RB,,,,,,,,,0.0,160.0,16.0,4.0,953.0,
ott-dst,OTT DST,DST,,,9.0,,,,,378.0,,,,,,38.0
ott-qb,OTT QB,QB,,5.0,,,,9.0,2447.0,,,,,,,
ouellette-aj,"OUELLETTE, A.J.",RB,,,,,,,,,1.0,264.0,31.0,2.0,454.0,
osei-kusi-chris,"Osei-Kusi, Chris",WR,,,,,,,,,0.0,71.0,5.0,,,
oleary-orange-brendan,"O’Leary-Orange, Brendan",WR,,,,,,,,,0.0,161.0,15.0,,,
paredes-rene,"PAREDES, Rene",K,1536.0,,,,5.0,,,,,,,,,
philpot-tyson,"PHILPOT, Tyson",WR,,,,,,,,,2.0,364.0,30.0,0.0,16.0,
picton-mitchell,"PICTON, Mitchell",WR,,,,,,,,,1.0,139.0,11.0,,,
petermann-daniel,"Petermann, Daniel",WR,,,,,,,,,0.0,5.0,1.0,,,
phillips-cam,"Phillips, Cam",WR,,,,,,,,,3.0,378.0,24.0,,,
pipkin-antonio,"Pipkin, Antonio",QB,,1.0,,,,1.0,281.0,,,,,7.0,111.0,
powell-william,"Powell, William",RB,,,,,,,,,0.0,42.0,8.0,1.0,296.0,
prall-jakob,"Prall, Jakob",WR,,,,,,,,,0.0,77.0,7.0,,,
rhymes-dominique,"RHYMES, Dominique",WR,,,,,,,,,9.0,1175.0,72.0,,,
rourke-nathan,"ROURKE, Nathan",QB,,10.0,,,,21.0,2913.0,,0.0,-4.0,1.0,7.0,289.0,
raphael-leonard,Raphael Leonard,WR,,,,,,,,,0.0,5.0,1.0,,,
richie-sindani,Richie Sindani,WR,,,,,,,,,1.0,220.0,22.0,,,
rogers-eric,"Rogers, Eric",WR,,,,,,,,,0.0,30.0,3.0,,,
ross-shai,"Ross, Shai",WR,,,,,,,,,0.0,0.0,0.0,,,
schaffer-baker-kian,"SCHAFFER-BAKER, Kian",WR,,,,,,,,,4.0,714.0,55.0,0.0,58.0,
schoen-dalton,"SCHOEN, Dalton",WR,,,,,,,,,10.0,1053.0,54.0,0.0,3.0,
shiltz-matt,"SHILTZ, Matt",QB,,2.0,,,,3.0,647.0,,0.0,37.0,3.0,1.0,147.0,
smith-kiondre,"SMITH, Kiondre",WR,,,,,,,,,1.0,202.0,13.0,,,
ssk-dst,SSK DST,DST,,,11.0,,,,,425.0,,,,,,25.0
ssk-qb,SSK QB,QB,,9.0,,,,14.0,2664.0,,,,,,,
stanback-william,"STANBACK, William",RB,,,,,,,,,1.0,58.0,5.0,1.0,110.0,
saulsberry-christian,"Saulsberry, Christian",RB,,,,,,,,,,,,0.0,7.0,
scarfone-jacob,"Scarfone, Jacob",WR,,,,,,,,,0.0,124.0,9.0,,,
siaosi-mariner,Siaosi Mariner,WR,,,,,,,,,1.0,90.0,6.0,,,
simmons-austin,"Simmons, Austin",QB,,,,,,,,,,,,0.0,0.0,
small-seth,"Small, Seth",K,1031.0,,,,3.0,,,,,,,,,
smith-tevaun,"Smith, Tevaun",WR,,,,,,,,,2.0,145.0,13.0,,,
sonnier-malik,"Sonnier, Malik",DB,,,,,,,,,,,,0.0,5.0,
steven-dunbar-jr,Steven Dunbar Jr.,WR,,,,,,,,,5.0,790.0,55.0,,,
ternowski-tyler,"TERNOWSKI, Tyler",WR,,,,,,,,,0.0,155.0,12.0,,,
thomas-erlington-sean,"THOMAS ERLINGTON, Sean",RB,,,,,,,,,0.0,115.0,16.0,1.0,263.0,
tor-dst,TOR DST,DST,,,22.0,,,,,359.0,,,,,,31.0
tor-qb,TOR QB,QB,,9.0,,,,14.0,3026.0,,,,,,,
tuck-james,"Tuck, James",FB,,,,,,,,,0.0,38.0,4.0,,,
ungerer-iii-david,"UNGERER III, David",WR,,,,,,,,,1.0,167.0,14.0,,,
vandervoort-danny,"Vandervoort, Danny",WR,,,,,,,,,1.0,75.0,8.0,,,
white-jr-reggie,"WHITE JR., Reggie",WR,,,,,,,,,2.0,709.0,52.0,,,
whyte-sean,"WHYTE, Sean",K,873.0,,,,3.0,,,,,,,,,
wolitarsky-drew,"WOLITARSKY, Drew",WR,,,,,,,,,1.0,403.0,31.0,,,
wpg-dst,WPG DST,DST,,,15.0,,,,,360.0,,,,,,32.0
wpg-qb,WPG QB,QB,,7.0,,,,17.0,2437.0,,,,,,,
walker-derel,"Walker, Derel",WR,,,,,,,,,1.0,708.0,54.0,,,
ward-lewis,"Ward, Lewis",K,1148.0,,,,7.0,,,,,,,,,
white-papi,"White, Papi",WR,,,,,,,,,0.0,150.0,18.0,0.0,-2.0,
white-tim,"White, Tim",WR,,,,,,,,,7.0,973.0,69.0,0.0,50.0,
whitehead-lucky,"Whitehead, Lucky",WR,,,,,,,,,3.0,876.0,66.0,0.0,6.0,
wieneke-jake,"Wieneke, Jake",WR,,,,,,,,,2.0,534.0,41.0,,,
wilder-jr-james,"Wilder Jr., James",RB,,,,,,,,,0.0,82.0,8.0,0.0,84.0,
williams-d39haquille,"Williams, D&#39;haquille",WR,,,,,,,,,4.0,480.0,29.0,,,
worthy-chandler,"Worthy, Chandler",WR,,,,,,,,,0.0,32.0,4.0,0.0,6.0,
