player_id,player_name,positions,events_played,pdga_points,pdga_rating
a-eagle,A. Eagle,MPO,4.0,835.0,978.0
a-eaton,A. Eaton,MPO,7.0,517.0,947.0
a-eldredge,A. Eldredge,MPO,10.0,797.0,951.0
a-elliott,A. Elliott,MPO,34.0,4615.0,973.0
a-enden,A. Enden,MPO,7.0,898.0,948.0
a-engstrom,A. Engström,MPO,14.0,855.0,941.0
a-ensenat,A. Enseñat,MPO,10.0,1050.0,946.0
a-erickson,A. Erickson,MPO,9.0,1617.0,982.0
a-evers,A. Evers,MPO,6.0,870.0,900.0
a-faber,A. Faber,MPO,25.0,22955.0,1021.0
a-fahey,A. Fahey,MPO,19.0,577.0,912.0
a-falzone,A. Falzone,MPO,5.0,1022.0,973.0
a-fegley,A. Fegley,MPO,5.0,824.0,937.0
a-filimoehala,A. Filimoehala,MPO,12.0,1185.0,934.0
a-finnsson,A. Finnsson,MPO,24.0,9955.0,989.0
a-fish,A. Fish,MPO,25.0,3362.0,1006.0
a-fisher,A. Fisher,MPO,7.0,830.0,949.0
a-fitzpatrick,A. Fitzpatrick,MPO,16.0,9417.0,994.0
a-fleming,A. Fleming,MPO,8.0,775.0,971.0
a-foley,A. Foley,MPO,33.0,21897.0,1013.0
a-folz,A. Folz,MPO,6.0,610.0,886.0
a-fonk,A. Fonk,MPO,5.0,1395.0,967.0
a-ford,A. Ford,MPO,14.0,1507.0,924.0
a-fritz,A. Fritz,MPO,10.0,1252.0,944.0
a-froese,A. Froese,MPO,6.0,527.0,932.0
a-gade,A. Gade,MPO,4.0,945.0,942.0
a-gallagher,A. Gallagher,MPO,18.0,1020.0,938.0
a-gallegos,A. Gallegos,MPO,12.0,597.0,923.0
a-garza,A. Garza,MPO,15.0,847.0,950.0
a-geisinger,A. Geisinger,MPO,20.0,1512.0,967.0
a-george,A. George,MPO,9.0,924.0,896.0
a-gerbec,A. Gerbec,MPO,20.0,1247.0,957.0
a-gerlock,A. Gerlock,MPO,11.0,1006.0,882.0
a-gertsch,A. Gertsch,MPO,5.0,770.0,954.0
a-ginn,A. Ginn,MPO,7.0,568.0,933.0
a-gonzalez,A. Gonzalez,MPO/LB,22.0,2207.0,938.0
a-goodman,A. Goodman,MPO,5.0,1465.0,999.0
a-gossage,A. Gossage,MPO,12.0,1300.0,976.0
a-green,A. Green,MPO,8.0,568.0,921.0
a-grimes,A. Grimes,MPO,5.0,1292.0,941.0
a-guillory,A. Guillory,MPO,10.0,577.0,956.0
a-gulbranson,A. Gulbranson,MPO,2.0,545.0,960.0
a-gulliksen,A. Gulliksen,MPO,4.0,525.0,917.0
a-guthrie,A. Guthrie,MPO,8.0,822.0,936.0
a-gutierrez,A. Gutierrez,MPO,13.0,1287.0,976.0
a-gyllensvard,A. Gyllensvärd,MPO,6.0,670.0,952.0
a-hakkarainen,A. Hakkarainen,MPO,14.0,829.0,946.0
a-halford,A. Halford,MPO,17.0,725.0,926.0
a-halmeenmaki,A. Halmeenmäki,MPO,5.0,538.0,896.0
a-halse,A. Halse,MPO,16.0,1712.0,921.0
a-hammerschmith,A. Hammerschmith,MPO,7.0,500.0,923.0
a-hammes,A. Hammes,MPO,7.0,2877.0,982.0
a-hannum,A. Hannum,MPO,19.0,1495.0,949.0
a-harris,A. Harris,MPO,17.0,945.0,957.0
a-hassan,A. Hassan,MPO,4.0,513.0,908.0
a-haugen,A. Haugen,MPO,6.0,916.0,988.0
a-havnegjerde,A. Havnegjerde,MPO,8.0,735.0,953.0
a-heikkila,A. Heikkilä,MPO,4.0,760.0,958.0
a-hendry,A. Hendry,MPO,2.0,1135.0,947.0
a-hennebry,A. Hennebry,MPO,17.0,1075.0,961.0
a-herbert,A. Herbert,MPO,4.0,510.0,971.0
a-hermosillo,A. Hermosillo,MPO,11.0,2422.0,979.0
a-herr,A. Herr,MPO,23.0,1145.0,962.0
a-herrera,A. Herrera,MPO,2.0,1150.0,940.0
a-heston,A. Heston,MPO,5.0,540.0,874.0
a-hieb,A. Hieb,MPO,5.0,1282.0,958.0
a-hill,A. Hill,MPO,6.0,1362.0,951.0
a-homer,A. Homer,MPO,5.0,1682.0,961.0
a-hoop,A. Hoop,MPO,13.0,1855.0,952.0
a-hooper,A. Hooper,MPO,18.0,1265.0,968.0
a-housewright,A. Housewright,MPO,12.0,1450.0,961.0
a-howard,A. Howard,MPO,9.0,1282.0,940.0
a-hughes,A. Hughes,MPO,11.0,657.0,953.0
a-hurd,A. Hurd,MPO,7.0,1445.0,969.0
a-hyde,A. Hyde,MPO,5.0,589.0,897.0
a-hytten,A. Hytten,MPO,10.0,4420.0,1005.0
a-ippolito,A. Ippolito,MPO,11.0,1505.0,936.0
a-jackson,A. Jackson,MPO,2.0,480.0,923.0
a-jansson,A. Jansson,MPO,14.0,1997.0,969.0
a-jenkins,A. Jenkins,MPO,8.0,4925.0,1006.0
a-johnson,A. Johnson,MPO,40.0,4050.0,1978.0
a-jurivete,A. Jürivete,MPO,18.0,3330.0,978.0
a-kaluk,A. Kaluk,MPO,8.0,1127.0,959.0
a-kappling,A. Kappling,MPO,13.0,668.0,964.0
a-karhi,A. Karhi,MPO,3.0,550.0,975.0
a-kelleher,A. Kelleher,MPO,12.0,915.0,922.0
a-kenny,A. Kenny,MPO,5.0,727.0,982.0
a-kicinski,A. Kicinski,MPO,6.0,1665.0,921.0
a-king,A. King,MPO,14.0,1160.0,899.0
a-kirby,A. Kirby,MPO,4.0,1042.0,968.0
a-klun,A. Klun,MPO,9.0,525.0,966.0
a-knighton,A. Knighton,MPO,12.0,1070.0,937.0
a-konichek,A. Konichek,MPO,32.0,3294.0,945.0
a-kopiloff,A. Kopiloff,MPO,9.0,667.0,953.0
a-korhonen,A. Korhonen,MPO,11.0,1480.0,948.0
a-koskela,A. Koskela,MPO,4.0,1082.0,946.0
a-kote,A. Kote,MPO,14.0,768.0,991.0
a-kotilainen,A. Kotilainen,MPO,28.0,3470.0,959.0
a-kozhin,A. Kozhin,MPO,1.0,540.0,949.0
a-krainov,A. Krainov,MPO,17.0,822.0,922.0
a-krause,A. Krause,MPO,18.0,712.0,913.0
a-kroenlein,A. Kroenlein,MPO,11.0,2315.0,973.0
a-krakenes,A. Kråkenes,MPO,4.0,600.0,929.0
a-kviding,A. Kviding,MPO,1.0,540.0,908.0
a-laforge,A. LaForge,MPO,7.0,570.0,942.0
a-lackey,A. Lackey,MPO,9.0,490.0,969.0
a-ladwig,A. Ladwig,MPO,15.0,517.0,978.0
a-lamonica,A. Lamonica,MPO,2.0,1130.0,984.0
a-langlois,A. Langlois,MPO,3.0,532.0,944.0
a-lankford,A. Lankford,MPO,5.0,717.0,952.0
a-lara-jr,A. Lara Jr,MPO,6.0,1077.0,964.0
a-leighton,A. Leighton,MPO,11.0,1416.0,908.0
a-lentz,A. Lentz,MPO,3.0,675.0,931.0
a-leyland,A. Leyland,MPO,1.0,1304.0,944.0
a-lian,A. Lian,MPO,11.0,1845.0,950.0
a-lilly,A. Lilly,MPO,5.0,802.0,937.0
a-lindberg,A. Lindberg,MPO,8.0,527.0,949.0
a-lindh,A. Lindh,MPO,3.0,967.0,960.0
a-lindstrom,A. Lindström,MPO,23.0,3877.0,994.0
a-littrell,A. Littrell,MPO,30.0,2217.0,931.0
a-lockridge,A. Lockridge,MPO,2.0,1394.0,926.0
a-logue,A. Logue,MPO,8.0,1930.0,905.0
a-lohtander,A. Lohtander,MPO,32.0,3252.0,951.0
a-lombardo,A. Lombardo,MPO,8.0,797.0,973.0
a-longpre,A. Longpré,MPO,7.0,935.0,927.0
a-lopez-jr,A. Lopez Jr,MPO,11.0,1607.0,981.0
a-lowrie,A. Lowrie,MPO,9.0,717.0,983.0
a-lyon,A. Lyon,MPO,10.0,2562.0,974.0
a-lytle,A. Lytle,MPO,14.0,1113.0,955.0
a-langh,A. Långh,MPO,8.0,2810.0,970.0
a-mabbutt,A. Mabbutt,MPO,2.0,572.0,950.0
a-main,A. Main,MPO,22.0,4190.0,963.0
a-marbes,A. Marbes,MPO,8.0,1162.0,932.0
a-markkanen,A. Markkanen,MPO,7.0,1410.0,995.0
a-marquardt,A. Marquardt,MPO,12.0,1295.0,976.0
a-marshall,A. Marshall,MPO,46.0,11262.0,1004.0
a-martin,A. Martin,MPO,8.0,882.0,972.0
a-martinez-jr,A. Martinez Jr,MPO,9.0,1260.0,939.0
a-marttala,A. Marttala,MPO,18.0,5925.0,967.0
a-marwede,A. Marwede,MPO,13.0,1608.0,914.0
a-mayorga,A. Mayorga,MPO,8.0,1293.0,886.0
a-mcjunkin,A. McJunkin,MPO,15.0,5607.0,988.0
a-mclaughlin,A. McLaughlin,MPO,6.0,690.0,930.0
a-mcmullen,A. McMullen,MPO,21.0,3962.0,970.0
a-mcnabb,A. McNabb,MPO,14.0,2927.0,1012.0
a-mcpherson,A. McPherson,MPO,16.0,3757.0,985.0
a-meo,A. Meo,MPO,12.0,2762.0,973.0
a-mertanen,A. Mertanen,MPO,12.0,1304.0,948.0
a-mesick,A. Mesick,MPO,7.0,1186.0,931.0
a-mieir,A. Mieir,MPO,13.0,1552.0,941.0
a-miller,A. Miller,MPO,5.0,681.0,879.0
a-montgomery,A. Montgomery,MPO,6.0,502.0,943.0
a-moody,A. Moody,MPO,9.0,544.0,875.0
a-moorits,A. Moorits,MPO,5.0,530.0,942.0
a-morrison,A. Morrison,MPO,15.0,2085.0,1846.0
a-muniz,A. Muniz,MPO,37.0,4702.0,1944.0
a-muller,A. Müller,MPO,10.0,1992.0,907.0
a-nava,A. Nava,MPO,3.0,580.0,970.0
a-neumann,A. Neumann,MPO,8.0,565.0,979.0
a-newberry,A. Newberry,MPO,8.0,668.0,967.0
a-nichols,A. Nichols,MPO,5.0,595.0,983.0
a-noble,A. Noble,MPO,8.0,666.0,866.0
a-nordgren,A. Nordgren,MPO,19.0,3382.0,966.0
a-nemeth,A. Németh,MPO,15.0,1410.0,994.0
a-omalley,A. O'Malley,MPO,3.0,755.0,937.0
a-olsen,A. Olsen,MPO,47.0,16900.0,1917.0
a-ortfelt,A. Ortfelt,MPO,11.0,677.0,927.0
a-owings,A. Owings,MPO,9.0,2458.0,925.0
a-pacheco,A. Pacheco,MPO,12.0,3050.0,987.0
a-paloniemi,A. Paloniemi,MPO,4.0,617.0,947.0
a-pantzer,A. Pantzer,MPO,1.0,544.0,912.0
a-paulson,A. Paulson,MPO,2.0,2100.0,992.0
a-pelletier,A. Pelletier,MPO,11.0,730.0,947.0
a-penca,A. Penca,MPO,8.0,680.0,889.0
a-penttala,A. Penttala,MPO,11.0,1448.0,961.0
a-pereyra,A. Pereyra,MPO,18.0,2042.0,955.0
a-perkins,A. Perkins,MPO,20.0,5242.0,1871.0
a-pertsov,A. Pertsov,MPO,31.0,3495.0,940.0
a-peterman,A. Peterman,MPO,9.0,1020.0,903.0
a-peterson,A. Peterson,MPO,7.0,2162.0,935.0
a-pevear,A. Pevear,MPO,20.0,1772.0,948.0
a-phillips,A. Phillips,MPO,10.0,1256.0,937.0
a-pihelgas,A. Pihelgas,MPO,19.0,1285.0,962.0
a-piper,A. Piper,MPO,6.0,727.0,906.0
a-pistora,A. Pistora,MPO,9.0,828.0,935.0
a-pontieux,A. Pontieux,MPO,16.0,1662.0,968.0
a-presnell,A. Presnell,MPO,6.0,992.0,957.0
a-pugh,A. Pugh,MPO,4.0,725.0,987.0
a-puksa,A. Puksa,MPO,13.0,1322.0,926.0
a-quigg,A. Quigg,MPO,9.0,622.0,938.0
a-ragsdale,A. Ragsdale,MPO,17.0,3010.0,965.0
a-reignier,A. Reignier,MPO,8.0,1055.0,991.0
a-rembert,A. Rembert,MPO,18.0,3087.0,986.0
a-reynolds,A. Reynolds,MPO,2.0,2115.0,993.0
a-rich,A. Rich,MPO,16.0,916.0,970.0
a-risley,A. Risley,MPO,30.0,4360.0,989.0
a-ritter,A. Ritter,MPO,12.0,1120.0,984.0
a-robertson,A. Robertson,MPO,9.0,1674.0,878.0
a-robin,A. Robin,MPO,16.0,2955.0,950.0
a-rodriguez,A. Rodriguez,MPO,11.0,1632.0,1902.0
a-romanelli,A. Romanelli,MPO,9.0,1645.0,960.0
a-rowley,A. Rowley,MPO,10.0,740.0,986.0
a-rullis,A. Rullis,MPO,8.0,1064.0,955.0
a-runge,A. Runge,MPO,9.0,1457.0,946.0
a-rusinek,A. Rusinek,MPO,7.0,497.0,956.0
a-russell,A. Russell,MPO,6.0,635.0,956.0
a-ruuskanen,A. Ruuskanen,MPO,15.0,730.0,934.0
a-rasanen,A. Räsänen,MPO,16.0,942.0,972.0
a-sakash,A. Sakash,MPO,12.0,1700.0,975.0
a-salado,A. Salado,MPO,4.0,650.0,973.0
a-salamanca,A. Salamanca,MPO,2.0,535.0,932.0
a-salazar,A. Salazar,MPO,4.0,480.0,937.0
a-sanchez,A. Sanchez,MPO,16.0,8805.0,1006.0
a-sandvik,A. Sandvik,MPO,3.0,490.0,946.0
a-sarajarvi,A. Sarajärvi,MPO,10.0,1188.0,917.0
a-savage,A. Savage,MPO,27.0,2665.0,1878.0
a-schafer,A. Schafer,MPO,5.0,1276.0,949.0
a-schlinke,A. Schlinke,MPO,12.0,1637.0,975.0
a-schneiter,A. Schneiter,MPO,9.0,866.0,936.0
a-schrader,A. Schrader,MPO,4.0,562.0,923.0
a-schultz,A. Schultz,MPO,19.0,3482.0,985.0
a-scott,A. Scott,MPO,15.0,559.0,873.0
a-seamon,A. Seamon,MPO,9.0,760.0,937.0
a-semert,A. Semert,MPO,11.0,1877.0,955.0
a-severson,A. Severson,MPO,5.0,667.0,947.0
a-sharp,A. Sharp,MPO,10.0,608.0,916.0
a-shepard,A. Shepard,MPO,10.0,2946.0,953.0
a-shorey,A. Shorey,MPO,10.0,1097.0,965.0
a-shurtleff,A. Shurtleff,MPO,6.0,576.0,892.0
a-singer,A. Singer,MPO,13.0,1635.0,929.0
a-sirmacis,A. Sirmacis,MPO,15.0,1217.0,972.0
a-sollenby,A. Sollenby,MPO,11.0,2235.0,976.0
a-spangler,A. Spangler,MPO,18.0,700.0,939.0
a-spier,A. Spier,MPO,24.0,3427.0,966.0
a-spradlin,A. Spradlin,MPO,8.0,547.0,971.0
a-springman,A. Springman,MPO,10.0,770.0,949.0
a-stanton,A. Stanton,MPO,7.0,3097.0,962.0
a-steiner,A. Steiner,MPO,5.0,485.0,940.0
a-stevens,A. Stevens,MPO,25.0,12135.0,1979.0
a-sudzukovic,A. Sudžukovic,MPO,19.0,8655.0,991.0
a-sullivan,A. Sullivan,MPO,7.0,2950.0,990.0
a-swander,A. Swander,MPO,17.0,3640.0,941.0
a-sward,A. Swärd,MPO,15.0,6395.0,1005.0
a-saker,A. Säker,MPO,7.0,730.0,926.0
a-tabaczynski,A. Tabaczynski,MPO,11.0,538.0,905.0
a-tamm,A. Tamm,MPO,11.0,1880.0,984.0
a-tellbe,A. Tellbe,MPO,6.0,1098.0,918.0
a-tervo,A. Tervo,MPO,2.0,3160.0,987.0
a-tews,A. Tews,MPO,17.0,1776.0,912.0
a-theodore,A. Theodore,MPO,11.0,822.0,906.0
a-threadgill,A. Threadgill,MPO,10.0,1227.0,929.0
a-torres,A. Torres,MPO,19.0,1292.0,957.0
a-tuomi,A. Tuomi,MPO,8.0,1050.0,957.0
a-turner,A. Turner,MPO,9.0,1270.0,969.0
a-turpeinen,A. Turpeinen,MPO,14.0,800.0,955.0
a-tougjas-manniste,A. Tõugjas-Männiste,MPO,11.0,1404.0,902.0
a-vaiculs,A. Vaiculs,MPO,1.0,672.0,937.0
a-van-matre,A. Van Matre,MPO,9.0,2425.0,990.0
a-vandivier,A. Vandivier,MPO,1.0,780.0,916.0
a-vanstone,A. Vanstone,MPO,9.0,1860.0,963.0
a-vedde,A. Vedde,MPO,8.0,792.0,912.0
a-vesala,A. Vesala,MPO,8.0,708.0,923.0
a-vigeant,A. Vigeant,MPO,17.0,5232.0,936.0
a-viherpuu,A. Viherpuu,MPO,6.0,603.0,891.0
a-viklund,A. Viklund,MPO,1.0,780.0,916.0
a-villanueva,A. Villanueva,MPO,15.0,2055.0,959.0
a-villarreal,A. Villarreal,MPO,6.0,595.0,922.0
a-virgile,A. Virgile,MPO,7.0,2032.0,960.0
a-vooremaa,A. Vooremaa,MPO,6.0,780.0,972.0
a-vosburgh,A. Vosburgh,MPO,1.0,660.0,924.0
a-vahi,A. Vähi,MPO,5.0,745.0,950.0
a-wadlington,A. Wadlington,MPO,6.0,543.0,868.0
a-wagner,A. Wagner,MPO,9.0,4622.0,943.0
a-wallen,A. Wallen,MPO,5.0,607.0,949.0
a-wallman,A. Wallman,MPO,13.0,1815.0,989.0
a-walls,A. Walls,MPO,5.0,655.0,944.0
a-walther,A. Walther,MPO,9.0,1947.0,995.0
a-webb,A. Webb,MPO,3.0,510.0,947.0
a-west,A. West,MPO,22.0,1445.0,914.0
a-white,A. White,MPO,6.0,3194.0,932.0
a-widman,A. Widman,MPO,10.0,1135.0,963.0
a-wiese,A. Wiese,MPO,5.0,5745.0,944.0
a-wikert,A. Wikert,MPO,13.0,1090.0,960.0
a-williamson,A. Williamson,MPO,12.0,747.0,972.0
a-windbiel,A. Windbiel,MPO,7.0,496.0,920.0
a-winka,A. Winka,MPO,12.0,1515.0,946.0
a-wold,A. Wold,MPO,8.0,496.0,873.0
a-wolfsohn,A. Wolfsohn,MPO,27.0,1675.0,944.0
a-woodward,A. Woodward,MPO,3.0,832.0,921.0
a-yang,A. Yang,MPO,11.0,486.0,926.0
a-zamora,A. Zamora,MPO,10.0,1445.0,935.0
a-zapata,A. Zapata,MPO,7.0,1360.0,945.0
a-zart,A. Zart,MPO,24.0,717.0,935.0
a-zinkevicius,A. Zinkevičius,MPO,12.0,2070.0,997.0
a-alvarez-menendez,A. Álvarez Menendez,MPO,7.0,554.0,909.0
alexander-boes,Alexander Boes,MPO/LB/DT,34.0,27304.0,1985.0
andrew-roy,Andrew Roy,P/MPO,5.0,1500.0,926.0
b-aastradsen,B. Aastradsen,MPO,5.0,1365.0,920.0
b-abbinett,B. Abbinett,MPO,6.0,1522.0,980.0
b-aleksieiev,B. Aleksieiev,MPO,15.0,990.0,971.0
b-allen,B. Allen,MPO,3.0,485.0,959.0
b-amann,B. Amann,MPO,26.0,2070.0,918.0
b-anderson,B. Anderson,MPO,2.0,1432.0,955.0
b-arlinghaus,B. Arlinghaus,MPO,3.0,2725.0,965.0
b-armstrong,B. Armstrong,MPO,2.0,630.0,904.0
b-ashcraft,B. Ashcraft,MPO,12.0,1770.0,919.0
b-atkinson,B. Atkinson,MPO,27.0,3997.0,1899.0
b-babic,B. Babic,MPO,12.0,1267.0,926.0
b-balcer,B. Balcer,MPO,7.0,740.0,951.0
b-barker,B. Barker,MPO,21.0,3510.0,1885.0
b-baumgartner,B. Baumgartner,MPO,12.0,1196.0,958.0
b-baustian,B. Baustian,MPO,14.0,700.0,967.0
b-beatty,B. Beatty,MPO,9.0,650.0,972.0
b-becker,B. Becker,MPO,10.0,792.0,965.0
b-belanger,B. Belanger,MPO,9.0,496.0,871.0
b-bertera,B. Bertera,MPO,25.0,23750.0,1017.0
b-best,B. Best,MPO,5.0,1165.0,952.0
b-betit,B. Betit,MPO,7.0,1722.0,954.0
b-bjarnason,B. Bjarnason,MPO,7.0,822.0,994.0
b-bond,B. Bond,MPO,5.0,1338.0,901.0
b-bostwick,B. Bostwick,MPO,9.0,927.0,967.0
b-bottaro,B. Bottaro,MPO,25.0,3822.0,980.0
b-bowsky,B. Bowsky,MPO,1.0,920.0,955.0
b-boyter,B. Boyter,MPO,8.0,745.0,988.0
b-brice,B. Brice,MPO,7.0,857.0,987.0
b-brown,B. Brown,MPO,55.0,13507.0,3833.0
b-butler,B. Butler,MPO,1.0,1216.0,939.0
b-bilek,B. Bílek,MPO,8.0,505.0,964.0
b-bohm,B. Böhm,MPO,4.0,1005.0,975.0
b-caldwell,B. Caldwell,MPO,8.0,483.0,865.0
b-callaway,B. Callaway,MPO,12.0,4316.0,932.0
b-camarillo,B. Camarillo,MPO,6.0,1355.0,924.0
b-canning,B. Canning,MPO,4.0,625.0,933.0
b-cannon,B. Cannon,MPO,20.0,6605.0,1003.0
b-carder,B. Carder,MPO,11.0,610.0,949.0
b-carleton,B. Carleton,MPO,3.0,1150.0,933.0
b-carpenter,B. Carpenter,MPO,5.0,660.0,921.0
b-casarotto,B. Casarotto,MPO,10.0,7465.0,1015.0
b-castillo,B. Castillo,MPO,13.0,712.0,925.0
b-caudle,B. Caudle,MPO,8.0,510.0,937.0
b-cavanaugh,B. Cavanaugh,MPO,4.0,518.0,909.0
b-cawthorne,B. Cawthorne,MPO,6.0,685.0,925.0
b-charles,B. Charles,MPO,13.0,2080.0,954.0
b-christopher,B. Christopher,MPO,8.0,915.0,891.0
b-cislo,B. Cislo,MPO,13.0,534.0,970.0
b-clark,B. Clark,MPO,11.0,1962.0,995.0
b-cleveland,B. Cleveland,MPO,7.0,1375.0,968.0
b-cobb,B. Cobb,MPO,5.0,712.0,977.0
b-cole,B. Cole,MPO,5.0,3205.0,970.0
b-cook,B. Cook,MPO,4.0,1172.0,1903.0
b-coolidge,B. Coolidge,MPO,7.0,860.0,935.0
b-cordell,B. Cordell,MPO,23.0,2087.0,991.0
b-cornish,B. Cornish,MPO,4.0,1932.0,945.0
b-corno,B. Corno,MPO,4.0,517.0,958.0
b-costa,B. Costa,MPO,11.0,614.0,990.0
b-cowperthwait,B. Cowperthwait,MPO,5.0,1432.0,966.0
b-crane,B. Crane,MPO,18.0,3287.0,991.0
b-creger,B. Creger,MPO,19.0,3705.0,1001.0
b-crow,B. Crow,MPO,4.0,555.0,938.0
b-cummings,B. Cummings,MPO,8.0,2140.0,985.0
b-dallar-malburg,B. Dallar-Malburg,MPO,18.0,1780.0,984.0
b-damerjian,B. Damerjian,MPO,4.0,530.0,942.0
b-dames,B. Dames,MPO,7.0,562.0,964.0
b-davis,B. Davis,MPO,7.0,997.0,977.0
b-demarino,B. DeMarino,MPO,14.0,1245.0,941.0
b-delhomme,B. Delhomme,MPO,6.0,637.0,939.0
b-dellek,B. Dellek,MPO,11.0,660.0,957.0
b-dickey,B. Dickey,MPO,5.0,630.0,915.0
b-dowdy,B. Dowdy,MPO,10.0,1427.0,997.0
b-downs,B. Downs,MPO,8.0,640.0,938.0
b-drogue,B. Drogue,MPO,3.0,1596.0,922.0
b-dudney,B. Dudney,MPO,6.0,1015.0,942.0
b-dunham,B. Dunham,MPO,5.0,4870.0,962.0
b-earhart,B. Earhart,MPO,6.0,582.0,946.0
b-edwards,B. Edwards,MPO,31.0,3042.0,966.0
b-elam,B. Elam,MPO,12.0,1840.0,943.0
b-elsberry,B. Elsberry,MPO,4.0,502.0,925.0
b-engel,B. Engel,MPO,13.0,1497.0,987.0
b-enoks-rimsby,B. Enoks Rimsby,MPO,7.0,765.0,948.0
b-erdley,B. Erdley,MPO,1.0,795.0,946.0
b-eriksen,B. Eriksen,MPO,8.0,522.0,898.0
b-esquivel,B. Esquivel,MPO,9.0,1672.0,981.0
b-estrada,B. Estrada,MPO,16.0,619.0,890.0
b-evans,B. Evans,MPO,1.0,1048.0,901.0
b-farquhar,B. Farquhar,MPO,17.0,1217.0,975.0
b-farrington,B. Farrington,MPO,43.0,2937.0,961.0
b-farris,B. Farris,MPO,5.0,702.0,983.0
b-faunce,B. Faunce,MPO,5.0,562.0,901.0
b-fiege,B. Fiege,MPO,4.0,1076.0,1008.0
b-fox,B. Fox,MPO,14.0,950.0,938.0
b-freese,B. Freese,MPO,40.0,5637.0,1921.0
b-fulford,B. Fulford,MPO,19.0,1882.0,911.0
b-furstenberg,B. Furstenberg,MPO,14.0,1294.0,938.0
b-garrett,B. Garrett,MPO,17.0,2127.0,989.0
b-gilmette,B. Gilmette,MPO,9.0,617.0,970.0
b-gleason,B. Gleason,MPO,1.0,1380.0,959.0
b-good,B. Good,MPO,21.0,2807.0,935.0
b-gort,B. Gort,MPO,5.0,602.0,943.0
b-gossett,B. Gossett,MPO,2.0,2015.0,953.0
b-goulas,B. Goulas,MPO,18.0,1302.0,925.0
b-green,B. Green,MPO,10.0,517.0,946.0
b-greenhow,B. Greenhow,MPO,2.0,490.0,974.0
