rank,canonical_id,canonical_name,positions,passing_yards,passing_tds,completions,interceptions_lost
67,new-jersey-qb,New Jersey QB,QB,1598.0,10.0,0,5.0
68,mason-fine,Mason Fine,QB,1565.0,6.0,0,8.0
69,danny-etling,Danny Etling,QB,1560.0,9.0,0,7.0
70,javin-kilgo,Javin Kilgo,QB,1545.0,22.0,0,3.0
71,cole-kelley,Cole Kelley,QB,1533.0,7.0,0,7.0
72,jarret-doege,Jarret DOEGE,QB,1498.0,8.0,0,11.0
73,chris-streveler,Chris STREVELER,QB,1451.0,7.0,0,12.0
74,austin-reed,Austin Reed,QB,1360.0,13.0,0,7.0
75,jack-plummer,Jack Plummer,QB,1321.0,10.0,0,1.0
76,paxton-lynch,Paxton Lynch,QB,1298.0,9.0,0,5.0
77,reid-sinnett,Reid Sinnett,QB,1233.0,6.0,0,5.0
78,fred-payton,Fred Payton,QB,1229.0,27.0,0,9.0
79,houston-qb,Houston QB,QB,1161.0,12.0,0,8.0
80,nolan-henderson,Nolan Henderson,QB,1156.0,4.0,0,3.0
81,chase-garbers,Chase Garbers,QB,1079.0,8.0,0,3.0
82,clayton-thorson,Clayton Thorson,QB,987.0,10.0,0,7.0
83,kellen-mond,Kellen Mond,QB,849.0,2.0,0,2.0
84,rakeem-cato,Rakeem Cato,QB,837.0,16.0,0,0
85,dresser-winn,Dresser Winn,QB,834.0,3.0,0,4.0
86,manny-wilkins,Manny Wilkins,QB,819.0,2.0,0,6.0
87,jason-bean,Jason Bean,QB,819.0,4.0,0,3.0
88,harrison-frost,Harrison FROST,QB,814.0,8.0,0,6.0
89,malik-henry-2,Malik Henry,QB,807.0,20.0,0,0
90,james-morgan,James Morgan,QB,757.0,2.0,0,7.0
91,lavaedeay-lee,Lavaedeay Lee,QB,729.0,6.0,0,6.0
92,tyrie-adams,Tyrie ADAMS,QB,719.0,5.0,0,6.0
93,max-duggan,Max Duggan,QB,696.0,4.0,0,4.0
94,kyle-lauletta,Kyle Lauletta,QB,686.0,3.0,0,3.0
95,drew-plitt,Drew Plitt,QB,668.0,3.0,0,5.0
96,braeden-wingle,Braeden Wingle,QB,651.0,9.0,0,2.0
97,bryan-scott,Bryan Scott,QB,637.0,6.0,0,2.0
98,dorian-thompson-robinson,Dorian Thompson-Robinson,QB,603.0,3.0,0,2.0
99,adam-kruse,Adam Kruse,QB,565.0,9.0,0,1.0
100,kevin-hogan,Kevin Hogan,QB,537.0,2.0,0,4.0
