game_id,date,season,week,league,away,home,assists,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,games_played,minutes,plus_minus,points,rebounds,steals,turnovers
WNBA_202407010SEA,2024-07-01,2024,1,WNBA,DAL,SEA,1.0,,,1.0,,,2.0,,1.0,,,,,7.283333333333333,-3.0,,,,
WNBA_202407140SEA,2024-07-14,2024,1,WNBA,ATL,SEA,2.0,2.0,,1.0,,,1.0,,,,,,,5.416666666666667,,,2.0,,
WNBA_202506270PHO,2025-06-27,2025,1,WNBA,NYL,PHO,,,,1.0,,0.5,2.0,1.0,,,,,,2.8166666666666664,-2.0,2.0,,,
WNBA_202507030DAL,2025-07-03,2025,1,WNBA,PHO,DAL,,,,,,,1.0,,,,,,,1.8,4.0,,,,
WNBA_202507070PHO,2025-07-07,2025,1,WNBA,DAL,PHO,4.0,3.0,0.75,4.0,3.0,0.875,8.0,7.0,,,,,,21.3,2.0,17.0,3.0,1.0,1.0
WNBA_202507090PHO,2025-07-09,2025,1,WNBA,MIN,PHO,,2.0,,2.0,,0.25,4.0,1.0,,,,,,16.35,,2.0,2.0,,
WNBA_202507160MIN,2025-07-16,2025,1,WNBA,PHO,MIN,3.0,2.0,0.286,7.0,2.0,0.333,9.0,3.0,2.0,0.5,2.0,1.0,,26.883333333333333,-5.0,9.0,2.0,,
WNBA_202507270WAS,2025-07-27,2025,1,WNBA,PHO,WAS,,,,,,,,,,,,,,0.2833333333333333,,,,,
WNBA_202508210LVA,2025-08-21,2025,1,WNBA,PHO,LVA,,,,,,,,,,,,,,4.9,-1.0,,,,1.0
WNBA_202508220PHO,2025-08-22,2025,1,WNBA,GSV,PHO,,,,1.0,,,1.0,,,,,,,2.0833333333333335,-10.0,,,,
WNBA_202508300PHO,2025-08-30,2025,1,WNBA,NYL,PHO,,1.0,,,,,,,1.0,,,,,1.6,-1.0,,1.0,,
WNBA_202509090PHO,2025-09-09,2025,1,WNBA,LAS,PHO,1.0,2.0,0.333,6.0,2.0,0.25,8.0,2.0,,0.5,2.0,1.0,,9.733333333333333,-6.0,7.0,2.0,,1.0
WNBA_202509110DAL,2025-09-11,2025,1,WNBA,PHO,DAL,2.0,1.0,0.4,5.0,2.0,0.429,7.0,3.0,3.0,,,,,18.833333333333332,-14.0,8.0,1.0,2.0,3.0
WNBA_202509170NYL,2025-09-17,2025,1,WNBA,PHO,NYL,,,,,,,,,,,,,,3.1333333333333333,-1.0,,,,
WNBA_202510050LVA,2025-10-05,2025,1,WNBA,PHO,LVA,,1.0,,,,1.0,1.0,1.0,1.0,,,,,3.966666666666667,3.0,2.0,1.0,,
UNRIVALED_2026_SEASON_TOTAL,,2026,1,UNRIVALED,,,,4.0,33.3,6.0,2.0,28.6,7.0,2.0,2.0,,,,1.0,8.0,,6.0,4.0,,1.0
