game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,,24.0,4.0,4.0,,38.0,40.0,,,,5.0,17.0,1.0,23.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,,14.0,2.0,2.0,,22.0,22.0,,,,6.0,15.0,,28.0,,,,,,,,,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,,17.0,1.0,1.0,,11.0,17.0,,,,8.0,21.0,,45.0,,,,,,,,,
FOOTBALL_CFL_2022_9_2_OTT@MTL,2022-09-02,2022,1,CFL,OTT,MTL,,,,,5.0,1.0,1.0,,5.0,5.0,,,,9.0,17.0,,62.0,,,,,,,,,
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,,,,,,,,,,,,,,14.0,13.0,,79.0,,,,,,,,,
SYNTHETIC_CFL_2022_W3_EDM,,2022,3,CFL,,,,0.0,14.0,2.0,,,,,,,,,,,,,,0.0,15.0,,,,,,,
SYNTHETIC_CFL_2022_W4_EDM,,2022,4,CFL,,,,0.0,40.0,4.0,,,,,,,,,,,,,,1.0,23.0,,,,,,,
6230,2022-07-14,2022,6,CFL,EDM,MTL,,0.0,9.0,1.0,,,,,,,,,,,,,,0.0,64.0,,,,,,,
6236,2022-07-22,2022,7,CFL,WPG,EDM,,0.0,8.0,1.0,,,,,,,,,,,,,,0.0,5.0,,,,,,,
SYNTHETIC_CFL_2022_W8_EDM,,2022,8,CFL,,,,0.0,5.0,1.0,,,,,,,,,,,,,,0.0,6.0,,,,,,,
6250,2022-08-19,2022,11,CFL,EDM,OTT,,0.0,22.0,2.0,,,,,,,,,,,,,,0.0,28.0,,,,,,,
6261,2022-09-05,2022,13,CFL,EDM,CGY,,0.0,5.0,1.0,,,,,,,,,,,,,,0.0,62.0,,,,,,,
6265,2022-09-10,2022,14,CFL,CGY,EDM,,,,,,,,,,,,,,,,,,0.0,79.0,,,,,,,
SYNTHETIC_CFL_2022_W16_EDM,,2022,16,CFL,,,,0.0,17.0,1.0,,,,,,,,,,,,,,0.0,45.0,,,,,,,
6274,2022-10-01,2022,17,CFL,MTL,EDM,,0.0,29.0,3.0,,,,,,,,,,,,,,0.0,67.0,,,,,,,
6282,2022-10-15,2022,19,CFL,TOR,EDM,,1.0,60.0,4.0,,,,,,,,,,,,,,0.0,30.0,,,,,,,
6285,2022-10-21,2022,20,CFL,BC,EDM,,0.0,99.0,4.0,,,,,,,,,,,,,,0.0,24.0,,,,,,,
9889296,2023-07-01,2023,4,CFL,WPG,MTL,,0.0,4.0,1.0,,,,,,,,,,,,,,0.0,11.0,,,,,,,
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,0.0,68.0,1.0,,,,,,,,,,,,,,0.0,73.0,,,,,,,
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,0.0,6.0,1.0,,,,,,,,,,,,,,0.0,12.0,,,,,,,
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,0.0,52.0,5.0,,,,,,,,,,,,,,0.0,10.0,,,,,,,
9889338,2023-09-15,2023,15,CFL,TOR,MTL,0.0,0.0,3.0,4.0,,,,,,,,,,,,,,0.0,29.0,0.0,,,,,,1.0
9889353,2023-10-09,2023,18,CFL,OTT,MTL,,0.0,27.0,9.0,,,,,,,,,,,,,,0.0,43.0,,,,,,,
9889356,2023-10-14,2023,19,CFL,MTL,EDM,,0.0,16.0,2.0,,,,,,,,,,,,,,0.0,88.0,,,,,,,
10798016,2024-06-06,2024,1,CFL,MTL,WPG,,0.0,5.0,3.0,,,,,,,,,,,,,,0.0,36.0,,,,,,,
10798146,2024-05-25,2024,2,CFL,TOR,MTL,,1.0,61.0,3.0,,,,,,,,,,,,,,1.0,82.0,,,,,,,
10798024,2024-06-20,2024,3,CFL,OTT,MTL,,0.0,48.0,5.0,,,,,,,,,,,,,,0.0,45.0,,,,,,,
10798029,2024-06-28,2024,4,CFL,MTL,TOR,,0.0,14.0,4.0,,,,,,,,,,,,,,0.0,11.0,,,,,,,
10798034,2024-07-06,2024,5,CFL,CGY,MTL,,0.0,104.0,9.0,,,,,,,,,,,,,,1.0,56.0,,,,,,,
10798036,2024-07-11,2024,6,CFL,TOR,MTL,,0.0,16.0,1.0,,,,,,,,,,,,,,0.0,60.0,,,,,,,
10798044,2024-07-25,2024,8,CFL,SSK,MTL,,0.0,53.0,5.0,,,,,,,,,,,,,,0.0,16.0,,,,,,,
10798049,2024-08-02,2024,9,CFL,MTL,HAM,,0.0,28.0,3.0,,,,,,,,,,,,,,1.0,56.0,,,,,,,
10798054,2024-08-10,2024,10,CFL,HAM,MTL,,0.0,22.0,2.0,,,,,,,,,,,,,,0.0,53.0,,,,,,,
10798057,2024-08-16,2024,11,CFL,MTL,SSK,,1.0,65.0,8.0,,,,,,,,,,,,,,0.0,14.0,,,,,,,
10798063,2024-08-25,2024,12,CFL,EDM,MTL,,0.0,45.0,6.0,,,,,,,,,,,,,,0.0,54.0,,,,,,,
10798068,2024-09-06,2024,14,CFL,BC,MTL,,0.0,72.0,8.0,,,,,,,,,,,,,,0.0,21.0,,,,,,,
10798074,2024-09-14,2024,15,CFL,MTL,CGY,,0.0,15.0,3.0,,,,,,,,,,,,,,0.0,90.0,,,,,,,
10798077,2024-09-21,2024,16,CFL,MTL,OTT,,0.0,39.0,3.0,,,,,,,,,,,,,,0.0,36.0,,,,,,,
10798082,2024-09-28,2024,17,CFL,MTL,TOR,,1.0,9.0,2.0,,,,,,,,,,,,,,0.0,44.0,,,,,,,
10798089,2024-10-14,2024,19,CFL,OTT,MTL,,0.0,45.0,2.0,,,,,,,,,,,,,,0.0,37.0,,,,,,,
10798095,2024-10-26,2024,21,CFL,WPG,MTL,,0.0,41.0,4.0,,,,,,,,,,,,,,1.0,53.0,,,,,,,
