game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2016_8_4_SSK@CGY,2016-08-04,2016,1,CFL,SSK,CGY,,,,,,,,,,9.0,2.0,4.0,,3.0,11.0,13.0,4.0,34.0,,,,,,,,,,
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,,,,,,,,,,29.0,2.0,4.0,,14.0,41.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,1.0,1.0,,,,,,,,8.0,4.0,6.0,,6.0,6.0,,,,1.0,-7.0,,-7.0,,,,,,
FOOTBALL_CFL_2016_9_24_HAM@SSK,2016-09-24,2016,1,CFL,HAM,SSK,,,,,,,,,,53.0,3.0,4.0,,20.0,60.0,,,,,,,,,,,,,
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,,,,,,,,,,7.0,1.0,1.0,,,7.0,,,,,,,,,,,,,
FOOTBALL_CFL_2017_6_22_SSK@MTL,2017-06-22,2017,1,CFL,SSK,MTL,,,,,,,,,,33.0,7.0,7.0,,33.0,87.0,13.0,1.0,13.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,,,,,,,,,,,7.0,7.0,1.0,13.0,82.0,18.0,9.0,82.0,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,,,,,,,,,,,,,,,,11.0,3.0,20.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,,,,,,,,,,,,,,7.0,3.0,4.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,,,,,,,,,,15.0,1.0,3.0,,,15.0,23.0,4.0,39.0,,,,,,,,,,
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,,,,,,,,,,14.0,3.0,4.0,,18.0,30.0,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,1.0,1.0,,,,,,,,,,3.0,,,,11.0,2.0,-21.0,,,,,,,,,,
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,,,,,,,,,,8.0,1.0,1.0,,,8.0,,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,,,,,,,,,,,,1.0,,,,63.0,1.0,63.0,,,,,,,,,,
FOOTBALL_CFL_2018_10_13_SSK@WPG,2018-10-13,2018,1,CFL,SSK,WPG,,,,,,,,,,18.0,1.0,2.0,,10.0,18.0,,,,1.0,4.0,,4.0,,,,,,
FOOTBALL_CFL_2018_10_26_CGY@WPG,2018-10-26,2018,1,CFL,CGY,WPG,,,,,,,,,,19.0,7.0,11.0,,43.0,60.0,18.0,4.0,63.0,2.0,12.0,,21.0,,,,,,
FOOTBALL_CFL_2018_10_5_WPG@OTT,2018-10-05,2018,1,CFL,WPG,OTT,,,,,,,,,,12.0,5.0,6.0,,11.0,45.0,14.0,1.0,14.0,5.0,18.0,,34.0,,,,,,
FOOTBALL_CFL_2018_11_11_WPG@SSK,2018-11-11,2018,1,CFL,WPG,SSK,,,,,,,,,,11.0,2.0,4.0,,10.0,12.0,,,,2.0,3.0,,2.0,,,,,,
FOOTBALL_CFL_2018_11_18_WPG@CGY,2018-11-18,2018,1,CFL,WPG,CGY,,,,,,,,,,18.0,1.0,3.0,,4.0,18.0,,,,2.0,17.0,,21.0,,,,,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,,,,,,,,10.0,2.0,2.0,,9.0,19.0,,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_14_EDM@WPG,2018-06-14,2018,1,CFL,EDM,WPG,1.0,1.0,,,,,,,,11.0,4.0,6.0,,17.0,32.0,,,,2.0,16.0,,20.0,,,,,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,,,,,,,,,,3.0,6.0,1.0,8.0,22.0,,,,1.0,5.0,,5.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_6_29_WPG@HAM,2018-06-29,2018,1,CFL,WPG,HAM,,,,,,,,,,12.0,3.0,4.0,,10.0,25.0,,,,1.0,3.0,,3.0,,,,,,
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,,,,,,,,,,10.0,6.0,8.0,,25.0,32.0,,,,4.0,30.0,,35.0,,,,,,
FOOTBALL_CFL_2018_7_21_WPG@TOR,2018-07-21,2018,1,CFL,WPG,TOR,,,,,,,,,,15.0,5.0,6.0,,33.0,62.0,,,,2.0,7.0,,10.0,,,,,,
FOOTBALL_CFL_2018_7_27_TOR@WPG,2018-07-27,2018,1,CFL,TOR,WPG,,,,,,,,,,,5.0,5.0,1.0,22.0,82.0,,,,3.0,,1.0,34.0,,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,,,,,,,,,,7.0,2.0,5.0,,3.0,12.0,,,,3.0,9.0,,9.0,,,,,,
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,,,,,,,,,,,2.0,4.0,1.0,14.0,45.0,55.0,4.0,134.0,1.0,4.0,,4.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_8_17_OTT@WPG,2018-08-17,2018,1,CFL,OTT,WPG,,,,,,,,,,8.0,3.0,3.0,,1.0,14.0,,,,1.0,6.0,,6.0,,,,,,
FOOTBALL_CFL_2018_8_25_WPG@CGY,2018-08-25,2018,1,CFL,WPG,CGY,,,,,,,,,,30.0,5.0,6.0,,24.0,44.0,,,,1.0,6.0,,6.0,,,,,,
FOOTBALL_CFL_2018_9_21_MTL@WPG,2018-09-21,2018,1,CFL,MTL,WPG,,,,,,,,,,7.0,1.0,2.0,,4.0,7.0,22.0,5.0,55.0,2.0,10.0,,10.0,,,,,,
FOOTBALL_CFL_2018_9_2_WPG@SSK,2018-09-02,2018,1,CFL,WPG,SSK,1.0,1.0,,,,,,,,16.0,2.0,2.0,,11.0,20.0,18.0,5.0,65.0,1.0,15.0,,15.0,,,,,,
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,1.0,1.0,,,,,,,,10.0,3.0,6.0,,8.0,15.0,20.0,7.0,43.0,4.0,18.0,,32.0,,,,,,
SYNTHETIC_CFL_2022_W1_WPG,,2022,1,CFL,,,,,,,,,0.0,30.0,4.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_WPG,,2022,3,CFL,,,,,,,,,0.0,96.0,6.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W8_WPG,2022-07-30,2022,8,CFL,WPG,CGY,,,,,,,2.0,69.0,7.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W9_WPG,2022-08-04,2022,9,CFL,WPG,MTL,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W10_WPG,2022-08-11,2022,10,CFL,MTL,WPG,,,,,,,0.0,21.0,4.0,,,,,,,,,,,,,,0.0,4.0,,,,
SYNTHETIC_CFL_2022_W12_WPG,2022-08-25,2022,12,CFL,CGY,WPG,,,,,,,1.0,73.0,5.0,,,,,,,,,,,,,,0.0,36.0,,,,
SYNTHETIC_CFL_2022_W13_WPG,2022-09-04,2022,13,CFL,WPG,SSK,,,,,,,1.0,79.0,5.0,,,,,,,,,,,,,,0.0,17.0,,,,
SYNTHETIC_CFL_2022_W14_WPG,2022-09-10,2022,14,CFL,SSK,WPG,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,,,,
SYNTHETIC_CFL_2022_W15_WPG,2022-09-17,2022,15,CFL,WPG,HAM,,,,,,,1.0,36.0,4.0,,,,,,,,,,,,,,0.0,18.0,,,,
SYNTHETIC_CFL_2022_W17_WPG,2022-09-30,2022,17,CFL,SSK,WPG,,,,,,,2.0,94.0,5.0,,,,,,,,,,,,,,0.0,21.0,,,,
SYNTHETIC_CFL_2022_W18_WPG,2022-10-08,2022,18,CFL,EDM,WPG,,,,,,,1.0,31.0,1.0,,,,,,,,,,,,,,0.0,22.0,,,,
SYNTHETIC_CFL_2022_W19_WPG,2022-10-15,2022,19,CFL,WPG,BC,,,,,,,0.0,67.0,7.0,,,,,,,,,,,,,,0.0,2.0,,,,
SYNTHETIC_CFL_2023_W1_WPG,2023-06-09,2023,1,CFL,HAM,WPG,,,,1.0,,,1.0,113.0,6.0,,,,,,,,,,,,,,0.0,0.0,,,,
SYNTHETIC_CFL_2023_W2_WPG,2023-06-16,2023,2,CFL,WPG,SSK,,,,,,,0.0,56.0,5.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W3_WPG,2023-06-22,2023,3,CFL,BC,WPG,,,,,,,0.0,55.0,6.0,,,,,,,,,,,,,,0.0,9.0,,,,
SYNTHETIC_CFL_2023_W5_WPG,2023-07-07,2023,5,CFL,CGY,WPG,,,,,,,0.0,17.0,2.0,,,,,,,,,,,,,,0.0,8.0,,,,
SYNTHETIC_CFL_2023_W6_WPG,2023-07-15,2023,6,CFL,WPG,OTT,,,,,,,1.0,79.0,5.0,,,,,,,,,,,,,,0.0,4.0,,,,
SYNTHETIC_CFL_2023_W7_WPG,2023-07-20,2023,7,CFL,EDM,WPG,,,,,,,1.0,115.0,4.0,,,,,,,,,,,,,,0.0,6.0,,,,
SYNTHETIC_CFL_2023_W9_WPG,2023-08-03,2023,9,CFL,BC,WPG,,,,,,,1.0,62.0,5.0,,,,,,,,,,,,,,0.0,21.0,,,,
SYNTHETIC_CFL_2023_W10_WPG,2023-08-10,2023,10,CFL,WPG,EDM,,,,,,,1.0,61.0,3.0,,,,,,,,,,,,,,0.0,34.0,,,,
SYNTHETIC_CFL_2023_W11_WPG,2023-08-18,2023,11,CFL,WPG,CGY,,,,,,,0.0,23.0,3.0,,,,,,,,,,,,,,0.0,4.0,,,,
SYNTHETIC_CFL_2023_W12_WPG,2023-08-24,2023,12,CFL,MTL,WPG,,,0.0,,0.0,0.0,0.0,87.0,5.0,,,,,,,,,,,,,,0.0,21.0,,,,
SYNTHETIC_CFL_2023_W13_WPG,2023-09-03,2023,13,CFL,WPG,SSK,,,,,,,0.0,118.0,5.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W14_WPG,2023-09-09,2023,14,CFL,SSK,WPG,,,,,,,0.0,8.0,1.0,,,,,,,,,,,,,,0.0,8.0,,,,
SYNTHETIC_CFL_2023_W15_WPG,2023-09-16,2023,15,CFL,WPG,HAM,,,,,,,1.0,137.0,6.0,,,,,,,,,,,,,,0.0,3.0,,,,
SYNTHETIC_CFL_2023_W17_WPG,2023-09-29,2023,17,CFL,TOR,WPG,,,,,,,0.0,32.0,4.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W18_WPG,2023-10-06,2023,18,CFL,WPG,BC,,,,,,,0.0,16.0,2.0,,,,,,,,,,,,,,0.0,24.0,,,,
SYNTHETIC_CFL_2023_W20_WPG,2023-10-21,2023,20,CFL,EDM,WPG,,,,,,,0.0,27.0,5.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W1_WPG,2024-05-20,2024,1,CFL,WPG,SSK,,,,1.0,,,0.0,27.0,3.0,,,,,,,,,,,,,,0.0,2.0,,,,
SYNTHETIC_CFL_2024_W2_WPG,2024-06-13,2024,2,CFL,WPG,OTT,,,,,,,0.0,58.0,3.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W3_WPG,2024-06-21,2024,3,CFL,BC,WPG,,,,,,,0.0,94.0,8.0,,,,,,,,,,,,,,0.0,-1.0,,,,
SYNTHETIC_CFL_2024_W4_WPG,2024-06-29,2024,4,CFL,WPG,CGY,,,,,,,0.0,54.0,6.0,,,,,,,,,,,,,,0.0,3.0,,,,
SYNTHETIC_CFL_2024_W5_WPG,2024-07-05,2024,5,CFL,OTT,WPG,,,,,,,0.0,21.0,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W6_WPG,2024-07-12,2024,6,CFL,CGY,WPG,,,,,,,1.0,60.0,7.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W7_WPG,2024-07-19,2024,7,CFL,WPG,SSK,,,,,,,0.0,56.0,3.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W8_WPG,2024-07-27,2024,8,CFL,WPG,TOR,,,,,,,0.0,49.0,2.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W9_WPG,2024-08-01,2024,9,CFL,BC,WPG,,,,,,,0.0,39.0,3.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W11_WPG,2024-08-18,2024,11,CFL,WPG,BC,,,,,,,1.0,109.0,6.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W12_WPG,2024-08-23,2024,12,CFL,HAM,WPG,,,,,,,0.0,45.0,5.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W13_WPG,2024-09-01,2024,13,CFL,WPG,SSK,,,,,,,1.0,64.0,3.0,,,,,,,,,,,,,,0.0,6.0,,,,
SYNTHETIC_CFL_2024_W14_WPG,2024-09-07,2024,14,CFL,SSK,WPG,,,,,,,0.0,46.0,7.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W16_WPG,2024-09-21,2024,16,CFL,WPG,EDM,,,,,,,0.0,25.0,3.0,,,,,,,,,,,,,,0.0,7.0,,,,
SYNTHETIC_CFL_2024_W17_WPG,2024-09-27,2024,17,CFL,EDM,WPG,,,,,,,2.0,117.0,4.0,,,,,,,,,,,,,,0.0,0.0,,,,
SYNTHETIC_CFL_2024_W18_WPG,2024-10-04,2024,18,CFL,WPG,HAM,,,,,,,0.0,47.0,5.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W19_WPG,2024-10-11,2024,19,CFL,TOR,WPG,,,,,,,0.0,29.0,3.0,,,,,,,,,,,,,,0.0,2.0,,,,
SYNTHETIC_CFL_2024_W21_WPG,2024-10-26,2024,21,CFL,WPG,MTL,,,,,,,1.0,90.0,4.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W2_WPG,2025-06-12,2025,2,CFL,BC,WPG,,,,,,,2.0,53.0,4.0,,,,,,,,,,,,,,0.0,-2.0,,,,
SYNTHETIC_CFL_2025_W3_WPG,2025-06-21,2025,3,CFL,WPG,BC,,,,,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W4_WPG,2025-06-26,2025,4,CFL,EDM,WPG,,,,,,,2.0,97.0,5.0,,,,,,,,,,,,,,0.0,-6.0,,,,
SYNTHETIC_CFL_2025_W5_WPG,2025-07-03,2025,5,CFL,WPG,CGY,,,,,,,0.0,74.0,9.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W7_WPG,2025-07-18,2025,7,CFL,CGY,WPG,,,,,,,1.0,146.0,7.0,,,,,,,,,,,,,,0.0,27.0,,,,
SYNTHETIC_CFL_2025_W8_WPG,2025-07-26,2025,8,CFL,WPG,TOR,,,,,,,0.0,46.0,1.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W9_WPG,2025-08-01,2025,9,CFL,TOR,WPG,,,,,,,0.0,67.0,5.0,,,,,,,,,,,,,,0.0,30.0,,,,
SYNTHETIC_CFL_2025_W10_WPG,2025-08-09,2025,10,CFL,WPG,CGY,,,,,,,0.0,28.0,3.0,,,,,,,,,,,,,,0.0,4.0,,,,
SYNTHETIC_CFL_2025_W11_WPG,2025-08-14,2025,11,CFL,OTT,WPG,,,,,,,0.0,128.0,6.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W12_WPG,2025-08-21,2025,12,CFL,WPG,MTL,,,,,,,1.0,25.0,4.0,,,,,,,,,,,,,,0.0,4.0,,,,
SYNTHETIC_CFL_2025_W13_WPG,2025-08-31,2025,13,CFL,WPG,SSK,,,,,,,1.0,89.0,7.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W14_WPG,2025-09-06,2025,14,CFL,SSK,WPG,,,,,,,0.0,80.0,4.0,,,,,,,,,,,,,,0.0,10.0,,,,
SYNTHETIC_CFL_2025_W15_WPG,2025-09-12,2025,15,CFL,WPG,HAM,,,,,,,0.0,48.0,3.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W17_WPG,2025-09-27,2025,17,CFL,HAM,WPG,,,,,,,0.0,114.0,7.0,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W19_WPG,2025-10-11,2025,19,CFL,WPG,EDM,,,,,,,0.0,5.0,1.0,,,,,,,,,,,,,,,,,,,
