game_id,date,season,week,league,away,home,interceptions_made,points_against,sacks
9889320,2023-08-12,2023,10,CFL,CGY,BC,,9.0,1.0
9889325,2023-08-20,2023,11,CFL,BC,SSK,,34.0,1.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,,30.0,4.0
9889330,2023-09-02,2023,13,CFL,BC,MTL,,25.0,5.0
9889341,2023-09-16,2023,15,CFL,OTT,BC,,37.0,3.0
9889343,2023-09-22,2023,16,CFL,BC,EDM,,29.0,7.0
9889347,2023-09-29,2023,17,CFL,SSK,BC,,26.0,3.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,,34.0,3.0
9889354,2023-10-13,2023,19,CFL,BC,HAM,,30.0,2.0
9889358,2023-10-20,2023,20,CFL,CGY,BC,,41.0,1.0
10798019,2024-06-09,2024,1,CFL,BC,TOR,1.0,14.0,2.0
10798144,2024-05-25,2024,2,CFL,BC,CGY,1.0,34.0,2.0
10798025,2024-06-21,2024,3,CFL,BC,WPG,2.0,27.0,1.0
10798028,2024-06-27,2024,4,CFL,EDM,BC,0.0,37.0,3.0
10798035,2024-07-07,2024,5,CFL,BC,HAM,0.0,20.0,2.0
10798038,2024-07-13,2024,6,CFL,SSK,BC,1.0,14.0,1.0
10798043,2024-07-21,2024,7,CFL,BC,CGY,1.0,33.0,0.0
SYNTHETIC_CFL_2024_W8_BC,,2024,8,CFL,,,1.0,37.0,0.0
10798048,2024-08-01,2024,9,CFL,BC,WPG,0.0,25.0,1.0
10798055,2024-08-11,2024,10,CFL,BC,EDM,0.0,38.0,1.0
10798059,2024-08-18,2024,11,CFL,WPG,BC,1.0,18.0,3.0
10798062,2024-08-24,2024,12,CFL,BC,OTT,0.0,52.0,3.0
10798064,2024-08-31,2024,13,CFL,OTT,BC,0.0,12.0,4.0
10798068,2024-09-06,2024,14,CFL,BC,MTL,0.0,34.0,4.0
10798072,2024-09-13,2024,15,CFL,TOR,BC,0.0,27.0,7.0
SYNTHETIC_CFL_2024_W16_BC,,2024,16,CFL,,,3.0,23.0,2.0
10798080,2024-09-27,2024,17,CFL,HAM,BC,1.0,22.0,4.0
10798084,2024-10-04,2024,18,CFL,CGY,BC,3.0,24.0,6.0
10798088,2024-10-12,2024,19,CFL,BC,SSK,0.0,39.0,1.0
10798092,2024-10-19,2024,20,CFL,MTL,BC,3.0,24.0,3.0
SYNTHETIC_CFL_2024_W21_BC,,2024,21,CFL,,,1.0,21.0,1.0
11824048,2025-06-07,2025,1,CFL,EDM,BC,1.0,14.0,2.0
11824049,2025-06-12,2025,2,CFL,BC,WPG,1.0,34.0,2.0
11824056,2025-06-21,2025,3,CFL,WPG,BC,2.0,27.0,1.0
11824059,2025-06-28,2025,4,CFL,BC,SSK,,37.0,3.0
11824063,2025-07-05,2025,5,CFL,BC,MTL,,20.0,2.0
11824067,2025-07-13,2025,6,CFL,BC,EDM,1.0,14.0,1.0
11824070,2025-07-19,2025,7,CFL,SSK,BC,1.0,33.0,
11824075,2025-07-27,2025,8,CFL,HAM,BC,1.0,37.0,
11824080,2025-08-07,2025,10,CFL,BC,HAM,,38.0,1.0
11824087,2025-08-16,2025,11,CFL,MTL,BC,1.0,18.0,3.0
11824090,2025-08-23,2025,12,CFL,BC,TOR,,52.0,3.0
11824095,2025-09-05,2025,14,CFL,BC,OTT,,34.0,4.0
11824100,2025-09-12,2025,15,CFL,OTT,BC,,27.0,7.0
11824104,2025-09-19,2025,16,CFL,BC,CGY,3.0,23.0,2.0
11824108,2025-09-26,2025,17,CFL,TOR,BC,1.0,22.0,4.0
11824113,2025-10-04,2025,18,CFL,CGY,BC,3.0,24.0,6.0
11824119,2025-10-17,2025,20,CFL,EDM,BC,3.0,24.0,3.0
11824125,2025-10-25,2025,21,CFL,BC,SSK,1.0,21.0,1.0
