game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,pass_att,pass_cmp,pass_lg,pass_yds,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_ret,ret_yds,rush_att,rush_lg,rush_yds,sacks,score_conv,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,,,,,,,,,,,9.0,5.0,6.0,,17.0,24.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_24_TOR@SSK,2022-07-24,2022,1,CFL,TOR,SSK,,,,,,,,,,,19.0,9.0,13.0,,36.0,64.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_31_OTT@TOR,2022-07-31,2022,1,CFL,OTT,TOR,,,,,,,,,,,33.0,5.0,10.0,,25.0,84.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_4_WPG@TOR,2022-07-04,2022,1,CFL,WPG,TOR,,,,,,,,,,,14.0,5.0,5.0,1.0,36.0,41.0,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_8_12_TOR@HAM,2022-08-12,2022,1,CFL,TOR,HAM,,,,,,,,,,,33.0,5.0,5.0,,15.0,51.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_20_CGY@TOR,2022-08-20,2022,1,CFL,CGY,TOR,1.0,1.0,,,,,,,,,11.0,3.0,8.0,,12.0,23.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_26_HAM@TOR,2022-08-26,2022,1,CFL,HAM,TOR,,,,,,,,,,,30.0,4.0,6.0,1.0,21.0,55.0,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_8_6_HAM@TOR,2022-08-06,2022,1,CFL,HAM,TOR,,,,,,,,,,,7.0,2.0,3.0,,5.0,12.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_10_TOR@OTT,2022-09-10,2022,1,CFL,TOR,OTT,,,,,,,,,,,19.0,2.0,4.0,,20.0,25.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_24_TOR@OTT,2022-09-24,2022,1,CFL,TOR,OTT,,,,,,,,,,,,4.0,5.0,1.0,10.0,49.0,,,,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_9_5_TOR@HAM,2022-09-05,2022,1,CFL,TOR,HAM,,,,,,,,,,,,5.0,8.0,1.0,9.0,29.0,,,,,,,,,,1.0,6.0,1.0,
6232,2022-07-16,2022,6,CFL,SSK,TOR,,,,,,,,0.0,24.0,5.0,,,,,,,,,,,,,,,,,,,
6237,2022-07-24,2022,7,CFL,TOR,SSK,,,,,,,,0.0,64.0,9.0,,,,,,,,,,,,,,,,,,,
6241,2022-07-31,2022,8,CFL,OTT,TOR,,,,,,,,0.0,84.0,5.0,,,,,,,,,,,,,,,,,,,
6244,2022-08-06,2022,9,CFL,HAM,TOR,,,,,,,,0.0,12.0,2.0,,,,,,,,,,,,,,,,,,,
6247,2022-08-12,2022,10,CFL,TOR,HAM,,,,,,,,0.0,51.0,5.0,,,,,,,,,,,,,,,,,,,
6253,2022-08-20,2022,11,CFL,CGY,TOR,,,,,,,,0.0,23.0,3.0,,,,,,,,,,,,,,,,,,,
6263,2022-09-10,2022,14,CFL,TOR,OTT,,,,,,,,0.0,25.0,2.0,,,,,,,,,,,,,,,,,,,
6270,2022-09-24,2022,16,CFL,TOR,OTT,,,,,,,,1.0,49.0,4.0,,,,,,,,,,,,,,,,,,,
6275,2022-10-01,2022,17,CFL,TOR,CGY,,,,,,,,0.0,26.0,3.0,,,,,,,,,,,,,,,,,,,
6277,2022-10-08,2022,18,CFL,BC,TOR,,,,,,,,0.0,121.0,8.0,,,,,,,,,,,,,,,,,,,
6282,2022-10-15,2022,19,CFL,TOR,EDM,,,,,,,,0.0,32.0,3.0,,,,,,,,,,,,,,,,,,,
6286,2022-10-22,2022,20,CFL,TOR,MTL,,,,,,,,1.0,18.0,4.0,,,,,,,,,,,,,,,,,,,
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,,,,,,,0.0,23.0,1.0,,,,,,,,,,,,,,,,,,,
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,,,,,,,0.0,43.0,4.0,,,,,,,,,,,,,,,,,,,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,,0.0,,,,,0.0,76.0,7.0,,,,,,,,,,,,,,0.0,,,,,1.0
9889337,2023-09-09,2023,14,CFL,CGY,EDM,,,,,,,,0.0,51.0,3.0,,,,,,,,,,,,,,,,,,,
