game_id,date,season,week,league,away,home,1pt_conversion,4pt_fg,conversions,extra_point,field_goal_yards,interceptions_lost,lost_fumbles,missed,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards
19,2024-04-28,2024,5,UFL,DEFENDERS,BATTLEHAWKS,,,,,,3.0,,1.0,1.0,101.0,,,,0.0,26.0
24,2024-05-05,2024,6,UFL,DEFENDERS,BRAHMAS,,,,,112.0,0.0,1.0,1.0,1.0,179.0,,,,0.0,-7.0
27,2024-05-12,2024,7,UFL,DEFENDERS,PANTHERS,,,,,37.0,0.0,,1.0,1.0,200.0,,,,0.0,17.0
31,2024-05-19,2024,8,UFL,BATTLEHAWKS,DEFENDERS,1.0,,1.0,,97.0,2.0,,,2.0,212.0,,,,0.0,30.0
35,2024-05-26,2024,9,UFL,SHOWBOATS,DEFENDERS,,,3.0,,,2.0,,,2.0,277.0,,,,2.0,52.0
39,2024-06-02,2024,10,UFL,DEFENDERS,RENEGADES,,,1.0,,44.0,0.0,,1.0,2.0,218.0,,,,0.0,9.0
46,2025-03-30,2025,1,UFL,DEFENDERS,STALLIONS,,,,,150.0,1.0,,,1.0,211.0,,,,0.0,-3.0
48,2025-04-05,2025,2,UFL,DEFENDERS,SHOWBOATS,,,,,98.0,0.0,,1.0,1.0,152.0,,,,0.0,16.0
54,2025-04-13,2025,3,UFL,BATTLEHAWKS,DEFENDERS,,,,,122.0,2.0,,1.0,3.0,243.0,,,,0.0,-3.0
57,2025-04-20,2025,4,UFL,DEFENDERS,BRAHMAS,,,,,67.0,0.0,,,1.0,300.0,,,,1.0,74.0
60,2025-04-27,2025,5,UFL,RENEGADES,DEFENDERS,1.0,,1.0,,20.0,1.0,,1.0,3.0,308.0,,,,1.0,37.0
63,2025-05-04,2025,6,UFL,PANTHERS,DEFENDERS,,,1.0,,,0.0,,,2.0,259.0,,,,0.0,17.0
65,2025-05-09,2025,7,UFL,BRAHMAS,DEFENDERS,1.0,,,,,0.0,,,3.0,289.0,,,,0.0,11.0
71,2025-05-18,2025,8,UFL,DEFENDERS,RENEGADES,,,,,,0.0,,,2.0,240.0,1.0,9.0,1.0,0.0,21.0
83,2025-05-25,2025,9,UFL,ROUGHNECKS,DEFENDERS,,,,,35.0,0.0,,1.0,2.0,371.0,,,,0.0,16.0
75,2025-05-30,2025,10,UFL,DEFENDERS,BATTLEHAWKS,,,,,,0.0,1.0,2.0,1.0,142.0,,,,0.0,60.0
88,2026-03-28,2026,1,UFL,DC DEFENDERS,ST. LOUIS BATTLEHAWKS,,1.0,,,60.0,2.0,,1.0,0.0,123.0,,,,0.0,16.0
91,2026-04-03,2026,2,UFL,DC DEFENDERS,COLUMBUS AVIATORS,,,,5.0,92.0,1.0,,,1.0,99.0,,,,0.0,20.0
96,2026-04-11,2026,3,UFL,HOUSTON GAMBLERS,DC DEFENDERS,,1.0,,5.0,144.0,1.0,,,1.0,173.0,,,,0.0,25.0
101,2026-04-18,2026,4,UFL,ST. LOUIS BATTLEHAWKS,DC DEFENDERS,,,,2.0,162.0,0.0,,,2.0,204.0,,,,0.0,61.0
103,2026-04-24,2026,5,UFL,DC DEFENDERS,BIRMINGHAM STALLIONS,,,,6.0,47.0,0.0,,2.0,4.0,275.0,,,,0.0,33.0
109,2026-05-02,2026,6,UFL,DALLAS RENEGADES,DC DEFENDERS,,,,3.0,56.0,1.0,,1.0,3.0,227.0,,13.0,3.0,0.0,16.0
112,2026-05-09,2026,7,UFL,LOUISVILLE KINGS,DC DEFENDERS,,,,1.0,,2.0,,1.0,2.0,353.0,,,,0.0,11.0
116,2026-05-16,2026,8,UFL,DC DEFENDERS,LOUISVILLE KINGS,,,,3.0,51.0,3.0,,,1.0,145.0,,,,0.0,40.0
