game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_kr,score_p,score_pr,score_pts,score_r,score_tot,tackles
9889330,2023-09-02,2023,13,CFL,BC,MTL,,,,0.0,59.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,0.0,1.0,87.0,6.0,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,9.0,,,,,,,,
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,,0.0,39.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,,0.0,10.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
9889354,2023-10-13,2023,19,CFL,BC,HAM,,,,0.0,57.0,4.0,,,,,,,,,,,,,,,0.0,3.0,,,,,,,,
9889358,2023-10-20,2023,20,CFL,CGY,BC,,,,0.0,36.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
10798048,2024-08-01,2024,9,CFL,BC,WPG,,,,1.0,56.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,
10798059,2024-08-18,2024,11,CFL,WPG,BC,,,,0.0,39.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,
10798061,2024-08-23,2024,12,CFL,HAM,WPG,,,,0.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10798065,2024-09-01,2024,13,CFL,WPG,SSK,,,,0.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
10798070,2024-09-07,2024,14,CFL,SSK,WPG,,,,,,,,,,,,,,,,,,,,,0.0,9.0,,,,,,,,
10798078,2024-09-21,2024,16,CFL,WPG,EDM,,,,0.0,6.0,1.0,,,,,,,,,,,,,,,0.0,2.0,,,,,,,,
10798079,2024-09-27,2024,17,CFL,EDM,WPG,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10798083,2024-10-04,2024,18,CFL,WPG,HAM,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,
10798095,2024-10-26,2024,21,CFL,WPG,MTL,,,,0.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
