game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rushing_tds,rushing_yards,sacks,score_conv,score_p,score_pts,score_tot,tackles
6252,2022-08-20,2022,11,CFL,HAM,MTL,,,,0.0,32.0,2.0,,,,,,,,,,,,,,,,,
6267,2022-09-17,2022,15,CFL,WPG,HAM,,,,1.0,54.0,1.0,,,,,,,,,,,,,,,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,,,,0.0,9.0,1.0,,,,,,,,,,,,,,,,,
6281,2022-10-14,2022,19,CFL,HAM,CGY,,,,0.0,9.0,1.0,,,,,,,,,,,,,,,,,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,0.0,39.0,4.0,,,,,,,,,,,,,,,,,
9889290,2023-06-18,2023,2,CFL,HAM,TOR,,,,,26.0,3.0,,,,,,,,,,,,,,,,,
9889292,2023-06-23,2023,3,CFL,MTL,HAM,,,,0.0,26.0,3.0,,,,,,,,,,,,,,,,,
9889300,2023-07-08,2023,5,CFL,OTT,HAM,,,,0.0,17.0,3.0,,,,,,,,,,0.0,3.0,,,,,,
9889302,2023-07-13,2023,6,CFL,HAM,EDM,,,,0.0,17.0,1.0,,,,,,,,,,0.0,0.0,,,,,,
9889307,2023-07-21,2023,7,CFL,TOR,HAM,,,,0.0,40.0,4.0,,,,,,,,,,,,,,,,,
9889310,2023-07-28,2023,8,CFL,HAM,OTT,,,,0.0,13.0,1.0,,,,,,,,,,,,,,,,,
9889316,2023-08-05,2023,9,CFL,MTL,HAM,,,,0.0,7.0,1.0,,,,,,,,,,,,,,,,,
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,,0.0,41.0,3.0,,,,,,,,,,,,,,,,,
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,0.0,49.0,3.0,,,,,,,,,,,,,,,,,
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,,0.0,40.0,4.0,,,,,,,,,,,,,,,,,
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,,,0.0,14.0,1.0,,,,,,,,,,,,,,,,,
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,,0.0,156.0,9.0,,,,,,,,,,,,,,,,,
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,,,0.0,56.0,3.0,,,,,,,,,,,,,,,,,
9889352,2023-10-07,2023,18,CFL,HAM,SSK,,,0.0,0.0,40.0,3.0,,,,,,,,,,,,0.0,,,,,1.0
9889354,2023-10-13,2023,19,CFL,BC,HAM,,,,0.0,70.0,6.0,,,,,,,,,,,,,,,,,
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,,0.0,0.0,50.0,4.0,,,,,,,,,,,,0.0,,,,,1.0
10798017,2024-06-07,2024,1,CFL,HAM,CGY,,,,1.0,37.0,3.0,,,,,,,,,,,,,,,,,
10798143,2024-05-25,2024,2,CFL,OTT,HAM,,,,1.0,119.0,6.0,,,,,,,,,,,,,,,,,
10798027,2024-06-23,2024,3,CFL,HAM,SSK,,,,1.0,52.0,5.0,,,,,,,,,,,,,,,,,
10798031,2024-06-30,2024,4,CFL,HAM,OTT,,,,0.0,16.0,3.0,,,,,,,,,,,,,,,,,
10798035,2024-07-07,2024,5,CFL,BC,HAM,,,,1.0,42.0,4.0,,,,,,,,,,,,,,,,,
10798042,2024-07-20,2024,7,CFL,TOR,HAM,,,,0.0,38.0,2.0,,,,,,,,,,,,,,,,,
10798047,2024-07-28,2024,8,CFL,HAM,EDM,,,,1.0,69.0,2.0,,,,,,,,,,,,,,,,,
10798049,2024-08-02,2024,9,CFL,MTL,HAM,,,,0.0,40.0,6.0,,,,,,,,,,,,,,,,,
10798054,2024-08-10,2024,10,CFL,HAM,MTL,,,,0.0,32.0,4.0,,,,,,,,,,,,,,,,,
10798058,2024-08-17,2024,11,CFL,EDM,HAM,,,,0.0,86.0,9.0,,,,,,,,,,,,,,,,,
10798061,2024-08-23,2024,12,CFL,HAM,WPG,,,,0.0,19.0,1.0,,,,,,,,,,,,,,,,,
10798066,2024-09-02,2024,13,CFL,TOR,HAM,,,,0.0,12.0,2.0,,,,,,,,,,,,,,,,,
10798073,2024-09-14,2024,15,CFL,OTT,HAM,,,,0.0,22.0,1.0,,,,,,,,,,,,,,,,,
10798075,2024-09-20,2024,16,CFL,HAM,TOR,,,,0.0,79.0,5.0,,,,,,,,,,,,,,,,,
10798080,2024-09-27,2024,17,CFL,HAM,BC,,,,1.0,92.0,8.0,,,,,,,,,,,,,,,,,
10798083,2024-10-04,2024,18,CFL,WPG,HAM,,,,0.0,54.0,6.0,,,,,,,,,,,,,,,,,
10798090,2024-10-18,2024,20,CFL,CGY,HAM,,,,0.0,72.0,4.0,,,,,,,,,,,,,,,,,
10798093,2024-10-25,2024,21,CFL,HAM,OTT,,,,1.0,52.0,3.0,,,,,,,,,,,,,,,,,
11824047,2025-06-07,2025,1,CFL,HAM,CGY,,,,0.0,33.0,4.0,,,,,,,,,,0.0,-5.0,,,,,,
11824052,2025-06-14,2025,2,CFL,SSK,HAM,,,,0.0,46.0,4.0,,,,,,,,,,,,,,,,,
11824058,2025-06-27,2025,4,CFL,MTL,HAM,,,,0.0,5.0,1.0,,,,,,,,,,,,,,,,,
11824062,2025-07-04,2025,5,CFL,HAM,TOR,,,,1.0,28.0,3.0,,,,,,,,,,,,,,,,,
11824066,2025-07-12,2025,6,CFL,OTT,HAM,,,,0.0,34.0,3.0,,,,,,,,,,,,,,,,,
11824071,2025-07-20,2025,7,CFL,HAM,OTT,,,,0.0,81.0,3.0,,,,,,,,,,,,,,,,,
11824075,2025-07-27,2025,8,CFL,HAM,BC,,,,2.0,138.0,14.0,,,,,,,,,,,,,,,,,
11824078,2025-08-02,2025,9,CFL,HAM,EDM,,,,1.0,138.0,7.0,,,,,,,,,,,,,,,,,
11824080,2025-08-07,2025,10,CFL,BC,HAM,,,,1.0,46.0,5.0,,,,,,,,,,,,,,,,,
11824086,2025-08-16,2025,11,CFL,HAM,SSK,,,,0.0,8.0,1.0,,,,,,,,,,,,,,,,,
11824093,2025-09-01,2025,13,CFL,TOR,HAM,,,,0.0,171.0,7.0,,,,,,,,,,,,,,,,,
11824096,2025-09-06,2025,14,CFL,HAM,MTL,,,,0.0,7.0,1.0,,,,,,,,,,,,,,,,,
11824099,2025-09-12,2025,15,CFL,WPG,HAM,,,,0.0,17.0,3.0,,,,,,,,,,,,,,,,,
11824106,2025-09-20,2025,16,CFL,EDM,HAM,,,,,89.0,7.0,,,,,,,,,,,,,,,,,
11824109,2025-09-27,2025,17,CFL,HAM,WPG,,,,0.0,65.0,6.0,,,,,,,,,,,,,,,,,
11824112,2025-10-04,2025,18,CFL,HAM,TOR,,,,0.0,98.0,6.0,,,,,,,,,,,,,,,,,
11824115,2025-10-11,2025,19,CFL,CGY,HAM,,,,0.0,23.0,3.0,,,,,,,,,,,,,,,,,
11824122,2025-10-24,2025,21,CFL,OTT,HAM,,,,0.0,99.0,8.0,,,,,,,,,,,,,,,,,
