game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2022_10_8_EDM@WPG,2022-10-08,2022,1,CFL,EDM,WPG,,,,,,,,2.0,2.0,1.0,21.0,46.0,14.0,9.0,1.0,61.0,,,,1.0,12.0,1.0,2.0,
FOOTBALL_CFL_2022_11_13_BC@WPG,2022-11-13,2022,1,CFL,BC,WPG,,,,,,,13.0,4.0,5.0,,36.0,37.0,20.0,26.0,,130.0,,,,,,,,
FOOTBALL_CFL_2022_11_20_TOR@WPG,2022-11-20,2022,1,CFL,TOR,WPG,1.0,1.0,,,,,4.0,1.0,2.0,,3.0,4.0,15.0,13.0,,82.0,,,,,,,,
FOOTBALL_CFL_2022_6_10_OTT@WPG,2022-06-10,2022,1,CFL,OTT,WPG,,,,,,,24.0,2.0,3.0,,25.0,29.0,10.0,6.0,,17.0,,,,,,,,
FOOTBALL_CFL_2022_6_17_WPG@OTT,2022-06-17,2022,1,CFL,WPG,OTT,1.0,1.0,,,,,20.0,3.0,4.0,,24.0,27.0,14.0,8.0,,48.0,,,,,,,,
FOOTBALL_CFL_2022_6_24_HAM@WPG,2022-06-24,2022,1,CFL,HAM,WPG,,,,,,,,,,,,,15.0,10.0,1.0,56.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_7_15_CGY@WPG,2022-07-15,2022,1,CFL,CGY,WPG,,,,,,,12.0,1.0,1.0,,7.0,12.0,9.0,3.0,,8.0,,,,,,,,
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,1.0,1.0,,,,,,,1.0,,,,13.0,10.0,,62.0,,,,,,,,
FOOTBALL_CFL_2022_7_30_WPG@CGY,2022-07-30,2022,1,CFL,WPG,CGY,,,,,,,9.0,2.0,2.0,,12.0,16.0,15.0,31.0,,110.0,,,,,,,,
FOOTBALL_CFL_2022_7_4_WPG@TOR,2022-07-04,2022,1,CFL,WPG,TOR,,,,,,,5.0,3.0,3.0,,-1.0,6.0,7.0,7.0,,28.0,,,,,,,,
FOOTBALL_CFL_2022_7_9_WPG@BC,2022-07-09,2022,1,CFL,WPG,BC,,,,,,,6.0,2.0,3.0,,5.0,7.0,7.0,10.0,,39.0,,,,,,,,
FOOTBALL_CFL_2022_8_11_MTL@WPG,2022-08-11,2022,1,CFL,MTL,WPG,,,,,,,13.0,2.0,4.0,,13.0,24.0,15.0,,1.0,84.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_8_25_CGY@WPG,2022-08-25,2022,1,CFL,CGY,WPG,,,,,,,16.0,1.0,3.0,,14.0,16.0,8.0,10.0,,60.0,,,,,,,,
FOOTBALL_CFL_2022_8_4_WPG@MTL,2022-08-04,2022,1,CFL,WPG,MTL,,,,,,,35.0,1.0,1.0,,,35.0,17.0,15.0,1.0,92.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_9_10_SSK@WPG,2022-09-10,2022,1,CFL,SSK,WPG,,,,,,,10.0,2.0,2.0,,11.0,19.0,10.0,19.0,,55.0,,,,,,,,
FOOTBALL_CFL_2022_9_17_WPG@HAM,2022-09-17,2022,1,CFL,WPG,HAM,,,,,,,,,,,,,9.0,17.0,,60.0,,,,,,,,
FOOTBALL_CFL_2022_9_30_SSK@WPG,2022-09-30,2022,1,CFL,SSK,WPG,,,,,,,,,,,,,15.0,23.0,,101.0,,,,,,,,
FOOTBALL_CFL_2022_9_4_WPG@SSK,2022-09-04,2022,1,CFL,WPG,SSK,,,,,,,6.0,1.0,2.0,,4.0,6.0,12.0,5.0,,38.0,,,,,,,,
SYNTHETIC_CFL_2022_W1_WPG,,2022,1,CFL,,,,,,0.0,29.0,2.0,,,,,,,,,,,0.0,17.0,,,,,,
SYNTHETIC_CFL_2022_W3_WPG,,2022,3,CFL,,,,,,,,,,,,,,,,,,,1.0,56.0,,,,,,
SYNTHETIC_CFL_2022_W4_WPG,,2022,4,CFL,,,,,,0.0,6.0,3.0,,,,,,,,,,,0.0,28.0,,,,,,
SYNTHETIC_CFL_2022_W5_WPG,,2022,5,CFL,,,,,,0.0,7.0,2.0,,,,,,,,,,,0.0,39.0,,,,,,
6231,2022-07-15,2022,6,CFL,CGY,WPG,,,,0.0,12.0,1.0,,,,,,,,,,,0.0,8.0,,,,,,
6236,2022-07-22,2022,7,CFL,WPG,EDM,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,62.0,,,,,,
6240,2022-07-30,2022,8,CFL,WPG,CGY,,,,0.0,16.0,2.0,,,,,,,,,,,0.0,110.0,,,,,,
6242,2022-08-04,2022,9,CFL,WPG,MTL,,,,0.0,35.0,1.0,,,,,,,,,,,1.0,92.0,,,,,,
6246,2022-08-11,2022,10,CFL,MTL,WPG,,,,0.0,24.0,2.0,,,,,,,,,,,1.0,84.0,,,,,,
6254,2022-08-25,2022,12,CFL,CGY,WPG,,,,0.0,16.0,1.0,,,,,,,,,,,0.0,60.0,,,,,,
6259,2022-09-04,2022,13,CFL,WPG,SSK,,,,0.0,6.0,1.0,,,,,,,,,,,0.0,38.0,,,,,,
6264,2022-09-10,2022,14,CFL,SSK,WPG,,,,,,,,,,,,,,,,,0.0,55.0,,,,,,
6267,2022-09-17,2022,15,CFL,WPG,HAM,,,,,,,,,,,,,,,,,0.0,60.0,,,,,,
6272,2022-09-30,2022,17,CFL,SSK,WPG,,,,,,,,,,,,,,,,,0.0,101.0,,,,,,
6278,2022-10-08,2022,18,CFL,EDM,WPG,,,,,,,,,,,,,,,,,1.0,61.0,,,,,,
6283,2022-10-15,2022,19,CFL,WPG,BC,,,,0.0,9.0,1.0,,,,,,,,,,,0.0,10.0,,,,,,
6288,2022-10-28,2022,21,CFL,BC,WPG,,,,,,,,,,,,,,,,,0.0,72.0,,,,,,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,0.0,58.0,2.0,,,,,,,,,,,1.0,106.0,,,,,,
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,,0.0,4.0,1.0,,,,,,,,,,,0.0,42.0,,,,,,
9889291,2023-06-22,2023,3,CFL,BC,WPG,,,,0.0,11.0,1.0,,,,,,,,,,,0.0,52.0,,,,,,
9889296,2023-07-01,2023,4,CFL,WPG,MTL,,,,0.0,19.0,2.0,,,,,,,,,,,0.0,120.0,,,,,,
9889299,2023-07-07,2023,5,CFL,CGY,WPG,,,,0.0,37.0,5.0,,,,,,,,,,,0.0,73.0,,,,,,
9889304,2023-07-15,2023,6,CFL,WPG,OTT,,,,0.0,93.0,3.0,,,,,,,,,,,0.0,16.0,,,,,,
9889306,2023-07-20,2023,7,CFL,EDM,WPG,,,,0.0,10.0,2.0,,,,,,,,,,,0.0,110.0,,,,,,
9889314,2023-08-03,2023,9,CFL,BC,WPG,,,,0.0,7.0,1.0,,,,,,,,,,,2.0,67.0,,,,,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,,,,1.0,20.0,2.0,,,,,,,,,,,0.0,110.0,,,,,,
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,,,0.0,19.0,2.0,,,,,,,,,,,0.0,80.0,,,,,,
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,,,1.0,6.0,1.0,,,,,,,,,,,1.0,119.0,,,,,,
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,,0.0,0.0,12.0,1.0,,,,,,,,,,,2.0,88.0,0.0,,,,,1.0
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,,1.0,57.0,4.0,,,,,,,,,,,0.0,154.0,,,,,,
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,46.0,0.0,,,,,2.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,,1.0,12.0,2.0,,,,,,,,,,,0.0,169.0,,,,,,
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,0.0,0.0,85.0,8.0,,,,,,,,,,,1.0,67.0,0.0,,,,,1.0
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,,0.0,17.0,1.0,,,,,,,,,,,2.0,72.0,,,,,,
9889361,2023-10-27,2023,21,CFL,WPG,CGY,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,36.0,,,,,,
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,,,0.0,17.0,3.0,,,,,,,,,,,0.0,38.0,,,,,,
10798025,2024-06-21,2024,3,CFL,BC,WPG,,,,,,,,,,,,,,,,,0.0,64.0,,,,,,
10798030,2024-06-29,2024,4,CFL,WPG,CGY,,,,0.0,37.0,5.0,,,,,,,,,,,0.0,26.0,,,,,,
10798033,2024-07-05,2024,5,CFL,OTT,WPG,,,,0.0,37.0,5.0,,,,,,,,,,,0.0,129.0,,,,,,
10798037,2024-07-12,2024,6,CFL,CGY,WPG,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,109.0,,,,,,
10798041,2024-07-19,2024,7,CFL,WPG,SSK,,,,0.0,80.0,9.0,,,,,,,,,,,0.0,49.0,,,,,,
10798046,2024-07-27,2024,8,CFL,WPG,TOR,,,,0.0,51.0,6.0,,,,,,,,,,,0.0,96.0,,,,,,
10798048,2024-08-01,2024,9,CFL,BC,WPG,,,,0.0,42.0,4.0,,,,,,,,,,,0.0,100.0,,,,,,
10798059,2024-08-18,2024,11,CFL,WPG,BC,,,,0.0,24.0,4.0,,,,,,,,,,,0.0,78.0,,,,,,
10798061,2024-08-23,2024,12,CFL,HAM,WPG,,,,0.0,8.0,1.0,,,,,,,,,,,0.0,120.0,,,,,,
10798065,2024-09-01,2024,13,CFL,WPG,SSK,,,,0.0,9.0,1.0,,,,,,,,,,,0.0,42.0,,,,,,
10798070,2024-09-07,2024,14,CFL,SSK,WPG,,,,0.0,60.0,6.0,,,,,,,,,,,0.0,43.0,,,,,,
10798078,2024-09-21,2024,16,CFL,WPG,EDM,,,,0.0,11.0,2.0,,,,,,,,,,,2.0,127.0,,,,,,
10798079,2024-09-27,2024,17,CFL,EDM,WPG,,,,1.0,33.0,1.0,,,,,,,,,,,0.0,86.0,,,,,,
10798083,2024-10-04,2024,18,CFL,WPG,HAM,,,,0.0,15.0,1.0,,,,,,,,,,,1.0,147.0,,,,,,
10798086,2024-10-11,2024,19,CFL,TOR,WPG,,,,0.0,41.0,6.0,,,,,,,,,,,0.0,64.0,,,,,,
10798095,2024-10-26,2024,21,CFL,WPG,MTL,,,,0.0,11.0,3.0,,,,,,,,,,,0.0,35.0,,,,,,
11824049,2025-06-12,2025,2,CFL,BC,WPG,,,,,,,,,,,,,,,,,0.0,49.0,,,,,,
11824061,2025-07-03,2025,5,CFL,WPG,CGY,,,,0.0,51.0,6.0,,,,,,,,,,,0.0,61.0,,,,,,
11824069,2025-07-18,2025,7,CFL,CGY,WPG,,,,0.0,40.0,5.0,,,,,,,,,,,0.0,68.0,,,,,,
11824074,2025-07-26,2025,8,CFL,WPG,TOR,,,,0.0,38.0,2.0,,,,,,,,,,,0.0,82.0,,,,,,
11824077,2025-08-01,2025,9,CFL,TOR,WPG,,,,0.0,19.0,1.0,,,,,,,,,,,0.0,50.0,,,,,,
11824083,2025-08-09,2025,10,CFL,WPG,CGY,,,,0.0,100.0,9.0,,,,,,,,,,,0.0,68.0,,,,,,
11824084,2025-08-14,2025,11,CFL,OTT,WPG,,,,0.0,29.0,4.0,,,,,,,,,,,1.0,35.0,,,,,,
11824088,2025-08-21,2025,12,CFL,WPG,MTL,,,,0.0,73.0,9.0,,,,,,,,,,,1.0,137.0,,,,,,
11824092,2025-08-31,2025,13,CFL,WPG,SSK,,,,0.0,30.0,5.0,,,,,,,,,,,1.0,24.0,,,,,,
11824097,2025-09-06,2025,14,CFL,SSK,WPG,,,,0.0,19.0,2.0,,,,,,,,,,,0.0,83.0,,,,,,
11824099,2025-09-12,2025,15,CFL,WPG,HAM,,,,0.0,35.0,4.0,,,,,,,,,,,0.0,116.0,,,,,,
11824105,2025-09-20,2025,16,CFL,WPG,OTT,,,,,,,,,,,,,,,,,,100.0,,,,,,
11824109,2025-09-27,2025,17,CFL,HAM,WPG,,,,0.0,53.0,4.0,,,,,,,,,,,0.0,98.0,,,,,,
11824116,2025-10-11,2025,19,CFL,WPG,EDM,,,,0.0,30.0,7.0,,,,,,,,,,,0.0,117.0,,,,,,
11824118,2025-10-17,2025,20,CFL,SSK,WPG,,,,0.0,29.0,3.0,,,,,,,,,,,0.0,75.0,,,,,,
