game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,1.0,1.0,16.0,6.0,9.0,,26.0,72.0,,,,,,,
FOOTBALL_CFL_2019_7_1_TOR@SSK,2019-07-01,2019,1,CFL,TOR,SSK,2.0,2.0,13.0,3.0,5.0,,20.0,35.0,,,,,,,
FOOTBALL_CFL_2019_7_25_TOR@EDM,2019-07-25,2019,1,CFL,TOR,EDM,,,7.0,1.0,2.0,,,7.0,,,,,,,
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,,,16.0,3.0,8.0,,2.0,23.0,,,,1.0,,2.0,
FOOTBALL_CFL_2019_8_16_EDM@TOR,2019-08-16,2019,1,CFL,EDM,TOR,,,15.0,3.0,4.0,1.0,2.0,22.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_8_1_WPG@TOR,2019-08-01,2019,1,CFL,WPG,TOR,,,18.0,10.0,17.0,1.0,33.0,120.0,1.0,5.0,5.0,,1.0,6.0,1.0
FOOTBALL_CFL_2019_8_25_MTL@TOR,2019-08-25,2019,1,CFL,MTL,TOR,,,19.0,7.0,11.0,,27.0,86.0,,,,,,,
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,,6.0,2.0,3.0,,,11.0,,,,,,,
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,,,19.0,5.0,7.0,1.0,10.0,55.0,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_9_2_TOR@HAM,2019-09-02,2019,1,CFL,TOR,HAM,,,19.0,4.0,6.0,,7.0,52.0,,,,,,,
FOOTBALL_CFL_2019_9_7_TOR@OTT,2019-09-07,2019,1,CFL,TOR,OTT,,,26.0,8.0,10.0,,30.0,130.0,,,,,,,
