game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_pts,score_r,score_tot
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,,18.0,16.0,,24.0,14.0,2.0,,155.0,,,,,,,,,,3.0,2.0,,6.0,,,,,,
FOOTBALL_CFL_2019_6_15_OTT@CGY,2019-06-15,2019,1,CFL,OTT,CGY,,,,44.0,29.0,4.0,26.0,,,,276.0,,,,,,,,,,5.0,,3.0,10.0,,,,18.0,3.0,3.0
FOOTBALL_CFL_2019_6_20_SSK@OTT,2019-06-20,2019,1,CFL,SSK,OTT,,,,39.0,30.0,,43.0,19.0,4.0,3.0,354.0,,,,,,,,,,5.0,22.0,,43.0,,,,,,
FOOTBALL_CFL_2019_7_13_MTL@OTT,2019-07-13,2019,1,CFL,MTL,OTT,1.0,1.0,,37.0,23.0,1.0,42.0,22.0,2.0,,268.0,,,,,,,,,,4.0,11.0,2.0,21.0,,,,12.0,2.0,2.0
FOOTBALL_CFL_2019_7_5_WPG@OTT,2019-07-05,2019,1,CFL,WPG,OTT,,,,36.0,21.0,2.0,30.0,18.0,2.0,,234.0,,,,,,,,,,1.0,2.0,,2.0,,,,,,
FOOTBALL_CFL_2019_8_17_HAM@OTT,2019-08-17,2019,1,CFL,HAM,OTT,,,,40.0,20.0,,47.0,,,,238.0,,,,,,,,,,4.0,10.0,,14.0,,,,,,
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,2.0,2.0,,6.0,3.0,3.0,10.0,,,,23.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_2_OTT@MTL,2019-08-02,2019,1,CFL,OTT,MTL,,,,34.0,20.0,2.0,23.0,1.0,1.0,1.0,164.0,,,,,,,,,,2.0,4.0,,6.0,,,,,,
FOOTBALL_CFL_2019_8_9_OTT@EDM,2019-08-09,2019,1,CFL,OTT,EDM,,,,35.0,23.0,2.0,,,,1.0,289.0,,,,,,,,,,4.0,2.0,,6.0,,,,,,
FOOTBALL_CFL_2019_9_28_EDM@OTT,2019-09-28,2019,1,CFL,EDM,OTT,,,,23.0,15.0,,45.0,19.0,2.0,,215.0,,,,,,,,,,3.0,5.0,1.0,7.0,,,1.0,8.0,1.0,1.0
SYNTHETIC_CFL_2022_W1_MTL,,2022,1,CFL,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,1.0,9.0,,,,
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,13.0,,,,
SYNTHETIC_CFL_2022_W3_MTL,,2022,3,CFL,,,,,0.0,,,,,,,,,0.0,11.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
6230,2022-07-14,2022,6,CFL,EDM,MTL,,,,,,,,,,,,,,,,,,,,,,,,,2.0,5.0,,,,
6234,2022-07-21,2022,7,CFL,MTL,OTT,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,,
6238,2022-07-28,2022,8,CFL,MTL,HAM,,,1.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,2.0,,,,
6242,2022-08-04,2022,9,CFL,WPG,MTL,,,0.0,,,,,,,,,1.0,76.0,,,,,,,,,,,,0.0,8.0,,,,
6246,2022-08-11,2022,10,CFL,MTL,WPG,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,2.0,8.0,,,,
6252,2022-08-20,2022,11,CFL,HAM,MTL,,,,,,,,,,,,,,,,,,,,,,,,,0.0,5.0,,,,
6258,2022-09-02,2022,13,CFL,OTT,MTL,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
6262,2022-09-09,2022,14,CFL,BC,MTL,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,1.0,9.0,,,,
6269,2022-09-23,2022,16,CFL,HAM,MTL,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,,,,
6274,2022-10-01,2022,17,CFL,MTL,EDM,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,
6280,2022-10-14,2022,19,CFL,MTL,OTT,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,1.0,11.0,,,,
6286,2022-10-22,2022,20,CFL,TOR,MTL,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,10.0,,,,
9889283,2023-06-08,2023,1,CFL,BC,CGY,,,,,,,,,,,,,,,,,,,,,,,,,0.0,8.0,,,,
9889289,2023-06-17,2023,2,CFL,EDM,BC,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
9889291,2023-06-22,2023,3,CFL,BC,WPG,,,,,,,,,,,,,,,,,,,,,,,,,1.0,30.0,,,,
9889297,2023-07-03,2023,4,CFL,BC,TOR,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
9889301,2023-07-09,2023,5,CFL,MTL,BC,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
9889314,2023-08-03,2023,9,CFL,BC,WPG,,,0.0,,,,,,,,,0.0,76.0,,,,,,,,,,,,0.0,13.0,,,,
9889320,2023-08-12,2023,10,CFL,CGY,BC,,,0.0,,,,,,,,,0.0,-2.0,,,,,,,,,,,,0.0,4.0,,,,
9889325,2023-08-20,2023,11,CFL,BC,SSK,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,5.0,,,,
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,,,,,,,,,,,,,,,,,,,,,,,0.0,4.0,,,,
9889341,2023-09-16,2023,15,CFL,OTT,BC,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2.0,,,,
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,
9889358,2023-10-20,2023,20,CFL,CGY,BC,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,,,,
