game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,sacks,tackles
9889326,2023-08-24,2023,12,CFL,MTL,WPG,,0.0,25.0,2.0,,,,,,,,,,,,
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,0.0,-1.0,1.0,,,,,,,,,,,,
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,0.0,29.0,3.0,,,,,,,,,0.0,7.0,,
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,0.0,35.0,3.0,,,,,,,,,0.0,23.0,,
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,0.0,20.0,2.0,,,,,,,,,,,,
9889351,2023-10-06,2023,18,CFL,WPG,BC,,0.0,48.0,2.0,,,,,,,,,,,,
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,2.0,24.0,3.0,,,,,,,,,,,,
9889361,2023-10-27,2023,21,CFL,WPG,CGY,0.0,1.0,81.0,2.0,,,,,,,,,,,0.0,1.0
10798019,2024-06-09,2024,1,CFL,BC,TOR,,1.0,50.0,5.0,,,,,,,,,,,,1.0
10798026,2024-06-22,2024,3,CFL,EDM,TOR,,1.0,21.0,1.0,,,,,,,,,,,,
10798029,2024-06-28,2024,4,CFL,MTL,TOR,,0.0,39.0,3.0,,,,,,,,,,,,
10798032,2024-07-04,2024,5,CFL,TOR,SSK,,0.0,66.0,7.0,,,,,,,,,,,,
10798036,2024-07-11,2024,6,CFL,TOR,MTL,,0.0,28.0,4.0,,,,,,,,,,,,
10798042,2024-07-20,2024,7,CFL,TOR,HAM,,0.0,41.0,4.0,,,,,,,,,,,,
