game_id,date,season,week,league,away,home,assisted_tackles,def_ff,def_interceptions,def_pd,def_tackles,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumbles,fumbles_lost,gp,interceptions,kr_no,kr_yds,pass_attempts,pass_completions,pass_long,passing_tds,passing_yards,pr_no,pr_yds,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,recv_rec,recv_td,recv_yds,rush_avg,rush_long,rushing_attempts,rushing_tds,rushing_yards,sacks,safeties,tackles
FOOTBALL_IFL_2026_5_24_TARIZONARATTLERSG2026052419QZ@TVEGASKNIGHTHAWKS,2026-05-24,2026,,IFL,Arizona Rattlers,Vegas Knight Hawks,,,,,,,,,,,1.0,1.0,,2.0,,,16.0,8.0,23.0,1.0,96.0,,,,,,,,,,,1.7,11.0,11.0,1.0,19.0,,,
FOOTBALL_IFL_2026_3_28_TSANDIEGOSTRIKEFORCEG20260328BGUR@TARIZONARATTLERS,2026-03-28,2026,3,IFL,San Diego Strike Force,Arizona Rattlers,,,,,,,,,,,,,,0.0,,,2.0,1.0,21.0,0.0,21.0,,,,,,,,,,,-1.5,0.0,2.0,0.0,-3.0,,,
FOOTBALL_UFL_2026_4_12_CLB@DAL,2026-04-12,2026,3,UFL,CLB,DAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
FOOTBALL_IFL_2026_4_5_TARIZONARATTLERSG20260405GSAF@TFISHERSFREIGHT,2026-04-05,2026,4,IFL,Arizona Rattlers,Fishers Freight,,,,,,,,,,,,,,0.0,,,4.0,2.0,8.0,0.0,14.0,,,,,,,,,,,3.5,6.0,2.0,0.0,7.0,,,
FOOTBALL_IFL_2026_4_11_TSANANTONIOGUNSLINGERSG20260411JRXF@TARIZONARATTLERS,2026-04-11,2026,5,IFL,San Antonio Gunslingers,Arizona Rattlers,,,,,,,,,,,,,,0.0,,,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_10_TTUCSONSUGARSKULLSG20260510QDQW@TARIZONARATTLERS,2026-05-10,2026,9,IFL,Tucson Sugar Skulls,Arizona Rattlers,,,,,,,,,,,,,,0.0,,,24.0,13.0,28.0,2.0,171.0,,,,,,,,,,,8.2,27.0,10.0,4.0,82.0,,,
FOOTBALL_IFL_2026_5_18_TARIZONARATTLERSG20260518E0UH@TNEWMEXICOCHUPACABRAS,2026-05-18,2026,10,IFL,Arizona Rattlers,New Mexico Chupacabras,,,,,,,,,,,1.0,0.0,,0.0,,,11.0,9.0,43.0,2.0,143.0,,,0.0,0.0,0.0,0.0,1.0,,,,7.5,10.0,6.0,1.0,45.0,,,
FOOTBALL_IFL_2026_5_30_TNAZWRANGLERSG20260530ZDI0@TARIZONARATTLERS,2026-05-30,2026,12,IFL,NAZ Wranglers,Arizona Rattlers,,,,,,,,,,,,,,0.0,,,20.0,16.0,37.0,3.0,218.0,,,,,,,,,,,-0.3,4.0,6.0,0.0,-2.0,,,
FOOTBALL_IFL_2026_6_14_TFISHERSFREIGHTG20260614HYJQ@TARIZONARATTLERS,2026-06-14,2026,14,IFL,Fishers Freight,Arizona Rattlers,,,,,,,,,,,,,,0.0,,,32.0,21.0,28.0,3.0,189.0,,,,,,,,,,,4.0,11.0,6.0,1.0,24.0,,,
FOOTBALL_IFL_2026_6_20_TARIZONARATTLERSG20260620GMCA@TTUCSONSUGARSKULLS,2026-06-20,2026,15,IFL,Arizona Rattlers,Tucson Sugar Skulls,,,,,,,,,,,1.0,0.0,,3.0,,,30.0,16.0,41.0,3.0,177.0,,,,,,,,,,,3.1,9.0,10.0,1.0,31.0,,,
