game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_tot,tackles
FOOTBALL_CFL_2022_10_29_SSK@CGY,2022-10-29,2022,1,CFL,SSK,CGY,,,,,,,11.0,5.0,10.0,,16.0,25.0,,,,,,,,,,
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,,,,,26.0,6.0,6.0,1.0,51.0,93.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_6_11_HAM@SSK,2022-06-11,2022,1,CFL,HAM,SSK,,,,,,,,4.0,5.0,1.0,7.0,32.0,1.0,9.0,9.0,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_6_18_SSK@EDM,2022-06-18,2022,1,CFL,SSK,EDM,,,,,,,28.0,3.0,4.0,,20.0,51.0,1.0,16.0,16.0,,,,,,,
FOOTBALL_CFL_2022_6_23_SSK@MTL,2022-06-23,2022,1,CFL,SSK,MTL,,,,,,,11.0,8.0,10.0,,20.0,53.0,,,,,,,,,,
FOOTBALL_CFL_2022_7_16_SSK@TOR,2022-07-16,2022,1,CFL,SSK,TOR,1.0,1.0,,,,,44.0,7.0,9.0,,42.0,96.0,,,,,,,,,,
FOOTBALL_CFL_2022_7_24_TOR@SSK,2022-07-24,2022,1,CFL,TOR,SSK,,,,,,,,,8.0,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_29_BC@SSK,2022-07-29,2022,1,CFL,BC,SSK,1.0,1.0,,,,,14.0,3.0,5.0,,14.0,31.0,,,,,,,,,,
FOOTBALL_CFL_2022_7_2_MTL@SSK,2022-07-02,2022,1,CFL,MTL,SSK,,,,,,,,7.0,8.0,1.0,75.0,90.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_7_8_OTT@SSK,2022-07-08,2022,1,CFL,OTT,SSK,,,,,,,25.0,3.0,3.0,1.0,37.0,48.0,1.0,-1.0,-1.0,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_8_13_SSK@EDM,2022-08-13,2022,1,CFL,SSK,EDM,,,,,,,22.0,2.0,4.0,,6.0,25.0,2.0,15.0,29.0,,,,,,,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,1.0,1.0,,,,,12.0,2.0,2.0,,7.0,18.0,,,,,,,,,,
FOOTBALL_CFL_2022_8_26_SSK@BC,2022-08-26,2022,1,CFL,SSK,BC,,,,,,,,5.0,6.0,1.0,81.0,170.0,,,,,,,1.0,6.0,1.0,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,,,,,,,11.0,3.0,4.0,,6.0,18.0,3.0,6.0,9.0,,,,,,,
FOOTBALL_CFL_2022_9_30_SSK@WPG,2022-09-30,2022,1,CFL,SSK,WPG,,,,,,,52.0,3.0,6.0,,7.0,110.0,1.0,3.0,3.0,,,,,,,
FOOTBALL_CFL_2022_9_4_WPG@SSK,2022-09-04,2022,1,CFL,WPG,SSK,,,,,,,17.0,4.0,5.0,,7.0,39.0,1.0,4.0,4.0,,,,,,,
SYNTHETIC_CFL_2022_W1_SSK,,2022,1,CFL,,,,,,1.0,32.0,4.0,,,,,,,,,,0.0,9.0,,,,,
SYNTHETIC_CFL_2022_W3_SSK,,2022,3,CFL,,,,,,0.0,53.0,8.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_SSK,,2022,4,CFL,,,,,,1.0,90.0,7.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_SSK,,2022,5,CFL,,,,,,1.0,48.0,3.0,,,,,,,,,,0.0,-1.0,,,,,
6232,2022-07-16,2022,6,CFL,SSK,TOR,,,,0.0,96.0,7.0,,,,,,,,,,,,,,,,
6237,2022-07-24,2022,7,CFL,TOR,SSK,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
6239,2022-07-29,2022,8,CFL,BC,SSK,,,,0.0,31.0,3.0,,,,,,,,,,,,,,,,
6249,2022-08-13,2022,10,CFL,SSK,EDM,,,,0.0,25.0,2.0,,,,,,,,,,0.0,29.0,,,,,
6251,2022-08-19,2022,11,CFL,BC,SSK,,,,0.0,18.0,2.0,,,,,,,,,,,,,,,,
6259,2022-09-04,2022,13,CFL,WPG,SSK,,,,0.0,39.0,4.0,,,,,,,,,,0.0,4.0,,,,,
6266,2022-09-16,2022,15,CFL,EDM,SSK,,,,0.0,18.0,3.0,,,,,,,,,,0.0,9.0,,,,,
6272,2022-09-30,2022,17,CFL,SSK,WPG,,,,0.0,110.0,3.0,,,,,,,,,,0.0,3.0,,,,,
6276,2022-10-07,2022,18,CFL,SSK,HAM,,,,1.0,93.0,6.0,,,,,,,,,,,,,,,,
6287,2022-10-22,2022,20,CFL,CGY,SSK,,,,0.0,61.0,3.0,,,,,,,,,,0.0,5.0,,,,,
9889325,2023-08-20,2023,11,CFL,BC,SSK,,,,1.0,36.0,3.0,,,,,,,,,,,,,,,,
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,,,0.0,20.0,1.0,,,,,,,,,,,,,,,,
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,,0.0,37.0,6.0,,,,,,,,,,,,,,,,
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,0.0,0.0,4.0,1.0,,,,,,,,,,0.0,10.0,0.0,,,,1.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,,1.0,76.0,7.0,,,,,,,,,,,,,,,,
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,,0.0,104.0,9.0,,,,,,,,,,,,,,,,
9889352,2023-10-07,2023,18,CFL,HAM,SSK,,,,0.0,29.0,2.0,,,,,,,,,,0.0,-4.0,,,,,
9889355,2023-10-13,2023,19,CFL,SSK,CGY,,,,0.0,34.0,2.0,,,,,,,,,,,,,,,,
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,,1.0,90.0,7.0,,,,,,,,,,,,,,,,
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,,,0.0,52.0,4.0,,,,,,,,,,,,,,,,1.0
10798145,2024-05-25,2024,2,CFL,SSK,EDM,,,,2.0,109.0,7.0,,,,,,,,,,,,,,,,
10798027,2024-06-23,2024,3,CFL,HAM,SSK,,,,0.0,6.0,2.0,,,,,,,,,,,,,,,,
10798032,2024-07-04,2024,5,CFL,TOR,SSK,,,,0.0,43.0,4.0,,,,,,,,,,,,,,,,
10798038,2024-07-13,2024,6,CFL,SSK,BC,,,,0.0,82.0,4.0,,,,,,,,,,,,,,,,
10798041,2024-07-19,2024,7,CFL,WPG,SSK,,,,0.0,60.0,4.0,,,,,,,,,,,,,,,,
10798060,2024-08-22,2024,12,CFL,SSK,TOR,,,,0.0,11.0,2.0,,,,,,,,,,0.0,-4.0,,,,,
10798065,2024-09-01,2024,13,CFL,WPG,SSK,,,,0.0,79.0,5.0,,,,,,,,,,,,,,,,
10798070,2024-09-07,2024,14,CFL,SSK,WPG,,,,0.0,120.0,6.0,,,,,,,,,,,,,,,,
10798076,2024-09-20,2024,16,CFL,SSK,CGY,,,,1.0,80.0,5.0,,,,,,,,,,,,,,,,
10798081,2024-09-28,2024,17,CFL,OTT,SSK,,,,0.0,21.0,2.0,,,,,,,,,,,,,,,,
10798085,2024-10-05,2024,18,CFL,SSK,EDM,,,,0.0,51.0,3.0,,,,,,,,,,,,,,,,
10798088,2024-10-12,2024,19,CFL,BC,SSK,,,,1.0,21.0,4.0,,,,,,,,,,,,,,,,
11824045,2025-06-05,2025,1,CFL,OTT,SSK,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,
11824111,2025-10-03,2025,18,CFL,SSK,OTT,,,,0.0,40.0,4.0,,,,,,,,,,0.0,1.0,,,,,
11824114,2025-10-10,2025,19,CFL,TOR,SSK,,,,0.0,68.0,5.0,,,,,,,,,,,,,,,,
11824125,2025-10-25,2025,21,CFL,BC,SSK,,,,0.0,69.0,6.0,,,,,,,,,,,,,,,,
