game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,points_against,sacks
10798050,2024-08-03,2024,9,CFL,EDM,SSK,,1.0,6.0,2.0
10798052,2024-08-08,2024,10,CFL,SSK,OTT,,1.0,22.0,5.0
10798057,2024-08-16,2024,11,CFL,MTL,SSK,,2.0,9.0,6.0
10798060,2024-08-22,2024,12,CFL,SSK,TOR,,2.0,32.0,0.0
10798065,2024-09-01,2024,13,CFL,WPG,SSK,,1.0,30.0,5.0
10798070,2024-09-07,2024,14,CFL,SSK,WPG,,4.0,13.0,1.0
SYNTHETIC_CFL_2024_W15_SSK,,2024,15,CFL,,,,0.0,48.0,0.0
10798076,2024-09-20,2024,16,CFL,SSK,CGY,,1.0,29.0,2.0
10798081,2024-09-28,2024,17,CFL,OTT,SSK,,0.0,27.0,3.0
10798085,2024-10-05,2024,18,CFL,SSK,EDM,,3.0,13.0,1.0
10798088,2024-10-12,2024,19,CFL,BC,SSK,,1.0,19.0,1.0
SYNTHETIC_CFL_2024_W20_SSK,,2024,20,CFL,,,,1.0,17.0,2.0
10798096,2024-10-26,2024,21,CFL,CGY,SSK,,1.0,27.0,2.0
11824045,2025-06-05,2025,1,CFL,OTT,SSK,,,26.0,4.0
11824052,2025-06-14,2025,2,CFL,SSK,HAM,,1.0,23.0,2.0
11824054,2025-06-20,2025,3,CFL,SSK,TOR,,1.0,32.0,4.0
11824059,2025-06-28,2025,4,CFL,BC,SSK,,3.0,18.0,
11824065,2025-07-11,2025,6,CFL,CGY,SSK,,2.0,24.0,1.0
11824070,2025-07-19,2025,7,CFL,SSK,BC,1.0,,27.0,1.0
11824073,2025-07-25,2025,8,CFL,EDM,SSK,,,18.0,8.0
11824079,2025-08-02,2025,9,CFL,SSK,MTL,,1.0,6.0,2.0
11824086,2025-08-16,2025,11,CFL,HAM,SSK,,2.0,9.0,6.0
11824091,2025-08-23,2025,12,CFL,SSK,CGY,,2.0,32.0,
11824092,2025-08-31,2025,13,CFL,WPG,SSK,,1.0,30.0,5.0
11824097,2025-09-06,2025,14,CFL,SSK,WPG,,4.0,13.0,1.0
11824102,2025-09-13,2025,15,CFL,MTL,SSK,,,48.0,
11824110,2025-09-27,2025,17,CFL,SSK,EDM,,,27.0,3.0
11824111,2025-10-03,2025,18,CFL,SSK,OTT,,3.0,13.0,1.0
11824114,2025-10-10,2025,19,CFL,TOR,SSK,,1.0,19.0,1.0
11824118,2025-10-17,2025,20,CFL,SSK,WPG,,1.0,17.0,2.0
11824125,2025-10-25,2025,21,CFL,BC,SSK,,1.0,27.0,2.0
