game_id,date,season,week,league,away,home,pass_att,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,,64.0,3.0,3.0,56.0,,188.0,21.0,8.0,6.0,57.0,21.0,3.0,3.0
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,,70.0,5.0,5.0,89.0,,319.0,15.0,5.0,4.0,32.0,15.0,3.0,3.0
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,,71.0,3.0,3.0,110.0,,192.0,14.0,4.0,4.0,47.0,14.0,2.0,2.0
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,,90.0,7.0,5.0,110.0,,505.0,21.0,7.0,6.0,52.0,19.0,1.0,1.0
FOOTBALL_CFL_2017_9_22_OTT@WPG,2017-09-22,2017,1,CFL,OTT,WPG,,69.0,5.0,5.0,117.0,,319.0,11.0,3.0,3.0,36.0,11.0,2.0,2.0
FOOTBALL_CFL_2017_9_30_WPG@EDM,2017-09-30,2017,1,CFL,WPG,EDM,,70.0,5.0,5.0,108.0,,331.0,4.0,3.0,,,3.0,4.0,3.0
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,,90.0,3.0,2.0,42.0,,228.0,12.0,3.0,3.0,52.0,11.0,2.0,2.0
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,,90.0,8.0,7.0,131.0,,590.0,12.0,2.0,1.0,36.0,9.0,6.0,6.0
FOOTBALL_CFL_2018_10_13_SSK@WPG,2018-10-13,2018,1,CFL,SSK,WPG,,69.0,6.0,6.0,140.0,,386.0,7.0,1.0,1.0,29.0,7.0,4.0,4.0
FOOTBALL_CFL_2018_10_26_CGY@WPG,2018-10-26,2018,1,CFL,CGY,WPG,,95.0,6.0,5.0,133.0,,413.0,11.0,3.0,3.0,35.0,11.0,2.0,2.0
FOOTBALL_CFL_2018_10_5_WPG@OTT,2018-10-05,2018,1,CFL,WPG,OTT,,69.0,4.0,4.0,99.0,,256.0,20.0,6.0,6.0,44.0,20.0,2.0,2.0
FOOTBALL_CFL_2018_11_11_WPG@SSK,2018-11-11,2018,1,CFL,WPG,SSK,,63.0,5.0,5.0,181.0,,299.0,11.0,3.0,3.0,38.0,11.0,2.0,2.0
FOOTBALL_CFL_2018_11_18_WPG@CGY,2018-11-18,2018,1,CFL,WPG,CGY,,59.0,3.0,3.0,30.0,,127.0,12.0,4.0,4.0,57.0,12.0,,
FOOTBALL_CFL_2018_6_14_EDM@WPG,2018-06-14,2018,1,CFL,EDM,WPG,,72.0,5.0,5.0,121.0,,345.0,6.0,1.0,1.0,34.0,6.0,3.0,3.0
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,70.0,7.0,6.0,175.0,,441.0,18.0,4.0,4.0,40.0,18.0,6.0,6.0
FOOTBALL_CFL_2018_6_29_WPG@HAM,2018-06-29,2018,1,CFL,WPG,HAM,,78.0,4.0,4.0,83.0,,278.0,5.0,1.0,1.0,38.0,5.0,2.0,2.0
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,,69.0,4.0,3.0,81.0,,213.0,5.0,1.0,1.0,50.0,5.0,2.0,2.0
FOOTBALL_CFL_2018_7_21_WPG@TOR,2018-07-21,2018,1,CFL,WPG,TOR,,94.0,5.0,4.0,65.0,,355.0,14.0,3.0,3.0,44.0,13.0,4.0,4.0
FOOTBALL_CFL_2018_7_27_TOR@WPG,2018-07-27,2018,1,CFL,TOR,WPG,,67.0,5.0,5.0,84.0,,312.0,16.0,4.0,4.0,47.0,16.0,4.0,4.0
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,,80.0,8.0,8.0,252.0,,573.0,11.0,2.0,2.0,31.0,11.0,5.0,5.0
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,,71.0,5.0,5.0,112.0,,337.0,9.0,2.0,2.0,33.0,9.0,3.0,3.0
FOOTBALL_CFL_2018_8_17_OTT@WPG,2018-08-17,2018,1,CFL,OTT,WPG,,74.0,4.0,4.0,80.0,,272.0,3.0,,,,3.0,3.0,3.0
FOOTBALL_CFL_2018_8_25_WPG@CGY,2018-08-25,2018,1,CFL,WPG,CGY,,70.0,4.0,4.0,91.0,,260.0,10.0,3.0,3.0,45.0,10.0,1.0,1.0
FOOTBALL_CFL_2018_9_21_MTL@WPG,2018-09-21,2018,1,CFL,MTL,WPG,,67.0,4.0,4.0,82.0,,263.0,13.0,3.0,3.0,50.0,12.0,3.0,3.0
FOOTBALL_CFL_2018_9_29_WPG@EDM,2018-09-29,2018,1,CFL,WPG,EDM,,69.0,8.0,8.0,118.0,,479.0,12.0,3.0,3.0,37.0,12.0,3.0,3.0
FOOTBALL_CFL_2018_9_2_WPG@SSK,2018-09-02,2018,1,CFL,WPG,SSK,,72.0,3.0,3.0,74.0,1.0,205.0,11.0,3.0,3.0,50.0,11.0,2.0,2.0
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,,73.0,4.0,4.0,80.0,,259.0,9.0,2.0,2.0,29.0,9.0,3.0,3.0
