game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_kr,score_pts,score_r,score_tot
FOOTBALL_CFL_2019_7_13_CGY@HAM,2019-07-13,2019,1,CFL,CGY,HAM,,,,,,29.0,1.0,2.0,27.0,29.0,27.0,2.0,,41.0,5.0,5.0,,15.0,,,,
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,1.0,1.0,,,,,,,,,23.0,2.0,,45.0,2.0,4.0,,8.0,,,,
FOOTBALL_CFL_2019_7_25_CGY@OTT,2019-07-25,2019,1,CFL,CGY,OTT,,,,,,19.0,3.0,4.0,35.0,43.0,30.0,5.0,,116.0,15.0,10.0,,47.0,,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,,,,,,,1.0,,,14.0,3.0,,39.0,5.0,28.0,,59.0,,,,
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,,,,,,,,,,,37.0,2.0,,64.0,2.0,16.0,,18.0,,,,
FOOTBALL_CFL_2019_8_3_EDM@CGY,2019-08-03,2019,1,CFL,EDM,CGY,,,,,,4.0,1.0,1.0,4.0,4.0,103.0,4.0,1.0,169.0,1.0,1.0,,1.0,1.0,6.0,,1.0
FOOTBALL_CFL_2019_8_8_CGY@WPG,2019-08-08,2019,1,CFL,CGY,WPG,,,,,,14.0,2.0,2.0,25.0,26.0,29.0,3.0,,68.0,3.0,14.0,,21.0,,,,
FOOTBALL_CFL_2019_9_14_HAM@CGY,2019-09-14,2019,1,CFL,HAM,CGY,,,,,,,,,,,10.0,2.0,,18.0,4.0,11.0,,22.0,,,,
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,,,,,15.0,2.0,3.0,14.0,14.0,12.0,7.0,,46.0,3.0,,1.0,28.0,,6.0,1.0,1.0
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,,,,1.0,1.0,1.0,1.0,1.0,22.0,2.0,,42.0,4.0,8.0,,12.0,,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,,,,,,,,9.0,1.0,,9.0,1.0,3.0,,3.0,,,,
FOOTBALL_CFL_2021_10_15_WPG@EDM,2021-10-15,2021,1,CFL,WPG,EDM,,,,,,1.0,1.0,1.0,1.0,1.0,26.0,3.0,,49.0,,,,,,,,
FOOTBALL_CFL_2021_10_29_HAM@EDM,2021-10-29,2021,1,CFL,HAM,EDM,,,,,,,,,,,17.0,2.0,,32.0,,,,,,,,
FOOTBALL_CFL_2021_10_8_EDM@WPG,2021-10-08,2021,1,CFL,EDM,WPG,,,,,,,,,,,22.0,3.0,,55.0,,,,,,,,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,,,,7.0,1.0,1.0,1.0,7.0,14.0,2.0,,26.0,2.0,1.0,,,,,,
FOOTBALL_CFL_2021_8_14_MTL@EDM,2021-08-14,2021,1,CFL,MTL,EDM,,,,,,,,,,,26.0,4.0,,84.0,1.0,2.0,,2.0,,,,
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,,,,,,,,,,34.0,3.0,,68.0,,,,,,,,
FOOTBALL_CFL_2021_8_7_OTT@EDM,2021-08-07,2021,1,CFL,OTT,EDM,,,,,,,,,,,19.0,3.0,,55.0,,,,,,,,
FOOTBALL_CFL_2021_9_28_EDM@OTT,2021-09-28,2021,1,CFL,EDM,OTT,,,,,,,,,,,25.0,5.0,,91.0,,,,,,,,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,,,,,15.0,2.0,2.0,12.0,12.0,27.0,2.0,,33.0,2.0,2.0,,3.0,,,,
FOOTBALL_CFL_2022_10_15_WPG@BC,2022-10-15,2022,1,CFL,WPG,BC,,,,,,,,,,,40.0,5.0,,152.0,,,,,,,,
FOOTBALL_CFL_2022_10_21_BC@EDM,2022-10-21,2022,1,CFL,BC,EDM,,,,,,,,,,,15.0,1.0,,15.0,,,,,,,,
FOOTBALL_CFL_2022_10_28_BC@WPG,2022-10-28,2022,1,CFL,BC,WPG,,,,,,,,,,,27.0,3.0,,78.0,,,,,,,,
FOOTBALL_CFL_2022_10_8_BC@TOR,2022-10-08,2022,1,CFL,BC,TOR,,,,,,,,,,,36.0,3.0,,72.0,,,,,,,,
FOOTBALL_CFL_2022_11_13_BC@WPG,2022-11-13,2022,1,CFL,BC,WPG,,,,,,,,,,,20.0,4.0,,70.0,,,,,,2.0,,
FOOTBALL_CFL_2022_11_6_CGY@BC,2022-11-06,2022,1,CFL,CGY,BC,,,,,,,,,,,12.0,1.0,,12.0,,,,,,,,
FOOTBALL_CFL_2022_6_10_OTT@WPG,2022-06-10,2022,1,CFL,OTT,WPG,,,,,,,,,,,29.0,4.0,,68.0,,,,,,,,
FOOTBALL_CFL_2022_6_17_WPG@OTT,2022-06-17,2022,1,CFL,WPG,OTT,,,,,,,,,,,27.0,2.0,,48.0,,,,,,,,
FOOTBALL_CFL_2022_6_30_BC@OTT,2022-06-30,2022,1,CFL,BC,OTT,,,,,,12.0,2.0,3.0,4.0,17.0,39.0,6.0,,155.0,3.0,12.0,,14.0,,,,
FOOTBALL_CFL_2022_7_16_OTT@HAM,2022-07-16,2022,1,CFL,OTT,HAM,,,,,,7.0,1.0,2.0,7.0,7.0,40.0,5.0,,159.0,,,,,,,,
FOOTBALL_CFL_2022_7_21_MTL@OTT,2022-07-21,2022,1,CFL,MTL,OTT,,,,,,-4.0,1.0,1.0,-4.0,-4.0,34.0,6.0,,149.0,1.0,7.0,,7.0,,,,
FOOTBALL_CFL_2022_7_31_OTT@TOR,2022-07-31,2022,1,CFL,OTT,TOR,,,,,,,,,,,29.0,2.0,,43.0,,,,,,,,
FOOTBALL_CFL_2022_7_8_OTT@SSK,2022-07-08,2022,1,CFL,OTT,SSK,,,,,,14.0,6.0,6.0,14.0,51.0,41.0,4.0,,118.0,1.0,5.0,,5.0,,,,
FOOTBALL_CFL_2022_8_19_EDM@OTT,2022-08-19,2022,1,CFL,EDM,OTT,,,,,,,,,,,33.0,5.0,,126.0,,,,,,,,
FOOTBALL_CFL_2022_8_5_CGY@OTT,2022-08-05,2022,1,CFL,CGY,OTT,,,,,,,,,,,26.0,2.0,,48.0,,,,,,,,
FOOTBALL_CFL_2022_9_17_BC@CGY,2022-09-17,2022,1,CFL,BC,CGY,,,,,,,,,,,32.0,3.0,,75.0,,,,,,,,
FOOTBALL_CFL_2022_9_24_CGY@BC,2022-09-24,2022,1,CFL,CGY,BC,,,,,,,,,,,32.0,4.0,,91.0,,,,,,,,
FOOTBALL_CFL_2022_9_30_OTT@BC,2022-09-30,2022,1,CFL,OTT,BC,,,,,,,,,,,18.0,1.0,,18.0,,,,,,,,
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,,,,,,,,,,,29.0,5.0,,111.0,,,,,,,,
10798028,2024-06-27,2024,4,CFL,EDM,BC,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
