game_id,date,season,week,league,away,home,assists,blk,blocks,cto,drops,goals,interceptions_made,lb,lost_fumbles,pim,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,sog,tackles,throwaways,to,yardsReceived,yardsThrown
SYNTHETIC_CFL_2023_W4_EDM,,2023,4,CFL,,,,,,,,,,,,,0.0,6.0,1.0,0.0,28.0,,,,,,,
SYNTHETIC_CFL_2023_W5_EDM,,2023,5,CFL,,,,,,,,,,,,,0.0,26.0,2.0,0.0,65.0,,,,,,,
SYNTHETIC_CFL_2023_W6_EDM,,2023,6,CFL,,,,,,,,,,,,,0.0,8.0,2.0,1.0,77.0,,,,,,,
SYNTHETIC_CFL_2023_W7_EDM,,2023,7,CFL,,,,,,,,,,,,,0.0,0.0,0.0,0.0,51.0,,,,,,,
SYNTHETIC_CFL_2023_W8_EDM,,2023,8,CFL,,,,,,,,,,,,,0.0,27.0,5.0,0.0,5.0,,,,,,,
SYNTHETIC_CFL_2023_W10_EDM,,2023,10,CFL,,,,,,,,,0.0,,,,,,,1.0,98.0,0.0,,1.0,,,,
SYNTHETIC_CFL_2023_W11_EDM,,2023,11,CFL,,,,,,,,,,,,,0.0,6.0,1.0,0.0,89.0,,,,,,,
SYNTHETIC_CFL_2023_W12_EDM,,2023,12,CFL,,,,,,,,,,,,,0.0,17.0,2.0,0.0,68.0,,,,,,,
SYNTHETIC_CFL_2023_W13_EDM,,2023,13,CFL,,,,,,,,,,,,,,,,0.0,89.0,,,,,,,
SYNTHETIC_CFL_2023_W14_EDM,,2023,14,CFL,,,,,,,,,,,,,0.0,5.0,1.0,1.0,143.0,,,,,,,
SYNTHETIC_CFL_2023_W15_EDM,,2023,15,CFL,,,,,,,,,0.0,,,,0.0,12.0,1.0,1.0,175.0,0.0,,1.0,,,,
SYNTHETIC_CFL_2023_W16_EDM,,2023,16,CFL,,,,,,,,,,,,,0.0,26.0,4.0,0.0,18.0,,,,,,,
SYNTHETIC_CFL_2023_W18_EDM,,2023,18,CFL,,,,,,,,,,,,,0.0,10.0,2.0,0.0,10.0,,,,,,,
SYNTHETIC_CFL_2023_W19_EDM,,2023,19,CFL,,,,,,,,,,,,,0.0,22.0,1.0,0.0,68.0,,,,,,,
SYNTHETIC_CFL_2023_W20_EDM,,2023,20,CFL,,,,,,,,,,,,,0.0,0.0,0.0,0.0,41.0,,,,,,,
SYNTHETIC_CFL_2024_W1_EDM,,2024,1,CFL,,,,,,,,,,,,,0.0,26.0,5.0,0.0,23.0,,,,,,,
SYNTHETIC_CFL_2024_W2_EDM,,2024,2,CFL,,,,,,,,,,,,,0.0,15.0,3.0,0.0,50.0,,,,,,,
SYNTHETIC_CFL_2024_W3_EDM,,2024,3,CFL,,,,,,,,,,,,,0.0,27.0,3.0,0.0,27.0,,,,,,,
SYNTHETIC_CFL_2024_W4_EDM,,2024,4,CFL,,,,,,,,,,,,,0.0,16.0,2.0,0.0,40.0,,,,,,,
SYNTHETIC_CFL_2024_W6_EDM,,2024,6,CFL,,,,,,,,,,,,,0.0,18.0,4.0,0.0,35.0,,,,,,,
SYNTHETIC_CFL_2024_W7_EDM,,2024,7,CFL,,,,,,,,,,,,,0.0,30.0,4.0,0.0,26.0,,,,,,,
SYNTHETIC_CFL_2024_W8_EDM,,2024,8,CFL,,,,,,,,,,,,,,,,0.0,20.0,,,,,,,
SYNTHETIC_CFL_2024_W12_EDM,,2024,12,CFL,,,,,,,,,,,,,,,,0.0,105.0,,,,,,,
SYNTHETIC_CFL_2024_W13_EDM,,2024,13,CFL,,,,,,,,,,,,,,,,0.0,35.0,,,,,,,
SYNTHETIC_CFL_2024_W14_EDM,,2024,14,CFL,,,,,,,,,,,,,0.0,6.0,1.0,0.0,91.0,,,,,,,
SYNTHETIC_CFL_2024_W16_EDM,,2024,16,CFL,,,,,,,,,,,,,,,,0.0,26.0,,,,,,,
SYNTHETIC_CFL_2024_W17_EDM,,2024,17,CFL,,,,,,,,,,,,,,,,0.0,44.0,,,,,,,
SYNTHETIC_CFL_2025_W3_TOR,,2025,3,CFL,,,,,,,,,,,,,0.0,14.0,2.0,0.0,4.0,,,,,,,
SYNTHETIC_CFL_2025_W4_TOR,,2025,4,CFL,,,,,,,,,,,,,0.0,7.0,1.0,0.0,11.0,,,,,,,
SYNTHETIC_CFL_2025_W5_TOR,,2025,5,CFL,,,,,,,,,,,,,0.0,11.0,2.0,1.0,22.0,,,,,,,
SYNTHETIC_CFL_2025_W11_TOR,,2025,11,CFL,,,,,,,,,,,,,,,,0.0,13.0,,,,,,,
