game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2019_10_5_TOR@BC,2019-10-05,2019,1,CFL,TOR,BC,,,,,,1.0,1.0,4.0,,1.0,1.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_6_15_WPG@BC,2019-06-15,2019,1,CFL,WPG,BC,,,,,,21.0,6.0,9.0,1.0,21.0,75.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_6_21_BC@EDM,2019-06-21,2019,1,CFL,BC,EDM,,,,,,12.0,3.0,5.0,1.0,7.0,25.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,,,,24.0,5.0,5.0,1.0,18.0,83.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_7_11_EDM@BC,2019-07-11,2019,1,CFL,EDM,BC,,,,,,5.0,1.0,4.0,,5.0,5.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,,,,,,9.0,3.0,3.0,,1.0,9.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_27_SSK@BC,2019-07-27,2019,1,CFL,SSK,BC,,,,,,,,4.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,,,,,,,9.0,11.0,1.0,50.0,125.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_8_10_BC@HAM,2019-08-10,2019,1,CFL,BC,HAM,,,,,,28.0,6.0,9.0,,36.0,89.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_15_BC@WPG,2019-08-15,2019,1,CFL,BC,WPG,,,,,,56.0,5.0,9.0,,18.0,108.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_24_HAM@BC,2019-08-24,2019,1,CFL,HAM,BC,,,,,,11.0,3.0,5.0,,14.0,21.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,,,,,,,4.0,5.0,1.0,52.0,87.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,,,,,,21.0,5.0,8.0,,61.0,65.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,,,,61.0,5.0,5.0,,27.0,107.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,,,,10.0,1.0,1.0,,4.0,10.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_16_CGY@BC,2021-10-16,2021,1,CFL,CGY,BC,1.0,1.0,,,,12.0,4.0,11.0,,2.0,35.0,,,,1.0,18.0,,18.0,,,,,
FOOTBALL_CFL_2021_10_1_WPG@BC,2021-10-01,2021,1,CFL,WPG,BC,,,,,,8.0,1.0,1.0,,1.0,8.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_23_BC@WPG,2021-10-23,2021,1,CFL,BC,WPG,,,,,,12.0,4.0,7.0,,,28.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,1.0,1.0,,,,16.0,5.0,6.0,,33.0,59.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,,,,,26.0,4.0,5.0,,9.0,53.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_28_BC@OTT,2021-08-28,2021,1,CFL,BC,OTT,,,,,,19.0,1.0,2.0,,1.0,19.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_6_BC@SSK,2021-08-06,2021,1,CFL,BC,SSK,,,,,,26.0,5.0,11.0,,7.0,61.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,,,,,7.0,1.0,1.0,,1.0,7.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_21_OTT@HAM,2022-10-21,2022,1,CFL,OTT,HAM,,,,,,8.0,1.0,2.0,,3.0,8.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_7_SSK@HAM,2022-10-07,2022,1,CFL,SSK,HAM,,,,,,7.0,2.0,3.0,,5.0,12.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_11_6_HAM@MTL,2022-11-06,2022,1,CFL,HAM,MTL,,,,,,12.0,1.0,1.0,,9.0,12.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_12_TOR@HAM,2022-08-12,2022,1,CFL,TOR,HAM,,,,,,,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,,,11.0,1.0,3.0,,,11.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_26_HAM@TOR,2022-08-26,2022,1,CFL,HAM,TOR,,,,,,26.0,3.0,4.0,1.0,10.0,39.0,,,,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2022_8_6_HAM@TOR,2022-08-06,2022,1,CFL,HAM,TOR,,,,,,7.0,2.0,3.0,,1.0,12.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_17_WPG@HAM,2022-09-17,2022,1,CFL,WPG,HAM,,,,,,8.0,1.0,2.0,,3.0,8.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_5_TOR@HAM,2022-09-05,2022,1,CFL,TOR,HAM,,,,,,15.0,1.0,1.0,,9.0,15.0,,,,,,,,,,,,
6244,2022-08-06,2022,9,CFL,HAM,TOR,,,0.0,12.0,2.0,,,,,,,,,,,,,,,,,,
6247,2022-08-12,2022,10,CFL,TOR,HAM,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
6252,2022-08-20,2022,11,CFL,HAM,MTL,,,0.0,11.0,1.0,,,,,,,,,,,,,,,,,,
6267,2022-09-17,2022,15,CFL,WPG,HAM,,,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,
6276,2022-10-07,2022,18,CFL,SSK,HAM,,,0.0,12.0,2.0,,,,,,,,,,,,,,,,,,
6281,2022-10-14,2022,19,CFL,HAM,CGY,,,0.0,7.0,1.0,,,,,,,,,,,,,,,,,,
6284,2022-10-21,2022,20,CFL,OTT,HAM,,,0.0,8.0,1.0,,,,,,,,,,,,,,,,,,
