game_id,date,season,week,league,away,home,def_solo,def_tot,fumble_rec_yards,fumbles_forced,fumbles_lost_game,fumbles_opp_rec,fumbles_own_rec,misc_fum,misc_lost,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,targets
FOOTBALL_CFL_2019_3_3_ATL@ARI,2019-03-03,2019,1,CFL,ATL,ARI,,,,,,,,,,,,,14.0,4.0,6.0,,,43.0,,,,,,,,,,,
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,,,,,,,,,,,,6.0,1.0,1.0,,1.0,6.0,22.0,1.0,22.0,,,,,,,,
FOOTBALL_CFL_2019_8_17_MTL@CGY,2019-08-17,2019,1,CFL,MTL,CGY,,,,,,,,,,,,,12.0,5.0,5.0,,32.0,35.0,,,,,,,,,,,
FOOTBALL_CFL_2019_9_14_HAM@CGY,2019-09-14,2019,1,CFL,HAM,CGY,,,,,,,,,,,,,17.0,4.0,9.0,,18.0,36.0,20.0,1.0,20.0,,,,,,,,
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,,,,,,,,,,,,,21.0,4.0,5.0,,19.0,57.0,35.0,2.0,54.0,,,,,,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,,,,,,,,,,13.0,3.0,5.0,,23.0,28.0,,,,,,,,,,,
FOOTBALL_AAF_2019_2_16_ARI@MEM,2019-02-16,2019,2,AAF,ARI,MEM,,,0.0,1.0,1.0,0.0,0.0,,,0.0,84.0,2.0,,,,,,,,,,,,,,,,,4.0
FOOTBALL_AAF_2019_2_23_ARI@SL,2019-02-23,2019,3,AAF,ARI,SL,,,,,,,,,,0.0,33.0,4.0,,,,,,,,,,,,,,,,,8.0
FOOTBALL_AAF_2019_3_3_ATL@ARI,2019-03-03,2019,4,AAF,ATL,ARI,,,,,,,,,,0.0,43.0,4.0,,,,,,,,,,,,,,,,,6.0
FOOTBALL_CFL_2021_10_29_CGY@OTT,2021-10-29,2021,1,CFL,CGY,OTT,,,,,,,,,,,,,11.0,1.0,4.0,,1.0,11.0,8.0,1.0,8.0,,,,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,,,,,,,,,,,,36.0,5.0,7.0,,20.0,74.0,7.0,1.0,7.0,,,,,,,,
FOOTBALL_CFL_2021_11_16_EDM@TOR,2021-11-16,2021,1,CFL,EDM,TOR,1.0,1.0,,,,,,,,,,,20.0,6.0,8.0,,11.0,67.0,12.0,2.0,21.0,,,,,,,,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,1.0,1.0,,,,,,,,,,,19.0,2.0,7.0,,16.0,33.0,,,,,,,,,,,
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,,,,,,,,,,,,,83.0,5.0,6.0,,56.0,128.0,,,,,,,,,,,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,,,,,,,,,,,,,41.0,6.0,7.0,,21.0,92.0,,,,,,,,,,,
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,,,,,,,,,,,,14.0,6.0,8.0,,36.0,53.0,,,,,,,,,,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,,,,,,,,,,,,,18.0,3.0,4.0,,10.0,38.0,18.0,7.0,96.0,,,,,,,,
FOOTBALL_CFL_2021_9_17_CGY@HAM,2021-09-17,2021,1,CFL,CGY,HAM,,,,,,,,,,,,,6.0,2.0,4.0,,5.0,10.0,,1.0,,,,,,,,,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,,,,,,,,,,,,29.0,6.0,9.0,,20.0,68.0,15.0,1.0,15.0,,,,,,,,
