game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_r,score_tot
SYNTHETIC_CFL_2024_W13_BC,2024-08-31,2024,13,CFL,OTT,BC,,,0.0,78.0,6.0,,,,,,,,,,,,,,1.0,93.0,,,,
SYNTHETIC_CFL_2024_W14_BC,2024-09-06,2024,14,CFL,BC,MTL,,,0.0,28.0,2.0,,,,,,,,,,,,,,1.0,128.0,,,,
SYNTHETIC_CFL_2024_W15_BC,2024-09-13,2024,15,CFL,TOR,BC,,,0.0,17.0,1.0,,,,,,,,,,,,,,0.0,21.0,,,,
SYNTHETIC_CFL_2024_W17_BC,2024-09-27,2024,17,CFL,HAM,BC,,,0.0,11.0,2.0,,,,,,,,,,,,,,0.0,103.0,,,,
SYNTHETIC_CFL_2024_W18_BC,2024-10-04,2024,18,CFL,CGY,BC,,,0.0,19.0,2.0,,,,,,,,,,,,,,0.0,50.0,,,,
SYNTHETIC_CFL_2024_W19_BC,2024-10-12,2024,19,CFL,BC,SSK,,,0.0,30.0,3.0,,,,,,,,,,,,,,0.0,35.0,,,,
SYNTHETIC_CFL_2024_W20_BC,2024-10-19,2024,20,CFL,MTL,BC,,,0.0,6.0,2.0,,,,,,,,,,,,,,0.0,28.0,,,,
SYNTHETIC_CFL_2025_W1_OTT,2025-06-05,2025,1,CFL,OTT,SSK,,,0.0,38.0,4.0,,,,,,,,,,,,,,1.0,26.0,,,,
SYNTHETIC_CFL_2025_W2_OTT,2025-06-13,2025,2,CFL,MTL,OTT,,,0.0,3.0,2.0,,,,,,,,,,,,,,0.0,29.0,,,,
SYNTHETIC_CFL_2025_W3_OTT,2025-06-21,2025,3,CFL,OTT,CGY,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,82.0,,,,
SYNTHETIC_CFL_2025_W4_OTT,2025-06-29,2025,4,CFL,TOR,OTT,,,0.0,0.0,1.0,,,,,,,,,,,,,,0.0,16.0,,,,
SYNTHETIC_CFL_2025_W5_OTT,2025-07-06,2025,5,CFL,OTT,EDM,,,0.0,6.0,1.0,,,,,,,,,,,,,,0.0,38.0,,,,
SYNTHETIC_CFL_2025_W6_OTT,2025-07-12,2025,6,CFL,OTT,HAM,,,0.0,7.0,1.0,,,,,,,,,,,,,,1.0,40.0,,,,
SYNTHETIC_CFL_2025_W7_OTT,2025-07-20,2025,7,CFL,HAM,OTT,,,0.0,18.0,1.0,,,,,,,,,,,,,,0.0,17.0,,,,
SYNTHETIC_CFL_2025_W9_OTT,2025-07-31,2025,9,CFL,CGY,OTT,,,0.0,15.0,3.0,,,,,,,,,,,,,,0.0,52.0,,,,
SYNTHETIC_CFL_2025_W10_OTT,2025-08-09,2025,10,CFL,OTT,TOR,,,0.0,9.0,2.0,,,,,,,,,,,,,,0.0,84.0,,,,
SYNTHETIC_CFL_2025_W11_OTT,2025-08-14,2025,11,CFL,OTT,WPG,,,0.0,12.0,1.0,,,,,,,,,,,,,,0.0,50.0,,,,
SYNTHETIC_CFL_2025_W12_OTT,2025-08-22,2025,12,CFL,EDM,OTT,,,0.0,37.0,4.0,,,,,,,,,,,,,,0.0,48.0,,,,
SYNTHETIC_CFL_2025_W14_OTT,2025-09-05,2025,14,CFL,BC,OTT,,,0.0,21.0,2.0,,,,,,,,,,,,,,1.0,27.0,,,,
SYNTHETIC_CFL_2025_W15_OTT,2025-09-12,2025,15,CFL,OTT,BC,,,0.0,18.0,3.0,,,,,,,,,,,,,,0.0,1.0,,,,
SYNTHETIC_CFL_2025_W18_OTT,2025-10-03,2025,18,CFL,SSK,OTT,,,0.0,8.0,2.0,,,,,,,,,,,,,,0.0,39.0,,,,
SYNTHETIC_CFL_2025_W19_OTT,2025-10-13,2025,19,CFL,OTT,MTL,,,0.0,41.0,4.0,,,,,,,,,,,,,,1.0,73.0,,,,
SYNTHETIC_CFL_2025_W20_OTT,2025-10-18,2025,20,CFL,MTL,OTT,,,0.0,22.0,3.0,,,,,,,,,,,,,,0.0,18.0,,,,
SYNTHETIC_CFL_2025_W21_OTT,2025-10-24,2025,21,CFL,OTT,HAM,,,1.0,23.0,3.0,,,,,,,,,,,,,,0.0,58.0,,,,
