game_id,date,season,week,league,away,home,extra_point,field_goal_yards,interceptions_made,missed,ret_lg,ret_num,ret_ret,ret_ryds,ret_td,ret_yds,sacks,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm,tackles
FOOTBALL_CFL_2022_6_24_HAM@WPG,2022-06-24,2022,1,CFL,HAM,WPG,,,,,61.0,1.0,1.0,17.0,,61.0,,12.0,6.0,4.0,49.0,12.0,,,
FOOTBALL_CFL_2022_7_16_OTT@HAM,2022-07-16,2022,1,CFL,OTT,HAM,,,,,77.0,5.0,5.0,159.0,,346.0,,1.0,,,,,,,
FOOTBALL_CFL_2022_7_1_EDM@HAM,2022-07-01,2022,1,CFL,EDM,HAM,,,,,68.0,2.0,2.0,33.0,,130.0,,11.0,4.0,3.0,33.0,11.0,2.0,2.0,
FOOTBALL_CFL_2022_7_21_HAM@BC,2022-07-21,2022,1,CFL,HAM,BC,,,,,69.0,2.0,2.0,42.0,,138.0,,,,,,,,,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,,,68.0,5.0,5.0,115.0,,324.0,,,,,,,,,
FOOTBALL_CFL_2022_8_12_TOR@HAM,2022-08-12,2022,1,CFL,TOR,HAM,,,,,74.0,5.0,5.0,106.0,,338.0,,,,,,,,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,,80.0,5.0,5.0,113.0,,351.0,,,,,,,,,
FOOTBALL_CFL_2022_8_26_HAM@TOR,2022-08-26,2022,1,CFL,HAM,TOR,,,,,77.0,3.0,3.0,47.0,,191.0,,,,,,,,,
FOOTBALL_CFL_2022_8_6_HAM@TOR,2022-08-06,2022,1,CFL,HAM,TOR,,,,,76.0,2.0,2.0,45.0,,149.0,,1.0,,,,,,,
FOOTBALL_CFL_2022_9_17_WPG@HAM,2022-09-17,2022,1,CFL,WPG,HAM,,,,,76.0,7.0,7.0,160.0,,496.0,,,,,,,,,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,,69.0,2.0,2.0,27.0,,131.0,,,,,,,,,
FOOTBALL_CFL_2022_9_5_TOR@HAM,2022-09-05,2022,1,CFL,TOR,HAM,,,,,74.0,3.0,3.0,54.0,,199.0,,1.0,,,,,,,
SYNTHETIC_CFL_2022_W1_HAM,,2022,1,CFL,,,,77.0,,1.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_HAM,,2022,3,CFL,,,,149.0,,2.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_HAM,,2022,4,CFL,,,,91.0,,1.0,,,,,,,,,,,,,,,
9889343,2023-09-22,2023,16,CFL,BC,EDM,,,0.0,,,,,,,,0.0,,,,,,,,0.0
SYNTHETIC_CFL_2023_W17_EDM,,2023,17,CFL,,,1.0,,,,,,,,,,,,,,,,,,
9889356,2023-10-14,2023,19,CFL,MTL,EDM,3.0,15.0,,,,,,,,,,,,,,,,,
