game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_pts,score_r,score_tot
FOOTBALL_CFL_2021_11_12_HAM@TOR,2021-11-12,2021,1,CFL,HAM,TOR,,,,,,,,,,,,,,3.0,22.0,1.0,24.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2021_11_16_EDM@TOR,2021-11-16,2021,1,CFL,EDM,TOR,,,,22.0,10.0,1.0,22.0,31.0,4.0,,111.0,,,9.0,34.0,1.0,78.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2021_11_6_TOR@OTT,2021-11-06,2021,1,CFL,TOR,OTT,,,,,,,,,,,,,,2.0,1.0,,2.0,,,,,,
FOOTBALL_CFL_2021_12_5_HAM@TOR,2021-12-05,2021,1,CFL,HAM,TOR,,,,1.0,1.0,,11.0,,,,11.0,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_24_MTL@TOR,2021-09-24,2021,1,CFL,MTL,TOR,,,,3.0,2.0,,24.0,,,,34.0,,,4.0,5.0,,13.0,,,,,,
FOOTBALL_CFL_2022_10_15_WPG@BC,2022-10-15,2022,1,CFL,WPG,BC,,,,,,,,,,,,,,2.0,4.0,,6.0,,,,,,
FOOTBALL_CFL_2022_10_21_BC@EDM,2022-10-21,2022,1,CFL,BC,EDM,,,,,,,,,,,,,,5.0,11.0,1.0,16.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_10_28_BC@WPG,2022-10-28,2022,1,CFL,BC,WPG,,,,5.0,3.0,,16.0,6.0,1.0,,41.0,,,1.0,3.0,,3.0,,,,,,
FOOTBALL_CFL_2022_10_8_BC@TOR,2022-10-08,2022,1,CFL,BC,TOR,,,,,,,,,,,,,,2.0,2.0,,3.0,,,,,,
FOOTBALL_CFL_2022_11_13_BC@WPG,2022-11-13,2022,1,CFL,BC,WPG,,,,,,,,,,,,,,3.0,,1.0,4.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2022_11_6_CGY@BC,2022-11-06,2022,1,CFL,CGY,BC,,,,1.0,1.0,,,,,1.0,45.0,,,5.0,6.0,,12.0,,,,,,
FOOTBALL_CFL_2022_8_19_BC@SSK,2022-08-19,2022,1,CFL,BC,SSK,,,,,,,,,,,,,,4.0,9.0,2.0,14.0,,,,12.0,2.0,2.0
FOOTBALL_CFL_2022_8_26_SSK@BC,2022-08-26,2022,1,CFL,SSK,BC,,,,17.0,9.0,,35.0,,,1.0,112.0,,,6.0,13.0,,26.0,,,,,,
FOOTBALL_CFL_2022_9_17_BC@CGY,2022-09-17,2022,1,CFL,BC,CGY,,,,,,,,,,,,,,7.0,3.0,1.0,9.0,,,1.0,8.0,1.0,1.0
FOOTBALL_CFL_2022_9_24_CGY@BC,2022-09-24,2022,1,CFL,CGY,BC,,,,6.0,4.0,,29.0,,,1.0,66.0,,,4.0,2.0,,6.0,,,1.0,2.0,,
FOOTBALL_CFL_2022_9_30_OTT@BC,2022-09-30,2022,1,CFL,OTT,BC,,,,,,,,,,,,,,5.0,15.0,2.0,23.0,,,,12.0,2.0,2.0
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,,,,24.0,13.0,1.0,47.0,21.0,4.0,,174.0,,,7.0,16.0,1.0,31.0,,,,6.0,1.0,1.0
6251,2022-08-19,2022,11,CFL,BC,SSK,,,,,,,,,,,,,,,,,,2.0,14.0,,,,
6262,2022-09-09,2022,14,CFL,BC,MTL,,,1.0,,,,,,,,,0.0,174.0,,,,,1.0,31.0,,,,
6268,2022-09-17,2022,15,CFL,BC,CGY,,,,,,,,,,,,,,,,,,1.0,9.0,,,,
6271,2022-09-24,2022,16,CFL,CGY,BC,,,0.0,,,,,,,,,1.0,66.0,,,,,0.0,6.0,,,,
6273,2022-09-30,2022,17,CFL,OTT,BC,,,,,,,,,,,,,,,,,,2.0,23.0,,,,
6277,2022-10-08,2022,18,CFL,BC,TOR,,,,,,,,,,,,,,,,,,0.0,3.0,,,,
6283,2022-10-15,2022,19,CFL,WPG,BC,,,,,,,,,,,,,,,,,,0.0,6.0,,,,
6285,2022-10-21,2022,20,CFL,BC,EDM,,,,,,,,,,,,,,,,,,1.0,16.0,,,,
6288,2022-10-28,2022,21,CFL,BC,WPG,,,0.0,,,,,,,,,0.0,41.0,,,,,0.0,3.0,,,,
