game_id,date,season,week,league,away,home,assists,blocks,def_rebounds,fg3_pct,fg3a,fg3m,fg_pct,fga,fgm,fouls,ft_pct,fta,ftm,minutes,off_rebounds,plus_minus,points,rebounds,steals,turnovers
WNBA_202205270IND,2022-05-27,2022,1,WNBA,LAS,IND,,1.0,4.0,,,,0.182,11.0,2.0,6.0,0.75,12.0,9.0,24.966666666666665,5.0,-12.0,13.0,9.0,,2.0
WNBA_202205290MIN,2022-05-29,2022,1,WNBA,LAS,MIN,1.0,2.0,3.0,,1.0,,0.6,10.0,6.0,5.0,0.6,5.0,3.0,27.433333333333334,,7.0,15.0,3.0,1.0,2.0
WNBA_202205310LAS,2022-05-31,2022,1,WNBA,DAL,LAS,6.0,4.0,7.0,,,,0.7,10.0,7.0,5.0,0.833,6.0,5.0,26.866666666666667,1.0,6.0,19.0,8.0,,
WNBA_202206050PHO,2022-06-05,2022,1,WNBA,LAS,PHO,1.0,2.0,4.0,,,,0.6,5.0,3.0,,0.5,4.0,2.0,13.466666666666667,2.0,-6.0,8.0,6.0,,2.0
WNBA_202206110LAS,2022-06-11,2022,1,WNBA,LVA,LAS,2.0,3.0,5.0,,,,0.5,6.0,3.0,2.0,,,,19.75,1.0,-4.0,6.0,6.0,1.0,1.0
WNBA_202206190DAL,2022-06-19,2022,1,WNBA,LAS,DAL,5.0,3.0,6.0,,1.0,,0.5,8.0,4.0,5.0,0.5,2.0,1.0,21.4,2.0,-7.0,9.0,8.0,2.0,5.0
WNBA_202206210LAS,2022-06-21,2022,1,WNBA,WAS,LAS,3.0,1.0,4.0,,,,0.5,8.0,4.0,6.0,0.25,4.0,1.0,22.033333333333335,2.0,-3.0,9.0,6.0,1.0,3.0
WNBA_202206230LAS,2022-06-23,2022,1,WNBA,CHI,LAS,,,3.0,,1.0,,0.429,7.0,3.0,3.0,,,,15.516666666666667,2.0,-28.0,6.0,5.0,,3.0
WNBA_202206250SEA,2022-06-25,2022,1,WNBA,LAS,SEA,2.0,1.0,7.0,,,,0.2,5.0,1.0,3.0,1.0,1.0,1.0,15.1,1.0,-3.0,3.0,8.0,,1.0
WNBA_202206270LAS,2022-06-27,2022,1,WNBA,LVA,LAS,3.0,1.0,7.0,,,,0.5,8.0,4.0,,0.8,5.0,4.0,23.2,4.0,2.0,12.0,11.0,1.0,3.0
WNBA_202207010DAL,2022-07-01,2022,1,WNBA,LAS,DAL,3.0,1.0,9.0,,,,0.538,13.0,7.0,5.0,1.0,7.0,7.0,29.45,2.0,12.0,21.0,11.0,2.0,1.0
WNBA_202207030LAS,2022-07-03,2022,1,WNBA,NYL,LAS,3.0,1.0,7.0,,1.0,,0.75,8.0,6.0,3.0,1.0,4.0,4.0,27.016666666666666,1.0,3.0,16.0,8.0,,1.0
WNBA_202207040LAS,2022-07-04,2022,1,WNBA,PHO,LAS,,,7.0,,,,0.7,10.0,7.0,1.0,1.0,5.0,5.0,28.5,,22.0,19.0,7.0,,2.0
WNBA_202207070LAS,2022-07-07,2022,1,WNBA,SEA,LAS,3.0,2.0,4.0,,,,0.444,9.0,4.0,3.0,1.0,6.0,6.0,25.266666666666666,,-10.0,14.0,4.0,,2.0
WNBA_202207120LAS,2022-07-12,2022,1,WNBA,WAS,LAS,3.0,1.0,2.0,,,,0.333,9.0,3.0,3.0,0.5,4.0,2.0,25.266666666666666,1.0,-12.0,8.0,3.0,,4.0
WNBA_202207210LAS,2022-07-21,2022,1,WNBA,ATL,LAS,,,5.0,,1.0,,0.429,7.0,3.0,2.0,1.0,2.0,2.0,15.5,,3.0,8.0,5.0,,2.0
WNBA_202207230LVA,2022-07-23,2022,1,WNBA,LAS,LVA,1.0,3.0,4.0,,,,0.571,7.0,4.0,4.0,0.75,4.0,3.0,22.3,1.0,3.0,11.0,5.0,2.0,3.0
