game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_num,score_p,score_pts,score_tot
FOOTBALL_CFL_2019_9_7_TOR@OTT,2019-09-07,2019,1,CFL,TOR,OTT,,,,,,21.0,8.0,9.0,,28.0,98.0,,,,
FOOTBALL_CFL_2021_10_30_BC@TOR,2021-10-30,2021,1,CFL,BC,TOR,,,,,,25.0,6.0,11.0,1.0,7.0,68.0,,1.0,6.0,1.0
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,,,,,35.0,6.0,7.0,,25.0,111.0,,,,
FOOTBALL_CFL_2021_11_19_EDM@BC,2021-11-19,2021,1,CFL,EDM,BC,,,,,,48.0,4.0,7.0,,34.0,103.0,,,,
FOOTBALL_CFL_2021_11_5_BC@HAM,2021-11-05,2021,1,CFL,BC,HAM,,,,,,23.0,3.0,6.0,,,37.0,,,,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,,,,,,9.0,1.0,2.0,,7.0,9.0,,,,
FOOTBALL_CFL_2021_8_19_EDM@BC,2021-08-19,2021,1,CFL,EDM,BC,,,,,,1.0,1.0,5.0,,1.0,1.0,,,,
FOOTBALL_CFL_2021_8_28_BC@OTT,2021-08-28,2021,1,CFL,BC,OTT,,,,,,6.0,1.0,1.0,,6.0,6.0,,,,
FOOTBALL_CFL_2021_8_6_BC@SSK,2021-08-06,2021,1,CFL,BC,SSK,,,,,,31.0,6.0,6.0,,18.0,76.0,,,,
SYNTHETIC_CFL_2022_W1_BC,,2022,1,CFL,,,,,0.0,30.0,3.0,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_BC,,2022,4,CFL,,,,,0.0,62.0,3.0,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_BC,,2022,5,CFL,,,,,2.0,136.0,6.0,,,,,,,,,,
6235,2022-07-21,2022,7,CFL,HAM,BC,,,0.0,42.0,4.0,,,,,,,,,,
6239,2022-07-29,2022,8,CFL,BC,SSK,,,1.0,78.0,5.0,,,,,,,,,,
6245,2022-08-06,2022,9,CFL,EDM,BC,,,3.0,91.0,9.0,,,,,,,,,,
6248,2022-08-13,2022,10,CFL,BC,CGY,,,1.0,101.0,7.0,,,,,,,,,,
6251,2022-08-19,2022,11,CFL,BC,SSK,,,0.0,127.0,6.0,,,,,,,,,,
6262,2022-09-09,2022,14,CFL,BC,MTL,,,0.0,32.0,2.0,,,,,,,,,,
6268,2022-09-17,2022,15,CFL,BC,CGY,,,0.0,91.0,5.0,,,,,,,,,,
6271,2022-09-24,2022,16,CFL,CGY,BC,,,1.0,46.0,3.0,,,,,,,,,,
6273,2022-09-30,2022,17,CFL,OTT,BC,,,0.0,103.0,5.0,,,,,,,,,,
6277,2022-10-08,2022,18,CFL,BC,TOR,,,0.0,76.0,5.0,,,,,,,,,,
6283,2022-10-15,2022,19,CFL,WPG,BC,,,1.0,43.0,3.0,,,,,,,,,,
6285,2022-10-21,2022,20,CFL,BC,EDM,,,0.0,62.0,3.0,,,,,,,,,,
6288,2022-10-28,2022,21,CFL,BC,WPG,,,0.0,55.0,3.0,,,,,,,,,,
9889283,2023-06-08,2023,1,CFL,BC,CGY,,,2.0,118.0,8.0,,,,,,,,,,
9889289,2023-06-17,2023,2,CFL,EDM,BC,,,1.0,63.0,4.0,,,,,,,,,,
9889297,2023-07-03,2023,4,CFL,BC,TOR,,,2.0,65.0,3.0,,,,,,,,,,
9889301,2023-07-09,2023,5,CFL,MTL,BC,,,0.0,37.0,2.0,,,,,,,,,,
9889308,2023-07-22,2023,7,CFL,SSK,BC,,,0.0,2.0,1.0,,,,,,,,,,
9889314,2023-08-03,2023,9,CFL,BC,WPG,,,0.0,40.0,4.0,,,,,,,,,,
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,0.0,92.0,5.0,,,,,,,,,,
9889351,2023-10-06,2023,18,CFL,WPG,BC,,,0.0,107.0,5.0,,,,,,,,,,
9889354,2023-10-13,2023,19,CFL,BC,HAM,,,1.0,5.0,1.0,,,,,,,,,,
9889358,2023-10-20,2023,20,CFL,CGY,BC,,,0.0,15.0,2.0,,,,,,,,,,
10798143,2024-05-25,2024,2,CFL,OTT,HAM,,,0.0,60.0,5.0,,,,,,,,,,
10798024,2024-06-20,2024,3,CFL,OTT,MTL,,,0.0,55.0,3.0,,,,,,,,,,
10798031,2024-06-30,2024,4,CFL,HAM,OTT,,,0.0,4.0,1.0,,,,,,,,,,
10798033,2024-07-05,2024,5,CFL,OTT,WPG,,,0.0,2.0,1.0,,,,,,,,,,
10798039,2024-07-14,2024,6,CFL,OTT,EDM,,,0.0,131.0,7.0,,,,,,,,,,
10798040,2024-07-19,2024,7,CFL,EDM,OTT,,,0.0,53.0,3.0,,,,,,,,,,
10798045,2024-07-26,2024,8,CFL,CGY,OTT,,,0.0,75.0,5.0,,,,,,,,,,
10798052,2024-08-08,2024,10,CFL,SSK,OTT,,,0.0,72.0,5.0,,,,,,,,,,
10798056,2024-08-15,2024,11,CFL,OTT,CGY,,,0.0,8.0,1.0,,,,,,,,,,
10798062,2024-08-24,2024,12,CFL,BC,OTT,,,0.0,9.0,1.0,,,,,,,,,,
10798064,2024-08-31,2024,13,CFL,OTT,BC,,,1.0,46.0,4.0,,,,,,,,,,
10798069,2024-09-07,2024,14,CFL,TOR,OTT,,,0.0,138.0,10.0,,,,,,,,,,
10798073,2024-09-14,2024,15,CFL,OTT,HAM,,,1.0,129.0,10.0,,,,,,,,,,
10798077,2024-09-21,2024,16,CFL,MTL,OTT,,,0.0,59.0,4.0,,,,,,,,,,
10798081,2024-09-28,2024,17,CFL,OTT,SSK,,,0.0,20.0,2.0,,,,,,,,,,
10798089,2024-10-14,2024,19,CFL,OTT,MTL,,,0.0,15.0,2.0,,,,,,,,,,
10798091,2024-10-19,2024,20,CFL,OTT,TOR,,,0.0,20.0,2.0,,,,,,,,,,
10798093,2024-10-25,2024,21,CFL,HAM,OTT,,,0.0,115.0,6.0,,,,,,,,,,
11824047,2025-06-07,2025,1,CFL,HAM,CGY,,,0.0,15.0,1.0,,,,,,,,,,
11824051,2025-06-14,2025,2,CFL,CGY,TOR,,,0.0,98.0,4.0,,,,,,,,,,
11824055,2025-06-21,2025,3,CFL,OTT,CGY,,,0.0,58.0,3.0,,,,,,,,,,
11824061,2025-07-03,2025,5,CFL,WPG,CGY,,,0.0,13.0,1.0,,,,,,,,,,
11824065,2025-07-11,2025,6,CFL,CGY,SSK,,,0.0,88.0,5.0,,,,,,,,,,
11824069,2025-07-18,2025,7,CFL,CGY,WPG,,,1.0,49.0,4.0,,,,,,,,,,
11824072,2025-07-24,2025,8,CFL,MTL,CGY,,,1.0,89.0,5.0,,,,,,,,,,
11824076,2025-07-31,2025,9,CFL,CGY,OTT,,,1.0,103.0,4.0,,,,,,,,,,
11824083,2025-08-09,2025,10,CFL,WPG,CGY,,,0.0,30.0,3.0,,,,,,,,,,
11824094,2025-09-01,2025,13,CFL,EDM,CGY,,,1.0,41.0,2.0,,,,,,,,,,
11824098,2025-09-06,2025,14,CFL,CGY,EDM,,,0.0,25.0,2.0,,,,,,,,,,
11824104,2025-09-19,2025,16,CFL,BC,CGY,,,0.0,19.0,1.0,,,,,,,,,,
11824107,2025-09-26,2025,17,CFL,CGY,MTL,,,0.0,83.0,5.0,,,,,,,,,,
11824113,2025-10-04,2025,18,CFL,CGY,BC,,,1.0,24.0,2.0,,,,,,,,,,
11824115,2025-10-11,2025,19,CFL,CGY,HAM,,,0.0,57.0,4.0,,,,,,,,,,
11824121,2025-10-18,2025,20,CFL,TOR,CGY,,,1.0,55.0,1.0,,,,,,,,,,
11824123,2025-10-24,2025,21,CFL,CGY,EDM,,,0.0,39.0,3.0,,,,,,,,,,
