game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,kick_returns,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_tds,receiving_yards,receptions,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_5_9_TSANANTONIOGUNSLINGERSG20260509KPE3@TNAZWRANGLERS,2026-05-09,2026,9,IFL,San Antonio Gunslingers,NAZ Wranglers,,,,,,,,,,,1.0,10.0,10.0,0.0,10.0,,,,,,1.7,7.0,6.0,,0.0,10.0,,,,,,
FOOTBALL_IFL_2026_5_23_TNAZWRANGLERSG20260523TYBS@TSANDIEGOSTRIKEFORCE,2026-05-23,2026,11,IFL,NAZ Wranglers,San Diego Strike Force,,,,,,,,,,,,,,,,,,,,,-2.0,0.0,1.0,,0.0,-2.0,,,,,,
FOOTBALL_IFL_2026_5_30_TNAZWRANGLERSG20260530ZDI0@TARIZONARATTLERS,2026-05-30,2026,12,IFL,NAZ Wranglers,Arizona Rattlers,0.0,,,,,,1.0,0.0,1.0,0.0,,,,,,10.0,22.0,1.0,30.0,3.0,4.9,12.0,8.0,,0.0,39.0,,,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_6_7_TVEGASKNIGHTHAWKSG202606072NRX@TNAZWRANGLERS,2026-06-07,2026,13,IFL,Vegas Knight Hawks,NAZ Wranglers,,,,,,,,,,,1.0,6.0,6.0,0.0,6.0,,,,,,-4.0,0.0,1.0,,0.0,-4.0,,,,,,
FOOTBALL_IFL_2026_6_14_TSANDIEGOSTRIKEFORCEG20260614SGPF@TNAZWRANGLERS,2026-06-14,2026,14,IFL,San Diego Strike Force,NAZ Wranglers,,,,,,,,,,,,,,,,6.0,14.0,0.0,24.0,4.0,3.6,9.0,5.0,,1.0,18.0,,,,,,
FOOTBALL_IFL_2026_6_21_TNAZWRANGLERSG20260621XMS9@TNEWMEXICOCHUPACABRAS,2026-06-21,2026,15,IFL,NAZ Wranglers,New Mexico Chupacabras,,,,,,,,,,,,,,,,,,,,,-3.8,7.0,6.0,,0.0,-23.0,,,,,,
FOOTBALL_IFL_2026_6_28_TTUCSONSUGARSKULLSG20260628EKGP@TNAZWRANGLERS,2026-06-28,2026,16,IFL,Tucson Sugar Skulls,NAZ Wranglers,0.0,,,,,1.0,,,,,,,,,,,,,,,5.0,16.0,4.0,,0.0,20.0,,,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_7_12_TNEWMEXICOCHUPACABRASG20260712U4S4@TNAZWRANGLERS,2026-07-12,2026,18,IFL,New Mexico Chupacabras,NAZ Wranglers,,,,,,,,,,,,,,,,16.0,21.0,0.0,32.0,2.0,3.4,16.0,7.0,,2.0,24.0,,,,,,
FOOTBALL_IFL_2026_7_19_TNAZWRANGLERSG20260719SJ7Z@TTUCSONSUGARSKULLS,2026-07-19,2026,19,IFL,NAZ Wranglers,Tucson Sugar Skulls,,,,,,,,,,,,,,,,11.0,11.0,0.0,11.0,1.0,8.5,16.0,2.0,,1.0,17.0,,,,,,
FOOTBALL_IFL_2026_7_25_TNAZWRANGLERSG20260725S86X@TVEGASKNIGHTHAWKS,2026-07-25,2026,20,IFL,NAZ Wranglers,Vegas Knight Hawks,1.0,,,,,,,,,,2.0,5.0,10.0,0.0,10.0,1.5,4.0,0.0,3.0,2.0,-2.0,2.0,2.0,,0.0,-4.0,,,1.0,2.0,1.0,0.0
