game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,misc_td,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_fr,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,,,,,,,8.0,2.0,2.0,,9.0,11.0,11.0,29.0,,78.0,,,,,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,,,,,,,,29.0,5.0,6.0,,61.0,69.0,20.0,15.0,,109.0,,,,,,,,,
FOOTBALL_CFL_2021_11_12_CGY@BC,2021-11-12,2021,1,CFL,CGY,BC,,,,,,,,10.0,1.0,2.0,,10.0,10.0,15.0,12.0,1.0,85.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,,,,,,,13.0,3.0,4.0,,19.0,19.0,22.0,15.0,2.0,117.0,,,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2021_8_12_BC@CGY,2021-08-12,2021,1,CFL,BC,CGY,,,,,,,,8.0,4.0,4.0,,18.0,20.0,11.0,11.0,,48.0,,,,,,,,,
FOOTBALL_CFL_2021_8_20_MTL@CGY,2021-08-20,2021,1,CFL,MTL,CGY,,,,,,,,12.0,2.0,5.0,,18.0,19.0,14.0,16.0,2.0,62.0,,,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2021_8_29_CGY@WPG,2021-08-29,2021,1,CFL,CGY,WPG,1.0,1.0,,,,,,10.0,4.0,4.0,,25.0,26.0,8.0,,1.0,66.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,1.0,1.0,,,,,,-2.0,1.0,2.0,,-2.0,-2.0,18.0,14.0,,75.0,,,,,,,,,
FOOTBALL_CFL_2021_9_11_CGY@EDM,2021-09-11,2021,1,CFL,CGY,EDM,,,,,,,,,,,,,,11.0,13.0,,45.0,,,,,,,,,
FOOTBALL_CFL_2021_9_17_CGY@HAM,2021-09-17,2021,1,CFL,CGY,HAM,,,,,,,,,,4.0,,,,7.0,12.0,,26.0,,,,,,,,,
FOOTBALL_CFL_2021_9_6_EDM@CGY,2021-09-06,2021,1,CFL,EDM,CGY,,,,,,,,14.0,1.0,3.0,,14.0,14.0,6.0,,1.0,43.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_10_14_HAM@CGY,2022-10-14,2022,1,CFL,HAM,CGY,,,,,,,,15.0,2.0,3.0,,20.0,20.0,12.0,12.0,,64.0,,,,,,,,,
FOOTBALL_CFL_2022_10_1_TOR@CGY,2022-10-01,2022,1,CFL,TOR,CGY,,,,,,,,,1.0,1.0,,,,14.0,20.0,1.0,92.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_10_22_CGY@SSK,2022-10-22,2022,1,CFL,CGY,SSK,,,,,,,,19.0,1.0,1.0,,19.0,19.0,11.0,11.0,1.0,75.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_11_6_CGY@BC,2022-11-06,2022,1,CFL,CGY,BC,,,,,,,,32.0,2.0,5.0,,39.0,41.0,8.0,13.0,,43.0,,,,,,,,,
FOOTBALL_CFL_2022_6_18_CGY@HAM,2022-06-18,2022,1,CFL,CGY,HAM,,,,,,,,4.0,1.0,1.0,,3.0,4.0,2.0,12.0,,14.0,,,,,,,,,
FOOTBALL_CFL_2022_6_25_EDM@CGY,2022-06-25,2022,1,CFL,EDM,CGY,,,,,,,,11.0,2.0,2.0,,9.0,11.0,19.0,15.0,1.0,91.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_6_9_MTL@CGY,2022-06-09,2022,1,CFL,MTL,CGY,,,,,,,,28.0,3.0,5.0,,30.0,30.0,13.0,13.0,2.0,60.0,,,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2022_7_15_CGY@WPG,2022-07-15,2022,1,CFL,CGY,WPG,,,,,,,,13.0,1.0,1.0,,13.0,13.0,12.0,29.0,,110.0,,,,,,,,,
FOOTBALL_CFL_2022_7_30_WPG@CGY,2022-07-30,2022,1,CFL,WPG,CGY,,,,,,,,20.0,4.0,4.0,,26.0,32.0,14.0,31.0,2.0,92.0,,,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2022_7_7_CGY@EDM,2022-07-07,2022,1,CFL,CGY,EDM,,,,,,,,14.0,2.0,4.0,,21.0,24.0,12.0,26.0,,104.0,,,,,,,,,
FOOTBALL_CFL_2022_8_25_CGY@WPG,2022-08-25,2022,1,CFL,CGY,WPG,,,,,,,,11.0,2.0,2.0,,11.0,14.0,11.0,12.0,,62.0,,,,,,,,,
FOOTBALL_CFL_2022_9_10_CGY@EDM,2022-09-10,2022,1,CFL,CGY,EDM,,,,,,,,17.0,1.0,2.0,,17.0,17.0,9.0,,1.0,118.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_9_17_BC@CGY,2022-09-17,2022,1,CFL,BC,CGY,,,,,,,,14.0,4.0,5.0,,17.0,25.0,10.0,26.0,,61.0,,,,,,,,,
FOOTBALL_CFL_2022_9_24_CGY@BC,2022-09-24,2022,1,CFL,CGY,BC,,,,,,,,2.0,1.0,1.0,,2.0,2.0,12.0,29.0,1.0,84.0,,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2022_9_5_EDM@CGY,2022-09-05,2022,1,CFL,EDM,CGY,,,,,,,,27.0,3.0,3.0,,33.0,37.0,13.0,21.0,1.0,61.0,,,,,,6.0,1.0,1.0,
9889283,2023-06-08,2023,1,CFL,BC,CGY,,,,,0.0,0.0,0.0,,,,,,,,,,,0.0,43.0,,,,,,,
9889320,2023-08-12,2023,10,CFL,CGY,BC,,,,,0.0,14.0,2.0,,,,,,,,,,,0.0,44.0,,,,,,,
9889323,2023-08-18,2023,11,CFL,WPG,CGY,,,,,0.0,0.0,1.0,,,,,,,,,,,0.0,28.0,,,,,,,
9889333,2023-09-04,2023,13,CFL,EDM,CGY,,,,,0.0,40.0,3.0,,,,,,,,,,,0.0,55.0,,,,,,,
9889337,2023-09-09,2023,14,CFL,CGY,EDM,,,,,0.0,12.0,3.0,,,,,,,,,,,0.0,77.0,,,,,,,
9889344,2023-09-23,2023,16,CFL,MTL,CGY,,,0.0,,0.0,12.0,1.0,,,,,,,,,,,0.0,70.0,0.0,,,,,,1.0
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,,,,0.0,7.0,3.0,,,,,,,,,,,0.0,39.0,,,,,,,
9889355,2023-10-13,2023,19,CFL,SSK,CGY,,,,,0.0,45.0,5.0,,,,,,,,,,,0.0,32.0,,,,,,,
9889358,2023-10-20,2023,20,CFL,CGY,BC,,,,,0.0,26.0,3.0,,,,,,,,,,,0.0,88.0,,,,,,,
11824052,2025-06-14,2025,2,CFL,SSK,HAM,,,,,,9.0,1.0,,,,,,,,,,,,26.0,,,,,,,
11824065,2025-07-11,2025,6,CFL,CGY,SSK,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
11824070,2025-07-19,2025,7,CFL,SSK,BC,,,,,,,,,,,,,,,,,,,12.0,,,,,,,
