game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,sacks,score_conv,score_p,score_pts,score_tot,tackles
SYNTHETIC_CFL_2023_W18_BC,2023-10-06,2023,18,CFL,WPG,BC,,,,1.0,88.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W19_BC,2023-10-13,2023,19,CFL,BC,HAM,,,,0.0,59.0,4.0,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W20_BC,2023-10-20,2023,20,CFL,CGY,BC,,,0.0,1.0,64.0,5.0,,,,,,,0.0,,,,,1.0
SYNTHETIC_CFL_2024_W1_BC,2024-06-09,2024,1,CFL,BC,TOR,,,,,39.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W2_BC,2024-05-25,2024,2,CFL,BC,CGY,,,,0.0,10.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W4_BC,2024-06-27,2024,4,CFL,EDM,BC,,,,0.0,68.0,5.0,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W5_BC,2024-07-07,2024,5,CFL,BC,HAM,,,,0.0,16.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W10_BC,2024-08-11,2024,10,CFL,BC,EDM,,,,0.0,28.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W11_BC,2024-08-18,2024,11,CFL,WPG,BC,,,,0.0,19.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W12_BC,2024-08-24,2024,12,CFL,BC,OTT,,,,0.0,29.0,4.0,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W13_BC,2024-08-31,2024,13,CFL,OTT,BC,,,,0.0,35.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W14_BC,2024-09-06,2024,14,CFL,BC,MTL,,,,0.0,54.0,4.0,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W15_BC,2024-09-13,2024,15,CFL,TOR,BC,,,,0.0,22.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W17_BC,2024-09-27,2024,17,CFL,HAM,BC,,,,0.0,81.0,5.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W1_BC,2025-06-07,2025,1,CFL,EDM,BC,,,,,88.0,7.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W2_BC,2025-06-12,2025,2,CFL,BC,WPG,,,,0.0,14.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W3_BC,2025-06-21,2025,3,CFL,WPG,BC,,,,1.0,51.0,4.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W4_BC,2025-06-28,2025,4,CFL,BC,SSK,,,,0.0,24.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W5_BC,2025-07-05,2025,5,CFL,BC,MTL,,,,0.0,38.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W6_BC,2025-07-13,2025,6,CFL,BC,EDM,,,,1.0,74.0,6.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W7_BC,2025-07-19,2025,7,CFL,SSK,BC,,,,0.0,35.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W8_BC,2025-07-27,2025,8,CFL,HAM,BC,,,,0.0,38.0,4.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W10_BC,2025-08-07,2025,10,CFL,BC,HAM,,,,1.0,22.0,2.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W11_BC,2025-08-16,2025,11,CFL,MTL,BC,,,,0.0,21.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W12_BC,2025-08-23,2025,12,CFL,BC,TOR,,,,2.0,50.0,3.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W14_BC,2025-09-05,2025,14,CFL,BC,OTT,,,,0.0,10.0,1.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W15_BC,2025-09-12,2025,15,CFL,OTT,BC,,,,0.0,59.0,5.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W18_BC,2025-10-04,2025,18,CFL,CGY,BC,,,,1.0,99.0,7.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W20_BC,2025-10-17,2025,20,CFL,EDM,BC,,,,0.0,0.0,0.0,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W21_BC,2025-10-25,2025,21,CFL,BC,SSK,,,,0.0,58.0,4.0,,,,,,,,,,,,
