game_id,date,season,week,league,away,home,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,interceptions_made,misc_td,ret_lg,ret_num,ret_yds,sacks,score_fr,score_pts,score_tot,tackles
FOOTBALL_CFL_2022_7_21_MTL@OTT,2022-07-21,2022,1,CFL,MTL,OTT,,,,5.0,5.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_28_MTL@HAM,2022-07-28,2022,1,CFL,MTL,HAM,,,,3.0,3.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_11_MTL@WPG,2022-08-11,2022,1,CFL,MTL,WPG,,,,1.0,1.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_20_HAM@MTL,2022-08-20,2022,1,CFL,HAM,MTL,,,,1.0,1.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_4_WPG@MTL,2022-08-04,2022,1,CFL,WPG,MTL,,,2.0,9.0,9.0,,15.0,,,,,,,,,,
FOOTBALL_CFL_2022_9_23_HAM@MTL,2022-09-23,2022,1,CFL,HAM,MTL,,,,6.0,6.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_2_OTT@MTL,2022-09-02,2022,1,CFL,OTT,MTL,,,,4.0,4.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_9_BC@MTL,2022-09-09,2022,1,CFL,BC,MTL,,,,3.0,3.0,,,,,,,,,,,,
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,,,,,,0.0,,,,,1.0,,,,5.0
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,,,,,,,0.0,,,,,0.0,,,,3.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,,,,,0.0,,,,,1.0,,,,9.0
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,,,,,,0.0,,,,,0.0,,,,9.0
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,,,,,,,0.0,,,,,0.0,,,,11.0
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,,,,,,0.0,,,,,0.0,,,,9.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,,,,,,0.0,,,,,0.0,,,,4.0
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,,,,,,0.0,,,,,1.0,,,,4.0
9889357,2023-10-14,2023,19,CFL,OTT,TOR,,,,,,,,0.0,,,,,0.0,,,,2.0
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,,,,,,0.0,,,,,0.0,,,,3.0
9889363,2023-10-28,2023,21,CFL,TOR,OTT,,,,,,,,0.0,,,,,1.0,,,,8.0
