game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,rush_att,rush_lg,rush_yds,score_conv,score_p,score_pts,score_tot,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2017_10_27_HAM@OTT,2017-10-27,2017,1,CFL,HAM,OTT,1.0,1.0,,,,15.0,6.0,9.0,1.0,9.0,65.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,,,,,,,7.0,9.0,2.0,58.0,149.0,,,,,2.0,12.0,2.0,,,
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,,,,19.0,4.0,5.0,,4.0,52.0,,,,,,,,,,
FOOTBALL_CFL_2017_6_23_CGY@OTT,2017-06-23,2017,1,CFL,CGY,OTT,,,,,,17.0,8.0,13.0,,35.0,66.0,,,,1.0,,2.0,,,,
FOOTBALL_CFL_2017_6_29_OTT@CGY,2017-06-29,2017,1,CFL,OTT,CGY,,,,,,59.0,7.0,10.0,,35.0,133.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_14_OTT@EDM,2017-07-14,2017,1,CFL,OTT,EDM,,,,,,34.0,5.0,9.0,,16.0,66.0,,,,,,,,,,
FOOTBALL_CFL_2017_7_19_MTL@OTT,2017-07-19,2017,1,CFL,MTL,OTT,,,,,,,6.0,7.0,1.0,66.0,149.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,,,,,,,3.0,6.0,1.0,1.0,59.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2017_7_8_TOR@OTT,2017-07-08,2017,1,CFL,TOR,OTT,,,,,,38.0,10.0,11.0,1.0,29.0,170.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2017_8_10_EDM@OTT,2017-08-10,2017,1,CFL,EDM,OTT,,,,,,25.0,4.0,6.0,1.0,19.0,47.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2017_8_18_OTT@HAM,2017-08-18,2017,1,CFL,OTT,HAM,,,,,,39.0,10.0,11.0,1.0,51.0,155.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2017_8_26_BC@OTT,2017-08-26,2017,1,CFL,BC,OTT,,,,,,33.0,2.0,3.0,,3.0,40.0,,,,,,,,,,
FOOTBALL_CFL_2017_8_31_OTT@MTL,2017-08-31,2017,1,CFL,OTT,MTL,,,,,,,4.0,7.0,1.0,11.0,89.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,,,,,,,5.0,8.0,1.0,7.0,59.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2017_9_17_OTT@MTL,2017-09-17,2017,1,CFL,OTT,MTL,1.0,1.0,,,,18.0,5.0,8.0,,13.0,43.0,,,,1.0,,2.0,,,,
FOOTBALL_CFL_2017_9_22_OTT@WPG,2017-09-22,2017,1,CFL,OTT,WPG,1.0,1.0,,,,14.0,6.0,14.0,,21.0,63.0,,,,,,,,,,
FOOTBALL_CFL_2017_9_29_SSK@OTT,2017-09-29,2017,1,CFL,SSK,OTT,,,,,,20.0,3.0,6.0,1.0,16.0,46.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2017_9_9_HAM@OTT,2017-09-09,2017,1,CFL,HAM,OTT,,,,,,30.0,3.0,5.0,,4.0,47.0,,,,,,,,,,
FOOTBALL_CFL_2018_10_13_OTT@EDM,2018-10-13,2018,1,CFL,OTT,EDM,,,,,,36.0,3.0,5.0,,17.0,60.0,,,,,,,,,,
FOOTBALL_CFL_2018_10_19_HAM@OTT,2018-10-19,2018,1,CFL,HAM,OTT,,,,,,19.0,5.0,6.0,,30.0,59.0,,,,,,,,,,
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,,,,,,5.0,8.0,2.0,37.0,71.0,,,,,2.0,12.0,2.0,,,
FOOTBALL_CFL_2018_10_5_WPG@OTT,2018-10-05,2018,1,CFL,WPG,OTT,,,,,,14.0,8.0,10.0,1.0,7.0,69.0,,,,1.0,1.0,8.0,1.0,,,
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,,,,,,,8.0,8.0,1.0,60.0,144.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2018_11_25_OTT@CGY,2018-11-25,2018,1,CFL,OTT,CGY,1.0,1.0,,,,23.0,4.0,11.0,,2.0,58.0,,,,,,,,,,
FOOTBALL_CFL_2018_6_21_SSK@OTT,2018-06-21,2018,1,CFL,SSK,OTT,,,,,,23.0,8.0,8.0,,15.0,104.0,,,,2.0,,4.0,,,,
FOOTBALL_CFL_2018_6_28_OTT@CGY,2018-06-28,2018,1,CFL,OTT,CGY,,,,,,56.0,6.0,14.0,1.0,9.0,97.0,,,,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2018_7_12_CGY@OTT,2018-07-12,2018,1,CFL,CGY,OTT,2.0,2.0,,,,14.0,3.0,4.0,,7.0,26.0,,,,,,,,,,
FOOTBALL_CFL_2018_7_20_BC@OTT,2018-07-20,2018,1,CFL,BC,OTT,,,,,,11.0,4.0,9.0,,10.0,37.0,,,,,,,,,,
FOOTBALL_CFL_2018_7_28_OTT@HAM,2018-07-28,2018,1,CFL,OTT,HAM,,,,,,19.0,3.0,10.0,,15.0,34.0,,,,,,,,,,
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,,,,,,15.0,5.0,9.0,,4.0,49.0,,,,,,,,,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,,,,,22.0,11.0,14.0,,39.0,110.0,,,,,,,,,,
FOOTBALL_CFL_2018_8_17_OTT@WPG,2018-08-17,2018,1,CFL,OTT,WPG,,,,,,26.0,8.0,10.0,,36.0,100.0,,,,1.0,,2.0,,,,
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,,,,,,13.0,2.0,5.0,,5.0,26.0,,,,,,,,,,
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,,,,,,24.0,8.0,13.0,,32.0,114.0,,,,,,,,,,
FOOTBALL_CFL_2018_9_15_OTT@SSK,2018-09-15,2018,1,CFL,OTT,SSK,,,,,,19.0,4.0,6.0,,15.0,37.0,,,,,,,,,,
FOOTBALL_CFL_2018_9_22_EDM@OTT,2018-09-22,2018,1,CFL,EDM,OTT,1.0,1.0,,,,21.0,4.0,4.0,1.0,15.0,42.0,1.0,1.0,1.0,,1.0,6.0,1.0,,,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,1.0,1.0,,,,18.0,4.0,11.0,,7.0,51.0,,,,,,,,,,
SYNTHETIC_CFL_2022_W1_WPG,,2022,1,CFL,,,,,1.0,74.0,6.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W3_WPG,,2022,3,CFL,,,,,0.0,73.0,3.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W4_WPG,,2022,4,CFL,,,,,0.0,50.0,3.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W5_WPG,,2022,5,CFL,,,,,1.0,98.0,7.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W6_WPG,2022-07-15,2022,6,CFL,CGY,WPG,,,0.0,152.0,11.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W10_WPG,2022-08-11,2022,10,CFL,MTL,WPG,,,0.0,54.0,3.0,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W13_MTL,2023-09-02,2023,13,CFL,BC,MTL,,,0.0,10.0,1.0,,,,,,,,,,,,,,,,
