game_id,date,season,week,league,away,home,def_sack,def_solo,def_tot,def_ydsl,misc_td,score_fr,score_pts,score_tot
FOOTBALL_CFL_2019_9_1_WPG@SSK,2019-09-01,2019,1,CFL,WPG,SSK,2.0,3.0,3.0,6.0,,,,
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,2.0,3.0,3.0,20.0,,,,
FOOTBALL_CFL_2019_9_7_SSK@WPG,2019-09-07,2019,1,CFL,SSK,WPG,1.0,5.0,5.0,2.0,,,,
FOOTBALL_CFL_2021_10_30_BC@TOR,2021-10-30,2021,1,CFL,BC,TOR,,1.0,1.0,,,,,
FOOTBALL_CFL_2021_8_13_TOR@WPG,2021-08-13,2021,1,CFL,TOR,WPG,,3.0,3.0,,,,,
FOOTBALL_CFL_2021_8_21_WPG@TOR,2021-08-21,2021,1,CFL,WPG,TOR,,1.0,1.0,,,,,
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,3.0,3.0,,,,,
FOOTBALL_CFL_2021_9_17_TOR@SSK,2021-09-17,2021,1,CFL,TOR,SSK,1.0,3.0,3.0,1.0,,,,
FOOTBALL_CFL_2021_9_24_MTL@TOR,2021-09-24,2021,1,CFL,MTL,TOR,1.0,5.0,5.0,6.0,,,,
FOOTBALL_CFL_2021_9_6_TOR@HAM,2021-09-06,2021,1,CFL,TOR,HAM,,2.0,2.0,,,,,
