game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,rushing_tds,rushing_yards,sacks,tackles
SYNTHETIC_CFL_2023_W8_MTL,,2023,8,CFL,,,1.0,,,0.0,158.0,,,,0.0,27.0,,
SYNTHETIC_CFL_2023_W9_MTL,,2023,9,CFL,,,2.0,,,1.0,318.0,,,,0.0,15.0,,
SYNTHETIC_CFL_2023_W12_MTL,,2023,12,CFL,,,1.0,0.0,,0.0,137.0,,,,0.0,-2.0,0.0,1.0
SYNTHETIC_CFL_2023_W13_MTL,,2023,13,CFL,,,2.0,,,1.0,308.0,,,,0.0,36.0,,
SYNTHETIC_CFL_2023_W14_MTL,,2023,14,CFL,,,0.0,,,1.0,236.0,,,,0.0,5.0,,
SYNTHETIC_CFL_2023_W15_MTL,,2023,15,CFL,,,1.0,,,1.0,274.0,,,,0.0,19.0,,
SYNTHETIC_CFL_2023_W16_MTL,,2023,16,CFL,,,1.0,,,1.0,252.0,,,,0.0,11.0,,
SYNTHETIC_CFL_2023_W17_MTL,,2023,17,CFL,,,0.0,,,1.0,178.0,,,,0.0,23.0,,
SYNTHETIC_CFL_2023_W18_MTL,,2023,18,CFL,,,1.0,,,1.0,272.0,,,,0.0,27.0,,
SYNTHETIC_CFL_2023_W19_MTL,,2023,19,CFL,,,1.0,0.0,,1.0,258.0,,,,0.0,30.0,0.0,1.0
SYNTHETIC_CFL_2023_W21_MTL,,2023,21,CFL,,,0.0,,,1.0,55.0,,,,0.0,3.0,,
SYNTHETIC_CFL_2024_W1_MTL,,2024,1,CFL,,,1.0,,,2.0,254.0,,,,0.0,23.0,,
SYNTHETIC_CFL_2024_W2_MTL,,2024,2,CFL,,,0.0,,,2.0,269.0,,,,0.0,27.0,,
SYNTHETIC_CFL_2024_W3_MTL,,2024,3,CFL,,,0.0,,,3.0,393.0,,,,1.0,39.0,,
SYNTHETIC_CFL_2024_W4_MTL,,2024,4,CFL,,,1.0,,,1.0,284.0,,,,0.0,13.0,,
SYNTHETIC_CFL_2024_W5_MTL,,2024,5,CFL,,,2.0,,,2.0,374.0,,,,0.0,35.0,,
SYNTHETIC_CFL_2024_W6_MTL,,2024,6,CFL,,,0.0,,,0.0,62.0,,,,0.0,5.0,,
SYNTHETIC_CFL_2024_W12_MTL,,2024,12,CFL,,,1.0,,,2.0,336.0,,,,0.0,8.0,,
SYNTHETIC_CFL_2024_W14_MTL,,2024,14,CFL,,,1.0,,,1.0,240.0,,,,0.0,34.0,,
SYNTHETIC_CFL_2024_W15_MTL,,2024,15,CFL,,,0.0,,,0.0,204.0,,,,1.0,20.0,,
SYNTHETIC_CFL_2024_W16_MTL,,2024,16,CFL,,,0.0,,,0.0,226.0,,,,1.0,29.0,,
SYNTHETIC_CFL_2024_W17_MTL,,2024,17,CFL,,,1.0,,,2.0,225.0,,,,0.0,22.0,,
SYNTHETIC_CFL_2024_W20_MTL,,2024,20,CFL,,,0.0,,,0.0,67.0,,,,0.0,16.0,,
SYNTHETIC_CFL_2024_W21_MTL,,2024,21,CFL,,,0.0,,,1.0,171.0,,,,0.0,6.0,,
SYNTHETIC_CFL_2025_W1_EDM,,2025,1,CFL,,,,,,,,,,,2.0,4.0,,
SYNTHETIC_CFL_2025_W4_EDM,,2025,4,CFL,,,,,,,,,,,1.0,1.0,,
SYNTHETIC_CFL_2025_W5_EDM,,2025,5,CFL,,,0.0,,,0.0,29.0,,,,0.0,0.0,,
SYNTHETIC_CFL_2025_W6_EDM,,2025,6,CFL,,,0.0,,,1.0,78.0,,,,1.0,13.0,,
SYNTHETIC_CFL_2025_W8_EDM,,2025,8,CFL,,,0.0,,,2.0,346.0,,,,0.0,20.0,,
SYNTHETIC_CFL_2025_W9_EDM,,2025,9,CFL,,,1.0,,,1.0,257.0,,,,0.0,13.0,,
SYNTHETIC_CFL_2025_W10_EDM,,2025,10,CFL,,,0.0,,,2.0,289.0,,,,0.0,14.0,,
SYNTHETIC_CFL_2025_W11_EDM,,2025,11,CFL,,,1.0,,,1.0,273.0,,,,0.0,16.0,,
SYNTHETIC_CFL_2025_W12_EDM,,2025,12,CFL,,,1.0,,,0.0,270.0,,,,1.0,57.0,,
SYNTHETIC_CFL_2025_W13_EDM,,2025,13,CFL,,,0.0,,,0.0,255.0,,,,0.0,44.0,,
SYNTHETIC_CFL_2025_W14_EDM,,2025,14,CFL,,,0.0,,,1.0,153.0,,,,0.0,25.0,,
SYNTHETIC_CFL_2025_W15_EDM,,2025,15,CFL,,,0.0,,,2.0,229.0,,,,0.0,5.0,,
SYNTHETIC_CFL_2025_W16_EDM,,2025,16,CFL,,,,,,2.0,280.0,,,,,16.0,,
SYNTHETIC_CFL_2025_W17_EDM,,2025,17,CFL,,,0.0,,,0.0,305.0,,,,0.0,4.0,,
SYNTHETIC_CFL_2025_W19_EDM,,2025,19,CFL,,,0.0,,,0.0,142.0,,,,1.0,25.0,,
SYNTHETIC_CFL_2025_W20_EDM,,2025,20,CFL,,,3.0,,,1.0,230.0,,,,1.0,38.0,,
SYNTHETIC_CFL_2025_W21_EDM,,2025,21,CFL,,,1.0,,,1.0,272.0,,,,0.0,24.0,,
