game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,interceptions_made,pass_att,pass_cmp,pass_int,pass_lg,pass_loss,pass_sack,pass_td,pass_yds,passing_tds,passing_yards,recv_lg,recv_rec,recv_tar,recv_yac,recv_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_conv,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2017_10_27_HAM@OTT,2017-10-27,2017,1,CFL,HAM,OTT,,,,,38.0,26.0,3.0,60.0,14.0,2.0,2.0,313.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2017_10_7_OTT@BC,2017-10-07,2017,1,CFL,OTT,BC,,,,,38.0,28.0,,70.0,,,3.0,380.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,,,,,60.0,37.0,2.0,,15.0,2.0,2.0,457.0,,,,,,,,1.0,4.0,,4.0,,,,,,,,
FOOTBALL_CFL_2017_6_23_CGY@OTT,2017-06-23,2017,1,CFL,CGY,OTT,,,,,45.0,33.0,1.0,,,,3.0,300.0,,,,,,,,2.0,5.0,,6.0,,,,,,,,
FOOTBALL_CFL_2017_6_29_OTT@CGY,2017-06-29,2017,1,CFL,OTT,CGY,,,,,35.0,27.0,,,28.0,4.0,2.0,425.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_14_OTT@EDM,2017-07-14,2017,1,CFL,OTT,EDM,,,,,35.0,23.0,,34.0,7.0,1.0,1.0,284.0,,,,,,,,1.0,12.0,,12.0,,,,,,,,
FOOTBALL_CFL_2017_7_19_MTL@OTT,2017-07-19,2017,1,CFL,MTL,OTT,,,,,41.0,29.0,,,,,2.0,376.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_7_24_OTT@TOR,2017-07-24,2017,1,CFL,OTT,TOR,,,,,26.0,16.0,1.0,,14.0,3.0,2.0,184.0,,,,,,,,3.0,9.0,,20.0,,,,,,,,
FOOTBALL_CFL_2017_7_8_TOR@OTT,2017-07-08,2017,1,CFL,TOR,OTT,,,,,43.0,30.0,1.0,38.0,32.0,5.0,2.0,370.0,,,,,,,,1.0,2.0,,2.0,,,,,,,,
FOOTBALL_CFL_2017_8_10_EDM@OTT,2017-08-10,2017,1,CFL,EDM,OTT,,,,,37.0,26.0,1.0,38.0,20.0,3.0,2.0,266.0,,,,,,,,5.0,4.0,,10.0,,,,,,,,
FOOTBALL_CFL_2017_8_18_OTT@HAM,2017-08-18,2017,1,CFL,OTT,HAM,,,,,48.0,36.0,,39.0,25.0,3.0,2.0,394.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_8_26_BC@OTT,2017-08-26,2017,1,CFL,BC,OTT,1.0,1.0,,,45.0,30.0,2.0,33.0,,,1.0,326.0,,,,,,,,2.0,8.0,,15.0,,,,,,,,
FOOTBALL_CFL_2017_8_31_OTT@MTL,2017-08-31,2017,1,CFL,OTT,MTL,1.0,1.0,,,41.0,32.0,1.0,,19.0,4.0,3.0,343.0,,,,,,,,2.0,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,,,,,39.0,27.0,,21.0,10.0,2.0,2.0,263.0,,,,,,,,1.0,6.0,,6.0,,,,,,,,
FOOTBALL_CFL_2017_9_9_HAM@OTT,2017-09-09,2017,1,CFL,HAM,OTT,,,,,28.0,18.0,,31.0,10.0,1.0,1.0,193.0,,,,,,,,2.0,3.0,,4.0,,,,,,,,
FOOTBALL_CFL_2018_10_13_OTT@EDM,2018-10-13,2018,1,CFL,OTT,EDM,,,,,26.0,21.0,1.0,,21.0,5.0,1.0,291.0,,,,,,,,2.0,7.0,,9.0,,,,,,,,
FOOTBALL_CFL_2018_10_19_HAM@OTT,2018-10-19,2018,1,CFL,HAM,OTT,,,,,32.0,24.0,,58.0,10.0,2.0,1.0,341.0,,,,,,,,1.0,3.0,,3.0,,,,,,,,
FOOTBALL_CFL_2018_10_27_OTT@HAM,2018-10-27,2018,1,CFL,OTT,HAM,,,,,30.0,23.0,,,,,3.0,267.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_10_5_WPG@OTT,2018-10-05,2018,1,CFL,WPG,OTT,,,,,45.0,33.0,,,18.0,4.0,3.0,349.0,,,,,,,,1.0,5.0,,5.0,,,,,,,,
FOOTBALL_CFL_2018_11_18_HAM@OTT,2018-11-18,2018,1,CFL,HAM,OTT,,,,,32.0,29.0,,,,,6.0,367.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_11_25_OTT@CGY,2018-11-25,2018,1,CFL,OTT,CGY,,,,,38.0,20.0,3.0,,8.0,1.0,1.0,288.0,,,,,,,,1.0,5.0,,5.0,,,,,,,,
FOOTBALL_CFL_2018_6_21_SSK@OTT,2018-06-21,2018,1,CFL,SSK,OTT,,,,,36.0,26.0,1.0,,,,2.0,345.0,,,,,,,,4.0,9.0,,16.0,,,,1.0,2.0,,,
FOOTBALL_CFL_2018_6_28_OTT@CGY,2018-06-28,2018,1,CFL,OTT,CGY,,,,,29.0,13.0,1.0,56.0,21.0,3.0,,135.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_12_CGY@OTT,2018-07-12,2018,1,CFL,CGY,OTT,,,,,22.0,14.0,2.0,15.0,11.0,2.0,,93.0,,,,,,,,1.0,,,,,,,,,,,
FOOTBALL_CFL_2018_7_20_BC@OTT,2018-07-20,2018,1,CFL,BC,OTT,,,,,44.0,30.0,,29.0,8.0,1.0,1.0,363.0,,,,,,,,5.0,8.0,,13.0,,,,,,,,
FOOTBALL_CFL_2018_7_28_OTT@HAM,2018-07-28,2018,1,CFL,OTT,HAM,,,,,35.0,23.0,,50.0,5.0,1.0,,228.0,,,,,,,,3.0,14.0,,15.0,,,,,,,,
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,,,,,42.0,28.0,,,8.0,1.0,3.0,342.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,,,,54.0,44.0,1.0,27.0,14.0,3.0,1.0,487.0,,,,,,,,3.0,4.0,,6.0,,,,,,,,
FOOTBALL_CFL_2018_8_17_OTT@WPG,2018-08-17,2018,1,CFL,OTT,WPG,,,,,39.0,29.0,,59.0,6.0,1.0,1.0,361.0,,,,,,,,2.0,16.0,,26.0,,,,,,,,
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,,,,,35.0,27.0,1.0,43.0,4.0,1.0,2.0,381.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,,,,,46.0,25.0,1.0,31.0,15.0,3.0,,270.0,,,,,,,,2.0,8.0,,8.0,,,,,,,,
FOOTBALL_CFL_2018_9_15_OTT@SSK,2018-09-15,2018,1,CFL,OTT,SSK,,,,,34.0,27.0,,64.0,,,2.0,334.0,,,,,,,,1.0,5.0,,5.0,,,,,,,,
FOOTBALL_CFL_2018_9_22_EDM@OTT,2018-09-22,2018,1,CFL,EDM,OTT,,,,,30.0,23.0,1.0,40.0,28.0,6.0,1.0,313.0,,,,,,,,1.0,8.0,,8.0,,,,,,,,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,,,,,36.0,21.0,2.0,22.0,40.0,6.0,1.0,216.0,,,,,,,,1.0,3.0,,3.0,,,,,,,,
FOOTBALL_CFL_2019_10_26_SSK@EDM,2019-10-26,2019,1,CFL,SSK,EDM,,,,,37.0,27.0,2.0,65.0,,,1.0,321.0,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_11_10_EDM@MTL,2019-11-10,2019,1,CFL,EDM,MTL,1.0,1.0,,,39.0,36.0,1.0,38.0,5.0,1.0,1.0,421.0,,,,,,,,3.0,1.0,,3.0,,,,,,,,
FOOTBALL_CFL_2019_11_17_EDM@HAM,2019-11-17,2019,1,CFL,EDM,HAM,,,,,41.0,29.0,2.0,31.0,22.0,3.0,1.0,319.0,,,,,,,,7.0,9.0,,26.0,,,,,,,,
FOOTBALL_CFL_2019_6_14_MTL@EDM,2019-06-14,2019,1,CFL,MTL,EDM,,,,,41.0,32.0,,45.0,,,3.0,447.0,,,,,,,,7.0,4.0,1.0,12.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2019_6_21_BC@EDM,2019-06-21,2019,1,CFL,BC,EDM,,,,,33.0,25.0,,,,,3.0,294.0,,,,,,,,3.0,2.0,1.0,4.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2019_6_27_EDM@WPG,2019-06-27,2019,1,CFL,EDM,WPG,,,,,54.0,35.0,,27.0,5.0,1.0,,345.0,,,,,,,,4.0,11.0,,15.0,,,,,,,,
FOOTBALL_CFL_2019_7_11_EDM@BC,2019-07-11,2019,1,CFL,EDM,BC,,,,,28.0,22.0,,,,,2.0,276.0,,,,,,,,6.0,3.0,1.0,9.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2019_7_20_EDM@MTL,2019-07-20,2019,1,CFL,EDM,MTL,,,,,43.0,29.0,2.0,49.0,,,,271.0,,,,,,,,3.0,9.0,,16.0,,,,,,,,
FOOTBALL_CFL_2019_7_25_TOR@EDM,2019-07-25,2019,1,CFL,TOR,EDM,,,,,39.0,27.0,,32.0,,,,298.0,,,,,,,,4.0,3.0,1.0,7.0,,,,,6.0,1.0,1.0,
FOOTBALL_CFL_2019_8_16_EDM@TOR,2019-08-16,2019,1,CFL,EDM,TOR,,,,,41.0,28.0,,59.0,,,3.0,420.0,,,,,,,,8.0,3.0,2.0,13.0,,,,,12.0,2.0,2.0,
FOOTBALL_CFL_2019_8_23_WPG@EDM,2019-08-23,2019,1,CFL,WPG,EDM,,,,,40.0,26.0,1.0,,34.0,3.0,1.0,430.0,,,,,,,,4.0,27.0,,40.0,,,,,,,,
FOOTBALL_CFL_2019_8_3_EDM@CGY,2019-08-03,2019,1,CFL,EDM,CGY,,,,,42.0,29.0,,,,1.0,2.0,373.0,,,,,,,,1.0,1.0,,1.0,,,,,,,,
FOOTBALL_CFL_2019_8_9_OTT@EDM,2019-08-09,2019,1,CFL,OTT,EDM,1.0,1.0,,,40.0,33.0,,35.0,7.0,1.0,,327.0,,,,,,,,4.0,2.0,,4.0,,,,,,,,
FOOTBALL_CFL_2019_9_2_EDM@CGY,2019-09-02,2019,1,CFL,EDM,CGY,,,,,35.0,27.0,1.0,34.0,6.0,2.0,,216.0,,,,,,,,3.0,9.0,,16.0,,,,,,,,
FOOTBALL_CFL_2019_9_7_CGY@EDM,2019-09-07,2019,1,CFL,CGY,EDM,,,,,5.0,3.0,,,,,1.0,9.0,,,,,,,,1.0,2.0,,2.0,,,,,,,,
SYNTHETIC_CFL_2022_W2_MTL,,2022,2,CFL,,,,,1.0,,,,,,,,,,0.0,270.0,,,,,,,,,,0.0,20.0,,,,,,
SYNTHETIC_CFL_2022_W3_MTL,,2022,3,CFL,,,,,0.0,,,,,,,,,,1.0,262.0,,,,,,,,,,0.0,0.0,,,,,,
SYNTHETIC_CFL_2022_W4_MTL,,2022,4,CFL,,,,,2.0,,,,,,,,,,0.0,198.0,,,,,,,,,,0.0,28.0,,,,,,
SYNTHETIC_CFL_2022_W6_MTL,2022-07-14,2022,6,CFL,EDM,MTL,,,2.0,,,,,,,,,,2.0,241.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W7_MTL,2022-07-21,2022,7,CFL,MTL,OTT,,,0.0,,,,,,,,,,2.0,341.0,,,,,,,,,,0.0,4.0,,,,,,
SYNTHETIC_CFL_2022_W8_MTL,2022-07-28,2022,8,CFL,MTL,HAM,,,0.0,,,,,,,,,,1.0,288.0,,,,,,,,,,0.0,39.0,,,,,,
SYNTHETIC_CFL_2022_W9_MTL,2022-08-04,2022,9,CFL,WPG,MTL,,,2.0,,,,,,,,,,1.0,127.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W10_MTL,2022-08-11,2022,10,CFL,MTL,WPG,,,0.0,,,,,,,,,,0.0,213.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2022_W11_MTL,2022-08-20,2022,11,CFL,HAM,MTL,,,1.0,,,,,,,,,,3.0,382.0,,,,,,,,,,0.0,7.0,,,,,,
SYNTHETIC_CFL_2022_W13_MTL,2022-09-02,2022,13,CFL,OTT,MTL,,,2.0,,,,,,,,,,2.0,256.0,,,,,,,,,,0.0,26.0,,,,,,
SYNTHETIC_CFL_2022_W14_MTL,2022-09-09,2022,14,CFL,BC,MTL,,,1.0,,,,,,,,,,1.0,163.0,,,,,,,,,,0.0,8.0,,,,,,
SYNTHETIC_CFL_2022_W16_MTL,2022-09-23,2022,16,CFL,HAM,MTL,,,0.0,,,,,,,,,,2.0,244.0,,,,,,,,,,0.0,1.0,,,,,,
SYNTHETIC_CFL_2022_W17_MTL,2022-10-01,2022,17,CFL,MTL,EDM,,,0.0,,,,,,,,,,1.0,180.0,,,,,,,,,,0.0,7.0,,,,,,
SYNTHETIC_CFL_2022_W19_MTL,2022-10-14,2022,19,CFL,MTL,OTT,,,0.0,,,,,,,,,,1.0,241.0,,,,,,,,,,0.0,17.0,,,,,,
SYNTHETIC_CFL_2022_W20_MTL,2022-10-22,2022,20,CFL,TOR,MTL,,,1.0,,,,,,,,,,2.0,413.0,,,,,,,,,,0.0,7.0,,,,,,
SYNTHETIC_CFL_2023_W1_SSK,2023-06-11,2023,1,CFL,SSK,EDM,,,0.0,,,,,,,,,,1.0,73.0,,,,,,,,,,0.0,19.0,,,,,,
SYNTHETIC_CFL_2023_W2_SSK,2023-06-16,2023,2,CFL,WPG,SSK,,,0.0,,,,,,,,,,3.0,413.0,,,,,,,,,,0.0,23.0,,,,,,
SYNTHETIC_CFL_2023_W3_SSK,2023-06-24,2023,3,CFL,SSK,CGY,,,1.0,,,,,,,,,,1.0,275.0,,,,,,,,,,0.0,21.0,,,,,,
SYNTHETIC_CFL_2023_W5_SSK,2023-07-06,2023,5,CFL,EDM,SSK,,,1.0,,,,,,,,,,1.0,289.0,,,,,,,,,,0.0,13.0,,,,,,
SYNTHETIC_CFL_2023_W6_SSK,2023-07-15,2023,6,CFL,CGY,SSK,,,0.0,,,,,,,,,,0.0,115.0,,,,,,,,,,0.0,18.0,,,,,,
SYNTHETIC_CFL_2024_W1_SSK,2024-05-20,2024,1,CFL,WPG,SSK,,,2.0,0.0,,,,,,,,,3.0,305.0,,,,,,,,,,,,0.0,,,,,1.0
SYNTHETIC_CFL_2024_W2_SSK,2024-05-25,2024,2,CFL,SSK,EDM,,,0.0,,,,,,,,,,2.0,390.0,,,,,,,,,,0.0,0.0,,,,,,
SYNTHETIC_CFL_2024_W3_SSK,2024-06-23,2024,3,CFL,HAM,SSK,,,1.0,,,,,,,,,,2.0,177.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W11_SSK,2024-08-16,2024,11,CFL,MTL,SSK,,,0.0,,,,,,,,,,2.0,355.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W12_SSK,2024-08-22,2024,12,CFL,SSK,TOR,,,2.0,,,,,,,,,,1.0,190.0,,,,,,,,,,0.0,11.0,,,,,,
SYNTHETIC_CFL_2024_W13_SSK,2024-09-01,2024,13,CFL,WPG,SSK,,,0.0,,,,,,,,,,3.0,368.0,,,,,,,,,,1.0,27.0,,,,,,
SYNTHETIC_CFL_2024_W14_SSK,2024-09-07,2024,14,CFL,SSK,WPG,,,2.0,,,,,,,,,,2.0,287.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W16_SSK,2024-09-20,2024,16,CFL,SSK,CGY,,,0.0,,,,,,,,,,1.0,248.0,,,,,,,,,,1.0,17.0,,,,,,
SYNTHETIC_CFL_2024_W17_SSK,2024-09-28,2024,17,CFL,OTT,SSK,,,0.0,,,,,,,,,,0.0,315.0,,,,,,,,,,0.0,10.0,,,,,,
SYNTHETIC_CFL_2024_W18_SSK,2024-10-05,2024,18,CFL,SSK,EDM,,,2.0,,,,,,,,,,2.0,358.0,,,,,,,,,,0.0,6.0,,,,,,
SYNTHETIC_CFL_2024_W19_SSK,2024-10-12,2024,19,CFL,BC,SSK,,,0.0,,,,,,,,,,2.0,271.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W1_SSK,2025-06-05,2025,1,CFL,OTT,SSK,,,1.0,,,,,,,,,,2.0,277.0,,,,,,,,,,0.0,4.0,,,,,,
SYNTHETIC_CFL_2025_W2_SSK,2025-06-14,2025,2,CFL,SSK,HAM,,,1.0,,,,,,,,,,1.0,295.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W3_SSK,2025-06-20,2025,3,CFL,SSK,TOR,,,1.0,,,,,,,,,,2.0,234.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W6_SSK,2025-07-11,2025,6,CFL,CGY,SSK,,,0.0,,,,,,,,,,1.0,425.0,,,,,,,,,,0.0,0.0,,,,,,
SYNTHETIC_CFL_2025_W7_SSK,2025-07-19,2025,7,CFL,SSK,BC,,,1.0,,,,,,,,,,3.0,395.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W8_SSK,2025-07-25,2025,8,CFL,EDM,SSK,,,0.0,,,,,,,,,,2.0,268.0,,,,,,,,,,0.0,3.0,,,,,,
SYNTHETIC_CFL_2025_W9_SSK,2025-08-02,2025,9,CFL,SSK,MTL,,,0.0,,,,,,,,,,2.0,289.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W11_SSK,2025-08-16,2025,11,CFL,HAM,SSK,,,1.0,,,,,,,,,,3.0,307.0,,,,,,,,,,0.0,9.0,,,,,,
SYNTHETIC_CFL_2025_W12_SSK,2025-08-23,2025,12,CFL,SSK,CGY,,,2.0,,,,,,,,,,2.0,205.0,,,,,,,,,,0.0,5.0,,,,,,
SYNTHETIC_CFL_2025_W13_SSK,2025-08-31,2025,13,CFL,WPG,SSK,,,0.0,,,,,,,,,,1.0,219.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W14_SSK,2025-09-06,2025,14,CFL,SSK,WPG,,,1.0,,,,,,,,,,0.0,239.0,,,,,,,,,,0.0,10.0,,,,,,
SYNTHETIC_CFL_2025_W15_SSK,2025-09-13,2025,15,CFL,MTL,SSK,,,1.0,,,,,,,,,,1.0,252.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W17_SSK,2025-09-27,2025,17,CFL,SSK,EDM,,,2.0,,,,,,,,,,1.0,351.0,,,,,,,,,,0.0,9.0,,,,,,
SYNTHETIC_CFL_2025_W18_SSK,2025-10-03,2025,18,CFL,SSK,OTT,,,0.0,,,,,,,,,,1.0,341.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W19_SSK,2025-10-10,2025,19,CFL,TOR,SSK,,,0.0,,,,,,,,,,2.0,340.0,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2025_W21_SSK,2025-10-25,2025,21,CFL,BC,SSK,,,0.0,,,,,,,,,,0.0,112.0,,,,,,,,,,0.0,13.0,,,,,,
