game_id,date,season,week,league,away,home,interceptions_lost,interceptions_made,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,sacks,tackles
SYNTHETIC_CFL_2023_W18_BC,,2023,18,CFL,,,,,,,0.0,31.0,3.0,,
SYNTHETIC_CFL_2023_W19_BC,,2023,19,CFL,,,,,,,0.0,92.0,6.0,,
SYNTHETIC_CFL_2024_W9_BC,,2024,9,CFL,,,,,,,0.0,28.0,3.0,,
SYNTHETIC_CFL_2024_W10_BC,,2024,10,CFL,,,,,,,0.0,62.0,4.0,,
SYNTHETIC_CFL_2024_W11_BC,,2024,11,CFL,,,,,,,0.0,18.0,1.0,,
SYNTHETIC_CFL_2024_W12_BC,,2024,12,CFL,,,,,,,0.0,44.0,4.0,,
SYNTHETIC_CFL_2024_W13_BC,,2024,13,CFL,,,,,,,0.0,71.0,3.0,,
SYNTHETIC_CFL_2024_W14_BC,,2024,14,CFL,,,,,,,0.0,46.0,3.0,,
SYNTHETIC_CFL_2024_W15_BC,,2024,15,CFL,,,,,,,0.0,59.0,3.0,,
SYNTHETIC_CFL_2024_W17_BC,,2024,17,CFL,,,,,,,0.0,38.0,2.0,,
SYNTHETIC_CFL_2024_W18_BC,,2024,18,CFL,,,,,,,0.0,97.0,4.0,,
SYNTHETIC_CFL_2024_W19_BC,,2024,19,CFL,,,,,,,0.0,28.0,3.0,,
SYNTHETIC_CFL_2024_W20_BC,,2024,20,CFL,,,,,,,0.0,117.0,8.0,,
SYNTHETIC_CFL_2025_W1_BC,,2025,1,CFL,,,,,,,,52.0,4.0,,
SYNTHETIC_CFL_2025_W2_BC,,2025,2,CFL,,,,,,,1.0,150.0,4.0,,
SYNTHETIC_CFL_2025_W3_BC,,2025,3,CFL,,,,,,,0.0,92.0,6.0,,
SYNTHETIC_CFL_2025_W4_BC,,2025,4,CFL,,,,,,,1.0,44.0,3.0,,
SYNTHETIC_CFL_2025_W5_BC,,2025,5,CFL,,,,,,,0.0,48.0,4.0,,
SYNTHETIC_CFL_2025_W6_BC,,2025,6,CFL,,,,,,,0.0,130.0,9.0,,
SYNTHETIC_CFL_2025_W7_BC,,2025,7,CFL,,,,,,,0.0,58.0,5.0,,
SYNTHETIC_CFL_2025_W8_BC,,2025,8,CFL,,,,,,,0.0,117.0,5.0,,
SYNTHETIC_CFL_2025_W10_BC,,2025,10,CFL,,,,,,,0.0,31.0,3.0,,
SYNTHETIC_CFL_2025_W11_BC,,2025,11,CFL,,,,,,,2.0,156.0,11.0,,
SYNTHETIC_CFL_2025_W12_BC,,2025,12,CFL,,,,,,,0.0,131.0,7.0,,
SYNTHETIC_CFL_2025_W14_BC,,2025,14,CFL,,,,,,,0.0,64.0,5.0,,
SYNTHETIC_CFL_2025_W15_BC,,2025,15,CFL,,,,,,,1.0,97.0,5.0,,
SYNTHETIC_CFL_2025_W16_BC,,2025,16,CFL,,,,,,,0.0,147.0,8.0,,
SYNTHETIC_CFL_2025_W17_BC,,2025,17,CFL,,,,,,,0.0,87.0,4.0,,
SYNTHETIC_CFL_2025_W18_BC,,2025,18,CFL,,,,,,,2.0,112.0,7.0,,
SYNTHETIC_CFL_2025_W20_BC,,2025,20,CFL,,,,,,,1.0,97.0,5.0,,
SYNTHETIC_CFL_2025_W21_BC,,2025,21,CFL,,,,,,,1.0,75.0,7.0,,
