game_id,date,season,week,league,away,home,def_int,def_lg,def_solo,def_td,def_tot,def_yds,misc_td,pass_att,pass_cmp,pass_lg,pass_td,pass_yds,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_yds,score_conv,score_fr,score_ir,score_p,score_pts,score_tot
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,,,,,,,,,,,,,36.0,5.0,8.0,,3.0,69.0,,,,1.0,-3.0,-3.0,,,,,,
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,,,,,,,,,,,,,9.0,2.0,5.0,,2.0,12.0,12.0,4.0,24.0,,,,,,,,,
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,,,,,,,,,,,,,34.0,9.0,11.0,2.0,25.0,131.0,29.0,2.0,35.0,,,,,,,2.0,12.0,2.0
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,,,,,,,,1.0,,,,,15.0,7.0,10.0,1.0,24.0,63.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,,,,,,,,,,,,,16.0,5.0,10.0,1.0,10.0,45.0,,,,2.0,5.0,3.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,,,2.0,,2.0,,,,,,,,13.0,2.0,4.0,1.0,7.0,25.0,4.0,1.0,4.0,,,,,,,1.0,8.0,1.0
FOOTBALL_CFL_2017_8_5_SSK@BC,2017-08-05,2017,1,CFL,SSK,BC,,,,,,,,,,,,,46.0,5.0,6.0,1.0,22.0,83.0,13.0,1.0,13.0,1.0,5.0,5.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_9_15_SSK@HAM,2017-09-15,2017,1,CFL,SSK,HAM,,,,,,,,,,,,,5.0,1.0,2.0,,1.0,5.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_24_CGY@SSK,2017-09-24,2017,1,CFL,CGY,SSK,,,,,,,,,,,,,4.0,1.0,2.0,,,4.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_29_SSK@OTT,2017-09-29,2017,1,CFL,SSK,OTT,,,,,,,,,,,,,43.0,5.0,7.0,,15.0,89.0,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,,,,,,,,,,,,,,10.0,14.0,1.0,47.0,101.0,16.0,4.0,29.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,,,,,,,,,,,,,,2.0,4.0,1.0,67.0,96.0,2.0,3.0,3.0,1.0,15.0,15.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_10_12_HAM@TOR,2018-10-12,2018,1,CFL,HAM,TOR,,,,,,,,,,,,,10.0,2.0,3.0,,12.0,18.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,,,,,,,,,,,,,20.0,2.0,5.0,,15.0,20.0,11.0,2.0,15.0,,,,,,,,,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,,,,,,,,,,12.0,2.0,4.0,,4.0,23.0,4.0,2.0,4.0,,,,,,,,,
FOOTBALL_CFL_2018_10_6_TOR@BC,2018-10-06,2018,1,CFL,TOR,BC,,,,,,,,,,,,,21.0,2.0,5.0,1.0,13.0,41.0,52.0,1.0,52.0,1.0,-6.0,-6.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_11_2_TOR@OTT,2018-11-02,2018,1,CFL,TOR,OTT,,,1.0,,1.0,,,,,,,,,,,,,,20.0,2.0,30.0,,,,,,,,,
FOOTBALL_CFL_2018_6_15_TOR@SSK,2018-06-15,2018,1,CFL,TOR,SSK,,,,,,,,,,,,,16.0,3.0,7.0,,5.0,36.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_6_21_SSK@OTT,2018-06-21,2018,1,CFL,SSK,OTT,1.0,,3.0,1.0,3.0,28.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,1.0
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,,,3.0,,3.0,,,,,,,,9.0,1.0,2.0,,2.0,9.0,,1.0,,,,,,,,,,
FOOTBALL_CFL_2018_7_19_SSK@HAM,2018-07-19,2018,1,CFL,SSK,HAM,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_28_CGY@SSK,2018-07-28,2018,1,CFL,CGY,SSK,,,3.0,,3.0,,,,,,,,7.0,1.0,2.0,,,7.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_7_5_HAM@SSK,2018-07-05,2018,1,CFL,HAM,SSK,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_8_2_SSK@EDM,2018-08-02,2018,1,CFL,SSK,EDM,,,,,,,,,,,,,,3.0,4.0,1.0,14.0,59.0,2.0,2.0,2.0,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2018_9_22_SSK@TOR,2018-09-22,2018,1,CFL,SSK,TOR,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_28_TOR@CGY,2018-09-28,2018,1,CFL,TOR,CGY,,,,,,,,,,,,,10.0,2.0,4.0,,1.0,17.0,,,,,,,,,,,,
FOOTBALL_CFL_2018_9_8_HAM@TOR,2018-09-08,2018,1,CFL,HAM,TOR,,,,,,,,,,,,,,,2.0,,,,18.0,1.0,18.0,,,,,,,,,
FOOTBALL_CFL_2019_10_12_BC@EDM,2019-10-12,2019,1,CFL,BC,EDM,,,,,,,,,,,,,6.0,2.0,4.0,,6.0,12.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,,,,,,,,,,,,,8.0,1.0,3.0,,2.0,8.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_10_5_TOR@BC,2019-10-05,2019,1,CFL,TOR,BC,,,,,,,,,,,,,,7.0,7.0,1.0,8.0,90.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_11_2_CGY@BC,2019-11-02,2019,1,CFL,CGY,BC,,,1.0,,1.0,,,,,,,,16.0,4.0,9.0,,12.0,48.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_6_15_WPG@BC,2019-06-15,2019,1,CFL,WPG,BC,,,,,,,,,,,,,32.0,6.0,10.0,,15.0,65.0,1.0,1.0,1.0,,,,1.0,,,,2.0,
FOOTBALL_CFL_2019_6_21_BC@EDM,2019-06-21,2019,1,CFL,BC,EDM,,,1.0,,1.0,,,,,,,,10.0,6.0,10.0,,6.0,42.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_6_29_BC@CGY,2019-06-29,2019,1,CFL,BC,CGY,,,,,,,,,,,,,18.0,7.0,9.0,,13.0,44.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_11_EDM@BC,2019-07-11,2019,1,CFL,EDM,BC,,,1.0,,1.0,,,,,,,,13.0,3.0,7.0,,14.0,27.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,,,,,,,,,,,,,24.0,7.0,8.0,,21.0,65.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_27_SSK@BC,2019-07-27,2019,1,CFL,SSK,BC,,,,,,,,,,,,,2.0,1.0,3.0,,2.0,2.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_7_6_BC@TOR,2019-07-06,2019,1,CFL,BC,TOR,,,,,,,,,,,,,23.0,2.0,4.0,,23.0,27.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_10_BC@HAM,2019-08-10,2019,1,CFL,BC,HAM,,,,,,,,,,,,,9.0,2.0,3.0,,12.0,17.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_15_BC@WPG,2019-08-15,2019,1,CFL,BC,WPG,,,,,,,,1.0,1.0,56.0,,56.0,20.0,3.0,6.0,,2.0,39.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_24_HAM@BC,2019-08-24,2019,1,CFL,HAM,BC,,,,,,,,,,,,,1.0,1.0,4.0,,1.0,1.0,16.0,1.0,16.0,,,,,,,,,
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,,,1.0,,1.0,,,,,,,,,2.0,4.0,1.0,,28.0,,,,,,,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,,,,,,,,1.0,1.0,,1.0,67.0,,1.0,1.0,1.0,,14.0,,,,1.0,2.0,2.0,,,,1.0,6.0,1.0
FOOTBALL_CFL_2019_9_28_MTL@BC,2019-09-28,2019,1,CFL,MTL,BC,,,,,,,,,,,,,15.0,7.0,7.0,,5.0,53.0,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_6_BC@MTL,2019-09-06,2019,1,CFL,BC,MTL,,,,,,,,,,,,,10.0,5.0,9.0,,11.0,32.0,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_1_MTL@EDM,2022-10-01,2022,1,CFL,MTL,EDM,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_10_8_EDM@WPG,2022-10-08,2022,1,CFL,EDM,WPG,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_7_22_WPG@EDM,2022-07-22,2022,1,CFL,WPG,EDM,1.0,17.0,1.0,,1.0,17.0,,,,,,,,,,,,,24.0,4.0,67.0,,,,,,,,,
FOOTBALL_CFL_2022_8_19_EDM@OTT,2022-08-19,2022,1,CFL,EDM,OTT,,,4.0,,4.0,,,,,,,,,,,,,,9.0,1.0,9.0,,,,,,,,,
FOOTBALL_CFL_2022_8_27_OTT@EDM,2022-08-27,2022,1,CFL,OTT,EDM,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_8_6_EDM@BC,2022-08-06,2022,1,CFL,EDM,BC,,,1.0,,1.0,,,,,,,,,,,,,,3.0,2.0,3.0,,,,,,,,,
FOOTBALL_CFL_2022_9_10_CGY@EDM,2022-09-10,2022,1,CFL,CGY,EDM,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_16_EDM@SSK,2022-09-16,2022,1,CFL,EDM,SSK,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
FOOTBALL_CFL_2022_9_5_EDM@CGY,2022-09-05,2022,1,CFL,EDM,CGY,,,2.0,,2.0,,,,,,,,,,,,,,5.0,1.0,5.0,,,,,,,,,
