game_id,date,season,week,league,away,home,def_solo,def_tot,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_td,ret_yds,rush_att,rush_lg,rush_td,rush_yds,score_p,score_pr,score_pts,score_r,score_tot
FOOTBALL_CFL_2017_6_22_SSK@MTL,2017-06-22,2017,1,CFL,SSK,MTL,,,,,1.0,,,,21.0,4.0,,75.0,,,,,,,,,
FOOTBALL_CFL_2017_6_30_MTL@EDM,2017-06-30,2017,1,CFL,MTL,EDM,,,,,,,,,33.0,4.0,,92.0,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2017_7_14_CGY@MTL,2017-07-14,2017,1,CFL,CGY,MTL,,,,,,,,,36.0,4.0,,92.0,,,,,,,,,
FOOTBALL_CFL_2017_7_19_MTL@OTT,2017-07-19,2017,1,CFL,MTL,OTT,,,,,,,,,29.0,4.0,,91.0,,,,,,,,,
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,,,21.0,1.0,1.0,,21.0,21.0,29.0,4.0,,104.0,2.0,,1.0,48.0,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_7_6_BC@MTL,2017-07-06,2017,1,CFL,BC,MTL,,,,,,,,,20.0,1.0,,20.0,,,,,,,,,
FOOTBALL_CFL_2017_8_11_TOR@MTL,2017-08-11,2017,1,CFL,TOR,MTL,,,14.0,1.0,1.0,,3.0,14.0,27.0,1.0,,27.0,,,,,,,,,
FOOTBALL_CFL_2017_8_19_MTL@TOR,2017-08-19,2017,1,CFL,MTL,TOR,,,,,,,,,28.0,6.0,,75.0,,,,,,,,,
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,,,,,1.0,,,,82.0,3.0,,110.0,3.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2017_8_31_OTT@MTL,2017-08-31,2017,1,CFL,OTT,MTL,,,22.0,2.0,2.0,,29.0,33.0,29.0,5.0,,98.0,1.0,2.0,,2.0,,,,,
FOOTBALL_CFL_2017_9_17_OTT@MTL,2017-09-17,2017,1,CFL,OTT,MTL,,,,,,,,,24.0,3.0,,61.0,,,,,,,,,
FOOTBALL_CFL_2017_9_23_MTL@TOR,2017-09-23,2017,1,CFL,MTL,TOR,1.0,1.0,18.0,2.0,2.0,,26.0,31.0,24.0,4.0,,91.0,2.0,3.0,,3.0,,,,,
FOOTBALL_CFL_2017_9_29_MTL@CGY,2017-09-29,2017,1,CFL,MTL,CGY,,,,,,,,,29.0,8.0,,159.0,,,,,,,,,
FOOTBALL_CFL_2017_9_8_MTL@BC,2017-09-08,2017,1,CFL,MTL,BC,,,,,,,,,53.0,5.0,,121.0,,,,,,,,,
FOOTBALL_CFL_2018_10_20_MTL@TOR,2018-10-20,2018,1,CFL,MTL,TOR,,,,,,,,,23.0,3.0,,61.0,,,,,,,,,
FOOTBALL_CFL_2018_10_28_TOR@MTL,2018-10-28,2018,1,CFL,TOR,MTL,,,,,,,,,26.0,2.0,,46.0,,,,,,,,,
FOOTBALL_CFL_2018_10_8_CGY@MTL,2018-10-08,2018,1,CFL,CGY,MTL,,,,,,,,,18.0,1.0,,18.0,,,,,,,,,
FOOTBALL_CFL_2018_11_3_MTL@HAM,2018-11-03,2018,1,CFL,MTL,HAM,,,,,,,,,23.0,4.0,,63.0,,,,,,,,,
FOOTBALL_CFL_2018_6_16_MTL@BC,2018-06-16,2018,1,CFL,MTL,BC,,,3.0,3.0,3.0,,-3.0,-1.0,16.0,1.0,,16.0,,,,,,,,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,,,,1.0,,,,45.0,6.0,,175.0,1.0,12.0,,12.0,,,,,
FOOTBALL_CFL_2018_6_30_MTL@SSK,2018-06-30,2018,1,CFL,MTL,SSK,,,5.0,2.0,2.0,,3.0,3.0,15.0,1.0,,15.0,,,,,,,,,
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,,,,,,,,,22.0,3.0,,38.0,,,,,,,,,
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,1.0,1.0,,,,,,,23.0,1.0,,23.0,,,,,,,,,
FOOTBALL_CFL_2018_9_14_BC@MTL,2018-09-14,2018,1,CFL,BC,MTL,,,,,,,,,33.0,3.0,,84.0,,,,,,,,,
FOOTBALL_CFL_2018_9_21_MTL@WPG,2018-09-21,2018,1,CFL,MTL,WPG,,,,,,,,,41.0,4.0,,82.0,,,,,,,,,
FOOTBALL_CFL_2018_9_30_SSK@MTL,2018-09-30,2018,1,CFL,SSK,MTL,,,,,,,,,21.0,5.0,1.0,89.0,,,,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_10_19_OTT@HAM,2019-10-19,2019,1,CFL,OTT,HAM,,,,,,,,,9.0,1.0,,9.0,,,,,,,,,
FOOTBALL_CFL_2019_10_26_OTT@TOR,2019-10-26,2019,1,CFL,OTT,TOR,,,,,,,,,25.0,5.0,,92.0,,,,,,,,,
FOOTBALL_CFL_2019_11_1_MTL@OTT,2019-11-01,2019,1,CFL,MTL,OTT,,,,,,,,,41.0,4.0,,113.0,,,,,,,,,
FOOTBALL_CFL_2019_6_14_MTL@EDM,2019-06-14,2019,1,CFL,MTL,EDM,,,,,,,,,27.0,5.0,,99.0,,,,,,,,,
FOOTBALL_CFL_2019_6_28_MTL@HAM,2019-06-28,2019,1,CFL,MTL,HAM,,,,,,,,,28.0,3.0,,56.0,,,,,,,,,
FOOTBALL_CFL_2019_7_13_MTL@OTT,2019-07-13,2019,1,CFL,MTL,OTT,,,,,,,,,20.0,3.0,,52.0,,,,,,,,,
FOOTBALL_CFL_2019_7_4_HAM@MTL,2019-07-04,2019,1,CFL,HAM,MTL,,,,,1.0,,,,15.0,1.0,,15.0,2.0,6.0,,2.0,,,,,
FOOTBALL_CFL_2019_8_17_HAM@OTT,2019-08-17,2019,1,CFL,HAM,OTT,,,,,,,,,37.0,2.0,,45.0,,,,,,,,,
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,,,,,,,,,27.0,4.0,,100.0,,,,,,,,,
FOOTBALL_CFL_2019_9_13_OTT@BC,2019-09-13,2019,1,CFL,OTT,BC,,,,,,,,,22.0,4.0,,67.0,,,,,,,,,
FOOTBALL_CFL_2019_9_21_BC@OTT,2019-09-21,2019,1,CFL,BC,OTT,,,,,,,,,32.0,7.0,,139.0,1.0,1.0,,1.0,,,,,
FOOTBALL_CFL_2019_9_7_TOR@OTT,2019-09-07,2019,1,CFL,TOR,OTT,,,,,,,,,38.0,7.0,,154.0,,,,,,,,,
