game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2017_9_24_CGY@SSK,2017-09-24,2017,1,CFL,CGY,SSK,1.0,1.0,,,,,9.0,3.0,7.0,,9.0,22.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_29_MTL@CGY,2017-09-29,2017,1,CFL,MTL,CGY,,,,,,,43.0,7.0,8.0,,36.0,114.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_4_EDM@CGY,2017-09-04,2017,1,CFL,EDM,CGY,1.0,1.0,,,,,23.0,4.0,6.0,,15.0,48.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2017_9_9_CGY@EDM,2017-09-09,2017,1,CFL,CGY,EDM,1.0,1.0,,,,,48.0,2.0,7.0,,19.0,72.0,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W5_CGY,2023-07-07,2023,5,CFL,CGY,WPG,,,,0.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W6_CGY,2023-07-15,2023,6,CFL,CGY,SSK,,,,0.0,33.0,4.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W7_CGY,2023-07-23,2023,7,CFL,OTT,CGY,,,,2.0,134.0,4.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W8_CGY,2023-07-30,2023,8,CFL,CGY,MTL,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W9_CGY,2023-08-04,2023,9,CFL,TOR,CGY,,,,0.0,12.0,2.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W10_CGY,2023-08-12,2023,10,CFL,CGY,BC,,,0.0,0.0,36.0,4.0,,,,,,,,,,,,,,,,0.0,,,,,1.0
SYNTHETIC_CFL_2023_W11_CGY,2023-08-18,2023,11,CFL,WPG,CGY,,,,0.0,63.0,3.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W12_CGY,2023-08-25,2023,12,CFL,CGY,TOR,,,,1.0,82.0,4.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W13_CGY,2023-09-04,2023,13,CFL,EDM,CGY,,,,0.0,95.0,4.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W14_CGY,2023-09-09,2023,14,CFL,CGY,EDM,,,,0.0,62.0,5.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W16_CGY,2023-09-23,2023,16,CFL,MTL,CGY,,,,0.0,56.0,4.0,,,,,,,,,,,,,,0.0,-1.0,,,,,,
SYNTHETIC_CFL_2023_W17_CGY,2023-09-30,2023,17,CFL,CGY,HAM,,,0.0,0.0,82.0,7.0,,,,,,,,,,,,,,,,0.0,,,,,1.0
SYNTHETIC_CFL_2023_W19_CGY,2023-10-13,2023,19,CFL,SSK,CGY,,,,0.0,23.0,4.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W20_CGY,2023-10-20,2023,20,CFL,CGY,BC,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2023_W21_CGY,2023-10-27,2023,21,CFL,WPG,CGY,,,,0.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W1_CGY,2024-06-07,2024,1,CFL,HAM,CGY,,,,0.0,47.0,2.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W2_CGY,2024-05-25,2024,2,CFL,BC,CGY,,,,1.0,45.0,4.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W4_CGY,2024-06-29,2024,4,CFL,WPG,CGY,,,,1.0,75.0,9.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W5_CGY,2024-07-06,2024,5,CFL,CGY,MTL,,,,0.0,59.0,7.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W6_CGY,2024-07-12,2024,6,CFL,CGY,WPG,,,,1.0,27.0,4.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W7_CGY,2024-07-21,2024,7,CFL,BC,CGY,,,,0.0,46.0,4.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W8_CGY,2024-07-26,2024,8,CFL,CGY,OTT,,,,0.0,19.0,2.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W9_CGY,2024-08-04,2024,9,CFL,TOR,CGY,,,,1.0,59.0,4.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W10_CGY,2024-08-09,2024,10,CFL,CGY,TOR,,,,0.0,57.0,4.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W11_CGY,2024-08-15,2024,11,CFL,OTT,CGY,,,,0.0,21.0,2.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W13_CGY,2024-09-02,2024,13,CFL,EDM,CGY,,,,0.0,17.0,3.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W14_CGY,2024-09-07,2024,14,CFL,CGY,EDM,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W15_CGY,2024-09-14,2024,15,CFL,MTL,CGY,,,,1.0,73.0,6.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W16_CGY,2024-09-20,2024,16,CFL,SSK,CGY,,,,0.0,48.0,6.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W18_CGY,2024-10-04,2024,18,CFL,CGY,BC,,,,0.0,28.0,3.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W19_CGY,2024-10-12,2024,19,CFL,EDM,CGY,,,,0.0,42.0,3.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W20_CGY,2024-10-18,2024,20,CFL,CGY,HAM,,,,0.0,46.0,3.0,,,,,,,,,,,,,,,,,,,,,
SYNTHETIC_CFL_2024_W21_CGY,2024-10-26,2024,21,CFL,CGY,SSK,,,,1.0,65.0,2.0,,,,,,,,,,,,,,,,,,,,,
