game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,pass_defended,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sack_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards
FOOTBALL_IFL_2026_4_11_TNAZWRANGLERSG2026041170L8@TNEWMEXICOCHUPACABRAS,2026-04-11,2026,5,IFL,NAZ Wranglers,New Mexico Chupacabras,1.0,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,3.0,4.0,1.0,3.0
FOOTBALL_IFL_2026_4_19_TARIZONARATTLERSG20260419RLTY@TNAZWRANGLERS,2026-04-19,2026,6,IFL,Arizona Rattlers,NAZ Wranglers,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
FOOTBALL_NAL_2026_4_18_T581933G1127158@T573852,2026-04-19,2026,7,NAL,Dallas Bulls,Louisiana Rouxgaroux,,,,,,,,,12.0,20.0,0.0,2.0,35.0,3.0,,,,,,,,,,,,,,
FOOTBALL_IFL_2026_5_9_TSANANTONIOGUNSLINGERSG20260509KPE3@TNAZWRANGLERS,2026-05-09,2026,9,IFL,San Antonio Gunslingers,NAZ Wranglers,0.0,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,
FOOTBALL_NAL_2026_5_2_T600411G1127164@T573852,2026-05-03,2026,9,NAL,Salina Liberty,Louisiana Rouxgaroux,,,,,,,,,22.0,35.0,0.0,1.0,43.0,2.0,,1.0,1.0,1.0,0.0,0.0,1.0,,,,,,,
FOOTBALL_NAL_2026_5_9_T573852G1127170@T566774,2026-05-09,2026,10,NAL,Louisiana Rouxgaroux,Omaha Beef,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,
FOOTBALL_IFL_2026_5_23_TNAZWRANGLERSG20260523TYBS@TSANDIEGOSTRIKEFORCE,2026-05-23,2026,11,IFL,NAZ Wranglers,San Diego Strike Force,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,1.0,0.0
FOOTBALL_IFL_2026_5_30_TNAZWRANGLERSG20260530ZDI0@TARIZONARATTLERS,2026-05-30,2026,12,IFL,NAZ Wranglers,Arizona Rattlers,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,4.0,6.0,1.0,0.0
FOOTBALL_IFL_2026_6_7_TVEGASKNIGHTHAWKSG202606072NRX@TNAZWRANGLERS,2026-06-07,2026,13,IFL,Vegas Knight Hawks,NAZ Wranglers,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.0
FOOTBALL_IFL_2026_6_14_TSANDIEGOSTRIKEFORCEG20260614SGPF@TNAZWRANGLERS,2026-06-14,2026,14,IFL,San Diego Strike Force,NAZ Wranglers,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
FOOTBALL_IFL_2026_6_21_TNAZWRANGLERSG20260621XMS9@TNEWMEXICOCHUPACABRAS,2026-06-21,2026,15,IFL,NAZ Wranglers,New Mexico Chupacabras,0.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,3.0,3.0,2.0,0.0
FOOTBALL_IFL_2026_6_28_TTUCSONSUGARSKULLSG20260628EKGP@TNAZWRANGLERS,2026-06-28,2026,16,IFL,Tucson Sugar Skulls,NAZ Wranglers,2.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,4.0,,
FOOTBALL_IFL_2026_7_12_TNEWMEXICOCHUPACABRASG20260712U4S4@TNAZWRANGLERS,2026-07-12,2026,18,IFL,New Mexico Chupacabras,NAZ Wranglers,5.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,11.0,3.0,0.0
FOOTBALL_IFL_2026_7_19_TNAZWRANGLERSG20260719SJ7Z@TTUCSONSUGARSKULLS,2026-07-19,2026,19,IFL,NAZ Wranglers,Tucson Sugar Skulls,2.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,0.5,0.0
FOOTBALL_IFL_2026_7_25_TNAZWRANGLERSG20260725S86X@TVEGASKNIGHTHAWKS,2026-07-25,2026,20,IFL,NAZ Wranglers,Vegas Knight Hawks,3.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,3.0,,
