game_id,date,season,week,league,away,home,interceptions_made,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,sacks,score_p,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2022_9_10_SSK@WPG,2022-09-10,2022,1,CFL,SSK,WPG,,,,,,,1.0,,,,,,,6.0,7.0,,22.0,,,,,,,,
FOOTBALL_CFL_2022_9_4_WPG@SSK,2022-09-04,2022,1,CFL,WPG,SSK,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,
SYNTHETIC_CFL_2022_W1_WPG,,2022,1,CFL,,,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
SYNTHETIC_CFL_2022_W3_WPG,,2022,3,CFL,,,,,,,,,,,,,,,,,,,,0.0,3.0,,,,,,
SYNTHETIC_CFL_2022_W4_WPG,,2022,4,CFL,,,,0.0,19.0,2.0,,,,,,,,,,,,,,0.0,-1.0,,,,,,
SYNTHETIC_CFL_2022_W5_WPG,,2022,5,CFL,,,,,,,,,,,,,,,,,,,,0.0,57.0,,,,,,
6231,2022-07-15,2022,6,CFL,CGY,WPG,,0.0,12.0,1.0,,,,,,,,,,,,,,0.0,33.0,,,,,,
6236,2022-07-22,2022,7,CFL,WPG,EDM,,,,,,,,,,,,,,,,,,0.0,15.0,,,,,,
6254,2022-08-25,2022,12,CFL,CGY,WPG,,,,,,,,,,,,,,,,,,0.0,38.0,,,,,,
6259,2022-09-04,2022,13,CFL,WPG,SSK,,,,,,,,,,,,,,,,,,0.0,1.0,,,,,,
6264,2022-09-10,2022,14,CFL,SSK,WPG,,,,,,,,,,,,,,,,,,0.0,22.0,,,,,,
6278,2022-10-08,2022,18,CFL,EDM,WPG,,,,,,,,,,,,,,,,,,0.0,10.0,,,,,,
6283,2022-10-15,2022,19,CFL,WPG,BC,,0.0,1.0,1.0,,,,,,,,,,,,,,0.0,17.0,,,,,,
6288,2022-10-28,2022,21,CFL,BC,WPG,,,,,,,,,,,,,,,,,,0.0,42.0,,,,,,
9889284,2023-06-09,2023,1,CFL,HAM,WPG,,,,,,,,,,,,,,,,,,,,,,,,,2.0
9889288,2023-06-16,2023,2,CFL,WPG,SSK,,,,,,,,,,,,,,,,,,0.0,31.0,,,,,,1.0
9889291,2023-06-22,2023,3,CFL,BC,WPG,,,,,,,,,,,,,,,,,,0.0,13.0,,,,,,
9889314,2023-08-03,2023,9,CFL,BC,WPG,,,,,,,,,,,,,,,,,,0.0,5.0,,,,,,
9889318,2023-08-10,2023,10,CFL,WPG,EDM,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
9889323,2023-08-18,2023,11,CFL,WPG,CGY,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
9889326,2023-08-24,2023,12,CFL,MTL,WPG,0.0,,,,,,,,,,,,,,,,,0.0,38.0,0.0,,,,,0.0
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,52.0,,,,,,
9889340,2023-09-16,2023,15,CFL,WPG,HAM,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
9889346,2023-09-29,2023,17,CFL,TOR,WPG,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
9889351,2023-10-06,2023,18,CFL,WPG,BC,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0
9889360,2023-10-21,2023,20,CFL,EDM,WPG,,,,,,,,,,,,,,,,,,0.0,41.0,,,,,,
9889361,2023-10-27,2023,21,CFL,WPG,CGY,,0.0,6.0,1.0,,,,,,,,,,,,,,0.0,87.0,,,,,,
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,0.0,12.0,1.0,,,,,,,,,,,,,,1.0,15.0,,,,,,
10798020,2024-06-13,2024,2,CFL,WPG,OTT,,0.0,27.0,2.0,,,,,,,,,,,,,,1.0,31.0,,,,,,
10798025,2024-06-21,2024,3,CFL,BC,WPG,,,,,,,,,,,,,,,,,,0.0,15.0,,,,,,
10798030,2024-06-29,2024,4,CFL,WPG,CGY,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,4.0,,,,,,
10798033,2024-07-05,2024,5,CFL,OTT,WPG,,,,,,,,,,,,,,,,,,0.0,4.0,,,,,,
10798059,2024-08-18,2024,11,CFL,WPG,BC,,,,,,,,,,,,,,,,,,0.0,22.0,,,,,,
10798061,2024-08-23,2024,12,CFL,HAM,WPG,,,,,,,,,,,,,,,,,,0.0,17.0,,,,,,
10798079,2024-09-27,2024,17,CFL,EDM,WPG,,,,,,,,,,,,,,,,,,0.0,4.0,,,,,,
10798083,2024-10-04,2024,18,CFL,WPG,HAM,,,,,,,,,,,,,,,,,,0.0,23.0,,,,,,
10798086,2024-10-11,2024,19,CFL,TOR,WPG,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,
11824058,2025-06-27,2025,4,CFL,MTL,HAM,,0.0,63.0,3.0,,,,,,,,,,,,,,0.0,49.0,,,,,,
11824062,2025-07-04,2025,5,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,0.0,38.0,,,,,,
11824066,2025-07-12,2025,6,CFL,OTT,HAM,,0.0,9.0,2.0,,,,,,,,,,,,,,0.0,29.0,,,,,,
11824071,2025-07-20,2025,7,CFL,HAM,OTT,,0.0,8.0,1.0,,,,,,,,,,,,,,0.0,85.0,,,,,,
11824075,2025-07-27,2025,8,CFL,HAM,BC,,0.0,18.0,2.0,,,,,,,,,,,,,,0.0,14.0,,,,,,
11824078,2025-08-02,2025,9,CFL,HAM,EDM,,0.0,13.0,1.0,,,,,,,,,,,,,,0.0,1.0,,,,,,
11824093,2025-09-01,2025,13,CFL,TOR,HAM,,0.0,10.0,1.0,,,,,,,,,,,,,,,,,,,,,
11824096,2025-09-06,2025,14,CFL,HAM,MTL,,0.0,9.0,1.0,,,,,,,,,,,,,,0.0,12.0,,,,,,
11824099,2025-09-12,2025,15,CFL,WPG,HAM,,,,,,,,,,,,,,,,,,0.0,4.0,,,,,,
11824109,2025-09-27,2025,17,CFL,HAM,WPG,,0.0,14.0,2.0,,,,,,,,,,,,,,0.0,11.0,,,,,,
11824122,2025-10-24,2025,21,CFL,OTT,HAM,,,,,,,,,,,,,,,,,,0.0,-1.0,,,,,,
