game_id,date,season,week,league,away,home,assisted_tackles,def_interceptions,defensive_bk,defensive_pd,defensive_tds,fg_attempts,field_goal_long,field_goals_made,forced_fumbles,fumble_recoveries,kick_returns,kicking_points,kickoff_avg,kickoff_out_of_bounds,kickoff_touchbacks,kickoff_yards,kickoffs,kr_avg,kr_long,kr_tds,kr_yards,rec_avg,rec_long,receiving_fum,receiving_tds,receiving_yards,receptions,recv_td,rush_avg,rush_long,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,tackles,xp_attempts,xp_made
FOOTBALL_NAL_2026_4_11_T566773G1127154@T570667,2026-04-12,2026,6,NAL,Amarillo Warbirds,Colorado Spartans,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,8.0,0.0,0.0,0.0,16.0,2.0,,2.0,0.0,10.0,0.0,0.0,22.0,0.0,0.0,0.0,,
FOOTBALL_IFL_2026_4_26_TTUCSONSUGARSKULLSG202604264V0I@TSANDIEGOSTRIKEFORCE,2026-04-26,2026,7,IFL,Tucson Sugar Skulls,San Diego Strike Force,,,,,,1.0,23.0,1.0,,,,9.0,50.0,0.0,3.0,400.0,8.0,,,,,,,,,,,,,,,,,,,,,6.0,6.0
FOOTBALL_NAL_2026_4_18_T600414G1127159@T566773,2026-04-18,2026,7,NAL,Southwest Kansas Storm,Amarillo Warbirds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,7.0,9.0,0.0,0.0,11.0,,,,,
FOOTBALL_IFL_2026_5_2_TSANDIEGOSTRIKEFORCEG20260502S5MS@TTULSAOILERS,2026-05-02,2026,8,IFL,San Diego Strike Force,Tulsa Oilers,,,,,,,,,,,,6.0,33.2,0.0,0.0,199.0,6.0,,,,,,,,,,,,,,,,,,,,,6.0,6.0
FOOTBALL_NAL_2026_5_2_T600414G1127163@T566773,2026-05-02,2026,9,NAL,Southwest Kansas Storm,Amarillo Warbirds,,,,,,,,,,,,,,,,,,,,,,11.0,18.0,0.0,0.0,44.0,4.0,,1.0,3.0,8.0,0.0,0.0,8.0,,,,,
FOOTBALL_IFL_2026_5_16_TSANDIEGOSTRIKEFORCEG20260516XE81@TSANANTONIOGUNSLINGERS,2026-05-16,2026,10,IFL,San Diego Strike Force,San Antonio Gunslingers,,,,,,,,,,,,5.0,45.0,0.0,0.0,360.0,8.0,,,,,,,,,,,,,,,,,,,,,6.0,5.0
FOOTBALL_NAL_2026_5_9_T566773G1127168@T570666,2026-05-10,2026,10,NAL,Amarillo Warbirds,Sioux City Bandits,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,0.0,8.0,1.0,,4.0,22.0,6.0,0.0,0.0,26.0,,,,,
FOOTBALL_IFL_2026_5_23_TNAZWRANGLERSG20260523TYBS@TSANDIEGOSTRIKEFORCE,2026-05-23,2026,11,IFL,NAZ Wranglers,San Diego Strike Force,,,,,,,,,,,,9.0,50.0,0.0,4.0,450.0,9.0,,,,,,,,,,,,,,,,,,,,,9.0,9.0
FOOTBALL_IFL_2026_5_31_TSANDIEGOSTRIKEFORCEG20260531B8VC@TNEWMEXICOCHUPACABRAS,2026-05-31,2026,12,IFL,San Diego Strike Force,New Mexico Chupacabras,,,,,,,,,,,,5.0,43.8,0.0,5.0,394.0,9.0,,,,,,,,,,,,,,,,,,,,,7.0,5.0
FOOTBALL_IFL_2026_6_14_TSANDIEGOSTRIKEFORCEG20260614SGPF@TNAZWRANGLERS,2026-06-14,2026,14,IFL,San Diego Strike Force,NAZ Wranglers,,,,,,2.0,0.0,0.0,,,,4.0,37.5,0.0,0.0,300.0,8.0,,,,,,,,,,,,,,,,,,,,,6.0,4.0
FOOTBALL_IFL_2026_6_19_TVEGASKNIGHTHAWKSG20260619D0ZS@TSANDIEGOSTRIKEFORCE,2026-06-19,2026,15,IFL,Vegas Knight Hawks,San Diego Strike Force,,,,,,3.0,41.0,2.0,,,,9.0,46.7,0.0,1.0,280.0,6.0,,,,,,,,,,,,,,,,,,,,,4.0,3.0
FOOTBALL_IFL_2026_6_28_TSANDIEGOSTRIKEFORCEG20260628FR6E@TJACKSONVILLESHARKS,2026-06-28,2026,16,IFL,San Diego Strike Force,Jacksonville Sharks,,,,,,,,,,,,8.0,37.5,0.0,0.0,300.0,8.0,,,,,,,,,,,,,,,,,,,,,9.0,8.0
FOOTBALL_IFL_2026_7_6_TARIZONARATTLERSG20260706J8KX@TSANDIEGOSTRIKEFORCE,2026-07-06,2026,17,IFL,Arizona Rattlers,San Diego Strike Force,,,,,,,,,,,,4.0,50.0,0.0,1.0,200.0,4.0,,,,,,,,,,,,,,,,,,,,,4.0,4.0
FOOTBALL_IFL_2026_7_12_TSANDIEGOSTRIKEFORCEG20260712LE28@TVEGASKNIGHTHAWKS,2026-07-12,2026,18,IFL,San Diego Strike Force,Vegas Knight Hawks,,,,,,1.0,15.0,1.0,,,,10.0,34.4,0.0,4.0,310.0,9.0,,,,,,,,,,,,,,,,,,,,,7.0,7.0
FOOTBALL_IFL_2026_7_18_TNEWMEXICOCHUPACABRASG20260718EEFK@TSANDIEGOSTRIKEFORCE,2026-07-18,2026,19,IFL,New Mexico Chupacabras,San Diego Strike Force,,,,,,1.0,31.0,1.0,,,,10.0,50.0,0.0,2.0,500.0,10.0,,,,,,,,,,,,,,,,,,,,,9.0,7.0
FOOTBALL_IFL_2026_7_24_TTUCSONSUGARSKULLSG20260724I0UY@TSANDIEGOSTRIKEFORCE,2026-07-24,2026,20,IFL,Tucson Sugar Skulls,San Diego Strike Force,,,,,,3.0,33.0,3.0,,,,12.0,50.0,0.0,0.0,350.0,7.0,,,,,,,,,,,,,,,,,,,,,3.0,3.0
