game_id,date,season,week,league,away,home,conversions,interceptions_lost,passing_tds,passing_yards,rushing_tds,rushing_yards
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,1.0,2.0,239.0,,42.0
9889352,2023-10-07,2023,18,CFL,HAM,SSK,,1.0,2.0,271.0,,38.0
9889354,2023-10-13,2023,19,CFL,BC,HAM,,,1.0,180.0,1.0,26.0
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,2.0,,106.0,,
10798017,2024-06-07,2024,1,CFL,HAM,CGY,,1.0,1.0,312.0,,36.0
10798143,2024-05-25,2024,2,CFL,OTT,HAM,,1.0,3.0,380.0,0.0,0.0
10798027,2024-06-23,2024,3,CFL,HAM,SSK,,3.0,2.0,295.0,0.0,18.0
10798031,2024-06-30,2024,4,CFL,HAM,OTT,,0.0,2.0,322.0,0.0,9.0
10798035,2024-07-07,2024,5,CFL,BC,HAM,,0.0,3.0,374.0,0.0,8.0
SYNTHETIC_CFL_2024_W6_HAM,,2024,6,CFL,,,,0.0,0.0,0.0,0.0,0.0
10798042,2024-07-20,2024,7,CFL,TOR,HAM,,1.0,1.0,270.0,0.0,0.0
10798047,2024-07-28,2024,8,CFL,HAM,EDM,,1.0,5.0,316.0,0.0,5.0
10798049,2024-08-02,2024,9,CFL,MTL,HAM,,2.0,1.0,279.0,0.0,0.0
10798054,2024-08-10,2024,10,CFL,HAM,MTL,,1.0,2.0,344.0,0.0,52.0
10798058,2024-08-17,2024,11,CFL,EDM,HAM,,2.0,2.0,409.0,0.0,17.0
10798061,2024-08-23,2024,12,CFL,HAM,WPG,,0.0,0.0,220.0,0.0,0.0
10798066,2024-09-02,2024,13,CFL,TOR,HAM,,0.0,2.0,347.0,0.0,25.0
SYNTHETIC_CFL_2024_W14_HAM,,2024,14,CFL,,,,0.0,0.0,0.0,0.0,0.0
10798073,2024-09-14,2024,15,CFL,OTT,HAM,,1.0,2.0,299.0,0.0,0.0
10798075,2024-09-20,2024,16,CFL,HAM,TOR,,0.0,1.0,362.0,0.0,19.0
10798080,2024-09-27,2024,17,CFL,HAM,BC,1.0,1.0,2.0,318.0,0.0,3.0
10798083,2024-10-04,2024,18,CFL,WPG,HAM,,2.0,0.0,249.0,0.0,3.0
SYNTHETIC_CFL_2024_W19_HAM,,2024,19,CFL,,,,0.0,0.0,0.0,0.0,0.0
10798090,2024-10-18,2024,20,CFL,CGY,HAM,,1.0,5.0,450.0,0.0,0.0
10798093,2024-10-25,2024,21,CFL,HAM,OTT,,1.0,1.0,425.0,0.0,0.0
11824047,2025-06-07,2025,1,CFL,HAM,CGY,,,1.0,304.0,,11.0
11824052,2025-06-14,2025,2,CFL,SSK,HAM,,1.0,1.0,336.0,0.0,0.0
SYNTHETIC_CFL_2025_W3_HAM,,2025,3,CFL,,,,0.0,0.0,0.0,0.0,0.0
11824058,2025-06-27,2025,4,CFL,MTL,HAM,,0.0,2.0,247.0,0.0,4.0
11824062,2025-07-04,2025,5,CFL,HAM,TOR,,0.0,5.0,332.0,0.0,0.0
11824066,2025-07-12,2025,6,CFL,OTT,HAM,,0.0,2.0,266.0,0.0,14.0
11824071,2025-07-20,2025,7,CFL,HAM,OTT,,1.0,1.0,327.0,0.0,0.0
11824075,2025-07-27,2025,8,CFL,HAM,BC,,1.0,3.0,389.0,0.0,23.0
11824078,2025-08-02,2025,9,CFL,HAM,EDM,,0.0,3.0,350.0,0.0,5.0
11824080,2025-08-07,2025,10,CFL,BC,HAM,,0.0,3.0,305.0,0.0,3.0
11824086,2025-08-16,2025,11,CFL,HAM,SSK,,2.0,0.0,206.0,0.0,26.0
SYNTHETIC_CFL_2025_W12_HAM,,2025,12,CFL,,,,0.0,0.0,0.0,0.0,0.0
11824093,2025-09-01,2025,13,CFL,TOR,HAM,,1.0,3.0,405.0,0.0,0.0
11824096,2025-09-06,2025,14,CFL,HAM,MTL,,1.0,0.0,191.0,1.0,14.0
11824099,2025-09-12,2025,15,CFL,WPG,HAM,,0.0,2.0,230.0,0.0,8.0
11824106,2025-09-20,2025,16,CFL,EDM,HAM,,1.0,2.0,311.0,0.0,0.0
11824109,2025-09-27,2025,17,CFL,HAM,WPG,,0.0,0.0,254.0,0.0,0.0
11824112,2025-10-04,2025,18,CFL,HAM,TOR,,1.0,4.0,320.0,0.0,13.0
11824115,2025-10-11,2025,19,CFL,CGY,HAM,,2.0,2.0,306.0,0.0,3.0
SYNTHETIC_CFL_2025_W20_HAM,,2025,20,CFL,,,,0.0,0.0,0.0,0.0,0.0
11824122,2025-10-24,2025,21,CFL,OTT,HAM,,0.0,2.0,264.0,0.0,0.0
