game_id,date,season,week,league,away,home,def_solo,def_tot,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_conv,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2018_6_21_SSK@OTT,2018-06-21,2018,1,CFL,SSK,OTT,,,,,,20.0,2.0,2.0,1.0,20.0,24.0,,,,19.0,17.0,1.0,94.0,,,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2018_6_28_OTT@CGY,2018-06-28,2018,1,CFL,OTT,CGY,,,,,,6.0,2.0,2.0,,5.0,8.0,,,,13.0,27.0,,123.0,,,,,,,
FOOTBALL_CFL_2018_7_12_CGY@OTT,2018-07-12,2018,1,CFL,CGY,OTT,,,,,,-4.0,1.0,4.0,,-4.0,-4.0,,,,8.0,5.0,,17.0,,,,,,,
FOOTBALL_CFL_2018_7_20_BC@OTT,2018-07-20,2018,1,CFL,BC,OTT,,,,,,25.0,7.0,8.0,,54.0,61.0,,,,14.0,8.0,1.0,50.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_28_OTT@HAM,2018-07-28,2018,1,CFL,OTT,HAM,,,,,,50.0,3.0,4.0,,34.0,61.0,,,,15.0,12.0,,47.0,,,,,,,
FOOTBALL_CFL_2018_7_6_OTT@MTL,2018-07-06,2018,1,CFL,OTT,MTL,,,,,,,,,,,,,,,23.0,26.0,,138.0,,,1.0,,2.0,,
FOOTBALL_CFL_2018_8_11_MTL@OTT,2018-08-11,2018,1,CFL,MTL,OTT,,,,,,20.0,2.0,2.0,,18.0,21.0,,,,17.0,17.0,1.0,104.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_8_17_OTT@WPG,2018-08-17,2018,1,CFL,OTT,WPG,,,,,,18.0,4.0,5.0,,44.0,46.0,,,,18.0,,1.0,106.0,,,2.0,,10.0,1.0,1.0
FOOTBALL_CFL_2018_8_2_OTT@TOR,2018-08-02,2018,1,CFL,OTT,TOR,,,,,,9.0,2.0,3.0,,9.0,9.0,,,,14.0,13.0,,35.0,,,,,,,
FOOTBALL_CFL_2018_8_31_MTL@OTT,2018-08-31,2018,1,CFL,MTL,OTT,,,,,,16.0,5.0,6.0,,28.0,31.0,,,,9.0,13.0,,50.0,,,,,,,
FOOTBALL_CFL_2018_9_15_OTT@SSK,2018-09-15,2018,1,CFL,OTT,SSK,,,,,,5.0,2.0,3.0,,7.0,7.0,,,,18.0,,2.0,148.0,,,1.0,,14.0,2.0,2.0
FOOTBALL_CFL_2018_9_22_EDM@OTT,2018-09-22,2018,1,CFL,EDM,OTT,,,,,,2.0,4.0,4.0,,4.0,5.0,,,,23.0,33.0,,147.0,,,,,,,
FOOTBALL_CFL_2018_9_7_OTT@BC,2018-09-07,2018,1,CFL,OTT,BC,1.0,1.0,,,,10.0,3.0,4.0,,8.0,24.0,,,,17.0,12.0,,82.0,,,,,,,
FOOTBALL_CFL_2019_10_11_SSK@CGY,2019-10-11,2019,1,CFL,SSK,CGY,,,,,,,1.0,3.0,1.0,,34.0,,,,8.0,12.0,1.0,50.0,,,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2019_10_18_SSK@BC,2019-10-18,2019,1,CFL,SSK,BC,,,,,,3.0,1.0,1.0,,3.0,3.0,,,,15.0,16.0,1.0,111.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_10_26_SSK@EDM,2019-10-26,2019,1,CFL,SSK,EDM,,,,,,19.0,2.0,2.0,,13.0,28.0,,,,9.0,18.0,,60.0,,,,,,,
FOOTBALL_CFL_2019_10_5_WPG@SSK,2019-10-05,2019,1,CFL,WPG,SSK,,,,,,,,3.0,,,,,,,11.0,10.0,,45.0,,,,,,,
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,,,,,,31.0,3.0,3.0,,13.0,52.0,,,,8.0,15.0,,48.0,,,,,,,
FOOTBALL_CFL_2019_11_2_EDM@SSK,2019-11-02,2019,1,CFL,EDM,SSK,,,,,,10.0,6.0,6.0,,18.0,32.0,,,,12.0,9.0,,36.0,,,,,,,
FOOTBALL_CFL_2019_6_13_SSK@HAM,2019-06-13,2019,1,CFL,SSK,HAM,1.0,1.0,,,,4.0,2.0,5.0,,4.0,6.0,,,,20.0,18.0,1.0,104.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_6_20_SSK@OTT,2019-06-20,2019,1,CFL,SSK,OTT,,,,,,8.0,4.0,4.0,,11.0,18.0,,,,11.0,,1.0,45.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_7_1_TOR@SSK,2019-07-01,2019,1,CFL,TOR,SSK,,,,,,18.0,4.0,4.0,,31.0,35.0,,,,15.0,16.0,,77.0,,,,,,,
FOOTBALL_CFL_2019_7_20_BC@SSK,2019-07-20,2019,1,CFL,BC,SSK,,,,,,8.0,1.0,3.0,,8.0,8.0,,,,11.0,9.0,1.0,47.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_7_27_SSK@BC,2019-07-27,2019,1,CFL,SSK,BC,,,,,,5.0,2.0,2.0,,5.0,5.0,,,,21.0,,3.0,146.0,,,1.0,,20.0,3.0,3.0
FOOTBALL_CFL_2019_7_6_CGY@SSK,2019-07-06,2019,1,CFL,CGY,SSK,,,,,,7.0,1.0,1.0,,3.0,7.0,,,,14.0,10.0,,50.0,,,,,,,
FOOTBALL_CFL_2019_8_1_HAM@SSK,2019-08-01,2019,1,CFL,HAM,SSK,,,,,,,,,,,,,,,15.0,10.0,1.0,51.0,,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,,,,,,9.0,1.0,1.0,,1.0,9.0,,,,11.0,,2.0,70.0,,,,,12.0,2.0,2.0
FOOTBALL_CFL_2019_8_9_SSK@MTL,2019-08-09,2019,1,CFL,SSK,MTL,,,,,,16.0,4.0,5.0,,19.0,36.0,,,,4.0,4.0,,7.0,,,,,,,
FOOTBALL_CFL_2019_9_14_MTL@SSK,2019-09-14,2019,1,CFL,MTL,SSK,,,,,,14.0,3.0,3.0,1.0,20.0,30.0,,,,15.0,19.0,1.0,94.0,,,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2019_9_1_WPG@SSK,2019-09-01,2019,1,CFL,WPG,SSK,,,,,,16.0,4.0,5.0,,24.0,41.0,,,,8.0,15.0,,59.0,,,,,,,
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,,,,,,4.0,1.0,1.0,,,4.0,,,,11.0,9.0,,40.0,,,,,,,
FOOTBALL_CFL_2019_9_7_SSK@WPG,2019-09-07,2019,1,CFL,SSK,WPG,,,,,,,,,,,,,,,4.0,6.0,,1.0,,,,,,,
SYNTHETIC_CFL_2022_W4_OTT,,2022,4,CFL,,,,,0.0,7.0,1.0,,,,,,,,,,,,,,1.0,55.0,,,,,
SYNTHETIC_CFL_2022_W5_OTT,,2022,5,CFL,,,,,0.0,8.0,1.0,,,,,,,,,,,,,,0.0,58.0,,,,,
6233,2022-07-16,2022,6,CFL,OTT,HAM,,,0.0,7.0,2.0,,,,,,,,,,,,,,0.0,28.0,,,,,
6234,2022-07-21,2022,7,CFL,MTL,OTT,,,0.0,0.0,1.0,,,,,,,,,,,,,,0.0,79.0,,,,,
6241,2022-07-31,2022,8,CFL,OTT,TOR,,,0.0,5.0,1.0,,,,,,,,,,,,,,0.0,50.0,,,,,
6243,2022-08-05,2022,9,CFL,CGY,OTT,,,0.0,15.0,2.0,,,,,,,,,,,,,,0.0,26.0,,,,,
