game_id,date,season,week,league,away,home,def_solo,def_tot,interceptions_lost,pass_att,pass_cmp,pass_lg,pass_yds,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_r,score_tot
FOOTBALL_CFL_2017_7_13_TOR@WPG,2017-07-13,2017,1,CFL,TOR,WPG,,,,,,,,,,,,,7.0,2.0,6.0,,7.0,13.0,,,,17.0,12.0,2.0,81.0,,,,12.0,2.0,2.0
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,,,,,,,,,,,,,11.0,6.0,7.0,,28.0,38.0,,,,13.0,9.0,,57.0,,,,,,
FOOTBALL_CFL_2017_7_21_WPG@BC,2017-07-21,2017,1,CFL,WPG,BC,2.0,2.0,,,,,,,,,,,18.0,12.0,12.0,,64.0,85.0,,,,6.0,14.0,,29.0,,,,,,
FOOTBALL_CFL_2017_7_27_MTL@WPG,2017-07-27,2017,1,CFL,MTL,WPG,,,,,,,,,,,,,15.0,9.0,9.0,,87.0,93.0,,,,12.0,11.0,2.0,41.0,,,,12.0,2.0,2.0
FOOTBALL_CFL_2017_7_7_CGY@WPG,2017-07-07,2017,1,CFL,CGY,WPG,,,,,,,,,,,,,16.0,8.0,8.0,,63.0,69.0,,,,10.0,10.0,,32.0,,,,,,
FOOTBALL_CFL_2017_8_12_WPG@HAM,2017-08-12,2017,1,CFL,WPG,HAM,,,,,,,,,,,,,16.0,2.0,3.0,,15.0,21.0,,,,14.0,14.0,,107.0,,,,,,
FOOTBALL_CFL_2017_8_17_EDM@WPG,2017-08-17,2017,1,CFL,EDM,WPG,1.0,1.0,,,,,,,,,,,35.0,8.0,9.0,,84.0,120.0,,,,11.0,26.0,,105.0,,,,,,
FOOTBALL_CFL_2017_8_24_WPG@MTL,2017-08-24,2017,1,CFL,WPG,MTL,,,,,,,,,,,,,21.0,4.0,4.0,,28.0,31.0,,,,13.0,17.0,,75.0,,,,,,
FOOTBALL_CFL_2017_8_4_WPG@OTT,2017-08-04,2017,1,CFL,WPG,OTT,,,,,,,,,,,,,15.0,3.0,4.0,,7.0,20.0,,,,7.0,15.0,,43.0,,,,,,
FOOTBALL_CFL_2017_9_22_OTT@WPG,2017-09-22,2017,1,CFL,OTT,WPG,,,,,,,,,,,,,15.0,6.0,10.0,,49.0,49.0,,,,11.0,,1.0,83.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_9_30_WPG@EDM,2017-09-30,2017,1,CFL,WPG,EDM,,,,,,,,,,,,,19.0,9.0,10.0,,76.0,81.0,,,,8.0,24.0,1.0,54.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,1.0,1.0,,,,,,,,,,,14.0,10.0,11.0,1.0,57.0,72.0,,,,9.0,8.0,,29.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,,,,,,,,,,,,,9.0,5.0,7.0,,26.0,26.0,,,,12.0,10.0,,57.0,,,,,,
FOOTBALL_CFL_2018_10_13_SSK@WPG,2018-10-13,2018,1,CFL,SSK,WPG,,,,1.0,1.0,20.0,20.0,,,,,,4.0,2.0,2.0,,,3.0,,,,10.0,10.0,,36.0,,,,,,
FOOTBALL_CFL_2018_10_26_CGY@WPG,2018-10-26,2018,1,CFL,CGY,WPG,,,,,,,,,,,,,11.0,5.0,6.0,,31.0,44.0,,,,15.0,29.0,,86.0,,,,,,
FOOTBALL_CFL_2018_10_5_WPG@OTT,2018-10-05,2018,1,CFL,WPG,OTT,,,,,,,,,,,,,21.0,3.0,4.0,,22.0,31.0,,,,20.0,23.0,,132.0,,,,,,
FOOTBALL_CFL_2018_11_11_WPG@SSK,2018-11-11,2018,1,CFL,WPG,SSK,,,,,,,,,,,,,9.0,2.0,2.0,,10.0,10.0,,1.0,,19.0,37.0,1.0,153.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_11_18_WPG@CGY,2018-11-18,2018,1,CFL,WPG,CGY,,,,,,,,,,,,,5.0,4.0,8.0,,6.0,9.0,,,,13.0,19.0,,71.0,,,,,,
FOOTBALL_CFL_2018_11_3_WPG@EDM,2018-11-03,2018,1,CFL,WPG,EDM,,,,,,,,,,,,,,,,,,,,,,2.0,31.0,,35.0,,,,,,
FOOTBALL_CFL_2018_6_14_EDM@WPG,2018-06-14,2018,1,CFL,EDM,WPG,,,,,,,,,,,,,3.0,3.0,4.0,,3.0,6.0,,,,14.0,25.0,,77.0,,,,,,
FOOTBALL_CFL_2018_6_22_WPG@MTL,2018-06-22,2018,1,CFL,WPG,MTL,,,,,,,,,,,,,,6.0,7.0,1.0,30.0,68.0,,,,15.0,15.0,,58.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_6_29_WPG@HAM,2018-06-29,2018,1,CFL,WPG,HAM,,,,1.0,,,,,,,,,7.0,3.0,4.0,,11.0,17.0,,,,14.0,15.0,1.0,66.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_7_14_WPG@BC,2018-07-14,2018,1,CFL,WPG,BC,,,,,,,,,,,,,13.0,4.0,5.0,,23.0,29.0,,,,13.0,,2.0,139.0,,,,12.0,2.0,2.0
FOOTBALL_CFL_2018_7_21_WPG@TOR,2018-07-21,2018,1,CFL,WPG,TOR,,,,,,,,,,,,,11.0,2.0,2.0,1.0,15.0,16.0,,,,27.0,18.0,1.0,161.0,,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2018_7_27_TOR@WPG,2018-07-27,2018,1,CFL,TOR,WPG,,,,,,,,,,,,,13.0,5.0,6.0,,42.0,50.0,1.0,1.0,1.0,10.0,9.0,,28.0,,,,,,
FOOTBALL_CFL_2018_7_7_BC@WPG,2018-07-07,2018,1,CFL,BC,WPG,,,,,,,,,,,,,11.0,4.0,5.0,,18.0,22.0,,,,12.0,43.0,1.0,109.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_8_10_HAM@WPG,2018-08-10,2018,1,CFL,HAM,WPG,,,,,,,,,,,,,27.0,4.0,5.0,,41.0,46.0,,,,16.0,30.0,1.0,82.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_8_17_OTT@WPG,2018-08-17,2018,1,CFL,OTT,WPG,,,,,,,,,,,,,5.0,3.0,6.0,,9.0,11.0,,,,12.0,16.0,1.0,72.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_8_25_WPG@CGY,2018-08-25,2018,1,CFL,WPG,CGY,,,,,,,,,,,,,16.0,6.0,11.0,,36.0,51.0,,,,7.0,5.0,,13.0,,,,,,
FOOTBALL_CFL_2018_9_21_MTL@WPG,2018-09-21,2018,1,CFL,MTL,WPG,,,,,,,,,,,,,,2.0,2.0,1.0,10.0,10.0,,,,7.0,17.0,,44.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2018_9_29_WPG@EDM,2018-09-29,2018,1,CFL,WPG,EDM,,,,,,,,,,,,,14.0,4.0,4.0,,18.0,24.0,,,,20.0,13.0,1.0,73.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2018_9_2_WPG@SSK,2018-09-02,2018,1,CFL,WPG,SSK,,,,,,,,,,,,,15.0,1.0,2.0,,15.0,15.0,,,,15.0,38.0,,158.0,,,,,,
FOOTBALL_CFL_2018_9_8_SSK@WPG,2018-09-08,2018,1,CFL,SSK,WPG,1.0,1.0,,,,,,,,,,,13.0,1.0,3.0,,12.0,13.0,,,,10.0,7.0,,21.0,,,,,,
FOOTBALL_CFL_2019_10_12_MTL@WPG,2019-10-12,2019,1,CFL,MTL,WPG,,,,,,,,,,,,,,,,,,,,,,24.0,21.0,1.0,166.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_10_19_WPG@CGY,2019-10-19,2019,1,CFL,WPG,CGY,,,,,,,,,,,,,11.0,6.0,6.0,,16.0,21.0,,,,11.0,10.0,,55.0,,,,,,
FOOTBALL_CFL_2019_10_25_CGY@WPG,2019-10-25,2019,1,CFL,CGY,WPG,,,,,,,,,,,,,11.0,3.0,3.0,,15.0,21.0,,,,15.0,15.0,,64.0,,,,,,
FOOTBALL_CFL_2019_10_5_WPG@SSK,2019-10-05,2019,1,CFL,WPG,SSK,,,,,,,,,,,,,6.0,4.0,4.0,,4.0,4.0,,,,11.0,21.0,,67.0,,,,,,
FOOTBALL_CFL_2019_11_10_WPG@CGY,2019-11-10,2019,1,CFL,WPG,CGY,,,,,,,,,,,,,7.0,2.0,4.0,,3.0,10.0,,,,14.0,13.0,,57.0,,,,,,
FOOTBALL_CFL_2019_11_17_WPG@SSK,2019-11-17,2019,1,CFL,WPG,SSK,,,,,,,,,,,,,5.0,2.0,3.0,,3.0,8.0,,,,10.0,12.0,,41.0,,,,,,
FOOTBALL_CFL_2019_11_24_HAM@WPG,2019-11-24,2019,1,CFL,HAM,WPG,,,,,,,,,,,,,,5.0,6.0,1.0,16.0,35.0,,,,18.0,26.0,1.0,134.0,,,1.0,12.0,1.0,2.0
FOOTBALL_CFL_2019_6_15_WPG@BC,2019-06-15,2019,1,CFL,WPG,BC,,,,,,,,,,,,,20.0,5.0,7.0,,26.0,27.0,,,,16.0,31.0,,148.0,,,,,,
FOOTBALL_CFL_2019_6_27_EDM@WPG,2019-06-27,2019,1,CFL,EDM,WPG,,,,,,,,,,,,,12.0,2.0,2.0,1.0,12.0,17.0,16.0,1.0,16.0,10.0,9.0,,34.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_7_12_TOR@WPG,2019-07-12,2019,1,CFL,TOR,WPG,,,,,,,,,,,,,,5.0,5.0,1.0,5.0,7.0,,,,14.0,52.0,,116.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_7_19_OTT@WPG,2019-07-19,2019,1,CFL,OTT,WPG,,,,1.0,,,,,,,,,34.0,5.0,5.0,1.0,47.0,68.0,,,,14.0,14.0,,63.0,,,1.0,6.0,,1.0
FOOTBALL_CFL_2019_7_26_WPG@HAM,2019-07-26,2019,1,CFL,WPG,HAM,,,,,,,,,,,,,14.0,8.0,11.0,,60.0,64.0,,,,8.0,27.0,,53.0,,,,,,
FOOTBALL_CFL_2019_7_5_WPG@OTT,2019-07-05,2019,1,CFL,WPG,OTT,,,,,,,,,,,,,19.0,6.0,6.0,,35.0,50.0,,,,18.0,17.0,,80.0,,,,,,
FOOTBALL_CFL_2019_8_15_BC@WPG,2019-08-15,2019,1,CFL,BC,WPG,,,,,,,,,,,,,,,,,,,,,,14.0,10.0,,73.0,,,,,,
FOOTBALL_CFL_2019_8_1_WPG@TOR,2019-08-01,2019,1,CFL,WPG,TOR,,,,,,,,,,,,,12.0,6.0,6.0,,41.0,45.0,,,,15.0,,2.0,152.0,,,,12.0,2.0,2.0
FOOTBALL_CFL_2019_8_23_WPG@EDM,2019-08-23,2019,1,CFL,WPG,EDM,,,,,,,,,,,,,15.0,1.0,2.0,,15.0,15.0,,,,13.0,36.0,1.0,89.0,,,,6.0,1.0,1.0
FOOTBALL_CFL_2019_8_8_CGY@WPG,2019-08-08,2019,1,CFL,CGY,WPG,,,,,,,,,,,,,12.0,8.0,8.0,,41.0,44.0,,,,19.0,17.0,,100.0,,,,,,
FOOTBALL_CFL_2019_9_21_WPG@MTL,2019-09-21,2019,1,CFL,WPG,MTL,,,,,,,,,,,,,74.0,5.0,5.0,,69.0,112.0,,,,12.0,19.0,,76.0,,,,,,
FOOTBALL_CFL_2019_9_27_HAM@WPG,2019-09-27,2019,1,CFL,HAM,WPG,,,,,,,,,,,,,,6.0,9.0,1.0,24.0,34.0,,,,10.0,19.0,,37.0,,,1.0,6.0,,1.0
SYNTHETIC_CFL_2022_W2_TOR,,2022,2,CFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,87.0,,,,
SYNTHETIC_CFL_2022_W3_TOR,,2022,3,CFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,27.0,,,,
SYNTHETIC_CFL_2022_W4_TOR,,2022,4,CFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,111.0,,,,
SYNTHETIC_CFL_2022_W6_TOR,2022-07-16,2022,6,CFL,SSK,TOR,,,,,,,,,,0.0,25.0,3.0,,,,,,,,,,,,,,0.0,39.0,,,,
SYNTHETIC_CFL_2022_W7_TOR,2022-07-24,2022,7,CFL,TOR,SSK,,,,,,,,,,0.0,45.0,7.0,,,,,,,,,,,,,,0.0,143.0,,,,
SYNTHETIC_CFL_2022_W8_TOR,2022-07-31,2022,8,CFL,OTT,TOR,,,,,,,,,,0.0,48.0,5.0,,,,,,,,,,,,,,0.0,17.0,,,,
SYNTHETIC_CFL_2022_W9_TOR,2022-08-06,2022,9,CFL,HAM,TOR,,,,,,,,,,0.0,7.0,2.0,,,,,,,,,,,,,,0.0,47.0,,,,
SYNTHETIC_CFL_2022_W10_TOR,2022-08-12,2022,10,CFL,TOR,HAM,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,19.0,,,,
SYNTHETIC_CFL_2023_W2_TOR,2023-06-18,2023,2,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,24.0,,,,
SYNTHETIC_CFL_2023_W3_TOR,2023-06-25,2023,3,CFL,TOR,EDM,,,,,,,,,,0.0,11.0,1.0,,,,,,,,,,,,,,0.0,32.0,,,,
SYNTHETIC_CFL_2023_W4_TOR,2023-07-03,2023,4,CFL,BC,TOR,,,0.0,,,,,0.0,0.0,0.0,13.0,1.0,,,,,,,,,,,,,,0.0,9.0,,,,
SYNTHETIC_CFL_2023_W6_TOR,2023-07-14,2023,6,CFL,TOR,MTL,,,,,,,,,,0.0,10.0,2.0,,,,,,,,,,,,,,0.0,21.0,,,,
SYNTHETIC_CFL_2023_W7_TOR,2023-07-21,2023,7,CFL,TOR,HAM,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,9.0,,,,
SYNTHETIC_CFL_2023_W8_TOR,2023-07-29,2023,8,CFL,SSK,TOR,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,41.0,,,,
SYNTHETIC_CFL_2023_W9_TOR,2023-08-04,2023,9,CFL,TOR,CGY,,,,,,,,,,0.0,5.0,1.0,,,,,,,,,,,,,,0.0,3.0,,,,
SYNTHETIC_CFL_2023_W10_TOR,2023-08-13,2023,10,CFL,OTT,TOR,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,19.0,,,,
SYNTHETIC_CFL_2023_W12_TOR,2023-08-25,2023,12,CFL,CGY,TOR,,,,,,,,,,1.0,31.0,3.0,,,,,,,,,,,,,,0.0,25.0,,,,
SYNTHETIC_CFL_2023_W13_TOR,2023-09-04,2023,13,CFL,TOR,HAM,,,,,,,,,,0.0,12.0,1.0,,,,,,,,,,,,,,1.0,12.0,,,,
SYNTHETIC_CFL_2023_W14_TOR,2023-09-09,2023,14,CFL,MTL,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,21.0,,,,
SYNTHETIC_CFL_2023_W15_TOR,2023-09-15,2023,15,CFL,TOR,MTL,,,,,,,,,,0.0,4.0,1.0,,,,,,,,,,,,,,0.0,13.0,,,,
