game_id,date,season,week,league,away,home,assist_tackles,def_int,def_lg,def_sack,def_solo,def_tot,def_yds,def_ydsl,int_long,int_tds,int_yards,interceptions_made,receiving_tds,receiving_yards,receptions,sack,sacks,solo_tackles,tackles
9889290,2023-06-18,2023,2,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,4.0
9889292,2023-06-23,2023,3,CFL,MTL,HAM,,,,,,,,,,,,,,,,1.0,,,4.0
9889300,2023-07-08,2023,5,CFL,OTT,HAM,,,,,,,,,,,,,,,,,2.0,,9.0
9889302,2023-07-13,2023,6,CFL,HAM,EDM,,,,,,,,,,,,,,,,,,,8.0
9889307,2023-07-21,2023,7,CFL,TOR,HAM,,,,,,,,,,,,,,,,,1.0,,6.0
9889310,2023-07-28,2023,8,CFL,HAM,OTT,,,,,,,,,,,,,,,,,,,7.0
9889316,2023-08-05,2023,9,CFL,MTL,HAM,,,,,,,,,,,,,,,,,,,2.0
9889322,2023-08-17,2023,11,CFL,EDM,HAM,,,,,,,,,,,,0.0,,,,,0.0,,7.0
9889328,2023-08-26,2023,12,CFL,HAM,BC,,,,,,,,,,,,1.0,,,,,0.0,,6.0
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,,,,,,,,,,0.0,,,,,0.0,,2.0
9889334,2023-09-08,2023,14,CFL,HAM,OTT,,,,,,,,,,,,0.0,,,,,0.0,,3.0
9889340,2023-09-16,2023,15,CFL,WPG,HAM,,,,,,,,,,,,0.0,,,,,0.0,,2.0
9889345,2023-09-23,2023,16,CFL,HAM,TOR,,,,,,,,,,,,1.0,,,,,0.0,,6.0
9889349,2023-09-30,2023,17,CFL,CGY,HAM,,,,,,,,,,,,0.0,,,,,0.0,,5.0
9889352,2023-10-07,2023,18,CFL,HAM,SSK,,,,,,,,,,,,0.0,,,,,0.0,,6.0
9889354,2023-10-13,2023,19,CFL,BC,HAM,,,,,,,,,,,,0.0,,,,,1.0,,6.0
9889362,2023-10-28,2023,21,CFL,HAM,MTL,,,,,,,,,,,,0.0,,,,,1.0,,6.0
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,,,,,,,,,,,0.0,,,,,0.0,,5.0
10798070,2024-09-07,2024,14,CFL,SSK,WPG,,,,,,,,,,,,,0.0,0.0,0.0,,,,
