game_id,date,season,week,league,away,home,ret_lg,ret_num,ret_ret,ret_ryds,ret_yds,score_pts,stat_fga,stat_fgm,stat_lg,stat_pts,stat_xpa,stat_xpm
FOOTBALL_CFL_2016_9_10_SSK@WPG,2016-09-10,2016,1,CFL,SSK,WPG,64.0,3.0,3.0,54.0,185.0,4.0,1.0,1.0,14.0,4.0,1.0,1.0
FOOTBALL_CFL_2016_9_18_EDM@SSK,2016-09-18,2016,1,CFL,EDM,SSK,84.0,3.0,3.0,26.0,180.0,4.0,1.0,1.0,48.0,4.0,1.0,1.0
FOOTBALL_CFL_2016_9_24_HAM@SSK,2016-09-24,2016,1,CFL,HAM,SSK,69.0,2.0,2.0,52.0,125.0,8.0,2.0,2.0,48.0,8.0,2.0,2.0
FOOTBALL_CFL_2016_9_4_WPG@SSK,2016-09-04,2016,1,CFL,WPG,SSK,63.0,4.0,4.0,53.0,224.0,3.0,3.0,1.0,41.0,3.0,1.0,
FOOTBALL_CFL_2017_10_13_OTT@SSK,2017-10-13,2017,1,CFL,OTT,SSK,69.0,5.0,5.0,102.0,300.0,20.0,6.0,6.0,35.0,20.0,2.0,2.0
FOOTBALL_CFL_2017_10_20_SSK@CGY,2017-10-20,2017,1,CFL,SSK,CGY,72.0,6.0,6.0,82.0,314.0,8.0,2.0,2.0,26.0,8.0,2.0,2.0
FOOTBALL_CFL_2017_10_27_MTL@SSK,2017-10-27,2017,1,CFL,MTL,SSK,64.0,5.0,5.0,107.0,309.0,13.0,5.0,3.0,24.0,13.0,4.0,4.0
FOOTBALL_CFL_2017_10_7_SSK@TOR,2017-10-07,2017,1,CFL,SSK,TOR,73.0,6.0,6.0,108.0,370.0,13.0,4.0,4.0,34.0,13.0,1.0,1.0
FOOTBALL_CFL_2017_11_12_SSK@OTT,2017-11-12,2017,1,CFL,SSK,OTT,62.0,5.0,5.0,107.0,295.0,7.0,1.0,1.0,31.0,7.0,4.0,4.0
FOOTBALL_CFL_2017_11_19_SSK@TOR,2017-11-19,2017,1,CFL,SSK,TOR,67.0,5.0,5.0,84.0,253.0,7.0,2.0,2.0,28.0,7.0,1.0,1.0
FOOTBALL_CFL_2017_11_4_EDM@SSK,2017-11-04,2017,1,CFL,EDM,SSK,75.0,3.0,2.0,39.0,192.0,1.0,,,,1.0,1.0,1.0
FOOTBALL_CFL_2017_6_22_SSK@MTL,2017-06-22,2017,1,CFL,SSK,MTL,68.0,4.0,4.0,75.0,253.0,10.0,4.0,3.0,41.0,10.0,1.0,1.0
FOOTBALL_CFL_2017_7_1_WPG@SSK,2017-07-01,2017,1,CFL,WPG,SSK,74.0,6.0,6.0,176.0,391.0,16.0,5.0,4.0,48.0,16.0,4.0,4.0
FOOTBALL_CFL_2017_7_22_SSK@CGY,2017-07-22,2017,1,CFL,SSK,CGY,78.0,3.0,3.0,57.0,207.0,4.0,1.0,1.0,27.0,4.0,1.0,1.0
FOOTBALL_CFL_2017_7_29_TOR@SSK,2017-07-29,2017,1,CFL,TOR,SSK,80.0,7.0,6.0,149.0,418.0,12.0,3.0,3.0,44.0,12.0,3.0,3.0
FOOTBALL_CFL_2017_7_8_HAM@SSK,2017-07-08,2017,1,CFL,HAM,SSK,69.0,7.0,7.0,118.0,432.0,11.0,2.0,2.0,45.0,10.0,4.0,4.0
FOOTBALL_CFL_2017_8_13_BC@SSK,2017-08-13,2017,1,CFL,BC,SSK,69.0,7.0,7.0,107.0,414.0,9.0,2.0,1.0,24.0,8.0,5.0,5.0
FOOTBALL_CFL_2017_8_25_SSK@EDM,2017-08-25,2017,1,CFL,SSK,EDM,69.0,8.0,7.0,142.0,500.0,10.0,2.0,1.0,21.0,10.0,7.0,7.0
FOOTBALL_CFL_2017_9_15_SSK@HAM,2017-09-15,2017,1,CFL,SSK,HAM,74.0,5.0,5.0,88.0,307.0,9.0,2.0,2.0,42.0,9.0,3.0,3.0
FOOTBALL_CFL_2017_9_24_CGY@SSK,2017-09-24,2017,1,CFL,CGY,SSK,72.0,2.0,2.0,42.0,135.0,1.0,,,,1.0,1.0,1.0
FOOTBALL_CFL_2017_9_29_SSK@OTT,2017-09-29,2017,1,CFL,SSK,OTT,69.0,4.0,4.0,74.0,227.0,5.0,1.0,1.0,16.0,5.0,2.0,2.0
FOOTBALL_CFL_2017_9_3_WPG@SSK,2017-09-03,2017,1,CFL,WPG,SSK,70.0,5.0,5.0,107.0,326.0,13.0,3.0,3.0,50.0,13.0,4.0,4.0
FOOTBALL_CFL_2017_9_9_SSK@WPG,2017-09-09,2017,1,CFL,SSK,WPG,69.0,4.0,4.0,70.0,203.0,2.0,,,,2.0,2.0,2.0
FOOTBALL_CFL_2019_10_11_OTT@TOR,2019-10-11,2019,1,CFL,OTT,TOR,72.0,4.0,4.0,94.0,275.0,9.0,2.0,2.0,33.0,9.0,3.0,3.0
FOOTBALL_CFL_2019_10_18_TOR@MTL,2019-10-18,2019,1,CFL,TOR,MTL,72.0,4.0,4.0,63.0,262.0,6.0,1.0,1.0,41.0,6.0,3.0,3.0
FOOTBALL_CFL_2019_10_5_TOR@BC,2019-10-05,2019,1,CFL,TOR,BC,57.0,2.0,2.0,17.0,67.0,,,,,,,
FOOTBALL_CFL_2019_7_12_TOR@WPG,2019-07-12,2019,1,CFL,TOR,WPG,,,,,,1.0,,,,1.0,2.0,1.0
FOOTBALL_CFL_2019_7_18_TOR@CGY,2019-07-18,2019,1,CFL,TOR,CGY,,,,,,4.0,1.0,1.0,50.0,4.0,1.0,1.0
FOOTBALL_CFL_2019_7_25_TOR@EDM,2019-07-25,2019,1,CFL,TOR,EDM,62.0,1.0,1.0,12.0,62.0,,,,,,,
FOOTBALL_CFL_2019_8_16_EDM@TOR,2019-08-16,2019,1,CFL,EDM,TOR,68.0,6.0,6.0,125.0,380.0,14.0,4.0,4.0,42.0,14.0,2.0,2.0
FOOTBALL_CFL_2019_8_1_WPG@TOR,2019-08-01,2019,1,CFL,WPG,TOR,69.0,4.0,4.0,83.0,269.0,9.0,2.0,2.0,45.0,9.0,3.0,3.0
FOOTBALL_CFL_2019_8_25_MTL@TOR,2019-08-25,2019,1,CFL,MTL,TOR,73.0,3.0,2.0,38.0,199.0,10.0,3.0,3.0,46.0,10.0,2.0,1.0
FOOTBALL_CFL_2019_9_20_CGY@TOR,2019-09-20,2019,1,CFL,CGY,TOR,67.0,3.0,3.0,71.0,195.0,10.0,3.0,3.0,36.0,10.0,1.0,1.0
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,64.0,4.0,3.0,54.0,196.0,4.0,1.0,1.0,13.0,4.0,1.0,1.0
FOOTBALL_CFL_2019_9_2_TOR@HAM,2019-09-02,2019,1,CFL,TOR,HAM,87.0,3.0,2.0,67.0,212.0,15.0,4.0,4.0,40.0,14.0,2.0,2.0
FOOTBALL_CFL_2019_9_7_TOR@OTT,2019-09-07,2019,1,CFL,TOR,OTT,72.0,7.0,7.0,154.0,459.0,10.0,1.0,1.0,47.0,9.0,6.0,6.0
