game_id,date,season,week,league,away,home,assisted_tackles,completion_pct,def_interceptions,defensive_bk,defensive_pd,defensive_tds,forced_fumbles,fumble_recoveries,fumble_recovery_yards,fumbles,fumbles_lost,interceptions,kicking_points,pass_attempts,pass_completions,pass_incompletions,pass_long,pass_td,pass_yards_per_attempt,passing_rate,passing_sacks,passing_td_pass,passing_td_pass_pct,passing_tds,passing_yards,passing_yds_lost,pat_made,rush_avg,rush_long,rush_td,rushing_attempts,rushing_fum,rushing_tds,rushing_yards,sacks,safeties,solo_tackles,tackles,tackles_for_loss,tfl_yards,xp_attempts,xp_made
FOOTBALL_IFL_2026_3_21_TIOWABARNSTORMERSG20260321EITG@TQUADCITYSTEAMWHEELERS,2026-03-21,2026,2,IFL,Iowa Barnstormers,Quad City Steamwheelers,,,,,,,,,,,,1.0,,22.0,11.0,,23.0,,,,,,,4.0,149.0,,,5.5,19.0,,4.0,,1.0,22.0,,,,,,,,
FOOTBALL_NAL_2026_3_13_T570666G1127140@T566773,2026-03-13,2026,2,NAL,Sioux City Bandits,Amarillo Warbirds,,667.0,,,,,,,,,,0.0,,12.0,8.0,4.0,32.0,,20.0,149.0,1.0,5.0,417.0,,158.0,4.0,,17.0,22.0,,2.0,0.0,0.0,34.0,,,,,,,,
FOOTBALL_IFL_2026_4_5_TQUADCITYSTEAMWHEELERSG20260405ZTCZ@TORLANDOPIRATES,2026-04-05,2026,4,IFL,Quad City Steamwheelers,Orlando Pirates,1.0,,,,,,,,,,,1.0,,26.0,13.0,,34.0,,,,,,,3.0,175.0,,,4.9,22.0,,12.0,,2.0,59.0,,,0.0,1.0,0.5,0.0,,
FOOTBALL_IFL_2026_4_11_TGREENBAYBLIZZARDG20260411RZSM@TQUADCITYSTEAMWHEELERS,2026-04-11,2026,5,IFL,Green Bay Blizzard,Quad City Steamwheelers,,,,,,,,,,,,0.0,,19.0,14.0,,21.0,,,,,,,4.0,117.0,,,7.6,14.0,,13.0,,1.0,99.0,,,,,,,,
FOOTBALL_NAL_2026_4_4_T570666G1127150@T566774,2026-04-04,2026,5,NAL,Sioux City Bandits,Omaha Beef,,824.0,,,,,,,,,,0.0,,17.0,14.0,3.0,11.0,,7.0,130.0,2.0,2.0,118.0,,98.0,14.0,,3.0,13.0,,7.0,1.0,1.0,20.0,,,,,,,,
FOOTBALL_IFL_2026_4_17_TQUADCITYSTEAMWHEELERSG20260417A5V1@TSANDIEGOSTRIKEFORCE,2026-04-17,2026,6,IFL,Quad City Steamwheelers,San Diego Strike Force,,,,,,,,,,,,1.0,,31.0,19.0,,45.0,,,,,,,6.0,270.0,,,-0.7,3.0,,3.0,,0.0,-2.0,,,,,,,,
FOOTBALL_NAL_2026_4_11_T570666G1127155@T600414,2026-04-11,2026,6,NAL,Sioux City Bandits,Southwest Kansas Storm,,615.0,,,,,,,,,,0.0,,26.0,16.0,10.0,24.0,,10.0,105.0,2.0,2.0,77.0,,161.0,8.0,,5.0,10.0,,3.0,0.0,0.0,15.0,,,,,,,,
FOOTBALL_IFL_2026_4_26_TJACKSONVILLESHARKSG20260426ME8M@TQUADCITYSTEAMWHEELERS,2026-04-26,2026,7,IFL,Jacksonville Sharks,Quad City Steamwheelers,,,,,,,,,,1.0,0.0,2.0,0.0,27.0,18.0,,36.0,,,,,,,5.0,221.0,,,3.5,13.0,,8.0,,0.0,28.0,,,,,,,0.0,0.0
FOOTBALL_NAL_2026_4_18_T600411G1127157@T570666,2026-04-19,2026,7,NAL,Salina Liberty,Sioux City Bandits,,481.0,,,,,,,,,,1.0,,27.0,13.0,14.0,18.0,,9.0,83.0,0.0,3.0,111.0,,122.0,0.0,,5.0,12.0,,11.0,0.0,1.0,54.0,,,,,,,,
FOOTBALL_NAL_2026_4_25_T577047G1127160@T570666,2026-04-26,2026,8,NAL,Pueblo Punishers,Sioux City Bandits,,400.0,,,,,,,,,,1.0,,15.0,6.0,9.0,21.0,,12.0,68.0,1.0,2.0,133.0,,73.0,8.0,,2.0,5.0,,5.0,0.0,0.0,10.0,,,,,,,,
FOOTBALL_IFL_2026_5_8_TQUADCITYSTEAMWHEELERSG202605081QHL@TGREENBAYBLIZZARD,2026-05-08,2026,9,IFL,Quad City Steamwheelers,Green Bay Blizzard,0.0,,,,,,,1.0,0.0,2.0,1.0,1.0,,32.0,21.0,,18.0,,,,,,,3.0,194.0,,,4.2,12.0,,11.0,,2.0,46.0,,,0.0,0.0,,,,
FOOTBALL_IFL_2026_5_15_TTUCSONSUGARSKULLSG20260515CE9O@TQUADCITYSTEAMWHEELERS,2026-05-15,2026,10,IFL,Tucson Sugar Skulls,Quad City Steamwheelers,,,,,,,,,,,,2.0,,21.0,9.0,,41.0,,,,,,,2.0,135.0,,,3.6,23.0,,13.0,,0.0,47.0,,,,,,,,
FOOTBALL_NAL_2026_5_9_T566773G1127168@T570666,2026-05-10,2026,10,NAL,Amarillo Warbirds,Sioux City Bandits,,842.0,,,,,,,,,,0.0,,19.0,16.0,3.0,36.0,,14.0,156.0,0.0,6.0,316.0,,229.0,0.0,,4.0,7.0,,5.0,0.0,1.0,20.0,,,,,,,,
