game_id,date,season,week,league,away,home,def_int,def_lg,def_solo,def_td,def_tot,def_yds,interceptions_made,ret_lg,ret_num,ret_yds,rush_att,rush_lg,rush_td,rush_yds,sacks,score_ir,score_pts,score_r,score_tot,tackles
FOOTBALL_CFL_2019_8_1_HAM@SSK,2019-08-01,2019,1,CFL,HAM,SSK,,,3.0,,3.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_8_24_OTT@SSK,2019-08-24,2019,1,CFL,OTT,SSK,1.0,22.0,7.0,,7.0,22.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_14_MTL@SSK,2019-09-14,2019,1,CFL,MTL,SSK,,,2.0,,2.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_1_WPG@SSK,2019-09-01,2019,1,CFL,WPG,SSK,,,1.0,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_28_SSK@TOR,2019-09-28,2019,1,CFL,SSK,TOR,,,4.0,,4.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2019_9_7_SSK@WPG,2019-09-07,2019,1,CFL,SSK,WPG,,,1.0,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_2_SSK@CGY,2021-10-02,2021,1,CFL,SSK,CGY,,,4.0,,4.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_30_SSK@MTL,2021-10-30,2021,1,CFL,SSK,MTL,,,2.0,,2.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_10_9_CGY@SSK,2021-10-09,2021,1,CFL,CGY,SSK,1.0,1.0,2.0,,2.0,1.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_13_EDM@SSK,2021-11-13,2021,1,CFL,EDM,SSK,,,2.0,,2.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_20_SSK@HAM,2021-11-20,2021,1,CFL,SSK,HAM,,,2.0,,2.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_28_CGY@SSK,2021-11-28,2021,1,CFL,CGY,SSK,,,4.0,,4.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_11_5_SSK@EDM,2021-11-05,2021,1,CFL,SSK,EDM,,,1.0,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_12_5_SSK@WPG,2021-12-05,2021,1,CFL,SSK,WPG,1.0,,4.0,,4.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_14_HAM@SSK,2021-08-14,2021,1,CFL,HAM,SSK,,,5.0,,5.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_21_OTT@SSK,2021-08-21,2021,1,CFL,OTT,SSK,,,1.0,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_8_6_BC@SSK,2021-08-06,2021,1,CFL,BC,SSK,1.0,,2.0,1.0,2.0,27.0,,,,,,,,,,1.0,6.0,,1.0,
FOOTBALL_CFL_2021_9_11_SSK@WPG,2021-09-11,2021,1,CFL,SSK,WPG,,,2.0,,2.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_17_TOR@SSK,2021-09-17,2021,1,CFL,TOR,SSK,1.0,17.0,2.0,,2.0,17.0,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_24_SSK@BC,2021-09-24,2021,1,CFL,SSK,BC,,,1.0,,1.0,,,,,,,,,,,,,,,
FOOTBALL_CFL_2021_9_5_WPG@SSK,2021-09-05,2021,1,CFL,WPG,SSK,,,4.0,,4.0,,,,,,,,,,,,,,,
9889317,2023-08-06,2023,9,CFL,OTT,SSK,,,,,,,0.0,,,,,,,,0.0,,,,,2.0
9889319,2023-08-11,2023,10,CFL,SSK,MTL,,,,,,,0.0,,,,,,,,0.0,,,,,3.0
9889325,2023-08-20,2023,11,CFL,BC,SSK,,,,,,,0.0,,,,,,,,0.0,,,,,5.0
9889331,2023-09-03,2023,13,CFL,WPG,SSK,,,,,,,1.0,,,,,,,,0.0,,,,,1.0
9889336,2023-09-09,2023,14,CFL,SSK,WPG,,,,,,,0.0,,,,,,,,0.0,,,,,3.0
9889339,2023-09-15,2023,15,CFL,EDM,SSK,,,,,,,0.0,,,,,,,,0.0,,,,,1.0
9889342,2023-09-22,2023,16,CFL,SSK,OTT,,,,,,,0.0,,,,,,,,0.0,,,,,1.0
9889347,2023-09-29,2023,17,CFL,SSK,BC,,,,,,,0.0,,,,,,,,0.0,,,,,1.0
9889355,2023-10-13,2023,19,CFL,SSK,CGY,,,,,,,0.0,,,,,,,,0.0,,,,,2.0
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,,,,,1.0,,,,,,,,0.0,,,,,3.0
