game_id,date,season,week,league,away,home,assists,assists_minus_xa,avg_pass_distance,avg_pass_vertical,batting_balls,batting_fours,batting_not_out,batting_position,batting_runs,batting_sixes,bowling_balls,bowling_maidens,bowling_noballs,bowling_runs,bowling_wickets,bowling_wides,fielding_catches,fielding_runouts,goals,goals_minus_xg,goals_plus_assists,key_passes,match_played,minutes_played,pass_completion_pct,passes_attempted,passes_over_expected,passes_over_expected_p100,points_added,shots,shots_on_target,xa,xg,xg_place,xg_plus_xa,xpass_completion_pct,xpoints_added
cricket-odi-2023-04-02-1365101,2023-04-02,2023,1,ODI,United States of America,Papua New Guinea,,,,,77.0,2.0,0.0,5.0,65.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2023-04-04-1365104,2023-04-04,2023,1,ODI,United States of America,Jersey,,,,,28.0,1.0,0.0,5.0,8.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2023-06-18-1377747,2023-06-18,2023,1,ODI,West Indies,United States of America,,,,,30.0,3.0,0.0,4.0,23.0,0.0,12.0,0.0,0.0,13.0,0.0,0.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2023-06-20-1377751,2023-06-20,2023,1,ODI,United States of America,Nepal,,,,,22.0,0.0,0.0,4.0,2.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2023-06-22-1377755,2023-06-22,2023,1,ODI,United States of America,Netherlands,,,,,21.0,0.0,0.0,5.0,8.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2023-06-26-1377762,2023-06-26,2023,1,ODI,Zimbabwe,United States of America,,,,,11.0,1.0,0.0,4.0,8.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2023-07-06-1377777,2023-07-06,2023,1,ODI,United Arab Emirates,United States of America,,,,,103.0,4.0,0.0,4.0,75.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-cpl-2024-09-24-1428703,2024-09-24,2024,1,CPL,St Lucia Kings,Trinbago Knight Riders,,,,,5.0,0.0,1.0,6.0,8.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-cpl-2024-09-28-1428706,2024-09-28,2024,1,CPL,Guyana Amazon Warriors,St Lucia Kings,,,,,5.0,0.0,0.0,5.0,1.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-cpl-2024-10-06-1428711,2024-10-06,2024,1,CPL,Guyana Amazon Warriors,St Lucia Kings,,,,,31.0,2.0,1.0,6.0,48.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2024-07-05-1432726,2024-07-05,2024,1,MLC,Seattle Orcas,MI New York,,,,,16.0,2.0,0.0,3.0,12.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2024-07-15-1432738,2024-07-15,2024,1,MLC,San Francisco Unicorns,Seattle Orcas,,,,,5.0,1.0,0.0,5.0,6.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2024-07-17-1432740,2024-07-17,2024,1,MLC,Seattle Orcas,Los Angeles Knight Riders,,,,,14.0,1.0,0.0,5.0,9.0,0.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2024-07-20-1432743,2024-07-20,2024,1,MLC,Seattle Orcas,San Francisco Unicorns,,,,,1.0,0.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2024-08-13-1445035,2024-08-13,2024,1,ODI,United States of America,Canada,,,,,27.0,1.0,0.0,4.0,15.0,0.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2024-08-15-1445036,2024-08-15,2024,1,ODI,Netherlands,United States of America,,,,,70.0,6.0,0.0,3.0,47.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2024-08-19-1445038,2024-08-19,2024,1,ODI,United States of America,Canada,,,,,53.0,3.0,0.0,4.0,50.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2024-08-21-1445039,2024-08-21,2024,1,ODI,Netherlands,United States of America,,,,,11.0,2.0,0.0,4.0,8.0,0.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2024-11-02-1450706,2024-11-02,2024,1,ODI,United States of America,Nepal,,,,,20.0,5.0,0.0,3.0,26.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-04-07-1425121,2024-04-07,2024,1,T20I,Canada,United States of America,,,,,4.0,0.0,0.0,4.0,3.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-04-09-1425122,2024-04-09,2024,1,T20I,United States of America,Canada,,,,,20.0,0.0,1.0,4.0,34.0,4.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-04-12-1425124,2024-04-12,2024,1,T20I,United States of America,Canada,,,,,14.0,2.0,0.0,3.0,15.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-04-13-1425125,2024-04-13,2024,1,T20I,Canada,United States of America,,,,,3.0,0.0,0.0,2.0,2.0,0.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-05-21-1425131,2024-05-21,2024,1,T20I,Bangladesh,United States of America,,,,,12.0,0.0,0.0,4.0,4.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-05-23-1425132,2024-05-23,2024,1,T20I,United States of America,Bangladesh,,,,,34.0,3.0,0.0,4.0,35.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-05-25-1425133,2024-05-25,2024,1,T20I,United States of America,Bangladesh,,,,,7.0,0.0,0.0,5.0,2.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-06-01-1415701,2024-06-01,2024,1,T20I,Canada,United States of America,,,,,40.0,4.0,1.0,4.0,94.0,10.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-06-06-1415711,2024-06-06,2024,1,T20I,Pakistan,United States of America,,,,,32.0,3.0,0.0,4.0,47.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-06-12-1415725,2024-06-12,2024,1,T20I,United States of America,India,,,,,22.0,0.0,0.0,4.0,11.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-06-19-1415741,2024-06-19,2024,1,T20I,South Africa,United States of America,,,,,5.0,0.0,0.0,4.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-06-21-1415746,2024-06-21,2024,1,T20I,United States of America,West Indies,,,,,11.0,0.0,0.0,4.0,11.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-06-23-1415749,2024-06-23,2024,1,T20I,United States of America,England,,,,,16.0,2.0,0.0,4.0,10.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-08-24-1446762,2024-08-24,2024,1,T20I,Canada,United States of America,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-08-25-1446763,2024-08-25,2024,1,T20I,Netherlands,United States of America,,,,,18.0,2.0,0.0,3.0,34.0,3.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-08-27-1446765,2024-08-27,2024,1,T20I,United States of America,Canada,,,,,8.0,0.0,0.0,4.0,5.0,0.0,12.0,0.0,0.0,8.0,2.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-08-28-1446766,2024-08-28,2024,1,T20I,Netherlands,United States of America,,,,,14.0,0.0,0.0,4.0,13.0,1.0,6.0,0.0,0.0,12.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-10-17-1453518,2024-10-17,2024,1,T20I,Nepal,United States of America,,,,,9.0,0.0,0.0,4.0,3.0,0.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-10-19-1453519,2024-10-19,2024,1,T20I,Nepal,United States of America,,,,,8.0,1.0,0.0,4.0,7.0,0.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2024-10-20-1453520,2024-10-20,2024,1,T20I,United States of America,Nepal,,,,,16.0,1.0,0.0,4.0,13.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-bpl-2025-01-06-1459545,2025-01-06,2025,1,BPL,Sylhet Strikers,Rangpur Riders,,,,,19.0,1.0,1.0,5.0,38.0,4.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-bpl-2025-01-07-1459548,2025-01-07,2025,1,BPL,Sylhet Strikers,Fortune Barishal,,,,,2.0,0.0,0.0,5.0,0.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-bpl-2025-01-10-1459552,2025-01-10,2025,1,BPL,Dhaka Capitals,Sylhet Strikers,,,,,8.0,0.0,0.0,4.0,14.0,2.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-bpl-2025-01-12-1459553,2025-01-12,2025,1,BPL,Sylhet Strikers,Khulna Tigers,,,,,6.0,0.0,0.0,5.0,20.0,3.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-bpl-2025-01-13-1459555,2025-01-13,2025,1,BPL,Chittagong Kings,Sylhet Strikers,,,,,18.0,2.0,0.0,5.0,15.0,0.0,6.0,0.0,0.0,16.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-bpl-2025-01-17-1459559,2025-01-17,2025,1,BPL,Durbar Rajshahi,Sylhet Strikers,,,,,6.0,0.0,0.0,5.0,5.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-bpl-2025-01-20-1459563,2025-01-20,2025,1,BPL,Dhaka Capitals,Sylhet Strikers,,,,,32.0,3.0,0.0,4.0,36.0,1.0,6.0,0.0,0.0,19.0,0.0,0.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-bpl-2025-01-30-1459576,2025-01-30,2025,1,BPL,Chittagong Kings,Sylhet Strikers,,,,,7.0,0.0,0.0,5.0,3.0,0.0,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-cpl-2025-08-26-1477984,2025-08-26,2025,1,CPL,Guyana Amazon Warriors,St Lucia Kings,,,,,12.0,2.0,0.0,6.0,16.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-cpl-2025-09-07-1477995,2025-09-07,2025,1,CPL,Barbados Royals,St Lucia Kings,,,,,9.0,0.0,0.0,6.0,2.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-cpl-2025-09-13-1478000,2025-09-13,2025,1,CPL,St Lucia Kings,Guyana Amazon Warriors,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-cpl-2025-09-17-1478003,2025-09-17,2025,1,CPL,Guyana Amazon Warriors,St Lucia Kings,,,,,11.0,1.0,0.0,4.0,10.0,0.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-cpl-2025-09-19-1478004,2025-09-19,2025,1,CPL,Trinbago Knight Riders,St Lucia Kings,,,,,10.0,0.0,0.0,6.0,12.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2025-06-14-1481995,2025-06-14,2025,1,MLC,Seattle Orcas,Washington Freedom,,,,,13.0,2.0,0.0,6.0,12.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2025-06-16-1481998,2025-06-16,2025,1,MLC,Texas Super Kings,Seattle Orcas,,,,,17.0,0.0,0.0,4.0,17.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2025-06-18-1482000,2025-06-18,2025,1,MLC,Seattle Orcas,MI New York,,,,,13.0,2.0,0.0,3.0,10.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2025-06-22-1482003,2025-06-22,2025,1,MLC,Seattle Orcas,Los Angeles Knight Riders,,,,,36.0,1.0,0.0,3.0,44.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2025-06-28-1482011,2025-06-28,2025,1,MLC,Los Angeles Knight Riders,Seattle Orcas,,,,,38.0,10.0,0.0,2.0,73.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2025-07-01-1482013,2025-07-01,2025,1,MLC,San Francisco Unicorns,Seattle Orcas,,,,,12.0,0.0,0.0,7.0,14.0,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2025-07-04-1482017,2025-07-04,2025,1,MLC,Seattle Orcas,Washington Freedom,,,,,4.0,1.0,0.0,2.0,5.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-mlc-2025-07-05-1482019,2025-07-05,2025,1,MLC,Texas Super Kings,Seattle Orcas,,,,,17.0,0.0,0.0,4.0,14.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2025-02-08-1468879,2025-02-08,2025,1,ODI,United States of America,Namibia,,,,,7.0,0.0,0.0,6.0,2.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2025-02-12-1468881,2025-02-12,2025,1,ODI,United States of America,Oman,,,,,44.0,0.0,0.0,6.0,15.0,0.0,11.0,0.0,0.0,15.0,0.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2025-02-14-1468882,2025-02-14,2025,1,ODI,United States of America,Namibia,,,,,27.0,2.0,0.0,6.0,31.0,3.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
cricket-odi-2025-02-18-1468884,2025-02-18,2025,1,ODI,United States of America,Oman,,,,,16.0,2.0,0.0,7.0,16.0,0.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
cricket-t20i-2025-02-20-1473145,2025-02-20,2025,1,T20I,Oman,United States of America,,,,,14.0,2.0,1.0,5.0,25.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
