game_id,date,season,week,league,away,home,interceptions_lost,lost_fumbles,passing_tds,passing_yards,receiving_tds,receiving_yards,receptions,recv_lg,recv_rec,recv_tar,recv_td,recv_yac,recv_yds,ret_lg,ret_num,ret_yds,rush_att,rush_fd,rush_lg,rush_yds,rushing_tds,rushing_yards,score_p,score_pts,score_tot
FOOTBALL_CFL_2021_8_7_TOR@CGY,2021-08-07,2021,1,CFL,TOR,CGY,,,,,,,,,,,,,,,,,1.0,,4.0,4.0,,,,,
6244,2022-08-06,2022,9,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,,,0.0,10.0,,,
6247,2022-08-12,2022,10,CFL,TOR,HAM,,,,,0.0,36.0,3.0,,,,,,,,,,,,,,0.0,47.0,,,
6253,2022-08-20,2022,11,CFL,CGY,TOR,,,,,0.0,92.0,7.0,,,,,,,,,,,,,,0.0,18.0,,,
6263,2022-09-10,2022,14,CFL,TOR,OTT,,,,,0.0,26.0,4.0,,,,,,,,,,,,,,1.0,29.0,,,
6270,2022-09-24,2022,16,CFL,TOR,OTT,,,,,1.0,33.0,5.0,,,,,,,,,,,,,,0.0,57.0,,,
6275,2022-10-01,2022,17,CFL,TOR,CGY,,,,,0.0,17.0,3.0,,,,,,,,,,,,,,0.0,66.0,,,
6277,2022-10-08,2022,18,CFL,BC,TOR,,,,,0.0,21.0,5.0,,,,,,,,,,,,,,0.0,44.0,,,
6282,2022-10-15,2022,19,CFL,TOR,EDM,,,,,0.0,8.0,1.0,,,,,,,,,,,,,,1.0,91.0,,,
6286,2022-10-22,2022,20,CFL,TOR,MTL,,,,,0.0,31.0,3.0,,,,,,,,,,,,,,0.0,92.0,,,
9889290,2023-06-18,2023,2,CFL,HAM,TOR,,,,,,,,,,,,,,,,,,,,,,60.0,,,
9889294,2023-06-25,2023,3,CFL,TOR,EDM,,,,,,,,,,,,,,,,,,,,,3.0,84.0,,,
9889297,2023-07-03,2023,4,CFL,BC,TOR,,,,,,4.0,1.0,,,,,,,,,,,,,,1.0,70.0,,,
9889303,2023-07-14,2023,6,CFL,TOR,MTL,,,,,,10.0,2.0,,,,,,,,,,,,,,,95.0,,,
9889307,2023-07-21,2023,7,CFL,TOR,HAM,,,,,,12.0,2.0,,,,,,,,,,,,,,,84.0,,,
9889311,2023-07-29,2023,8,CFL,SSK,TOR,,,,,,33.0,3.0,,,,,,,,,,,,,,,34.0,,,
9889315,2023-08-04,2023,9,CFL,TOR,CGY,,,,,,12.0,1.0,,,,,,,,,,,,,,,32.0,,,
9889321,2023-08-13,2023,10,CFL,OTT,TOR,,,,,,12.0,1.0,,,,,,,,,,,,,,,90.0,,,
9889327,2023-08-25,2023,12,CFL,CGY,TOR,,,,,,18.0,2.0,,,,,,,,,,,,,,,82.0,,,
9889332,2023-09-04,2023,13,CFL,TOR,HAM,,,1.0,26.0,,,,,,,,,,,,,,,,,,79.0,,,
9889335,2023-09-09,2023,14,CFL,MTL,TOR,,,,,,,,,,,,,,,,,,,,,2.0,105.0,,,
9889338,2023-09-15,2023,15,CFL,TOR,MTL,,,,,,11.0,2.0,,,,,,,,,,,,,,1.0,53.0,,,
9889346,2023-09-29,2023,17,CFL,TOR,WPG,,,,,1.0,28.0,1.0,,,,,,,,,,,,,,,26.0,,,
9889350,2023-10-06,2023,18,CFL,EDM,TOR,,,,,,,,,,,,,,,,,,,,,1.0,65.0,,,
9889359,2023-10-21,2023,20,CFL,TOR,SSK,,,,,,,,,,,,,,,,,,,,,1.0,50.0,,,
10798142,2024-05-20,2024,1,CFL,WPG,SSK,,1.0,,,,19.0,1.0,,,,,,,,,,,,,,0.0,21.0,,,
10798145,2024-05-25,2024,2,CFL,SSK,EDM,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,1.0,96.0,,,
10798027,2024-06-23,2024,3,CFL,HAM,SSK,,,,,0.0,15.0,1.0,,,,,,,,,,,,,,1.0,91.0,,,
SYNTHETIC_CFL_2024_W4_SSK,,2024,4,CFL,,,,,,,0.0,12.0,1.0,,,,,,,,,,,,,,1.0,139.0,,,
10798032,2024-07-04,2024,5,CFL,TOR,SSK,,,,,0.0,6.0,1.0,,,,,,,,,,,,,,0.0,67.0,,,
10798038,2024-07-13,2024,6,CFL,SSK,BC,,,,,0.0,58.0,6.0,,,,,,,,,,,,,,0.0,9.0,,,
10798041,2024-07-19,2024,7,CFL,WPG,SSK,,,,,1.0,12.0,3.0,,,,,,,,,,,,,,0.0,72.0,,,
10798044,2024-07-25,2024,8,CFL,SSK,MTL,,,,,0.0,11.0,3.0,,,,,,,,,,,,,,0.0,62.0,,,
10798050,2024-08-03,2024,9,CFL,EDM,SSK,,,,,0.0,6.0,1.0,,,,,,,,,,,,,,0.0,74.0,,,
10798057,2024-08-16,2024,11,CFL,MTL,SSK,,,,,0.0,33.0,3.0,,,,,,,,,,,,,,0.0,84.0,,,
10798060,2024-08-22,2024,12,CFL,SSK,TOR,,,,,0.0,25.0,4.0,,,,,,,,,,,,,,0.0,65.0,,,
10798065,2024-09-01,2024,13,CFL,WPG,SSK,,,,,0.0,2.0,1.0,,,,,,,,,,,,,,1.0,89.0,,,
10798070,2024-09-07,2024,14,CFL,SSK,WPG,,,,,0.0,9.0,1.0,,,,,,,,,,,,,,1.0,50.0,,,
SYNTHETIC_CFL_2024_W15_SSK,,2024,15,CFL,,,,,,,0.0,14.0,3.0,,,,,,,,,,,,,,1.0,90.0,,,
10798081,2024-09-28,2024,17,CFL,OTT,SSK,,,,,0.0,17.0,2.0,,,,,,,,,,,,,,1.0,115.0,,,
10798085,2024-10-05,2024,18,CFL,SSK,EDM,,,,,0.0,20.0,3.0,,,,,,,,,,,,,,1.0,53.0,,,
10798088,2024-10-12,2024,19,CFL,BC,SSK,0.0,,0.0,0.0,0.0,7.0,2.0,,,,,,,,,,,,,,0.0,69.0,,,
10798096,2024-10-26,2024,21,CFL,CGY,SSK,,,,,0.0,9.0,1.0,,,,,,,,,,,,,,0.0,43.0,,,
11824045,2025-06-05,2025,1,CFL,OTT,SSK,,,,,,,,,,,,,,,,,,,,,,21.0,,,
11824052,2025-06-14,2025,2,CFL,SSK,HAM,,,,,,,,,,,,,,,,,,,,,1.0,96.0,,,
11824054,2025-06-20,2025,3,CFL,SSK,TOR,,,,,,15.0,1.0,,,,,,,,,,,,,,1.0,91.0,,,
11824059,2025-06-28,2025,4,CFL,BC,SSK,,,,,,12.0,1.0,,,,,,,,,,,,,,1.0,139.0,,,
11824065,2025-07-11,2025,6,CFL,CGY,SSK,,,,,,58.0,6.0,,,,,,,,,,,,,,,9.0,,,
11824070,2025-07-19,2025,7,CFL,SSK,BC,,,,,1.0,12.0,3.0,,,,,,,,,,,,,,,72.0,,,
11824073,2025-07-25,2025,8,CFL,EDM,SSK,,,,,,11.0,3.0,,,,,,,,,,,,,,,62.0,,,
11824079,2025-08-02,2025,9,CFL,SSK,MTL,,,,,,6.0,1.0,,,,,,,,,,,,,,,74.0,,,
11824086,2025-08-16,2025,11,CFL,HAM,SSK,,,,,,33.0,3.0,,,,,,,,,,,,,,,84.0,,,
11824091,2025-08-23,2025,12,CFL,SSK,CGY,,,,,,25.0,4.0,,,,,,,,,,,,,,,65.0,,,
11824092,2025-08-31,2025,13,CFL,WPG,SSK,,,,,,2.0,1.0,,,,,,,,,,,,,,1.0,89.0,,,
11824097,2025-09-06,2025,14,CFL,SSK,WPG,,,,,,9.0,1.0,,,,,,,,,,,,,,1.0,50.0,,,
11824102,2025-09-13,2025,15,CFL,MTL,SSK,,,,,,14.0,3.0,,,,,,,,,,,,,,1.0,90.0,,,
11824110,2025-09-27,2025,17,CFL,SSK,EDM,,,,,,17.0,2.0,,,,,,,,,,,,,,1.0,115.0,,,
11824111,2025-10-03,2025,18,CFL,SSK,OTT,,,,,,20.0,3.0,,,,,,,,,,,,,,1.0,53.0,,,
11824114,2025-10-10,2025,19,CFL,TOR,SSK,,,,,,7.0,2.0,,,,,,,,,,,,,,,69.0,,,
11824125,2025-10-25,2025,21,CFL,BC,SSK,,,,,,9.0,1.0,,,,,,,,,,,,,,,43.0,,,
